"Vehicle.sum7","multiyearcontracttext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Definitive","Multiyear Contract",0.0265562373302644,0.0215186808701849,0.0228835013285546,0.0347927826933355,0.0448381372985621,0.0668214155796516,0.0573601840181313,0.0418128504992126,0.0646678596307953,0.0521814554143055,0.0549762135176053,0.056338317557536,0.0758187218992766,0.0761378390777781,0.0578557819086331,0.0517710820462399,0.0569335017393495,0.0493635305474879,0.0453017949307815,0.0575313421153648,0.0614813173794591,0.0857288252353352
"Definitive","Unlabeled",0,2.99475400805441e-07,0.000250230524021268,2.00820628753883e-05,1.26315184984373e-05,7.50022615748856e-08,4.2571219693819e-05,2.12065970452043e-05,2.95936986083539e-05,6.19134646512109e-06,1.33959406762567e-05,2.30424828292879e-06,2.40793106609525e-06,2.59159821924439e-06,-4.06263087620032e-06,2.20547705963602e-07,1.13895836595851e-08,8.20309426432419e-06,1.21611743978802e-07,0,1.49241909297887e-06,5.35666341573317e-08
"Pur. Order","Multiyear Contract",2.69059209976447e-05,2.41318658034695e-05,0.000185783272456317,8.53860904842628e-05,0.000109009753049641,0.000145565341870301,1.60959853161018e-05,7.06157205192527e-05,3.33805604013906e-05,5.70867441198985e-05,6.34841473799311e-05,6.12643351514854e-05,7.33713602488107e-05,6.55107407532839e-06,,-5.10715690488731e-07,,,-5.84136265120275e-07,,,
"Pur. Order","Unlabeled",6.86267780038512e-05,0.000101770977363837,0.000178027903067655,0.0460750970275062,0.0645114851586874,0.0238065016305915,0.0203171205825034,0.00474921038698368,0.0102655582052746,0.179995063041726,0.894880711628016,0.959743763176725,0.975612771342032,0.990377624789042,1.00062036586004,1.0016721812577,1.00110781302278,1.00097541346946,1.00031407793819,1.0002034793327,1.00028467845968,1.00001825692015
"Single-Awd.","Multiyear Contract",0.00774100130749902,0.00944922953047492,0.0228911651319867,0.0163945141927628,0.0197901324557309,0.0232070817371663,0.0202668035207963,0.00036414900424725,0.014870639148783,0.0190539938551085,0.0220098932585494,0.0396211413638124,0.0316119484805652,0.0615818385213995,0.0691470558167239,0.0563741007872383,0.0498994703347825,0.0654551240176802,0.0629890737313522,0.0643422253055138,0.0557191192901033,0.0483426019755685
"Single-Awd.","Unlabeled",,5.41042917266513e-07,,7.54877779304244e-08,,1.22035523276974e-05,1.37179380035963e-05,1.56478723880217e-05,4.03353730874633e-05,0.0100973519095927,0.0301253333763819,0.032855867254114,0.0270117091067104,0.0215710099890394,0.0173481169549478,0.00835910356162585,0.00534914883874479,0.00338876478944505,0.00266618377245517,0.000845025452633716,0.000210536674990381,4.12599808941283e-05
"Multi.-Awd.","Multiyear Contract",0.0289596910361893,0.0317255945302085,0.0360089784788299,0.0102095402315596,0.00110200366870502,0.00239383131066311,0.00315090002698457,0.000392126559360832,0.000538932899344326,0.00479228309209193,0.0128024870920328,0.0194990247683375,0.0169760402283303,0.0241560569322383,0.0327445438530662,0.0270944770968892,0.0218389866288827,0.0206207200029024,0.0271040185121151,0.0224937524155288,0.0226368458933809,0.032107522665449
"Multi.-Awd.","Unlabeled",0,,,0,,4.23798986188262e-06,8.80027568689286e-06,3.30570073035695e-05,0.000304038085611053,0.011825104750301,0.0842707396144427,0.0545221430020534,0.0358531661982131,0.0260165310298217,0.0242257886361706,0.00587832916018271,0.0019128627774162,0.00165665927329677,0.000334718071698567,0.000439229752054658,3.87091415113197e-06,4.23747021236667e-05
"FSS or GWAC","Unlabeled",,,,,,,2.34312061797404e-05,-3.57072919274438e-12,6.04367030892102e-05,0.00392571481798023,0.0321347472354227,0.0711413656532965,0.134973765143208,0.195689505436195,0.273841132109472,0.442643402147309,0.569925397535817,0.665775152776323,0.705972906103734,0.767233092330271,0.820098529712888,0.845702237353045
"BOA or BPA","Multiyear Contract",,0.0273953387418144,0.625903358868203,0.0105000772577249,0.0129784203080608,,,,,,,,,,,,,,,,,
"BOA or BPA","Unlabeled",,0.000305705619127954,,,,,,,0.00892283940971036,0.158574105672378,0.982785068586616,0.997634739070707,0.998772427420021,0.997544038746936,0.99988854439072,0.999790474127896,0.9999401986917,0.99992257386244,0.999966225618978,0.999961095197122,1.00000128036996,1
"Unlbd. Task Ord.","Multiyear Contract",3.56143113355418e-05,0.00433099945034571,0.0102265047841761,0.00140252475893995,0.0366947705965048,,-0.0598651711299396,-1.1235711680784e-06,,0.0327894348203072,0.000662196926224617,0.00485595979408447,,,0.000263051991946649,0.00134232744916764,0.00468788250565195,0.00182139162379113,,,,
"Unlbd. Task Ord.","Unlabeled",2.92281596639769e-05,,,,,,0.00139401838021401,-4.95977201195516e-05,-1.1983885186995e-05,0.00106756674092505,0.00107299007913564,0.0229668292936206,0.114625908127987,0.171596588386743,0.240049304965476,0.184709484408851,0.412294521841887,0.253428524886354,,,,
