"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
NA,"Facilities and Construction",1610002044619.01,65081129032.7965,1,1,NA
NA,"Electronics, Comms, & Sensors",1566471201998.21,56652831818.5694,1,1,NA
NA,"Other R&D and Knowledge Based",1169197219330.71,68312864320.155,1,1,NA
NA,"Aircraft",1108677923857.18,44290529119.2572,1,1,NA
NA,"Other Products",1008094138578,35642661531.9328,1,1,NA
NA,"Other Services",842957960377.911,37130733102.7537,1,1,NA
NA,"Ships & Submarines",460147188178.395,27205224486.3348,1,1,NA
NA,"Ordnance and Missiles",398225874264.445,22266897426.5988,1,1,NA
NA,"Land Vehicles",352534516397.429,11913597557.6266,1,1,NA
"JSF (F-35)","Aircraft",247107224613.323,35323930244.7457,2,2,"JSF (F-35)"
"MISSILE DEFENSE AGENCY SU","Missile Defense",162040805116.462,6528516429.48014,1,1,"MISSILE DEFENSE AGENCY SU"
NA,"Space Systems",148133993745.906,4598229935.50231,1,1,NA
"SSN 774","Ships & Submarines",78755643008.9443,5645280595.85359,2,2,"SSN 774"
"F-18 HORNET","Aircraft",56569800067.278,0,3,252.5,"F-18 HORNET"
"F/A-22","Aircraft",54697994495.1519,104714146.610436,4,31,"F/A-22"
"V22","Aircraft",50969146366.8334,1006001423.23506,5,8,"V22"
"TRIDENT II MISSILE","Ordnance and Missiles",50710626865.0135,3202773957.02874,2,3,"TRIDENT II MISSILE"
"F-16 FALCON","Aircraft",44555282759.0724,-4233704.98586342,6,458,"F-16 FALCON"
"C-17A","Aircraft",43365278050.1362,-125990.768820715,7,450,"C-17A"
"C130-J","Aircraft",42421050494.4397,2201378034.5651,8,4,"C130-J"
"MMA","Aircraft",42379545236.8601,715794479.767166,9,11,NA
"C-17A CARGO TRANSPORT","Aircraft",41328401935.3943,0,10,252.5,NA
"F/A-18 E/F","Aircraft",39065468458.3511,3579695.28792737,11,47,NA
"F-22 Raptor","Aircraft",37779418685.9186,0,12,252.5,NA
"DDG 51","Ships & Submarines",37745224663.0983,5359942781.56637,3,3,"DDG 51"
"BALLISTIC MISSILE DEFENSE","Missile Defense",37066817441.5764,0,2,46,"BALLISTIC MISSILE DEFENSE"
"F-15 EAGLE","Aircraft",33638577866.814,0,13,252.5,NA
"UGM-96 TRIDENT","Ordnance and Missiles",33511291823.2492,0,3,177.5,"UGM-96 TRIDENT"
"B-2 STEALTH","Aircraft",33365407975.5255,0,14,252.5,NA
"KC-45A","Aircraft",32575899388.7581,4860940583.34971,15,3,"KC-45A"
