"PlatformPortfolio","YTD","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","Full Year",0.00184893128012185,0.00132677249455898,0.0161640055382033,0.0489854399463405,0.0737860958174218,0.138910780040053,0.120168655871174,0.0806117382449946,0.133585769895616,0.0729938347554584,0.062056647520033,0.0613918457641273,0.0975739877486586,0.0910143735061761,0.0661724993770213,0.0635763187820906,0.0668422871660546,0.0593253293382221,0.0710058262324856,0.0877681044690505,0.0583286395944806,0.0784709070239171,0.0790626493768364,
"Aircraft","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0790626493768364,0.0849280188405337
"Ships &
submarines","Full Year",0.108015013496362,0.0327711966475924,0.0111886447975671,0.02419971379325,0.0110214726166957,0.0125340089579909,0.00510878282976072,0.00614465115124216,0.00582565504254851,0.13490132918525,0.156452165151876,0.126465239215999,0.12713244510888,0.182644695764478,0.143877283366746,0.0752676692241722,0.0933355930592148,0.0781546611735661,0.0709190773705165,0.0995130307584047,0.0981089590699385,0.0540156720662024,0.0636766341731231,
"Ships &
submarines","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0636766341731231,0.00509912849815502
"Land Vehicles","Full Year",0.0391109014693179,0.16836720506498,0.128655535157843,0.0374086137543923,0.0642563267674411,0.0226250892631756,0.0190391355460775,-0.000400604823505642,0.00276471869955763,0.00551303319590522,0.00733945347230907,0.0144942976785881,0.0247532667782568,0.013365569770976,0.0448402046137441,0.128913276140423,0.14794446803963,0.147807696032425,0.102752544339088,0.0838726166370502,0.0583915064658458,0.0397877035163795,0.0320559821950316,
"Land Vehicles","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0320559821950316,0.0147142036318874
"Space Systems","Full Year",,0.00081240816374131,,,0.000702397796079731,,,0.000543224035725921,0.00269889900506961,0.0060407764836198,0.0274909084259983,0.0502142396775445,0.118048244976935,0.00439043800988762,0.0032111133221732,0.00605136493390895,0.0171620565927236,0.0142828031829424,0.00993522728901527,0.0278214806121996,0.0280599929249017,0.0228592941300008,0.0219404461105524,
"Space Systems","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0219404461105524,0.0171600580942593
"Air & Missile
Defense","Full Year",,,,,,0,0.000221738201657309,0,0.00142831271679332,0.0032321684223624,0.0119443611220566,0.0351160990665504,0.0378315485419041,0.0398648210316462,0.0507062879472042,0.0906943362451963,0.109828952925552,0.113487050775087,0.0305362268150432,0.0359124802616842,0.106488715672613,0.141909011600448,0.148933557212164,
"Air & Missile
Defense","YTD",,,,,,,,,,,,,,,,,,,,,,,0.148933557212164,0.268432922437717
"Ordnance &
Missiles","Full Year",0.07943464756402,0.0681366084864455,0.0489480789877967,0.0367682123703016,0.031360537155988,0.0225232759322301,0.0303802678026429,0.0213808595628732,0.0481164463071476,0.033599214024226,0.0596354850315665,0.0444890518664343,0.0325558812103498,0.0472219708954428,0.0655858157474355,0.0687961456220534,0.0395699496861838,0.0555489610328235,0.063486712963923,0.0458228846710659,0.0505565304288801,0.0573571032577676,0.0311970709898029,
"Ordnance &
Missiles","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0311970709898029,0.0278143580425495
"Electronics,
Comms & Sensors","Full Year",0.00335862779172169,0.00642765591731946,0.0152159910489154,0.0173087424451459,0.0352866406192254,0.0226025401882425,0.0274390183392092,0.00451966943183496,0.00410723945627593,0.00747486235889173,0.00739966862146989,0.0129144033705434,0.0137288706470026,0.022627366368427,0.0195786291863267,0.0198926798693241,0.027562752316564,0.0382772065902509,0.0391907833993427,0.0368166782714684,0.0298758832642562,0.0392186142472163,0.030343222762695,
"Electronics,
Comms & Sensors","YTD",,,,,,,,,,,,,,,,,,,,,,,0.030343222762695,0.0542582510145341
"Facilities &
Construction","Full Year",0.00351205460741171,0.00232575673260156,0.00183875279470703,0.00173547786396389,0.00419351035475283,0.00479366786321569,0.00440371506695264,0.0101419290543131,0.00887095197864325,0.00760282726280067,0.0194758766067266,0.0259016885258269,0.0259986202430676,0.0325160937812698,0.0369246464321419,0.0324343259389748,0.0250372599526474,0.0264790299378726,0.0239004210247574,0.0236435869225676,0.0267735659334521,0.0379177496120317,0.0516061208866777,
"Facilities &
Construction","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0516061208866777,0.0258233536942122
"Other
Products","Full Year",0.0633621021669429,0.0636832417808787,0.105278368574538,0.0533262739173319,0.0152734929961264,0.0501422670070826,0.0226987400579418,0.00212186046239572,0.0495515485072399,0.0561817543901561,0.0536536789997935,0.0904587353428525,0.0344368784941791,0.111228845014129,0.128375499894826,0.0642267579306254,0.012916259925051,0.00795236022355219,0.0091640624745738,0.0145283580351562,0.0565846690950463,0.134285453461522,0.00458054468560188,
"Other
Products","YTD",,,,,,,,,,,,,,,,,,,,,,,0.00458054468560188,0.00577661792958474
"Other
Services","Full Year",,,2.93974956733484e-05,5.56615698050397e-05,0.000172255252104049,0.000788172853287416,0.000350331421383985,0.000319245644073764,0.000594134247503564,0.000750298440818053,0.00153665503771546,0.00262113093449835,0.0073384606836097,0.00707926349299714,0.00445008124024895,0.0041155119295399,0.00318700052443403,0.00368790271935135,0.00756723932068479,0.00296039671712854,0.00455102796771406,0.00544178216746982,0.00888236085222253,
"Other
Services","YTD",,,,,,,,,,,,,,,,,,,,,,,0.00888236085222253,0.0076268587094259
"Other Knowledge
Based","Full Year",0.00516603401760876,0.00404900393595003,0.00087842111352285,0.00684684017121569,0.00839525691483943,0.00371347673987327,0.00260259813245131,0.00435347991229931,0.00687609840695383,0.00785479862375147,0.0154594982581068,0.0159952141257973,0.0148256547830748,0.0192842072493485,0.0131168094910387,0.0154919866942913,0.0206931744511308,0.0266891131949422,0.0176270243700009,0.0255241833807085,0.028341985404723,0.018603688044002,0.0200243020139122,
"Other Knowledge
Based","YTD",,,,,,,,,,,,,,,,,,,,,,,0.0200243020139122,0.0201524979944974
