"PlatformPortfolio","gfe_gfp_value","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","No Government Furnished",47802227382.3272,47148494855.9455,53458850337.5942,45706878702.8532,54627986147.1712,51445454851.8272,45191252572.9246,48610671341.4407,54901430542.8776,48018283068.5467,37820421048.6109,38230298207.9153,49081250160.9156,48338208940.985,48093690375.5348,56668401493.3715,72496607668.4704,48866444391.9345,44271031411.2037,47012190145.8303,35554570676.88,16785847669.61
"Aircraft","Transaction uses
Government Furnished
Equipment or Property",-100803,134103779.3911,485355923.9192,14760721302.5245,12099634953.8632,14400695415.7053,18422290714.0842,21797883113.344,23309130753.5337,25602712749.5824,20422878865.0297,23510316786.6317,26377652306.5522,38016211105.1197,35899640349.7818,33211941574.5438,32793241030.2191,23426830065.9669,30931445939.8929,50070106702.2601,35677731864.02,24610806065.91
"Electronics, Comms, & Sensors","No Government Furnished",37517136368.5338,42222364128.7501,44922295053.8949,46287440662.2988,51083163868.7886,50535991356.5878,48916244923.1957,45027224562.8737,41822747732.3044,34397367069.2317,32879873941.7231,32204389557.0227,35698992186.4892,38827779025.3643,44287933844.1942,47423133790.0663,48398199724.1876,43147711842.7868,44829576974.2441,44451736668.7265,46213644333.3025,17733616440.52
"Electronics, Comms, & Sensors","Transaction uses
Government Furnished
Equipment or Property",14909726.4676,10840535.6095,278944316.4648,6165192253.7583,5866793533.9536,4803001975.1457,7182863461.3084,7351623826.1935,7751604560.9054,7120324916.555,8001591253.6314,7351656732.96,7629244478.1968,7062948772.2096,6674903353.4954,7510754143.5317,6953723343.2472,6469303381.3415,8700320263.3246,11857910638.7795,11870647176.51,5418989041.95
"Facilities and Construction","No Government Furnished",35694463930.7896,39460029400.9185,45148916255.3054,44353464093.2599,55288978573.9328,64155377316.0794,54994149836.2772,48460591493.1069,43888721182.6456,33996311739.6601,37467495842.4104,34226583175.8536,35117694868.9633,34765265219.6285,43437241412.8925,48560117943.0358,56680214109.9635,48554612045.186,52297297352.711,60074804230.9166,59802386204.2181,19903880431.78
"Facilities and Construction","Transaction uses
Government Furnished
Equipment or Property",8669290.8524,100138881.3969,400452377.9814,1843566094.6023,2000832518.3363,2208789298.7377,6241875504.9266,6120606536.493,5119263477.3569,5523043307.1923,4730118813.0856,3868555708.8397,3427844205.0839,3714934937.9097,3520624996.8464,3517885115.8797,3519791311.9993,2759903516.1004,5071819289.6282,4957089399.296,6465949124.6801,2145352878.74
"Land Vehicles","No Government Furnished",8544237936.117,15231719089.7922,15598899847.1807,18781374912.513,28254571715.5566,14639964391.1479,18186393249.6092,15785981749.6738,7907509846.2896,5187371284.2447,4300341671.8383,4903808785.8906,4200221667.4515,4824208701.7357,8112679473.5297,6468046010.1178,5789406042.6877,4833713400.0981,4752073779.8255,7632619856.2023,7332094823.6533,4371298905.18
"Land Vehicles","Transaction uses
Government Furnished
Equipment or Property",1252750.4883,30053473.8186,532847438.7394,9417221962.1499,11502644344.5256,14195165803.935,7145831084.2093,3789575472.3188,2921163281.4379,2247742517.3441,1525130562.589,2589963458.2457,3152177361.9937,3434970893.7324,4553052488.8522,6451344934.6031,5964228588.8814,4848964066.1486,6068578931.2852,6901916706.487,6380770690.59,2671563061.56
"Missile Defense","No Government Furnished",6850890917.5797,7241986679.0175,7745738779.0004,8170821064.7309,6846719735.8761,10169706702.9408,9818761977.7695,8516446274.4657,9394526008.1672,6107603640.0025,6571427914.1391,8023971851.363,7144791066.788,6868535364.6808,10373370700.7092,10994217998.86,13033066224.3299,10523011455.5882,8354788630.3208,5661262053.2128,7729439558.96,3094860678.33
"Missile Defense","Transaction uses
Government Furnished
Equipment or Property",-7664,0,392194171.58,1427894404.865,3510724588.2113,2078313002.6137,2592116368.8216,3566246842.4746,3282040639.511,5992138098.1562,2722066219.3687,2651906176.9413,3830643256.3867,1964713872.8878,4382367543.4072,4087687809.279,7345046693.5355,2953274134.4458,6681100997.2393,8227499745.7979,6297539815.07,2893257889.62
"Ordnance and Missiles","No Government Furnished",13233823640.1002,14077465805.6053,13456604913.1432,10532054390.7961,12736553004.4896,10438659094.1551,7510703793.3923,7415963470.2135,6774082371.207,5203310279.5082,6010192321.8402,5846079924.5458,7399131688.2503,10509126274.3917,12180823871.1265,14379970677.4874,12905280114.0828,11122189125.9304,11150502978.2825,17997282819.8687,22290066265.07,8487981557.78
"Ordnance and Missiles","Transaction uses
Government Furnished
Equipment or Property",1411138,13797110.6,194485524.1,6124112098.0109,4873792875.3187,5728531909.5648,7304531422.1351,6837160588.4843,7608582169.7661,6608958322.4153,5780013428.5808,6212739026.9405,8080739660.1598,7324651002.4606,8162761222.5723,8519204354.4897,9948929777.1405,9412816949.26,7933098894.7744,14622776497.6067,13196297233.9,5233195758.77
"Other Products","No Government Furnished",18316590305.9285,31787771460.0561,34610838724.619,34213372636.2503,39057630014.5063,35536614840.5389,28774797605.1038,29393307190.3305,34686815341.9496,26280450570.921,23847909315.0921,20866218880.7564,18943211377.2013,21194423282.0927,24948329428.2159,22782609234.9815,25252478833.6574,52814121731.8674,47575690677.4878,30275585997.4573,31689410573.7818,13185721721.57
"Other Products","Transaction uses
Government Furnished
Equipment or Property",,730287,9159555,78359068.2908,42475350.9736,82239795.6604,664342112.3187,594413988.7396,666664553.3769,379928465.5502,492120069.8717,199175159.2685,460849253.1785,397663603.9672,418502078.8873,431308992.2543,344835495.116,561121405.5307,10971648152.2903,2564593550.657,632328184.23,299755224.27
"Other R&D and Knowledge Based","No Government Furnished",20524907534.9037,25358925517.9607,28364312390.2108,27175474179.7872,31171944420.7411,34867639230.1291,32861722971.2625,31959285234.3416,33686022728.8748,28000828723.4927,27068568090.822,27542995100.2534,27641625097.0198,29471472303.5868,33095164884.1821,36337725947.1023,37405087222.8324,44864731094.2768,42461308584.8804,50804663718.7024,58800406779.8191,24976127646.23
"Other R&D and Knowledge Based","Transaction uses
Government Furnished
Equipment or Property",13790775.8135,66483072.2754,356867281.6205,3120679017.8706,2621491728.7045,3651975712.8312,7099812011.3999,7771320327.9014,6275327018.1304,5930530695.3927,6244645098.3708,5499575912.0743,5621901045.8098,5521934618.9787,5593906756.4547,6024219949.7697,6682109461.2305,7297796449.1474,12551827721.2401,16613445957.076,17369667965.47,8644122626.15
"Other Services","No Government Furnished",20101073214.6054,22168817231.7622,23930231867.3588,19416769875.0154,21125786134.4771,24963981895.0191,23739864614.8873,27171141073.0366,27597164548.2796,23906036887.0884,22152258051.7272,19801154303.1186,20740266476.6342,22497382287.8501,23728387780.5225,25303420340.6903,25489441324.6049,25749356386.449,22754565912.1255,19405593685.3097,27209677710.082,13214084326.02
"Other Services","Transaction uses
Government Furnished
Equipment or Property",21248960,44219749.719,308598801.0596,5081114883.7025,6342242143.2926,5759676059.1439,9284292903.6839,9621403509.0908,6266987541.1397,6814156807.6639,3526983531.6875,3228842773.3312,3118369610.9565,3848793860.4763,4639332382.2039,4323912855.8002,3878867664.9502,2914660315.861,7618641312.6789,12374913359.5891,5196953884.4592,1838529997.1
"Ships & Submarines","No Government Furnished",14842775215.2183,14027087533.3052,16528305195.855,14713376513.6675,16174990704.4924,20023956632.4663,12702984776.2609,14234159792.4548,18145343902.1446,17795253714.3394,18344629856.4242,19814256633.3132,18367025574.3859,22503063998.4307,26286734784.3495,26856576675.3397,29439989548.5309,27644462234.277,25462965507.0318,27488990938.9196,26284334836.7448,17312127905.52
"Ships & Submarines","Transaction uses
Government Furnished
Equipment or Property",46500,13350698.82,290898718.3202,2540099715.9465,3178700094.6477,1478405475.184,4857447859.6346,14154483974.8003,5677448748.7047,5353256649.2503,5482506320.8056,1669849092.0013,6300792534.1425,4756975012.9643,5113898889.3104,6542508958.6601,10891166335.7524,4582217603.7215,9275191977.8401,12992806608.4785,13366189390.9961,4246546347.07
"Space Systems","No Government Furnished",6277491798.1575,6522295831.15,7909033421.6197,7257478877.7812,9298759832.1869,9285199727.9998,7219088496.2465,6505798436.1572,7642457866.4216,4538489758.7058,6511270101.6815,4960380736.5545,4468247486.8858,5181344312.1025,4840300804.5355,5755872843.5826,6704225150.5314,3390205192.2236,2969736025.3318,3077490489.1276,3757818910.45,702244828.55
"Space Systems","Transaction uses
Government Furnished
Equipment or Property",1206718,0,101451517,952929524.9169,278748217.0572,1095835784.3813,1984384857.4858,3925353212.312,2464857205.5821,3196677947.9185,1493353817.2381,1021342490.4105,1545604524.1374,849776061.9303,1018168882.6375,1457048911.53,618799355.1698,236142236.71,1668252209.65,2053905433.89,2169112856.64,860672510.95
"Unlabeled","No Government Furnished",6946308.0047,3246654.12,110264977.8082,1268209.27,367089.4478,1008435.4993,-252447.358,-137139.4013,-6477.8001,-99723.1206,449040,30000,3581529.4309,31755,-212795.37,465885,10000,386316,980919.7602,2471452.5331,2563052.94,2844018.11
"Unlabeled","Transaction uses
Government Furnished
Equipment or Property",131887.7813,555982,,16779375.35,953.769399999984,-22267.35,-1472.3,-3685.7,,,,,,,,,0,,,,,
