"ProductServiceOrRnDarea","Authority","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Basic Research (6.1)","Contract",3904375592.65942,4041892963.02286,3991491235.52732,4278245212.76617,4548849042.28569,4394067845.24224,3943055670.86412,,,,
"Basic Research (6.1)","OTA",13779016.6089348,10908440.3475575,56188854.1283849,110222468.132541,379530632.384286,578561717.453118,793371230.887911,692551775.719129,361021244.29,452451205.875308,86419622.7768995
"Applied Research (6.2)","Contract",7699582982.24958,8258386634.01535,8373927630.42597,8233835880.9121,9076582054.71289,9165913205.7628,9449797092.41008,,,,
"Applied Research (6.2)","OTA",92346325.68787,333404860.949547,396093648.036646,463792831.881461,915704166.153659,2190787902.17482,2104818137.09302,1747983264.63071,1763588501.27,2437189194.58567,1412383914.6371
"Experimental Development","Contract",,,,,,,5811322790.10234,,,,
"Experimental Development","OTA",,,,,,,2896095292.34214,2737964622.6395,6645266686.94,9850680506.18986,4900667997.41456
"Advanced Development","Contract",5035012513.63456,4988687962.60406,5176482475.51483,5719301869.42407,7330815046.53229,7154467288.16207,3358065620.25544,,,,
"Advanced Development","OTA",24581338.2251822,257820040.423814,411504236.518086,511307414.015908,706166466.489728,9296446826.74087,1231628705.59317,612340858.251843,301419143.9,-70390987.8043879,186438199.118445
"Engineering Development","Contract",4967429038.68026,5997589257.5756,6323610056.99635,6995499164.79926,8368000871.26592,9027396461.70585,2941421018.5961,,,,
"Engineering Development","OTA",733941395.021315,869494836.566852,1393520008.01824,2832448825.70523,4457438921.50865,4487807119.78674,3824639683.35163,2957873459.05265,2983755424.9,883489836.683411,391326484.29138
"Operational Systems Development","Contract",5352725478.12183,4673530739.10436,5119017131.84067,4940198933.11835,4782439854.57675,4384518169.16257,360797256.226904,,,,
"Operational Systems Development","OTA",1717035.41879068,2215791.71403189,3032030.81278245,36400519.2601286,909459153.94459,575984967.62174,625943562.979697,301592978.896265,210807742.39,124234461.648041,71041689.7013271
"R&D administrative and operational expenses","Contract",1452983442.3465,1383565506.83016,1168313513.27229,1196217362.93538,1201233343.9961,1299636588.82152,7363796335.60652,,,,
"R&D administrative and operational expenses","OTA",619699.190641616,,,,0,31340953.4056113,1664414271.08264,212297262.833164,144876760.32,134178693.365135,53350002.4169059
"R&D facilities and major equipment","Contract",98446815.5817065,126427011.353436,133231315.870155,178631468.099873,122833788.348252,212497010.540769,2929943468.73606,,,,
"R&D facilities and major equipment","OTA",,,,,,,61169739.0756995,68756667.7534902,111888533.96,274783389.779938,84511012.5410475
"Commercialization","Contract",1306275872.33798,1141508180.80395,1157747696.64194,862783683.867294,851857436.389556,856485746.196977,471460886.921705,,,,
"Commercialization","OTA",,,2297845.68044142,4150834.19642945,486880.046894953,18374532.0374156,448144.592391643,714118.388854865,797653,783086.890888962,0
