"PlatformPortfolio","Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","****AFX",1896,318090361,109147476,26997179,219353279,271590006,165985451,100293,4456032,0,-634928.24,-2246947,-3151588,,0,0,,,,,,,,,
"Aircraft","433",2039,,,,,,,,,,,,,,,,1979367.7305,-1171,26030.9004,,-11083,2337666,1585055.625,-191338.5469,
"Aircraft","479",2048,,,,,,,,,,,,,,,,,,,,,3815132.375,4005000,1484094.625,0
"Aircraft","A-1 SKYRAIDER",704,,1653432,5572001,9540174,,,,,,-5518,360,,,,,,,,,,,,,
"Aircraft","A-10",1499,,,,,,,18141.9599,,,,,,,,,,,,,,,,,
"Aircraft","A-12 AVENGER (TO REPLACE",710,,,72065,29643,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-37",711,,,,174999,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-4 SKYHAWK",1879,8620409,7731673,13502937,100666284,7518307,127000,-69200,,294894,1700452.4844,1230,-1406.48,,,,,,,,,,,,
"Aircraft","A-6 INTRUDER",707,17920610,16690839,27892472,30723643,,,,,,0,,,,,,,,,,,,,,
"Aircraft","A-6E / A-6 UPGRADE",83,,,,,,,3052.54,52416.9519,388.72,,,,,,,,,,,,,,,
"Aircraft","A-7 CORSAIR II",708,1968420,119019,1229584,10960076,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-7D",1318,,,,,,,13150679.5,20077652,54403528,66644724,94502010,51067022,48671784,31807186,-153711,0,,,,,,,,
"Aircraft","A-7E",1314,,,,,,,,,,,,,136284,,,,,,,,,,,
"Aircraft","A/P22P-9(V) CBR",1165,5302078,,2883023,,,,,,,,,,,,,,,,,,,,,
"Aircraft","AAG",2192,,,,,,,,,,,,,,,,,,,,1871246,,1912444,85247,0
"Aircraft","ABL",639,,,,,,3030,,,,-80,,,8945.5498,,,,,,,,,,,
"Aircraft","ACM",1850,,,,,,,3101,-9701,,7155.1499,35897,74080.0601,33315.8301,,,,,,,,,,,
"Aircraft","AEB",1889,170075758,255927389,246644838,27889382,725000,207459073,0,5625732,-25000,1066518,,,0,,0,,,,,,,,,
"Aircraft","AESA",1329,,,,,1658678,3583450,16649042,13257229.4688,81695129.8125,89048364.5625,46999591.75,93204926.5598,109323486.875,127550549.2,76495588.68,20778719.6406,9460161.2813,6616754.5313,1662942,5600269,131915,0,0,
"Aircraft","AFU",1895,9e+05,353137,969489,381890,709245,,29269,,,,,,,-49533.4,,,,,,,,,,
"Aircraft","AH-1G HUEYCOBRA",109,23037354,6995254,2483156,2585984,,,,,,,,-5076.3901,,,,,,,,,,,,
"Aircraft","AH-1J SEA COBRA",750,8460727,25120989,163804524,143393201,,,,,,,,,,,,,,,,,,,,
