"assistance_award_unique_key","recipient_name","transaction_count","cfda_num","cfda_title","assistance_type_code","assistance_type_description","prime_award_base_transaction_description","period_of_performance_start_date","initial_period_of_performance_current_end_date","original_loan_subsidy_cost","face_value_of_loan","non_federal_funding_amount","indirect_cost_federal_share_amount","max_last_modified_date","award_id_fain","award_id_uri","sai_number","federal_action_obligation","total_obligated_amount","total_non_federal_funding_amount","total_face_value_of_loan","total_loan_subsidy_cost","action_date","Fiscal_Year","period_of_performance_current_end_date","awarding_agency_code","awarding_agency_name","awarding_sub_agency_code","awarding_sub_agency_name","awarding_office_code","awarding_office_name","funding_agency_code","funding_sub_agency_code","funding_sub_agency_name","funding_office_code","funding_office_name","recipient_uei","recipient_duns","recipient_name_raw","recipient_parent_uei","recipient_parent_duns","recipient_parent_name","recipient_parent_name_raw","recipient_country_code","recipient_country_name","recipient_address_line_1","recipient_address_line_2","recipient_city_code","recipient_city_name","prime_award_transaction_recipient_county_fips_code","recipient_county_name","prime_award_transaction_recipient_state_fips_code","recipient_state_code","recipient_state_name","recipient_zip_code","recipient_zip_last_4_code","prime_award_transaction_recipient_cd_original","prime_award_transaction_recipient_cd_current","primary_place_of_performance_scope","primary_place_of_performance_country_code","primary_place_of_performance_country_name","primary_place_of_performance_code","primary_place_of_performance_city_name","prime_award_transaction_place_of_performance_county_fips_code","primary_place_of_performance_county_name","prime_award_transaction_place_of_performance_state_fips_code","primary_place_of_performance_state_name","primary_place_of_performance_zip_4","prime_award_transaction_place_of_performance_cd_original","prime_award_transaction_place_of_performance_cd_current","cfda_number","transaction_description","business_funds_indicator_code","business_funds_indicator_description","business_types_code","business_types_description","correction_delete_indicator_code","correction_delete_indicator_description","action_type_code","action_type_description","record_type_code","record_type_description","usaspending_permalink","last_modified_date","USAspending_file_name"
"ASST_NON_DECF0000036_8900","SOLYNDRA, INC.",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS RECOVERY","2009-09-14","2009-10-04",0,0,0,0,"2012-06-22","DECF0000036",NA,"SAI NOT AVAILABLE",0,0,0,0,0,14501,2009,"2009-10-04","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"MYL9VH45S295","610713286","SOLYNDRA, INC.",NA,NA,NA,NA,NA,NA,"47700 KATO RD",NA,"91070","FREMONT (CCD)","061.0","ALAMEDA","06","CA","CALIFORNIA","94538","7307","CA-13","CA-17","SINGLE ZIP CODE",NA,NA,"0691070","FREMONT",NA,NA,"06","CALIFORNIA","945360001","CA-13",NA,"81.126","TAS::89 4576::TAS RECOVERY","REC",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000036_8900/","2012-06-22","FY2009_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DECF0000058_8900","FORD MOTOR COMPANY",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"FORD MOTOR COMPANY","2009-09-10","2039-09-09",3000186413,5907041570,0,0,"2018-08-02","DECF0000058",NA,"SAI NOT AVAILABLE",NA,0,0,5907041570,3000186413,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"KTKSAXJJUM87","049967672","FORD MOTOR COMPANY",NA,NA,NA,NA,NA,NA,NA,NA,"21000","DEARBORN",NA,"WAYNE","26","MI","MICHIGAN",NA,NA,NA,"MI-12",NA,NA,NA,NA,"DEARBORN",NA,NA,"26","MICHIGAN",NA,NA,NA,NA,NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000058_8900/",NA,NA
"ASST_NON_DECF0000059_8900","TESLA, INC.",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","TESLA MOTORS, INC., ATVM DIRECT LOAN AUTHORITY","2009-09-11","2009-12-19",0,0,0,0,"2012-06-22","DECF0000059",NA,"SAI NOT AVAILABLE",0,0,0,0,0,14498,2009,"2009-12-19","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"TBTHGLM2G9D3","148284255","TESLA MOTORS, INC.","TBTHGLM2G9D3","148284255","TESLA, INC.","TESLA MOTORS, INC.",NA,NA,"3500 DEER CREEK RD",NA,"65070","SAN CARLOS","0681.0","SAN MATEO","06","CA","CALIFORNIA","94070","0000","CA-12","CA-15","SINGLE ZIP CODE",NA,NA,"0665070","SAN CARLOS",NA,NA,"06","CALIFORNIA","940700001","CA-12",NA,"81.126","TESLA MOTORS, INC., ATVM DIRECT LOAN AUTHORITY","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","C",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000059_8900/","2012-06-22","FY2009_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DECF0000060_8900","NISSAN NORTH AMERICA, INC.",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY",NA,NA,45017250,1447500000,0,0,"2018-04-05","DECF0000060",NA,"SAI NOT AVAILABLE",0,0,0,1447500000,45017250,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"MDHJNMFAJGS5","009602533",NA,"PMMZY68MNTL3","690542212","NISSAN MOTOR CO.,LTD.","NISSAN MOTOR CO.,LTD.",NA,NA,NA,NA,"27740","FRANKLIN",NA,"WILLIAMSON","47","TN","TENNESSEE",NA,NA,"TN-07","TN-07",NA,NA,NA,NA,NA,NA,NA,"47","TENNESSEE",NA,NA,NA,NA,NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000060_8900/",NA,NA
"ASST_NON_DELP0000001_8900","FIRST WIND HOLDINGS LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","FIRST WIND HOLDINGS, LLC","2010-07-23","2011-07-22",0,0,0,0,"2015-02-18","DELP0000001",NA,"SAI NOT APPLICABLE",0,0,0,0,0,14817,2010,"2011-07-22","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"J5NLEHHHJAZ6","140568861","FIRST WIND HOLDINGS LLC","J5NLEHHHJAZ6","140568861","FIRST WIND HOLDINGS LLC","FIRST WIND HOLDINGS LLC",NA,NA,"85 WELLS AVENUE, SUITE 305",NA,"45560","NEWTON","2517.0","MIDDLESEX","25","MA","MASSACHUSETTS","02459","3215","MA-04","MA-04","SINGLE ZIP CODE",NA,NA,"1517000","KAHUKU",NA,NA,"15","HAWAII","96731","HI-01",NA,"81.126","FIRST WIND HOLDINGS, LLC","REC",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000001_8900/","2015-02-18","FY2010_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000003_8900","STEPHENTOWN REGULATION SERVICES LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS RECOVERY.  TO ISSUE A LOAN GUARANTEE IN THE AMOUNT OF $43137019 FOR BEACON LOAN NUMBER 1002","2010-08-06","2010-10-05",0,0,0,0,"2012-06-22","DELP0000003","DELP0000003+0002+REC","SAI NOT AVAILABLE",0,-2.5e+07,0,0,0,14827,2010,"2010-10-05","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"D2JVJ16N8L11","963189472","STEPHENTOWN REGULATION SERVICES LLC",NA,NA,NA,NA,NA,NA,NA,NA,"70955","TYNGSBORO","2517.0","MIDDLESEX","25","MA","MASSACHUSETTS","01879","2041","MA-05","MA-03","SINGLE ZIP CODE",NA,NA,"2570955","TYNGSBORO",NA,NA,"25","MASSACHUSETTS","018790001","MA-05",NA,"81.126","TAS::89 4576::TAS RECOVERY.  TO ISSUE A LOAN GUARANTEE IN THE AMOUNT OF $43137019 FOR BEACON LOAN NUMBER 1002","REC",NA,"X","OTHER",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000003_8900/","2012-06-22","FY2010_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000006_8900","NGP BLUE MOUNTAIN I LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",11,"Other Financial Assistance","TAS::89 4486::TAS RECOVERY  NGP BLUE MOUNTAIN I LLC LOAN NUMBER F1001  GEOTHERMAL PROJECT","2010-09-07","2011-08-31",0,0,0,0,"2012-01-23","DELP0000006",NA,"SAI NOT AVAILABLE",98500000,98500000,0,0,0,14859,2010,"2011-08-31","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LDRLE925EP23","832515188","NGP BLUE MOUNTAIN I LLC",NA,NA,NA,NA,NA,NA,"220 - 1755 E PLUMB LN",NA,"94910","WINNEMUCCA (CCD)","3213.0","HUMBOLDT","32","NV","NEVADA","89445","0000","NV-02","NV-02","SINGLE ZIP CODE",NA,NA,"3294910","WINNEMUCCA",NA,NA,"32","NEVADA","894450001","NV-02",NA,"81.126","TAS::89 4486::TAS RECOVERY  NGP BLUE MOUNTAIN I LLC LOAN NUMBER F1001  GEOTHERMAL PROJECT","REC",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","C",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000006_8900/","2012-01-23","FY2010_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000009_8900","VEHICLE PRODUCTION GROUP LLC, THE",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","TAS::89 4579::TAS THE VEHICLE PRODUCTION GROUP, LLC LOAN NUMBER A1007","2010-11-23","2015-11-30",0,49962446,0,0,"2014-04-29","DELP0000009",NA,"NO SAI NUMBER AVAIL",0,-477500,0,0,0,14936,2011,"2015-11-30","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"Q5KJU3XEC4P4","788877350","VEHICLE PRODUCTION GROUP LLC, THE",NA,NA,NA,NA,NA,NA,"333 REPUBLIC DR",NA,"80680","TROY","26123.0","NEWAYGO","26","MI","MICHIGAN","48083","0000","MI-09","MI-11","SINGLE ZIP CODE",NA,NA,"1849932","MISHAWAKA",NA,NA,"18","INDIANA","465441200","IN-02",NA,"81.126000000000005","TAS::89 4579::TAS THE VEHICLE PRODUCTION GROUP, LLC LOAN NUMBER A1007","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000009_8900/","2014-04-29","FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000010_8900","ABOUND SOLAR MANUFACTURING, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS RECOVERY  ABOUND SOLAR MANUFACTURING LLC","2010-12-09","2015-12-08",0,0,0,0,"2015-02-18","DELP0000010",NA,"SAI NOT AVAILABLE",0,0,0,0,0,NA,NA,"2015-12-08","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LGJJJ28V16E5","829321038","ABOUND SOLAR MANUFACTURING, LLC",NA,NA,NA,NA,NA,NA,NA,NA,"46465","LOVELAND","0869.0","LARIMER","08","CO","COLORADO","80538","9074","CO-04","CO-04","SINGLE ZIP CODE",NA,NA,"0845970","LONGMONT",NA,NA,"08","COLORADO",NA,"CO-04",NA,"81.126000000000005",NA,"REC",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000010_8900/",NA,NA
"ASST_NON_DELP0000013_8900","CAITHNESS SHEPHERDS FLAT, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","CAITHNESS SHEPHERDS FLAT, LLC LOAN","2010-12-16","2040-12-15",38662668,1314205000,0,0,"2019-02-04","DELP0000013",NA,"NO SAI AVAILABLE",0,0,0,1314205000,38662668,17927,2019,"2040-12-15","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","DBQCBJALZ9B5","781099986","CAITHNESS SHEPHERDS FLAT",NA,NA,NA,NA,"USA","UNITED STATES","C/O CAITHNESS CORPORATION","565 5TH AVE., 29TH FLOOR","51000","NEW YORK","36061","NEW YORK","36","NY","NEW YORK","10017","2413","NY-14","NY-12","County-wide","USA","UNITED STATES","OR**021",NA,"41021","GILLIAM","41","OREGON",NA,"OR-02","OR-02","81.126000000000005","CHANGING POP OF STRIPES DOCUMENT","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"C","REVISION","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000013_8900/","2019-02-04","FY2019_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000014_8900","ARIZONA SOLAR ONE LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","ARIZONA SOLAR ONE, LLC LOAN","2010-12-22","2040-12-21",184291598.66,1359082586,0,0,"2022-02-07","DELP0000014",NA,NA,0,0,0,1359082586,184291598.66,19018,2022,"2040-12-21","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","NXJBFV27ZYR8","965442358","ARIZONA SOLAR ONE LLC","LVKSMXJNTJH1","219801584",NA,NA,"USA","UNITED STATES","4505 E CHANDLER BLVD STE 120",NA,"55000","PHOENIX","04013","MARICOPA","04","AZ","ARIZONA","85048","7687","AZ-05","AZ-04","CITY-WIDE","USA","UNITED STATES","AZ99013","MARICOPA COUNTY","04013","MARICOPA","04","ARIZONA","CITY-WIDE","AZ-05",NA,"81.126000000000005","UPDATING PERIOD OF PERFORMANCE OF STRIPES DOCUMENT","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"B","CONTINUATION","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000014_8900/","2022-02-07","FY2022_089_Assistance_Full_20230910_1.csv"
