"project_name","assistance_award_unique_key","recipient_name","transaction_count","cfda_num","cfda_title","assistance_type_code","assistance_type_description","prime_award_base_transaction_description","period_of_performance_start_date","initial_period_of_performance_current_end_date","original_loan_subsidy_cost","face_value_of_loan","non_federal_funding_amount","indirect_cost_federal_share_amount","max_last_modified_date","award_id_fain","award_id_uri","sai_number","federal_action_obligation","total_obligated_amount","total_non_federal_funding_amount","total_face_value_of_loan","total_loan_subsidy_cost","action_date","Fiscal_Year","awarding_agency_code","awarding_agency_name","awarding_sub_agency_code","awarding_sub_agency_name","awarding_office_code","awarding_office_name","funding_agency_code","funding_sub_agency_code","funding_sub_agency_name","funding_office_code","funding_office_name","recipient_uei","recipient_duns","recipient_name_raw","recipient_parent_uei","recipient_parent_duns","recipient_parent_name","recipient_parent_name_raw","recipient_country_code","recipient_country_name","recipient_address_line_1","recipient_address_line_2","recipient_city_code","recipient_city_name","prime_award_transaction_recipient_county_fips_code","recipient_county_name","prime_award_transaction_recipient_state_fips_code","recipient_state_code","recipient_state_name","recipient_zip_code","recipient_zip_last_4_code","prime_award_transaction_recipient_cd_original","prime_award_transaction_recipient_cd_current","primary_place_of_performance_scope","primary_place_of_performance_country_code","primary_place_of_performance_country_name","primary_place_of_performance_code","primary_place_of_performance_city_name","prime_award_transaction_place_of_performance_county_fips_code","primary_place_of_performance_county_name","prime_award_transaction_place_of_performance_state_fips_code","primary_place_of_performance_state_name","primary_place_of_performance_zip_4","prime_award_transaction_place_of_performance_cd_original","prime_award_transaction_place_of_performance_cd_current","cfda_number","transaction_description","business_funds_indicator_code","business_funds_indicator_description","business_types_code","business_types_description","correction_delete_indicator_code","correction_delete_indicator_description","action_type_code","action_type_description","record_type_code","record_type_description","usaspending_permalink","last_modified_date","energy_innovation_category","project_url","Loan_Type","Loan_Amount","Loan_Status","Issuance_Date","Date_Repaid","Project_Statement","GAO_comments"
"1366 Technologies, Inc.","ASST_NON_DELP0000043_8900","CUBICPV INC",4,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0208::TAS  1366 TECHNOLOGIES, INC  LOAN NUMBER 1270","2011-09-01","2016-08-31",78833242,0,0,0,"2018-03-20","DELP0000043",NA,"SAI NOT AVAILABLE",0,0,0,0,78833242,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"PJ8ADGQ1HCP3","800572237","1366 TECHNOLOGIES INC.","PJ8ADGQ1HCP3","800572237","CUBICPV INC","1366 TECHNOLOGIES INC.",NA,NA,NA,NA,NA,NA,NA,"MIDDLESEX","25","MA","MASSACHUSETTS","02421","3102",NA,"MA-05",NA,NA,NA,NA,NA,NA,NA,"25","MASSACHUSETTS",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000043_8900/",NA,"Solar Manufacturing","https://www.energy.gov/eere/success-stories/articles/eere-success-story-silicon-solar-wafers-enter-new-dimension","","143,000,000","PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT","9/8/2011","N/A","",""
"AES Energy Storage Westover, LLC","ASST_NON_DELP0000015_8900","AES ES WESTOVER, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","AES ES WESTOVER, LLC","2010-12-22","2015-12-21",0,0,0,0,"2014-10-02","DELP0000015",NA,"SAI NOT AVAILABLE",0,0,0,0,0,15324,2012,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LMEKHZX68J83","961573883","AES ES WESTOVER, LLC",NA,NA,NA,NA,NA,NA,"4300 WILSON BLVD",NA,"82080","VIRGINIA HEIGHTS","5113.0","ARLINGTON","51","VA","VIRGINIA","22203","4168","VA-08","VA-08","SINGLE ZIP CODE",NA,NA,"5190072","ARLINGTON",NA,NA,"51","VIRGINIA","222034168","VA-08",NA,"81.126000000000005","AES ES WESTOVER, LLC","NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000015_8900/","2014-10-02","Storage","https://energycentral.com/c/ec/doe-completes-17-million-loan-guarantee-new-york-energy-storage-system","","17,000,000","PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT","12/22/2010","N/A","","Withdrew prior to drawing"
"Abengoa Bioenergy","ASST_NON_DELP0000055_8900","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC LOAN NUMBER 1209","2011-09-28","2016-09-27",33232212,127375287,0,0,"2014-10-02","DELP0000055",NA,"SAI NOT AVAILABLE",0,0,0,127375287,33232212,15245,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"U19JMDVZ5FK8","782435874","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC",NA,NA,NA,NA,NA,NA,"16150 MAIN CIRCLE DRIVE","SUITE 200, CARE OF: CARL LAFOY","33425","HUGOTON","20189.0","STEVENS","20","KS","MISSOURI","63017","8520","KS-01","KS-02",NA,NA,NA,"20**189","HUGOTON","20189",NA,"20","KANSAS","67951",NA,NA,"81.126000000000005","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC LOAN NUMBER 1209","NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000055_8900/","2014-10-02","Biofuels","https://www.energy.gov/lpo/abengoa-bioenergy","Loan Guarantee","$132,000,000","Repaid","Sep-11","Mar-15","N/A",""
"Abound Solar","ASST_NON_DELP0000010_8900","ABOUND SOLAR MANUFACTURING, LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS RECOVERY  ABOUND SOLAR MANUFACTURING LLC","2010-12-09","2015-12-08",0,0,0,0,"2015-02-18","DELP0000010",NA,"SAI NOT AVAILABLE",0,0,0,0,0,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LGJJJ28V16E5","829321038","ABOUND SOLAR MANUFACTURING, LLC",NA,NA,NA,NA,NA,NA,NA,NA,"46465","LOVELAND","0869.0","LARIMER","08","CO","COLORADO","80538","9074","CO-04","CO-04","SINGLE ZIP CODE",NA,NA,"0845970","LONGMONT",NA,NA,"08","COLORADO",NA,"CO-04",NA,"81.126000000000005",NA,"REC","Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000010_8900/",NA,"Solar Manufacturing","https://www.cnet.com/science/doe-backed-abound-solar-cuts-factory-line/","","370,000,000","Discontinued Projects","12/9/2010","N/A","","Defaulted/bankrupt b"
"Advanced Clean Energy Storage","ASST_NON_DELP0000138_8900","ADVANCED CLEAN ENERGY STORAGE I, LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","ADVANCED CLEAN ENERGY STORAGE I, LLC","2022-06-03","2052-06-02",52902544.89,1440308872.71,0,0,"2022-10-04","DELP0000138",NA,NA,0,0,0,1920411830.28,70536726.52,NA,2022,"089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","MQ1MBY9W4757",NA,"ADVANCED CLEAN ENERGY STORAGE I, LLC",NA,NA,NA,NA,"USA","UNITED STATES","3165 E MILLROCK DR STE 330",NA,"67000","SALT LAKE CITY","49035","SALT LAKE","49","UT","UTAH","84121","4770","UT-03","UT-03","CITY-WIDE","USA","UNITED STATES","UT36070","HOLLADAY","49035","SALT LAKE","49","UTAH","CITY-WIDE","UT-02","UT-03","81.126000000000005","ADVANCED CLEAN ENERGY STORAGE I, LLC","NON","Not Recovery Act","X","OTHER",NA,NA,NA,NA,"2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000138_8900/",NA,"Hydrogen","https://www.energy.gov/lpo/advanced-clean-energy-storage","Loan Guarantee","$504,000,000","Active","Jun-22","N/A","Nation's largest hydrogen production and storage facility capable of providing long-term seasonal energy storage.",""
"Agua Caliente","ASST_NON_DELP0000035_8900","AGUA CALIENTE SOLAR, LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4576::TAS  AGUA CALIENTE SOLAR, LLC  LOAN NUMBER 1170","2011-08-04","2016-08-03",71654700,9.67e+08,0,0,"2017-07-05","DELP0000035",NA,"SAI NOT AVAILABLE",0,0,0,9.67e+08,71654700,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"Q7BZPFSS6LK2","832747971","AGUA CALIENTE SOLAR, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000035_8900/",NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/lpo/agua-caliente","Loan Guarantee","$967,000,000","Active","Aug-11","N/A","By harnessing Arizona's abundant sunlight, Agua Caliente is demonstrating that photovoltaic solar can go big in the U.S.","funds"
"Alamosa","ASST_NON_DELP0000044_8900","KEPCO SOLAR OF ALAMOSA LLC",4,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0208::TAS  COGENTRIX OF ALAMOSA, LLC LOAN NUMBER 1232","2011-09-02","2016-09-01",26527178,173267004,0,0,"2017-07-05","DELP0000044",NA,"SAI NOT AVAILABLE",0,0,0,173267004,26527178,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"R14DT4NGWU54","961536468","COGENTRIX OF ALAMOSA, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08","COLORADO",NA,"CO-03",NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000044_8900/",NA,"Renewable Energy (Concentrating Solar Power)","https://www.energy.gov/lpo/alamosa","","89,000,000","Discontinued Projects","9/9/2011","N/A","",""
"Alcoa","ASST_NON_DELP0000111_8900","ARCONIC INC.",2,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"ALCOA LOAN","2015-03-24","2020-03-23",0,2.59e+08,0,0,"2017-04-20","DELP0000111",NA,"NO SAI NUMBER",0,0,0,2.59e+08,0,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"KGKLV43K3JK3","792796930",NA,"JHWNUX2YXN31","001339472","ALCOA EXTRUSIONS, INC.","ALCOA EXTRUSIONS, INC.",NA,NA,"100 TECHNICAL DR",NA,NA,"NEW KENSINGTON",NA,"WESTMORELAND","42","PA","PENNSYLVANIA",NA,NA,NA,"PA-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000111_8900/",NA,"Advanced Vehicles & Components","https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/metals/032615-us-department-of-energy-lines-up-loan-for-alcoa-aluminum-plant-in-tennessee","","","INACTIVE CONDITIONAL COMMITMENTS�","","N/A","",""
"Antelope Valley Solar Ranch","ASST_NON_DELP0000054_8900","AV SOLAR RANCH 1 LLC",8,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0209::TAS  AV SOLAR RANCH I, LLC LOAN NUMBER 1166","2011-09-27","2016-09-26",48320800,1.292e+09,0,0,"2017-07-05","DELP0000054",NA,"SAI NOT AVAILABLE",0,0,0,1.292e+09,48320800,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"GRWVG3NP66A9","832213339","AV SOLAR RANCH 1, LLC","RQNMMKNVVES8","001807150","EXELON CORPORATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000054_8900/",NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/lpo/antelope-valley-solar-ranch","Loan Guarantee","$646,000,000","Active","Sep-11","N/A","By scaling up innovative inverter technology, Antelope Valley Solar Ranch demonstrates that utility-scale photovoltaic solar can reliably deliver electricity.",""
"Blue Mountain","ASST_NON_DELP0000006_8900","NGP BLUE MOUNTAIN I LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",11,"Other Financial Assistance","TAS::89 4486::TAS RECOVERY  NGP BLUE MOUNTAIN I LLC LOAN NUMBER F1001  GEOTHERMAL PROJECT","2010-09-07","2011-08-31",0,0,0,0,"2012-01-23","DELP0000006",NA,"SAI NOT AVAILABLE",98500000,98500000,0,0,0,14859,2010,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LDRLE925EP23","832515188","NGP BLUE MOUNTAIN I LLC",NA,NA,NA,NA,NA,NA,"220 - 1755 E PLUMB LN",NA,"94910","WINNEMUCCA (CCD)","3213.0","HUMBOLDT","32","NV","NEVADA","89445","0000","NV-02","NV-02","SINGLE ZIP CODE",NA,NA,"3294910","WINNEMUCCA",NA,NA,"32","NEVADA","894450001","NV-02",NA,"81.126","TAS::89 4486::TAS RECOVERY  NGP BLUE MOUNTAIN I LLC LOAN NUMBER F1001  GEOTHERMAL PROJECT","REC","Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","C",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000006_8900/","2012-01-23","Renewable Energy (Geothermal)","https://www.energy.gov/lpo/blue-mountain","Partial Loan Guarantee","$98,000,000","Repaid","Sep-10","Mar-22","The state-of-the-art Blue Mountain plant is helping Nevada use its geothermal resources to meet its clean energy goals.",""
