assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation.x,total_obligated_amount.x,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,federal_action_obligation.y,total_obligated_amount.y,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech
7300_14E0105900670001_14E01059006700012014JAN1131_59.016_-NONE-,ASST_NON_14E0105900670001_7300,14E0105900670001,NA,14E01059006700012014JAN1131,SAI NOT AVAILABLE,297225,297225,NA,NA,127382,127382,0,0,0,0,NA,NA,NA,NA,NA,2014-01-03,2014,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MFDMYZ6NLE86,015970569,"JEFF PLOUTZ CONSTRUCTION, INC.","JEFF PLOUTZ CONSTRUCTION, INC.",MFDMYZ6NLE86,015970569,"JEFF PLOUTZ CONSTRUCTION, INC.","JEFF PLOUTZ CONSTRUCTION, INC.",USA,UNITED STATES,NA,NA,00000,SANTA MARIA,06083,SANTA BARBARA,06,CA,CALIFORNIA,93455,0000,CA-24,CA-24,NA,NA,NA,NA,USA,UNITED STATES,06**083,NA,06083,SANTA BARBARA,06,CALIFORNIA,000000000,CA-24,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"MARINE BIOTECHNOLOGY LAB REMODEL, BLDG. 555","MARINE BIOTECHNOLOGY LAB REMODEL, BLDG. 555",NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_14E0105900670001_7300/,2014-02-12,FY2014_073_Assistance_Full_20230909_1.csv,297225,297225,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8300_07087586XX0004_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0004_8300,07087586XX0004,NA,NA,SAI EXEMPT,0,0,NA,NA,0,0,618751,-73384,618751,-73384,NA,NA,NA,NA,NA,2013-11-01,2014,NA,2016-04-26,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,NA,NA,NA,NA,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",NA,FORGN,RAMAT GAN,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,07,NA,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_07087586XX0004_8300/,2015-09-29,FY2014_083_Assistance_Full_20230909_1.csv,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
8300_09531639ST1001_-NONE-_31.007_-NONE-,ASST_NON_09531639ST1001_8300,09531639ST1001,NA,NA,SAI EXEMPT,1300000,1300000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2012-04-24,2012,2012-07-01,2013-07-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ6KRPZT2L46,062216643,SHARCO INTERNATIONAL CORPORATION,SHARCO INTERNATIONAL CORPORATION,NA,NA,NA,NA,USA,UNITED STATES,2100 SANDERS RD,STE 116,53481,NORTHBROOK,17031,COOK,17,IL,ILLINOIS,60062,6139,IL-10,IL-10,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,1753481,NORTHBROOK,17031,COOK,17,IL,600626139,IL-10,IL-10,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,EXPORT INSURANCE COVERED PRODUCTS: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND,EXPORT INSURANCE COVERED PRODUCTS: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND,NON,NA,R,SMALL BUSINESS,C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09531639ST1001_8300/,2014-04-25,FY2012_083_Assistance_Full_20230908_1.csv,1300000,1300000,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
8300_07087586XX0002_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0002_8300,07087586XX0002,NA,NA,SAI EXEMPT,0,0,NA,NA,0,0,3914304,-506120,3914304,-506120,NA,NA,NA,NA,NA,2013-08-23,2013,NA,2016-04-26,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,NA,NA,NA,NA,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",NA,FORGN,RAMAT GAN,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,07,NA,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_07087586XX0002_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
8300_07087586XX0003_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0003_8300,07087586XX0003,NA,NA,SAI EXEMPT,0,0,NA,NA,0,0,3019237,-390387,3019237,-390387,NA,NA,NA,NA,NA,2013-08-23,2013,NA,2024-09-25,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,NA,NA,NA,NA,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",NA,FORGN,RAMAT GAN,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,07,NA,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_07087586XX0003_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
8300_07087586XX0001_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0001_8300,07087586XX0001,NA,NA,SAI EXEMPT,0,0,NA,NA,0,0,98503010,-12736439,98503010,-12736439,NA,NA,NA,NA,NA,2013-08-23,2013,NA,2024-09-25,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,NA,NA,NA,NA,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",NA,FORGN,RAMAT GAN,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,07,NA,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_07087586XX0001_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
8300_09563306ST1001_-NONE-_31.007_-NONE-,ASST_NON_09563306ST1001_8300,09563306ST1001,NA,NA,SAI EXEMPT,100000,100000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2013-04-22,2013,2013-07-01,2014-07-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VWB7LJL8LVK6,023908083,"CONVERSANT HEALTHCARE SYSTEMS, INC.","CONVERSANT HEALTHCARE SYSTEMS, INC.",NA,NA,NA,NA,USA,UNITED STATES,601 GENOME WAY,STE 1200,37000,HUNTSVILLE,01089,MADISON,01,AL,ALABAMA,35806,2909,AL-05,AL-05,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0137000,HUNTSVILLE,01089,MADISON,01,AL,358062909,AL-05,AL-05,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,NON,NA,R,SMALL BUSINESS,C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09563306ST1001_8300/,2014-04-25,FY2013_083_Assistance_Full_20230908_1.csv,500000,500000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8300_09557895ST1001_-NONE-_31.007_-NONE-,ASST_NON_09557895ST1001_8300,09557895ST1001,NA,NA,SAI EXEMPT,1000000,1000000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2013-04-17,2013,2013-05-01,2014-05-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M8JFH3G9LC45,062751995,WILLIAMSON ASSOCIATES INC,WILLIAMSON & ASSOCIATES INC.,M8JFH3G9LC45,062751995,WILLIAMSON ASSOCIATES INC,WILLIAMSON ASSOCIATES INC,USA,UNITED STATES,1124 NW 53RD ST,NA,63000,SEATTLE,53033,KING,53,WA,WASHINGTON,98107,3735,WA-07,WA-07,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,5363000,SEATTLE,53033,KING,53,WA,981073735,WA-07,WA-07,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,"EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NON,NA,R,SMALL BUSINESS,C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09557895ST1001_8300/,2014-04-25,FY2013_083_Assistance_Full_20230908_1.csv,2150000,2150000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8300_09563306ST1002_-NONE-_31.007_-NONE-,ASST_NON_09563306ST1002_8300,09563306ST1002,NA,NA,SAI EXEMPT,100000,100000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2014-06-11,2014,2014-07-01,2015-07-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VWB7LJL8LVK6,023908083,"CONVERSANT HEALTHCARE SYSTEMS, INC.","CONVERSANT HEALTHCARE SYSTEMS, INC.",NA,NA,NA,NA,USA,UNITED STATES,601 GENOME WAY,STE 1200,37000,HUNTSVILLE,01089,MADISON,01,AL,ALABAMA,35806,2909,AL-05,AL-05,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,0137000,HUNTSVILLE,01089,MADISON,01,AL,358062909,AL-05,AL-05,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,NON,NA,R,SMALL BUSINESS,NA,NA,B,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09563306ST1002_8300/,2014-07-16,FY2014_083_Assistance_Full_20230909_1.csv,500000,500000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8300_09592588ST1001_-NONE-_31.007_-NONE-,ASST_NON_09592588ST1001_8300,09592588ST1001,NA,NA,SAI EXEMPT,300000,300000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2014-05-05,2014,2014-05-01,2015-05-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HTD2FC64VXM6,170301464,INTEGRATED TECHNOLOGIES & SERVICES INTERNATIONAL LLC,INTEGRATED TECHNOLOGIES & SERVICES INTERNATIO,NA,NA,NA,NA,USA,UNITED STATES,633 NAPOLEON ST,NA,38288,JOHNSTOWN,42021,CAMBRIA,42,PA,PENNSYLVANIA,15901,2615,PA-12,PA-13,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,4238288,JOHNSTOWN,42021,CAMBRIA,42,PA,159012615,PA-12,PA-13,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09592588ST1001_8300/,2014-07-02,FY2014_083_Assistance_Full_20230909_1.csv,500000,500000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
