"","Dur.Simple","Ceil.Simple","StartFY","Term","Action.Obligation","Count","metric"
"1","(~1 year,~2 years]","0k - <100k",2007,"Unterminated",1536572109.5435,29978,"Contracts within Period"
"2","(~1 year,~2 years]","0k - <100k",2007,"Complete or Partial Termination",7859329.5897,487,"Contracts within Period"
"3","(~1 year,~2 years]","0k - <100k",2008,"Unterminated",2239414285.0889,34187,"Contracts within Period"
"4","(~1 year,~2 years]","0k - <100k",2008,"Complete or Partial Termination",26807387.0181,843,"Contracts within Period"
"5","(~1 year,~2 years]","0k - <100k",2009,"Unterminated",1134050540.9014,30329,"Contracts within Period"
"6","(~1 year,~2 years]","0k - <100k",2009,"Complete or Partial Termination",546994170.9129,1279,"Contracts within Period"
"7","(~1 year,~2 years]","0k - <100k",2010,"Unterminated",1779150138.8613,29763,"Contracts within Period"
"8","(~1 year,~2 years]","0k - <100k",2010,"Complete or Partial Termination",18129524.9083,830,"Contracts within Period"
"9","(~1 year,~2 years]","0k - <100k",2011,"Unterminated",1324161317.7523,32177,"Contracts within Period"
"10","(~1 year,~2 years]","0k - <100k",2011,"Complete or Partial Termination",9930640.1064,971,"Contracts within Period"
"11","(~1 year,~2 years]","0k - <100k",2012,"Unterminated",2059938623.2682,30663,"Contracts within Period"
"12","(~1 year,~2 years]","0k - <100k",2012,"Complete or Partial Termination",7783427.1433,693,"Contracts within Period"
"13","(~1 year,~2 years]","0k - <100k",2013,"Unterminated",881267064.5596,26479,"Contracts within Period"
"14","(~1 year,~2 years]","0k - <100k",2013,"Complete or Partial Termination",4833685.8071,751,"Contracts within Period"
"15","(~1 year,~2 years]","0k - <100k",2014,"Unterminated",820757056.0929,29179,"Contracts within Period"
"16","(~1 year,~2 years]","0k - <100k",2014,"Complete or Partial Termination",4426688.2094,732,"Contracts within Period"
"17","(~1 year,~2 years]","0k - <100k",2015,"Unterminated",963786069.7934,37667,"Contracts within Period"
"18","(~1 year,~2 years]","0k - <100k",2015,"Complete or Partial Termination",8442568.8304,959,"Contracts within Period"
"19","(~1 year,~2 years]","0k - <100k",2016,"Unterminated",709252920.2404,31961,"Contracts within Period"
"20","(~1 year,~2 years]","0k - <100k",2016,"Complete or Partial Termination",2556198.9138,709,"Contracts within Period"
"21","(~1 year,~2 years]","100k - <10m",2007,"Unterminated",28597431749.0074,21566,"Contracts within Period"
"22","(~1 year,~2 years]","100k - <10m",2007,"Complete or Partial Termination",524789645.3093,509,"Contracts within Period"
"23","(~1 year,~2 years]","100k - <10m",2008,"Unterminated",30894007596.1866,22329,"Contracts within Period"
"24","(~1 year,~2 years]","100k - <10m",2008,"Complete or Partial Termination",517074727.3035,876,"Contracts within Period"
"25","(~1 year,~2 years]","100k - <10m",2009,"Unterminated",30612193599.4274,21878,"Contracts within Period"
"26","(~1 year,~2 years]","100k - <10m",2009,"Complete or Partial Termination",359594521.8134,727,"Contracts within Period"
"27","(~1 year,~2 years]","100k - <10m",2010,"Unterminated",30954112134.2078,21415,"Contracts within Period"
"28","(~1 year,~2 years]","100k - <10m",2010,"Complete or Partial Termination",509708097.9914,669,"Contracts within Period"
"29","(~1 year,~2 years]","100k - <10m",2011,"Unterminated",31618638453.2944,23630,"Contracts within Period"
"30","(~1 year,~2 years]","100k - <10m",2011,"Complete or Partial Termination",555850315.4361,622,"Contracts within Period"
"31","(~1 year,~2 years]","100k - <10m",2012,"Unterminated",29738742942.3952,22714,"Contracts within Period"
"32","(~1 year,~2 years]","100k - <10m",2012,"Complete or Partial Termination",779617288.7448,641,"Contracts within Period"
"33","(~1 year,~2 years]","100k - <10m",2013,"Unterminated",21992004021.3818,18119,"Contracts within Period"
"34","(~1 year,~2 years]","100k - <10m",2013,"Complete or Partial Termination",383115294.0202,504,"Contracts within Period"
"35","(~1 year,~2 years]","100k - <10m",2014,"Unterminated",20808814016.8652,18379,"Contracts within Period"
"36","(~1 year,~2 years]","100k - <10m",2014,"Complete or Partial Termination",164758032.336,431,"Contracts within Period"
"37","(~1 year,~2 years]","100k - <10m",2015,"Unterminated",19249485510.7602,18509,"Contracts within Period"
"38","(~1 year,~2 years]","100k - <10m",2015,"Complete or Partial Termination",176504657.8441,405,"Contracts within Period"
"39","(~1 year,~2 years]","100k - <10m",2016,"Unterminated",8830318725.5654,10080,"Contracts within Period"
"40","(~1 year,~2 years]","100k - <10m",2016,"Complete or Partial Termination",43261756.0252,188,"Contracts within Period"
"41","(~1 year,~2 years]","10m+",2007,"Unterminated",46941636348.8284,1155,"Contracts within Period"
"42","(~1 year,~2 years]","10m+",2007,"Complete or Partial Termination",3532952074.7414,31,"Contracts within Period"
"43","(~1 year,~2 years]","10m+",2008,"Unterminated",59808644489.1407,1414,"Contracts within Period"
"44","(~1 year,~2 years]","10m+",2008,"Complete or Partial Termination",3760403141.5299,43,"Contracts within Period"
"45","(~1 year,~2 years]","10m+",2009,"Unterminated",61723077935.3221,1326,"Contracts within Period"
"46","(~1 year,~2 years]","10m+",2009,"Complete or Partial Termination",3199216514.0151,62,"Contracts within Period"
"47","(~1 year,~2 years]","10m+",2010,"Unterminated",52942951728.2041,1295,"Contracts within Period"
"48","(~1 year,~2 years]","10m+",2010,"Complete or Partial Termination",663824382.2444,40,"Contracts within Period"
"49","(~1 year,~2 years]","10m+",2011,"Unterminated",55258239936.8081,1503,"Contracts within Period"
"50","(~1 year,~2 years]","10m+",2011,"Complete or Partial Termination",560736472.452,47,"Contracts within Period"
"51","(~1 year,~2 years]","10m+",2012,"Unterminated",45441304041.4471,1245,"Contracts within Period"
"52","(~1 year,~2 years]","10m+",2012,"Complete or Partial Termination",3935850991.3044,67,"Contracts within Period"
"53","(~1 year,~2 years]","10m+",2013,"Unterminated",26501397185.7817,783,"Contracts within Period"
"54","(~1 year,~2 years]","10m+",2013,"Complete or Partial Termination",547967661.8954,46,"Contracts within Period"
"55","(~1 year,~2 years]","10m+",2014,"Unterminated",17585301063.2105,667,"Contracts within Period"
"56","(~1 year,~2 years]","10m+",2014,"Complete or Partial Termination",255930823.4133,25,"Contracts within Period"
"57","(~1 year,~2 years]","10m+",2015,"Unterminated",16096469898.9078,562,"Contracts within Period"
"58","(~1 year,~2 years]","10m+",2015,"Complete or Partial Termination",85907457.514,120,"Contracts within Period"
"59","(~1 year,~2 years]","10m+",2016,"Unterminated",7743328287.1749,276,"Contracts within Period"
"60","(~1 year,~2 years]","10m+",2016,"Complete or Partial Termination",1138205.4062,12,"Contracts within Period"
"61","(~2 years+]","0k - <100k",2007,"Unterminated",1967825407.5785,6714,"Contracts within Period"
"62","(~2 years+]","0k - <100k",2007,"Complete or Partial Termination",9188954.7467,332,"Contracts within Period"
"63","(~2 years+]","0k - <100k",2008,"Unterminated",519819979.4425,5965,"Contracts within Period"
"64","(~2 years+]","0k - <100k",2008,"Complete or Partial Termination",99072646.7131,127,"Contracts within Period"
"65","(~2 years+]","0k - <100k",2009,"Unterminated",1017521421.3269,4138,"Contracts within Period"
"66","(~2 years+]","0k - <100k",2009,"Complete or Partial Termination",17247714.5212,99,"Contracts within Period"
"67","(~2 years+]","0k - <100k",2010,"Unterminated",394562996.7514,4898,"Contracts within Period"
"68","(~2 years+]","0k - <100k",2010,"Complete or Partial Termination",5154226.6141,211,"Contracts within Period"
"69","(~2 years+]","0k - <100k",2011,"Unterminated",397475410.7883,6435,"Contracts within Period"
"70","(~2 years+]","0k - <100k",2011,"Complete or Partial Termination",2111624.8532,140,"Contracts within Period"
"71","(~2 years+]","0k - <100k",2012,"Unterminated",177210997.0953,6465,"Contracts within Period"
"72","(~2 years+]","0k - <100k",2012,"Complete or Partial Termination",4136311.6036,151,"Contracts within Period"
"73","(~2 years+]","0k - <100k",2013,"Unterminated",73125935.6136,2784,"Contracts within Period"
"74","(~2 years+]","0k - <100k",2013,"Complete or Partial Termination",1331154.3636,80,"Contracts within Period"
"75","(~2 years+]","0k - <100k",2014,"Unterminated",87080740.7293,3378,"Contracts within Period"
"76","(~2 years+]","0k - <100k",2014,"Complete or Partial Termination",927120.8011,78,"Contracts within Period"
"77","(~2 years+]","0k - <100k",2015,"Unterminated",32431292.5081,1418,"Contracts within Period"
"78","(~2 years+]","0k - <100k",2015,"Complete or Partial Termination",173588.6891,31,"Contracts within Period"
"79","(~2 years+]","100k - <10m",2007,"Unterminated",10664494885.2364,5270,"Contracts within Period"
"80","(~2 years+]","100k - <10m",2007,"Complete or Partial Termination",179080089.5269,447,"Contracts within Period"
"81","(~2 years+]","100k - <10m",2008,"Unterminated",9362440365.9528,4803,"Contracts within Period"
"82","(~2 years+]","100k - <10m",2008,"Complete or Partial Termination",144951138.3478,122,"Contracts within Period"
"83","(~2 years+]","100k - <10m",2009,"Unterminated",8992986850.6926,4974,"Contracts within Period"
"84","(~2 years+]","100k - <10m",2009,"Complete or Partial Termination",120358958.1434,127,"Contracts within Period"
"85","(~2 years+]","100k - <10m",2010,"Unterminated",9366558852.6567,5114,"Contracts within Period"
"86","(~2 years+]","100k - <10m",2010,"Complete or Partial Termination",236154510.8356,185,"Contracts within Period"
"87","(~2 years+]","100k - <10m",2011,"Unterminated",8913072580.7672,4986,"Contracts within Period"
"88","(~2 years+]","100k - <10m",2011,"Complete or Partial Termination",205724424.1833,180,"Contracts within Period"
"89","(~2 years+]","100k - <10m",2012,"Unterminated",7301010976.4414,4288,"Contracts within Period"
"90","(~2 years+]","100k - <10m",2012,"Complete or Partial Termination",153750871.5676,170,"Contracts within Period"
"91","(~2 years+]","100k - <10m",2013,"Unterminated",4379803387.6203,2840,"Contracts within Period"
"92","(~2 years+]","100k - <10m",2013,"Complete or Partial Termination",46518857.8796,89,"Contracts within Period"
"93","(~2 years+]","100k - <10m",2014,"Unterminated",3405456230.023,2379,"Contracts within Period"
