Contract_FYear_Agency_2017_2020

"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Dollars Obligated","Number of Actions","Number of Records","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value"
"2018","0300","LIBRARY OF CONGRESS","0300","LIBRARY OF CONGRESS","$21,500.00","14","14","$519,000,001.00","$0.00"
"2018","0500","GOVERNMENT ACCOUNTABILITY OFFICE","0559","GAO, EXCEPT COMPTROLLER GENERAL","$63,303,379.09","560","560","$77,514,918.75","$61,986,854.57"
"2018","1100","EXECUTIVE OFFICE OF THE PRESIDENT","1100","EXECUTIVE OFFICE OF THE PRESIDENT","$72,540,548.35","863","858","$91,234,841.10","$73,446,708.71"
"2018","1145","PEACE CORPS","1145","PEACE CORPS","$113,105,531.36","20,600","903","$302,817,947.05","$112,731,153.59"
"2018","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","$24,930,647.07","330","330","$34,769,348.98","$24,930,647.07"
"2018","1200","AGRICULTURE, DEPARTMENT OF","1204","OFFICE OF INSPECTOR GENERAL","$8,411,798.27","240","240","$8,557,398.83","$8,488,063.35"
"2018","1200","AGRICULTURE, DEPARTMENT OF","1205","USDA, DEPARTMENTAL ADMINISTRATION","$692,515,278.35","3,573","3,570","$394,114,000.61","$669,090,976.11"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12C2","FOREST SERVICE","$2,023,056,871.58","52,641","42,838","$4,823,909,303.62","$1,570,160,528.05"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12C3","NATURAL RESOURCES CONSERVATION SERVICE","$129,778,462.45","3,370","3,369","$578,360,821.90","$129,253,003.65"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12D2","FARM SERVICE AGENCY","$674,564,251.65","2,321","2,305","$890,627,249.82","$678,970,134.61"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12E3","RURAL HOUSING SERVICE","$123,942,140.91","10,626","10,440","$425,047,977.07","$126,633,471.60"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12F2","FOOD AND NUTRITION SERVICE","$129,829,926.26","566","566","$439,820,966.63","$116,848,656.47"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12G2","FOOD SAFETY AND INSPECTION SERVICE","$62,157,153.31","632","632","$194,283,874.00","$62,133,012.62"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12H2","AGRICULTURAL RESEARCH SERVICE","$266,650,918.32","6,823","6,818","$690,788,615.67","$264,554,456.78"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12K2","AGRICULTURAL MARKETING SERVICE","$2,202,774,383.71","2,453","2,453","$2,881,835,869.55","$1,964,061,275.71"
"2018","1200","AGRICULTURE, DEPARTMENT OF","12K3","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","$179,718,732.24","4,846","4,841","$389,535,186.73","$188,866,346.14"
"2018","1300","COMMERCE, DEPARTMENT OF","1301","OFFICE OF THE SECRETARY","$266,048,472.88","2,510","2,504","$1,055,125,899.55","$299,914,512.62"
"2018","1300","COMMERCE, DEPARTMENT OF","1323","US CENSUS BUREAU","$899,918,837.15","2,481","2,481","$1,404,664,987.03","$671,722,572.40"
"2018","1300","COMMERCE, DEPARTMENT OF","1330","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","$1,430,663,262.74","12,118","12,105","$57,860,765,541.55","$3,350,087,005.67"
"2018","1300","COMMERCE, DEPARTMENT OF","1341","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","$295,087,109.19","4,095","4,094","$491,892,603.17","$292,295,317.80"
"2018","1300","COMMERCE, DEPARTMENT OF","1342","NATIONAL TECHNICAL INFORMATION SERVICE","$0.00","1","1","$0.00","$0.00"
"2018","1300","COMMERCE, DEPARTMENT OF","1344","US PATENT AND TRADEMARK OFFICE","$869,557,737.90","1,804","1,804","$3,799,603,155.71","$2,311,521,706.86"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1404","OFFICE OF THE INSPECTOR GENERAL","$1,470,104.43","110","110","$1,610,954.65","$1,610,954.65"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1406","DEPARTMENTAL OFFICES","$1,745,915,988.69","10,676","10,620","$58,781,277,929.83","$2,004,299,423.95"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1422","BUREAU OF LAND MANAGEMENT","$450,443,902.96","9,092","9,080","$2,106,049,495.58","$451,042,762.68"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1425","BUREAU OF RECLAMATION","$438,256,009.88","5,010","5,010","$1,541,005,731.06","$472,683,759.77"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1434","US GEOLOGICAL SURVEY","$390,265,904.21","5,611","5,609","$2,887,030,544.44","$389,841,936.01"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1435","BUREAU OF OCEAN ENERGY MANAGEMENT","$18,686,746.28","274","274","$116,930,766.51","$18,686,746.28"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1436","BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT","$39,531,669.37","501","501","$55,748,371.48","$38,371,930.01"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1438","OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","$8,699,010.69","217","217","$8,093,371.53","$8,195,913.46"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1443","NATIONAL PARK SERVICE","$864,179,182.46","14,158","14,154","$2,162,613,188.24","$863,421,696.44"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1448","U.S. FISH AND WILDLIFE SERVICE","$236,225,969.29","8,015","7,997","$993,058,909.21","$239,458,755.82"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1450","BUREAU OF INDIAN AFFAIRS","$28,261,617.95","369","369","$29,172,740.65","$28,353,760.35"
"2018","1400","INTERIOR, DEPARTMENT OF THE","1450","BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION","$161,049,906.45","5,593","5,591","$4,886,096,468.23","$160,234,034.02"
"2018","1500","JUSTICE, DEPARTMENT OF","1501","OFFICES, BOARDS AND DIVISIONS","$1,284,371,768.72","15,323","15,238","$5,598,693,760.53","$1,595,639,610.34"
"2018","1500","JUSTICE, DEPARTMENT OF","1504","OFFICE OF THE INSPECTOR GENERAL","$3,651,775.45","127","122","$5,206,213.91","$4,369,364.33"
"2018","1500","JUSTICE, DEPARTMENT OF","1524","DRUG ENFORCEMENT ADMINISTRATION","$640,829,051.19","21,225","21,221","$2,204,859,838.87","$689,479,525.18"
"2018","1500","JUSTICE, DEPARTMENT OF","1540","FEDERAL PRISON SYSTEM / BUREAU OF PRISONS","$2,253,254,802.78","58,644","58,588","$3,370,885,617.20","$2,200,370,706.00"
"2018","1500","JUSTICE, DEPARTMENT OF","1542","FEDERAL PRISON INDUSTRIES / UNICOR","$514,823,442.89","9,357","8,960","$830,625,499.15","$448,026,242.72"
"2018","1500","JUSTICE, DEPARTMENT OF","1542","FEDERAL PRISON INDUSTRIES, INC.","$161,478.00","10","10","$161,478.00","$161,478.00"
"2018","1500","JUSTICE, DEPARTMENT OF","1544","U.S. MARSHALS SERVICE","$1,144,224,604.91","14,517","14,516","$3,793,159,263.59","$2,311,426,447.47"
"2018","1500","JUSTICE, DEPARTMENT OF","1549","FEDERAL BUREAU OF INVESTIGATION","$2,001,364,446.02","11,829","10,828","$4,764,308,053.32","$2,058,436,692.87"
"2018","1500","JUSTICE, DEPARTMENT OF","1550","OFFICE OF JUSTICE PROGRAMS","$76,890,638.62","698","691","$100,769,359.90","$101,531,905.11"
"2018","1500","JUSTICE, DEPARTMENT OF","1560","ATF ACQUISITION AND PROPERTY MGMT DIV","$278,763,789.32","4,649","4,649","$284,698,196.75","$277,886,989.18"
"2018","1600","LABOR, DEPARTMENT OF","1604","OFFICE OF INSPECTOR GENERAL","$9,313,611.62","156","156","$19,050,601.24","$9,313,611.62"
"2018","1600","LABOR, DEPARTMENT OF","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","$592,201,243.33","3,661","3,656","$1,440,411,835.86","$651,935,880.14"
"2018","1600","LABOR, DEPARTMENT OF","1625","BUREAU OF LABOR STATISTICS","$79,548,411.92","469","469","$244,925,019.74","$80,890,986.67"
"2018","1600","LABOR, DEPARTMENT OF","1630","EMPLOYMENT AND TRAINING ADMINISTRATION","$1,208,402,532.80","1,556","1,556","$8,097,812,805.18","$1,322,508,103.68"
"2018","1600","LABOR, DEPARTMENT OF","1645","MINE SAFETY AND HEALTH ADMINISTRATION","$25,182,119.84","940","939","$27,022,344.40","$21,774,137.36"
"2018","1665","PENSION BENEFIT GUARANTY CORPORATION","1665","PENSION BENEFIT GUARANTY CORPORATION","$309,160,080.42","1,085","1,085","$483,483,002.59","$353,462,196.80"
"2018","1900","STATE, DEPARTMENT OF","1900","STATE, DEPARTMENT OF","$9,958,637,970.86","84,823","84,242","$33,031,554,998.44","$10,663,163,444.66"
"2018","19BM","INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","$48,479,915.98","843","843","$104,998,363.12","$47,900,338.02"
"2018","2000","TREASURY, DEPARTMENT OF THE","2001","DEPARTMENTAL OFFICES","$131,586,081.72","1,475","1,449","$4,825,042,143.17","$130,201,948.69"
"2018","2000","TREASURY, DEPARTMENT OF THE","2004","INSPECTOR GENERAL","$8,385,316.87","74","74","$36,049,118.18","$8,400,819.69"
"2018","2000","TREASURY, DEPARTMENT OF THE","2036","BUREAU OF THE FISCAL SERVICE","$395,301,447.78","3,670","3,665","$752,499,038.06","$379,681,971.88"
"2018","2000","TREASURY, DEPARTMENT OF THE","2041","BUREAU OF ENGRAVING AND PRINTING","$342,447,514.82","2,016","2,016","$390,372,444.53","$342,484,527.71"
"2018","2000","TREASURY, DEPARTMENT OF THE","2044","UNITED STATES MINT","$1,227,630,030.63","2,410","2,409","$4,099,281,924.56","$1,192,854,511.65"
"2018","2000","TREASURY, DEPARTMENT OF THE","2046","OFFICE OF THE COMPTROLLER OF THE CURRENCY","$148,731,146.80","986","986","$146,880,786.69","$149,407,700.24"
"2018","2000","TREASURY, DEPARTMENT OF THE","2050","INTERNAL REVENUE SERVICE","$2,426,324,248.43","8,077","8,044","$4,249,179,537.18","$2,760,574,419.13"
"2018","2400","OFFICE OF PERSONNEL MANAGEMENT","2400","OFFICE OF PERSONNEL MANAGEMENT","$1,205,689,477.13","2,525","2,452","$8,539,385,370.72","$3,166,708,130.05"
"2018","2700","FEDERAL COMMUNICATIONS COMMISSION","2700","FEDERAL COMMUNICATIONS COMMISSION","$95,348,558.99","814","812","$251,188,913.12","$104,307,659.59"
"2018","2800","SOCIAL SECURITY ADMINISTRATION","2800","SOCIAL SECURITY ADMINISTRATION","$1,638,091,320.22","17,915","12,128","$3,739,361,048.05","$1,540,789,155.09"
"2018","2900","FEDERAL TRADE COMMISSION","2900","FEDERAL TRADE COMMISSION","$82,462,883.63","816","816","$114,536,151.18","$95,542,945.20"
"2018","3100","NUCLEAR REGULATORY COMMISSION","3100","NUCLEAR REGULATORY COMMISSION","$199,151,524.96","1,765","1,765","$470,136,015.82","$217,577,197.41"
"2018","3300","SMITHSONIAN INSTITUTION","3300","SMITHSONIAN INSTITUTION","$302,776,613.65","3,781","3,781","$328,007,495.48","$308,513,707.08"
"2018","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","$2,421,060.26","11","11","$18,421,060.26","$2,421,060.26"
"2018","3355","NATIONAL GALLERY OF ART","3355","NATIONAL GALLERY OF ART","$68,383,049.81","743","737","$108,088,690.72","$81,072,548.83"
"2018","3400","INTERNATIONAL TRADE COMMISSION","3400","INTERNATIONAL TRADE COMMISSION","$15,252,823.25","215","215","$11,281,452.01","$14,849,180.37"
"2018","3400","INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)","3400","INTERNATIONAL TRADE COMMISSION","$0.00","1","1","$0.00","$0.00"
"2018","3600","VETERANS AFFAIRS, DEPARTMENT OF","3600","VETERANS AFFAIRS, DEPARTMENT OF","$27,133,078,468.09","4,116,696","184,678","$493,356,543,753.88","$28,002,869,840.10"
"2018","4100","MERIT SYSTEMS PROTECTION BOARD","4100","MERIT SYSTEMS PROTECTION BOARD","$2,918,003.79","248","248","$2,596,022.50","$2,729,661.64"
"2018","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","$57,427,955.72","926","925","$77,733,544.66","$75,046,344.72"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4704","OFFICE OF INSPECTOR GENERAL","$2,761,733.50","66","66","$2,676,983.02","$2,761,733.50"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4705","OFFICE OF THE ADMINISTRATOR(ACMD)","$15,656,927.20","29","29","$13,721,882.13","$20,466,056.52"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4732","FEDERAL ACQUISITION SERVICE","$10,437,300,157.54","171,244","171,234","$5,690,855,309,292.95","$12,801,399,980.37"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4740","PUBLIC BUILDINGS SERVICE","$3,245,567,600.24","29,784","29,781","$26,845,746,261.86","$2,713,247,115.33"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4773","OFFICE OF ADMINISTRATIVE SERVICES","$124,694,088.96","860","860","$668,494,401.53","$128,177,556.94"
"2018","4700","GENERAL SERVICES ADMINISTRATION","4775","TECHNOLOGY TRANSFORMATION SERVICE","$4,227,389.56","19","19","$16,394,273.10","$4,316,541.56"
"2018","4900","NATIONAL SCIENCE FOUNDATION","4900","NATIONAL SCIENCE FOUNDATION","$466,252,321.08","1,004","1,004","$269,783,101.43","$521,314,464.28"
"2018","5000","SECURITIES AND EXCHANGE COMMISSION","5000","SECURITIES AND EXCHANGE COMMISSION","$413,363,839.92","2,277","2,277","$16,171,217,151.21","$414,870,225.78"
"2018","5300","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","5300","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","$2,530,596.34","97","97","$6,137,443.71","$2,271,357.34"
"2018","5400","FEDERAL LABOR RELATIONS AUTHORITY","5400","FEDERAL LABOR RELATIONS AUTHORITY","$1,809,235.02","60","60","$1,880,983.92","$1,934,059.02"
"2018","5920","NATIONAL ENDOWMENT FOR THE ARTS","5920","NATIONAL ENDOWMENT FOR THE ARTS","$5,146,297.19","145","145","$81,850,714.35","$6,539,800.97"
"2018","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","$2,133,223.53","54","54","$2,133,223.53","$2,133,223.53"
"2018","6000","RAILROAD RETIREMENT BOARD","6000","RAILROAD RETIREMENT BOARD","$36,907,191.52","616","616","$32,985,148.01","$36,355,648.86"
"2018","6100","CONSUMER PRODUCT SAFETY COMMISSION","6100","CONSUMER PRODUCT SAFETY COMMISSION","$29,206,613.97","785","785","$47,227,915.97","$27,692,459.85"
