"PlatformPortfolio","Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","****AFX",1896,,,,,,,,,,-19303,-5493913.2021,-2980021.9063,-871780.6984,-1304283.84,,,,,-29712.0195,,,,,
"Aircraft","433",2039,,,,,,,,,,,,,,,,,1784.8,0,,-59303.5,,,,
"Aircraft","474",2047,,,,,,,,,,,,,,,,,,,,,4997513.7598,,,
"Aircraft","479",2048,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Aircraft","A-10",1499,6620440,41633742,14653128,190998,,,,0,3219916.2168,26883010.1817,2639301.8138,2735149.1534,12396609.13,8353469.8,3898403.79,-59316.9715,-551845.927,-752863.3906,-4900,-171541.218,-38056.1608,,27909423,-27820880.5601
"Aircraft","A-4 SKYHAWK",1879,1842321,1689698,237660,,,,,,,-7284.1001,-72743.1172,-12922.6897,-28819.25,,,,,,,0,,0,0,
"Aircraft","A-6 INTRUDER",707,1968551,1721524,2016303,,,,,,,,-264,-34368.2617,,-125921.52,,,-500,,,,,,,
"Aircraft","A-7 CORSAIR II",708,637510,112759,111915,,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-7D",1318,,,,,,,,,,,,,,,,-37653.4414,-75733.8672,-254883.3125,,,,,-140882.5625,
"Aircraft","AAG",2192,,,,,,,,,,,,,,,,,,,,,0,,,
"Aircraft","ABH",1882,,,,,,,,,,-270863.5625,-314704.1875,-1015800.5,-82111,,,,,,,,,,,
"Aircraft","ABL",639,,,,,,,,,,,,,-7349.0498,-1009284.54,10578.7,,,,,,,,,
"Aircraft","ACA",1884,,,,,,,,0,,-350,-350,-9287.51,-26705.9395,-6204.36,-42500,-122080.5,,-44837.0313,,0,0,,,
"Aircraft","ACD",1886,,,,,,,,,,-620297.9961,-191828.3887,-298817.8275,-474199.3436,-127396.81,0,0,-10686.9697,-809688.9575,,,0,,,
"Aircraft","ACM",1850,,,,,,,21654.1699,87116.5,,,-11200,-930.03,-702.66,8291.94,0,-3694.01,,,,,,,,
"Aircraft","ACN",1887,,,,,,,,,,,,,,,-5356.53,,,,,,,,,
"Aircraft","ADG",1888,,,,,,,,,,-6916735.625,-1165732.336,,-6319,-76025,-266434,0,0,,-5986492,,,,,
"Aircraft","AEB",1889,,,,,,,,,,,-10116.9399,-39248,-9249.04,-71721,-153193,0,0,0,,,,,,
"Aircraft","AEC",1890,,,,,,,,,,,,,-117984.3906,-32323,,,,-238579.5625,0,,,,,
"Aircraft","AESA",1329,,,,,167373,,4106,,,,-53644.3516,-65.54,-45050.6094,,-895745.76,-271325.9656,-1663334.7344,-4129.1899,-180183.8398,-40759.3516,-3938461.25,0,0,
"Aircraft","AFN",2052,,,,,,,,,,,,,,,,,0,,,,,,,
"Aircraft","AFU",1895,,,,,,,,,,-55053.8398,,,-12200,,0,-638470.5625,,,,,,,,
"Aircraft","AH-1 COBRA",101,1038734,1357950,111380,28660,,,,,,,-70215.75,,,,,,-228942,,,,,,,
"Aircraft","AH-1G HUEYCOBRA",109,,,,,,,,,,,-12926.54,,,,,,,,,,,,,
"Aircraft","AH-1J SEA COBRA",750,3370436,2249245,1955174,,,,,,,-3521686.1713,-1839597.5211,,,,,,,,,,,,,
"Aircraft","AH-1W SUPER COBRA",751,,,,,,,,,,-228357.5938,,,,,,,,,,,,,,
"Aircraft","AH-64 APACHE",113,6929977,10626742,7148246,215047,,,-2502.6699,,,-190463.9961,-3179621.3001,-165678.6392,,,,,,,-11558.7402,0,,,,
"Aircraft","AH-64E New Build",2040,,,,,,,,,,,,,,,,802224.8999,2874172.1496,12137178.5514,126065140.6758,91924662.5879,56500124.2342,80125445.5527,24197055.4688,6620587
"Aircraft","AHD",1899,,,,,,,,,,,,,,0,,0,,,,,,,,
"Aircraft","AHE",2054,,,,,,,,,,,,,-2115.45,-46779.71,,,,,,,,,,
"Aircraft","AHK",1900,,,,,,,,,,,,-991.86,,,,,,,,,,,,
"Aircraft","AHP",1902,,,,,,,,,,,,,,,-987000,,,,,,,,,
"Aircraft","AHW",1904,,,,,,,,,,,,,,,-395065.6,,,,,,,,,
"Aircraft","AIG",2056,,,,,,,,,,,,,,,,,,,,,,,0,
"Aircraft","AIR CARGO MATERIALS HAND",1757,,61591,91620,,,,,,,,,,,,,,,,,,,,,
"Aircraft","AIRBORNE RECON LOW (ARL)",476,,,,,,,,,,-7479013.5273,-1399381,-346.17,-538436.1875,,,,,,,,,,,
"Aircraft","AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,,,,7167042,1315099.3125,-895441.5625
"Aircraft","APACHE (AH-64) ADV ATTACK",1906,,,,,,,,,,-133246.5391,-838695.424,-5807009.162,-186609.9299,-245978.25,-107220.58,-827517.125,-651462.1875,-292068.46,10885684,0,0,0,,
"Aircraft","APACHE (AH-64A)",54,,,,,,,,,,27835808.9357,65614327.8486,102641516.0432,107924156.0669,33046338.66,13889423.15,-1120226.9251,-1509973.1758,186119.9501,-700398.127,-19279558.7197,-15991524.5547,-3594286.6816,-872832.75,
"Aircraft","APC",2057,,,,,,,,,,,,-59909.0273,-620939.125,,,,,,,,,,,
"Aircraft","ARH",75,,,,,,,,,,,,,284850.8125,0,-43024.71,,,0,,-3112520.4375,,-1565052.9697,-768118.0938,
"Aircraft","ASF",1908,,,,,,,,,,-83883.15,,,,,0,0,,,,,0,,,
"Aircraft","ATR",1909,,,,,,,,,,,,,-4920.3398,-77734.6,-47373.73,,,,,,,,,
"Aircraft","ATS",2058,,,,,,,,,,216288.7998,-2419.5,-21217.4004,,,,-123961.5694,-52982.7383,-310714.0313,,,,,,
"Aircraft","AV-8 HARRIER",795,7356657,7978422,14129256,605710,,,,,,-3477,,0,,,,,,,,,,,,
"Aircraft","AV-8B",63,,,,,,2199651.5,,,,90909.375,-259159.705,-21.16,617375.6914,,-42776.5,-1311062.9151,-346290.2501,-265576.3325,0,-207994.2197,,,,
"Aircraft","AV-8B REMANUFACTURE",1818,,,,,0,284741,,,1719.11,2095644.2742,132925.8856,-322510.3379,107322.5281,-157475.15,-439191.77,-47990.9291,,,,-283410.9063,,,,
"Aircraft","AVG",1910,,,,,,,,,,,-1056510.9375,-59079.7891,-205370.1074,,-11676.35,-747513.3125,,,,,,,,
"Aircraft","AVK",2060,,,,,,,,,,,,,,,,-570514.3125,,,,,,,,
"Aircraft","AWACS RSIP (E-3)",1815,,,,,0,,,,0,1776496.0234,1081473.7803,-16639.3996,258325.9605,2027666,-101198.36,-761698.5,-269997.5196,-185139.1563,-450858.8581,-443418.0498,-1072105.5234,,-5959.01,-14404
"Aircraft","AWACS UPGRADE",682,,,,,,,,,,,,,,,,,,,383954.0313,-11501,-322995.3438,0,-26881.1699,
"Aircraft","Advanced Engine Development",2260,,,,,,,,,,,,,,,,-22785.5,,0,0,0,0,0,0,0
"Aircraft","B-1",1797,22839148,21178709,23474464,386801,,,,,125306.4033,109785.885,1219956.9752,-497058.0294,593625,485777.92,243197,-109812.0918,-163788.5327,0,-242284.9375,-190105.4063,-39083.9102,-18200.4805,,
"Aircraft","B-2 DMS-M",2145,,,,,,,,,,,,,,,,,,,,,0,,,
"Aircraft","B-2 EHF",635,,,,,,,,,3806472.3247,3989688.928,349752.8097,7254711.8098,5158767.1085,22228501.29,4518540.7,866706.0899,-71466,-584015,-338850,,0,,,
"Aircraft","B-2 RMP",1370,,,,,,,36855,,2506567,0,0,,35652405,0,41733,0,,,,,,,,
"Aircraft","B-2 STEALTH",1883,,,,,,,,,,-39980.4803,-213016.6484,-167103.0078,-76929.0908,,,0,0,-1030165.3159,0,,,,,
"Aircraft","B-2A",1860,,,,,,,,,184734,-1715902.1895,3237507.2188,188585463.1875,32282124.8833,37585701.59,421453.47,-743991,0,-267522.2852,9532773,-110057.5977,8025,0,-27526.6094,0
"Aircraft","B-52 OAS/CMI MODS",1868,,,,,,,,,501346.8,1283021.2413,1352385,1259514.009,193455.4688,1316233.63,5615466.7,-10928,0,,0,-24542.5098,,0,,
"Aircraft","B-52 STRATO FORTRESS",1881,6700895,16687472,14161865,488110,,,,,,-157695.3146,,-300572.1407,-403324.5156,-109867.34,-220415.13,0,,,,,,,,
"Aircraft","B1-B",64,,,,,,,,,16297792.4976,10862400.7806,1605366.9053,7901354.9028,2475983.283,5279966.425,2018122.2003,-1457325.4932,-385508.2622,-1311891.8336,-410829.8888,-37958,-122040.6524,-29605.1797,-7177.1602,-343492.3125
"Aircraft","B1-B CMUP",693,,,,,0,,,,,,-146389.5781,-2112156.75,-543250.4302,-5455023,-3993008.67,-153362.0469,-3304058.125,-50325.0195,-3145305,-4020013,-2645.8999,,,
"Aircraft","BAMS",1367,,,,,,,,,,,,,,-136126.8499,,,,-441024.5938,0,734580,20748488.0626,-143428.4766,-4390.5,-46330.83
"Aircraft","BJL",2061,,,,,,,,,,,,,,-1021958.76,,,,,,,,,,0
"Aircraft","BJM",2062,,,,,,,,,,,,,,0,,,,,-289016.375,,,,,
"Aircraft","BJN",2063,,,,,,,,,,-1282,,,,-2854.55,,,,,,,,,,
"Aircraft","BLACK HAWK (UH-60A/L)",52,,,,,,,,,,61148058.5186,178478438.9717,239901249.5172,311932836.879,71378212.49,96377641.2,-3426562.33,-6664285.5301,-10934091.215,-181404.6431,-23283.7695,-801082.4239,-98139.0391,38055249.0488,184558014.9544
"Aircraft","BLACK HAWK UPGRADE (UH-60",1339,,,,,,,,,,,-11953.7402,26757.06,,-203090.25,5332252.3,114924213.4065,187057784.6884,398141213.0585,650218968.8008,630583151.1203,799788669.0728,219412897.2375,488014933.837,224483187.894
"Aircraft","BLACKHAWK",1905,190905,,,,230851,140000,,,,-439207.7998,-18522.4901,-1589294.9154,,,,0,-11500.18,0,,0,,0,0,
"Aircraft","BQM-34 FIREBEE",834,,,,,,,,,,,-1670.36,-36269.5313,,,,,,,,-60522.1797,,,,
"Aircraft","BSJ",2064,,,,,,,,,,,,,-50974.2695,-2337207.65,,0,-575885.0975,-26040.3496,,,,,,
"Aircraft","BSM ENERGY",1962,,,,,,,,,,,-219814.4688,,,-68.07,,,,,,,,,,
"Aircraft","BSR",2065,,,,,,,,,,,,-134837.75,-678679.7188,-283084.68,,,,,,-387011.4063,,,,
"Aircraft","C-12",89,,,,,,,,,,,-35682.6797,,,,,,,,,,,,,
"Aircraft","C-130 AMP",702,,,,,,,,,275990,429786.0786,9065425.0774,236903.2383,431343.8536,325096.62,291572.01,-955601.475,-103835.4219,-275000,-45048,,,0,,
"Aircraft","C-130 HERCULES",716,50101040,88461035,97493519,3104525,,,,,,-664288.6731,-1205524.6383,-858890.9532,,,,,,-129.53,,0,0,0,-48194.5996,
"Aircraft","C-130H",1827,,,,,,,,,175681.9805,48347291.9134,18990906.4145,27807724.8926,17062574.6098,1956211.18,3839939.85,-506995.9886,-259607.7825,-401573.42,-98707.1269,-3084838.75,-320.5,-26060,-190.9,
"Aircraft","C-141 STARLIFTER",1420,15496901,27230586,18908424,199130,,,,,,,-13837.4502,,,,,,,,,,,,,
"Aircraft","C-17A",614,,,,,,50000,7714,3291779,3912091,5278769.0035,112663935.5968,144570602.5263,21887635.5887,65621114.7512,-49252232.4556,-27493166.1517,-15256555.2164,-20519004.7963,-31668157.4827,-5919435.2992,-9858579.6181,-16905965.7314,-4330504.6446,
"Aircraft","C-17A CARGO TRANSPORT",1430,1142958,1936023,3484953,29525,,,,,,-3567.95,,,,,,,,0,0,,,,,
"Aircraft","C-18",1429,332709,105956,188611,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-2 GREYHOUND",714,1348331,1396860,3865070,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-5 GALAXY",1404,32096601,41642038,34379569,859156,,,,0,-5300,-462044.5938,-519682.6358,-10425.9805,,,,,,,-94768.8906,0,0,,,
"Aircraft","C-5 RERP",1326,,,,,1290472,170075,,,,74925,219339.3886,-500,-7350,-250000,78355.9,-4672499.8242,327500,-6308259.9171,-1216306.6959,-1594394.59,-2567077.0845,-11979466.0142,-2288761.7518,-773999.978
"Aircraft","C-5A",1348,,,,,,,,,953555.0313,3483533.2187,624297.1279,10643124.77,-1710934.4609,-37084.48,-9508.55920000001,-657257.3701,-59048.751,-165890.7266,,-8980932.7949,,,-1681630.6348,
"Aircraft","C-5B",615,,,,,,,,,7735713.8951,53105514.5399,19551993.3601,7016770.6548,3986512.1605,-28633.53,10229563.75,-407944.8344,53202.7275,0,-14937.9399,-196739.4019,-54282.1602,-0.02,-29868536.6223,
"Aircraft","C-9 SKYTRAIN II",724,,,,,,,,,,,-353704.4688,,,,,,,,,,,,,
"Aircraft","C/MH-53E",16,,,,,,704172.3203,,660500,3178887.9688,71626530.0566,18493887.8626,25827715.3675,23004422.3558,9671538.44,33358305.1125,-2460408.25,-1832055.6789,-8551832.3125,-48000,0,-901049.125,,-11980,361552.75
"Aircraft","C130-J",631,,,,,155201,1433088,,,35572,361815.0049,-151561.5071,-3731777.0679,-2541548.5449,-13591399.4781,51919668.7325,-27678206.3939,-24659952.0208,-30295613.1753,-12595226.1107,-19790777.0977,-19799982.2712,-7206410.0931,-8608795.7781,-2655484.712
