GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VALPCT,PAYANT,PAYQ1T,EMP
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Paid employees for pay period including March 12 (number)
0100000US,,United States,22,Utilities,001,All firms,2002,17103,398907044,100.0,42417830,12018371,663044
0100000US,,United States,22,Utilities,804,4 largest firms,2002,1084,53643400,13.4,6622746,1887886,84563
0100000US,,United States,22,Utilities,808,8 largest firms,2002,2577,98089409,24.6,11269908,3283026,153442
0100000US,,United States,22,Utilities,820,20 largest firms,2002,4118,178987303,44.9,19719854,5780454,277517
0100000US,,United States,22,Utilities,850,50 largest firms,2002,6713,275123202,69.0,30488727,8886466,440946
0100000US,,United States,221,Utilities,001,All firms,2002,17103,398907044,100.0,42417830,12018371,663044
0100000US,,United States,221,Utilities,804,4 largest firms,2002,1084,53643400,13.4,6622746,1887886,84563
0100000US,,United States,221,Utilities,808,8 largest firms,2002,2577,98089409,24.6,11269908,3283026,153442
0100000US,,United States,221,Utilities,820,20 largest firms,2002,4118,178987303,44.9,19719854,5780454,277517
0100000US,,United States,221,Utilities,850,50 largest firms,2002,6713,275123202,69.0,30488727,8886466,440946
0100000US,,United States,2211,"Electric power generation, transmission and distribution",001,All firms,2002,9394,325028371,100.0,35559960,10008268,535675
0100000US,,United States,2211,"Electric power generation, transmission and distribution",804,4 largest firms,2002,1260,52348845,16.1,5444745,1472277,68432
0100000US,,United States,2211,"Electric power generation, transmission and distribution",808,8 largest firms,2002,2566,95223042,29.3,11111045,3227518,151575
0100000US,,United States,2211,"Electric power generation, transmission and distribution",820,20 largest firms,2002,3942,173206712,53.3,19256452,5628887,271393
0100000US,,United States,2211,"Electric power generation, transmission and distribution",850,50 largest firms,2002,5887,253015307,77.8,28285294,8123993,408021
0100000US,,United States,22111,Electric power generation,001,All firms,2002,1997,79431678,100.0,9061694,2382746,122785
0100000US,,United States,22111,Electric power generation,804,4 largest firms,2002,502,24418637,30.7,2854397,686150,30961
0100000US,,United States,22111,Electric power generation,808,8 largest firms,2002,660,34337327,43.2,4106046,1053174,48041
0100000US,,United States,22111,Electric power generation,820,20 largest firms,2002,916,52196786,65.7,6081263,1600207,75802
0100000US,,United States,22111,Electric power generation,850,50 largest firms,2002,1329,69878173,88.0,7909822,2093224,104624
0100000US,,United States,221111,Hydroelectric power generation,001,All firms,2002,371,2728525,100.0,368929,101089,6360
0100000US,,United States,221111,Hydroelectric power generation,804,4 largest firms,2002,109,1780205,65.2,206178,57897,3338
0100000US,,United States,221111,Hydroelectric power generation,808,8 largest firms,2002,203,2173729,79.7,259705,71865,4336
0100000US,,United States,221111,Hydroelectric power generation,820,20 largest firms,2002,248,2568397,94.1,316354,87196,5303
0100000US,,United States,221111,Hydroelectric power generation,850,50 largest firms,2002,287,2704605,99.1,337952,93377,5786
0100000US,,United States,221112,Fossil fuel electric power generation,001,All firms,2002,1245,56048361,100.0,5233241,1299586,72159
0100000US,,United States,221112,Fossil fuel electric power generation,804,4 largest firms,2002,473,20464809,36.5,1501235,302912,16780
0100000US,,United States,221112,Fossil fuel electric power generation,808,8 largest firms,2002,509,27627669,49.3,2229475,499245,27356
0100000US,,United States,221112,Fossil fuel electric power generation,820,20 largest firms,2002,733,39488439,70.5,3248060,770154,43013
0100000US,,United States,221112,Fossil fuel electric power generation,850,50 largest firms,2002,993,51797169,92.4,4522782,1113898,61156
0100000US,,United States,221113,Nuclear electric power generation,001,All firms,2002,73,12032379,100.0,2492502,728467,31347
0100000US,,United States,221113,Nuclear electric power generation,804,4 largest firms,2002,31,5782541,48.1,1219748,373902,13715
0100000US,,United States,221113,Nuclear electric power generation,808,8 largest firms,2002,51,9283131,77.2,1868520,564777,21993
