parentid,ObligatedAmount,NumberOfActions,FreqCount,Year,Rank
SHAW GROUP INC,988496759.9047,814,902,2009,49
Kiewit & Traylor Bros,963520264,11,11,2009,50
DELL,957509257.4572,10453,10428,2009,51
ROLLS ROYCE,954623123.0746,1347,1405,2009,52
JACOBS ENGINEERING GROUP,892276346.0276,2552,2619,2009,53
DYNCORP INTERNATIONAL,847949114.9053,599,629,2009,54
JOHNS HOPKINS UNIVERSITY,844145709.4293,1159,1183,2009,55
UNITED LAUNCH ALLIANCE,824053675.6714,37,38,2009,56
THE MITRE,800259417.2313,205,205,2009,57
THE AEROSPACE,791347972.5,26,26,2009,58
VSE,756509477.1268,857,881,2009,59
WELLPOINT,750304960,1,1,2009,60
Clark Construction & Balfour Beatty,742310871,51,51,2009,61
FLUOR,734004970.7269,484,504,2009,62
GLOBAL LINGUIST SOLUTIONS,723126190.9826,38,39,2009,63
SIERRA NEVADA,699315143.1736,520,542,2009,64
CARDINAL HEALTH,683479200.6398,39673,39696,2009,65
KONGSBERG GRUPPEN,679960295.5511,187,213,2009,66
WALSH GROUP,639254029.1904,128,151,2009,67
JOHNSON CONTROLS,630806652.1383,1512,1596,2009,68
FORCE PROTECTION,619292903.9966,1149,1188,2009,69
MANTECH INTL A,601107365.8098,787,814,2009,70
ARINC [Carlyle Group],587611133.0403,1500,1521,2009,71
CH2M HILL,586286463.8827,1478,1590,2009,72
COMBAT SUPPORT ASSOCIATES,579957228,21,21,2009,73
CHUGACH ALASKA,572414853.0222,2192,2187,2009,74
MA MORTENSON COMPANY,565827088.5469,207,236,2009,75
ATLANTIC DIVING SUPPLY,560834259.3072,2155,2211,2009,76
DAIMLER,552811422.373,141,162,2009,77
SRC MANAGEMENT,543972949.3332,234,256,2009,78
Petromax Refining,539735967.625,3,6,2009,79
CANADIAN COMMERCIAL CORPORATION,532856798.2415,1037,1171,2009,80
UnitedHealth Group,527378549.3893,7,7,2009,81
APPTIS,512116090.9661,2264,2058,2009,82
CUBIC,507594415.4932,805,860,2009,83
COMTECH,497451692.7164,187,194,2009,84
S-OIL,481968032,1,2,2009,85
IBM,479909011.4816,1550,1588,2009,86
TETRA TECH,475353265.3617,1555,1696,2009,87
DEPARTMENT OF ENERGY,474112976,8,8,2009,88
EXXON MOBIL,474044582.05,19,32,2009,89
CHARLES STARK DRAPER LABORATORY,470729511.1046,128,132,2009,90
BATTELLE,461905636.5708,2171,2234,2009,91
HELLFIRE SYSTEMS,454187872.9074,119,119,2009,92
SUNDT COMPANIES,451120245.2656,66,88,2009,93
KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce],437672889.0625,54,69,2009,94
CONOCOPHILIPPS,433007447.75,3,6,2009,95
QATAR FUEL,432779212.125,4,7,2009,96
HARPER CONSTRUCTION COMPANY,427322377.9115,72,82,2009,97
SERCO GROUP PLC,420449887.1751,1607,1664,2009,98
AT&T,416786365.621,11104,7337,2009,99
JOINT VENTURE [THALES/RAYTHEON],410973265.9283,178,188,2009,100
GREAT LAKES DREDGE DOCK,409349017.2069,161,183,2009,101
GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE],408584610.7501,20,20,2009,102
CRITICAL SOLUTIONS INTERNATIONAL,406668540.0481,70,76,2009,103
BALFOUR BEATTY,400124951.2912,40,56,2009,104
TYSON FOODS,399900585.6535,57448,132,2009,105
KRAFT FOODS,388620925.1841,37818,55,2009,106
MISSION ESSENTIAL PERSONNEL,377620807.9136,112,116,2009,107
GOODRICH,373740953.0594,1360,1433,2009,108
SENSOR TECHNOLOGIES,365132972.9767,188,190,2009,109
LAKESHORE TOLTEST,360703212.1436,399,417,2009,110
Innovative Technical Solutions [Gilbane Building Company],359056275.8183,355,386,2009,111
GS CALTEX [Joint Venture Chevron/GS Group],357328098,3,8,2009,112
HOCHTIEF AG,357218359.2197,59,59,2009,113
QINETIQ GROUP,353113828.5043,883,918,2009,114
THE WHITING TURNER CONTRACTING COMPANY,340096066.8745,77,78,2009,115
SRA INTERNATIONAL,337584748.5807,636,683,2009,116
MANHATTAN TORCON A JOINT VENTURE,333e6,2,2,2009,117
HIGHMARK,330113586.0312,22,31,2009,118
ALION SCIENCE & TECHNOLOGY,327497283.0259,784,836,2009,119
ST ENGINEERING,324144447,37,37,2009,120
BALFOUR WALTON A JOINT VENTURE,323692080,3,3,2009,121
EADS NV,323635669.8538,171,174,2009,122
WYLE LABORATORIES,318594772.0174,765,780,2009,123
CATERPILLAR,314320082.615,1991,1719,2009,124
PROCTER & GAMBLE,310204250.5576,4870,10,2009,125
VERIZON,306289551.0454,10959,5459,2009,126
SMALL BUSINESS CONSOLIDATED REPORTING,306039231.2954,33262,384,2009,127
UPS,305895153.6597,547,551,2009,128
NCI INFORMATION SYSTEMS,305482076.3795,751,766,2009,129
FEDERAL REPUBLIC OF GERMANY,305238503.4694,892,892,2009,130
PARSONS,304904046.3315,537,592,2009,131
TESORO,301545080.6243,143,168,2009,132
AUSTAL,298908454.76,22,22,2009,133
ACCENTURE,298836010.4059,218,228,2009,134
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],297384699.8321,28,28,2009,135
INTERPUBLIC GROUP OF COMPANIES,296946999.3103,422,430,2009,136
MOTOR OILCORINTH REFINERIES SA,296823687.6452,18,35,2009,137
NISHIMATSU CONSTRUCTION,295265387.8839,15,16,2009,138
DEFENSE SUPPORT SERVICES,293239573.9546,625,668,2009,139
SMITHS GROUP,289964419.4756,506,534,2009,140
JVYS [YULISTA/SES],287798907.0053,152,152,2009,141
AECOM TECHNOLOGY,286760351.4503,178,200,2009,142
CALUMET SPECIALTY PRODUCTS PARTNERS,283405296,2,4,2009,143
WORLD WIDE TECHNOLOGY,281800074.0921,2308,2312,2009,144
MINA CORPORATION,280950786,4,12,2009,145
FOREIGN UTILITY CONSOLIDATED REPORTING,278994339.0227,8882,145,2009,146
BLACKWATER WORLDWIDE,278709255.1464,128,159,2009,147
ARTEL,278041044.1103,243,246,2009,148
GPC CONSOLIDATED REPORTING,277393374.5756,32246,483,2009,149
STANLEY,277184854.1987,430,459,2009,150
LOCKHEED MARTIN,28725874678.9211,18982,19429,2008,1
BOEING,21864184382.1379,14126,14358,2008,2
NORTHROP GRUMMAN,20232782626.7749,18175,18732,2008,3
BAE SYSTEMS,16447360376.5742,13552,13954,2008,4
GENERAL DYNAMICS,15348820532.7282,16897,17110,2008,5
RAYTHEON,14642298492.0734,9624,9920,2008,6
EMERSON CONSTRUCTION,13931307422.3984,24,24,2008,7
Foreign Contractor,9083111156.0225,46258,46401,2008,8
UNITED TECH,8310937107.852,12290,12495,2008,9
L3 COMMUNICATIONS,7002726176.8238,13775,14356,2008,10
KELLOGG BROWN & ROOT,5979528555.2368,620,651,2008,11
Navistar International,4777846880.3117,650,688,2008,12
AM GENERAL,4710698685.2737,3272,3317,2008,13
SAIC,4402486671.9256,26875,27263,2008,14
ITT,4226591754.8917,3311,3444,2008,15
COMPUTER SCIENCES,3423305230.5645,5626,5086,2008,16
GENERAL ELECTRIC,3015302232.1068,6828,6932,2008,17
HUMANA,2954014904.0173,423,437,2008,18
TEXTRON,2823414463.6038,8317,8374,2008,19
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2802521547.461,278,292,2008,20
HEALTH NET,2438349120.3576,203,239,2008,21
TRIWEST HEALTHCARE ALLIANCE,2368654093.5738,241,246,2008,22
URS,2266633264.9773,3815,3997,2008,23
AGILITY DEFENSE & GOVERNMENT SERVICES,2121800516.3096,9592,9615,2008,24
BOOZ ALLEN HAMILTON,1965131436.631,4374,4486,2008,25
HARRIS,1908770517.5445,2540,2628,2008,26
BECHTEL,1868618023.4782,251,273,2008,27
ATK,1821474450.4652,1195,1248,2008,28
FEDEX,1804851144.4771,2704,2058,2008,29
HONEYWELL,1706167214.9034,7842,8020,2008,30
ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],1680403780.7734,18075,891,2008,31
OSHKOSH,1641837378.2483,2460,2520,2008,32
BP GLOBAL,1639551928.4894,39,58,2008,33
ROYAL DUTCH SHELL,1581835130.3398,10,14,2008,34
FINMECCANICA,1485026516.5301,2123,1718,2008,35
Alliance Contracting,1445897769.0187,1028,1041,2008,36
ROCKWELL COLLINS,1366117286.2932,1852,1947,2008,37
FORCE PROTECTION,1360529103.5439,829,884,2008,38
CACI,1340416895.6082,3025,3098,2008,39
AMERISOURCEBERGEN,1296426414.5078,67246,67267,2008,40
HENSEL PHELPS CONSTRUCTION,1267383250.5,235,243,2008,41
GENERAL ATOMICS,1074419405.2834,479,486,2008,42
RED STAR ENTERPRISES,1069266951.7188,11,16,2008,43
SHAW GROUP INC,1068661941.3163,752,812,2008,44
VALERO ENERGY,1043869556.5,13,21,2008,45
BAHRAIN PETROLEUM COMPANY,1017687607.66,12,16,2008,46
JACOBS ENGINEERING GROUP,950603379.3732,2241,2319,2008,47
ABU DHABI NATIONAL OIL COMPANY,918256512,1,2,2008,48
VSE,916382729.1865,696,717,2008,49
MCKESSON,903791641.984,8346,8348,2008,50
CARDINAL HEALTH,854435145.025,46142,46163,2008,51
ARINC [Carlyle Group],844021487.7655,1558,1587,2008,52
EXXON MOBIL,827712142.5,16,19,2008,53
DELL,786589221.0851,11092,11090,2008,54
THE AEROSPACE,768870623.75,21,21,2008,55
CANADIAN COMMERCIAL CORPORATION,759667478.4869,1289,1393,2008,56
THE MITRE,757252654.2734,220,220,2008,57
JOHNS HOPKINS UNIVERSITY,740001724.4469,1162,1174,2008,58
SUPREME GROUP,736772403.1992,4442,4450,2008,59
JOHNSON CONTROLS,730402342.0326,1549,1595,2008,60
Clark Construction & Balfour Beatty,728475384,16,16,2008,61
MOTOR OILCORINTH REFINERIES SA,724853522.7309,8,12,2008,62
CH2M HILL,701309033.5585,1594,1682,2008,63
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,690979861.871,169,169,2008,64
FLUOR,672227529.8797,561,592,2008,65
DEPARTMENT OF ENERGY,648131234,10,10,2008,66
DYNCORP INTERNATIONAL,645854386.5782,749,774,2008,67
ROLLS ROYCE,621171161.7648,1226,1278,2008,68
MANTECH INTL A,596797785.478,796,821,2008,69
BATTELLE,580478146.8274,2233,2290,2008,70
KONGSBERG GRUPPEN,548442635.0004,126,149,2008,71
TETRA TECH,518740217.2677,1497,1574,2008,72
FLIR SYSTEMS,513509520.7277,465,510,2008,73
INTERPUBLIC GROUP OF COMPANIES,512266422.1342,532,537,2008,74
DRS,495085613.7851,677,695,2008,75
COMBAT SUPPORT ASSOCIATES,486591548,44,44,2008,76
GLOBAL LINGUIST SOLUTIONS,481578548,22,25,2008,77
KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce],475962064.8124,65,74,2008,78
GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE],462284500.3281,24,25,2008,79
IBM,459147814.5985,1861,1894,2008,80
WALSH GROUP,457883171.8486,83,91,2008,81
INTERNATIONAL OIL TRADING,456802656,1,1,2008,82
JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON],456174922.6755,145,145,2008,83
SIERRA NEVADA,444850434.0235,424,450,2008,84
TUTOR PERINI,436155215.6719,36,42,2008,85
QINETIQ GROUP,427296350.9418,1014,1049,2008,86
CERADYNE,417616852.461,69,78,2008,87
CHUGACH ALASKA,415404343.0246,2623,2633,2008,88
HELLFIRE SYSTEMS,413398263.7534,114,114,2008,89
SRC MANAGEMENT,402471633.0816,246,265,2008,90
AT&T,392732560.7458,11419,6513,2008,91
MA MORTENSON COMPANY,379576438.8,188,199,2008,92
SMALL BUSINESS CONSOLIDATED REPORTING,374067571.3114,47059,617,2008,93
PARSONS,371747718.3651,555,609,2008,94
OWENS & MINOR,365861498,16662,16662,2008,95
ARCTIC SLOPE REGIONAL,365072426.2479,17,20,2008,96
DAIMLER,363620059.3464,194,229,2008,97
WALTON CONSTRUCTION,358082435.8789,86,89,2008,98
CUBIC,355736533.3808,703,748,2008,99
KIEWET,349911869,22,27,2008,100
TOMPKINS TURNER GRUNLEY KINSLEY A JOINT VENTURE,346376826,19,19,2008,101
AECOM TECHNOLOGY,345141256.6667,181,188,2008,102
KRAFT FOODS,344893675.8025,31196,46,2008,103
SK GROUP,336611904,4,5,2008,104
GOODRICH,335963991.4086,1642,1708,2008,105
CHARLES STARK DRAPER LABORATORY,335261444.7063,149,155,2008,106
CADDELL CONSTRUCTION CO,331569548.8398,91,95,2008,107
ATLANTIC DIVING SUPPLY,331090756.7148,5485,5512,2008,108
KUWAIT PETROLEUM,327769957.5,2,3,2008,109
JVYS [YULISTA/SES],326363145.547,165,165,2008,110
GREAT LAKES DREDGE DOCK,324661891.3197,112,121,2008,111
CATERPILLAR,321634069.1815,2055,2044,2008,112
TYSON FOODS,319486332.6766,45988,156,2008,113
EADS NV,319407741.5261,127,134,2008,114
WORLD WIDE TECHNOLOGY,317978673.0013,2290,2296,2008,115
HERSTAL GROUP,316037828.8499,292,308,2008,116
SRA INTERNATIONAL,314008962.4814,669,706,2008,117
PROCTER & GAMBLE,313272972,4750,12,2008,118
THALES,303919881.9732,638,661,2008,119
ENVIRONMENTAL CHEMICAL,302800890.1747,393,426,2008,120
Innovative Technical Solutions [Gilbane Building Company],302401678.2412,333,361,2008,121
DOCUPAK,301327418.3253,177,183,2008,122
HIGHMARK,300802791.1777,12,19,2008,123
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],293150765.6699,30,30,2008,124
GRANITE CONSTRUCTION COMPANY,292263100.0601,74,80,2008,125
KIPPER TOOL COMPANY,288728534.538,716,650,2008,126
ACCENTURE,288517605.5254,208,216,2008,127
SERCO GROUP PLC,284908564.1737,1220,1251,2008,128
TESORO,280038452.713,178,196,2008,129
JOINT VENTURE [THALES/RAYTHEON],278463678.8066,160,177,2008,130
HEWLETT PACKARD,278389067.3473,3585,3615,2008,131
CHENEGA,278186880.7295,670,718,2008,132
VERIZON,278108899.9709,13852,5890,2008,133
Sauer Holdings Inc,274405334.5098,134,141,2008,134
SENSOR TECHNOLOGIES,273885372.8634,129,129,2008,135
GTSI,273200896.8581,1089,1083,2008,136
FOREIGN UTILITY CONSOLIDATED REPORTING,270346929.3092,7124,132,2008,137
UNICOR,263563283.7007,6242,2414,2008,138
GPC CONSOLIDATED REPORTING,262881561.898,34932,479,2008,139
SSANGYONG MOTOR COMPANY,254279681.4766,2,3,2008,140
EyakTek,249857433.1195,969,988,2008,141
ALION SCIENCE & TECHNOLOGY,247098392.6521,743,777,2008,142
NETFIRES,246050918,51,51,2008,143
J & J WORLDWIDE SERVICES,242725909.724,762,782,2008,144
HARPER CONSTRUCTION COMPANY,237611417,44,52,2008,145
RMA Group,236506670.2619,47,53,2008,146
NCI INFORMATION SYSTEMS,235263326.3737,572,583,2008,147
GILBERT ASSOCIATES,234381955.5412,683,717,2008,148
AP Moller MAERSK,233677367.1801,168,329,2008,149
SUNDT COMPANIES,228236961,65,73,2008,150
LOCKHEED MARTIN,28561100441.1559,17107,17459,2007,1
BOEING,23240850715.7248,12130,12391,2007,2
NORTHROP GRUMMAN,17947989174.2482,16842,17265,2007,3
GENERAL DYNAMICS,14284596224.8731,15248,15695,2007,4
RAYTHEON,12220207151.8839,8696,9024,2007,5
BAE SYSTEMS,8879569742.3207,11507,11823,2007,6
Foreign Contractor,6927214351.2482,48663,34182,2007,7
L3 COMMUNICATIONS,6481697549.4486,13777,14208,2007,8
UNITED TECH,5399463028.8755,12135,12319,2007,9
HALLIBURTON,4828031787.3228,819,855,2007,10
SAIC,4092328634.1262,26298,26623,2007,11
HUMANA,3402792740.197,390,431,2007,12
AM GENERAL,3359048995.0777,3114,3134,2007,13
ITT,3215038802.6692,3268,3392,2007,14
TEXTRON,3051719656.2963,7500,7568,2007,15
COMPUTER SCIENCES,2990845869.6352,5917,5345,2007,16
GENERAL ELECTRIC,2472754227.5341,5800,5924,2007,17
HEALTH NET,2224967120.1934,209,232,2007,18
OSHKOSH,2158856719.0888,2000,2062,2007,19
TRIWEST HEALTHCARE ALLIANCE,2110825331.5209,208,222,2007,20
ROYAL DUTCH SHELL,1965320289.2969,18,23,2007,21
ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],1943342073.7489,22752,754,2007,22
BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],1901704574,307,318,2007,23
AGILITY DEFENSE & GOVERNMENT SERVICES,1844139408,4240,4264,2007,24
ARMOR HOLDINGS [BAE],1811929215.1311,652,675,2007,25
ATK,1691423787.0995,1092,1147,2007,26
HONEYWELL,1674385685.5131,7893,8091,2007,27
HARRIS,1672495282.9129,2400,2463,2007,28
BOOZ ALLEN HAMILTON,1644713962.8259,3905,3993,2007,29
URS,1599239435.6729,4201,4352,2007,30
AMERISOURCEBERGEN,1484118291,66645,66646,2007,31
Navistar International,1393060556.0553,104,130,2007,32
ROCKWELL COLLINS,1373087244.3476,1503,1562,2007,33
FEDEX,1363977272.6529,2647,2171,2007,34
BECHTEL,1337368006.762,227,251,2007,35
CACI,1193035802.6422,3011,3067,2007,36
FORCE PROTECTION,1141162034.649,160,164,2007,37
Alliance Contracting,1105630727.1284,828,837,2007,38
VALERO ENERGY,1027333694,9,13,2007,39
EXXON MOBIL,1019515470.8189,32,37,2007,40
GENERAL ATOMICS,971888040.2274,380,390,2007,41
BP GLOBAL,953633579.8633,42,57,2007,42
DRS,935845087.9454,1061,1105,2007,43
CARDINAL HEALTH,900467163.9699,40242,40264,2007,44
MCKESSON,794442961,9668,9668,2007,45
DELL,785902409.6645,11816,11835,2007,46
THE MITRE,721334649.6576,198,198,2007,47
HENSEL PHELPS CONSTRUCTION,713260219,163,171,2007,48
JOHNSON CONTROLS,683043076.0826,1589,1648,2007,49
JOHNS HOPKINS UNIVERSITY,667738776.7728,878,896,2007,50
VSE,650791230.5215,652,671,2007,51
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,645224128.1835,209,211,2007,52
CANADIAN COMMERCIAL CORPORATION,636086065.3564,1455,1546,2007,53
CHARLES STARK DRAPER LABORATORY,631219353.3994,124,139,2007,54
THE AEROSPACE,612025234.25,13,13,2007,55
CH2M HILL,609633875.4376,1481,1615,2007,56
SK GROUP,605444455.75,10,16,2007,57
DYNCORP INTERNATIONAL,604305693.9086,883,901,2007,58
INSTITUTE FOR DEFENSE ANALYSES,603492336,27,27,2007,59
INTERNATIONAL OIL TRADING,601287574.75,3,4,2007,60
FINMECCANICA,586573466.6134,1413,1023,2007,61
JACOBS ENGINEERING GROUP,573906865.9323,1793,1846,2007,62
ROLLS ROYCE,563721211.4991,1012,1046,2007,63
TETRA TECH,556774938.4619,1733,1810,2007,64
AP Moller MAERSK,533513908,136,248,2007,65
ENVIRONMENTAL CHEMICAL,526926279.7625,376,405,2007,66
DAIMLER,520354913.1379,262,283,2007,67
CHUGACH ALASKA,515201241.4714,3055,3150,2007,68
QINETIQ GROUP,514302426.3632,1024,1054,2007,69
BATTELLE,512241244.9803,2249,2300,2007,70
ARINC [Carlyle Group],494009651.2414,1467,1492,2007,71
COMBAT SUPPORT ASSOCIATES,476472393.4375,18,18,2007,72
INTERPUBLIC GROUP OF COMPANIES,468634817.8652,465,474,2007,73
CERADYNE,463641975,47,56,2007,74
MANTECH INTL A,454832197.048,1107,1133,2007,75
KUWAIT PETROLEUM,454800965.6875,19,20,2007,76
ATLANTIC DIVING SUPPLY,446564680.5445,4619,4632,2007,77
FEDERAL REPUBLIC OF GERMANY,433652162.5906,743,743,2007,78
GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE],431018943.6016,8,8,2007,79
MOTOR OILCORINTH REFINERIES SA,430673065.539,9,11,2007,80
IBM,429373545.835,1614,1639,2007,81
SRC MANAGEMENT,390244247.3494,248,271,2007,82
KONGSBERG GRUPPEN,384442247.2002,97,115,2007,83
SUPREME GROUP,376732467,2049,2054,2007,84
GS CALTEX [Joint Venture Chevron/GS Group],372207980.2754,4,5,2007,85
AT&T,367416210.5785,8577,4207,2007,86
PARSONS,365037687.5437,542,600,2007,87
MINA CORPORATION,364420804,2,4,2007,88
REFINERY ASSOCIATES OF TEXAS,361264516.5449,6,8,2007,89
BAHRAIN PETROLEUM COMPANY,360314786.1563,25,26,2007,90
FLUOR,359614817.2747,446,472,2007,91
CUBIC,358984871.848,696,744,2007,92
OWENS & MINOR,348956929,15305,15305,2007,93
AECOM TECHNOLOGY,338047253.2321,197,218,2007,94
KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce],334858667.584,81,97,2007,95
KRAFT FOODS,324690740,30831,35,2007,96
JVYS [YULISTA/SES],324060958.6994,255,255,2007,97
MA MORTENSON COMPANY,312078096,173,180,2007,98
DEPARTMENT OF ENERGY,306167169.75,9,12,2007,99
PROCTER & GAMBLE,300909175.26,4539,16,2007,100
HELLFIRE SYSTEMS,299692240.5471,164,164,2007,101
SIERRA NEVADA,290660543.0644,316,331,2007,102
GOODRICH,287189431.0951,1667,1714,2007,103
COMTECH,286160219.3437,309,332,2007,104
GILBERT ASSOCIATES,284088155.8752,923,966,2007,105
TESORO,283733011.25,156,193,2007,106
SMALL BUSINESS CONSOLIDATED REPORTING,279800805.5627,35096,868,2007,107
FOREIGN UTILITY CONSOLIDATED REPORTING,277650106.4179,7953,150,2007,108
HIGHMARK,276366069.925,11,23,2007,109
SHAW GROUP INC,275968539.375,837,867,2007,110
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],274862978.5127,29,29,2007,111
NETFIRES,274590438.5,52,52,2007,112
CONOCOPHILIPPS,267206087.3989,5,6,2007,113
TYSON FOODS,265543265.3793,39859,84,2007,114
HEWLETT PACKARD,260752022.8714,3462,3483,2007,115
CHENEGA,259641914.5855,829,876,2007,116
BL HARBERT INTERNATIONAL,246427531,72,78,2007,117
CADDELL CONSTRUCTION CO,246292238,108,121,2007,118
CLARK CADDELL JV,243915008,1,2,2007,119
HERSTAL GROUP,242076759.1726,277,298,2007,120
UNISYS,241096267.5926,393,399,2007,121
FLIR SYSTEMS,239737615.7352,506,556,2007,122
Washington TRU Solutions [Joint Venture - URS/Weston],229577995.8935,484,502,2007,123
HARPER CONSTRUCTION COMPANY,227273769,33,34,2007,124
CATERPILLAR,226653341.3266,1450,1473,2007,125
SUNDT COMPANIES,226254520,76,84,2007,126
Sauer Holdings Inc,226079659,144,160,2007,127
JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON],225817159.9589,179,179,2007,128
APPTIS,224430217.6967,1101,1125,2007,129
THE WHITING TURNER CONTRACTING COMPANY,224398282,108,112,2007,130
VERIZON,223795989.3551,16166,4526,2007,131
INSIGHT TECHNOLOGY,223755030.257,252,273,2007,132
ACCENTURE,223140952.77,148,155,2007,133
GPC CONSOLIDATED REPORTING,221742851.2755,27791,461,2007,134
TOLTEST,218962446.8799,270,287,2007,135
COLT DEFENSE,215084219.8537,120,126,2007,136
UNICOR,212772997.2171,3929,2627,2007,137
Innovative Technical Solutions [Gilbane Building Company],210550260.3442,301,319,2007,138
GTSI,210407067.7712,1311,1320,2007,139
WORLD WIDE TECHNOLOGY,209614485.9866,1647,1643,2007,140
POINT BLANK ENTERPRISES,206773644.6,89,89,2007,141
GREAT LAKES DREDGE DOCK,204786584.5,95,101,2007,142
ASL Aviation Group,197534816,11,38,2007,143
WYLE LABORATORIES,196907457.7889,813,845,2007,144
VIASAT,195380575.8438,219,237,2007,145
TYBRIN,194941286.7737,416,427,2007,146
BERKSHIRE HATHAWAY,192312182.2393,230,252,2007,147
GENERAL MOTORS,192193635.3893,90,93,2007,148
GENERAL MILLS,190541125.5,13415,12,2007,149
CDW,190083232.751,3174,3172,2007,150
AMERISOURCEBERGEN,919222806,246102001,7751,2006,1
CARDINAL HEALTH,514993345,138370858,4358,2006,2
SAIC,331126696,93030579,2930,2006,3
Foreign Contractor,227851904,65699213,2069,2006,4
OWENS & MINOR,197360790,51182612,1612,2006,5
UNITED TECH,182928446,50007825,1575,2006,6
BOEING,139610748,39720501,1251,2006,7
NORTHROP GRUMMAN,138098743,44134039,1390,2006,8
GENERAL DYNAMICS,136332965,44611012,1405,2006,9
DELL,125493522,36323144,1144,2006,10
US FOODS,124018027,37847192,1192,2006,11
GRAYBAR,120978720,31719249,999,2006,12
MCKESSON,119685352,32132012,1012,2006,13
SYSCO,119059611,33179795,1045,2006,14
L3 COMMUNICATIONS,115804759,38291706,1206,2006,15
LOCKHEED MARTIN,112522028,36577152,1152,2006,16
HONEYWELL,104874445,30449556,959,2006,17
RAYTHEON,89979011,27464615,865,2006,18
TEXTRON,89442753,24353017,767,2006,19
SUPPLYCORE,86862117,22543210,710,2006,20
BAE SYSTEMS,84148489,25877362,815,2006,21
ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],66930717,26258359,827,2006,22
GENERAL ELECTRIC,64447508,18542837,584,2006,23
AGILITY DEFENSE & GOVERNMENT SERVICES,56367601,20923909,659,2006,24
AT&T,56031373,15811998,498,2006,25
PARKER HANNIFIN,48068412,13652930,430,2006,26
XEROX,44577686,14795966,466,2006,27
THEODOR WILLE INTERTRADE GMBH,42588670,12192384,384,2006,28
CDW,41210139,11462111,361,2006,29
Classified Domestic Contractor,36390661,10001565,315,2006,30
VERIZON,36141953,11874874,374,2006,31
ARMOR HOLDINGS [BAE],35952516,9906312,312,2006,32
COMPUTER SCIENCES,34442423,11525811,363,2006,33
HEWLETT PACKARD,34030563,10287324,324,2006,34
UNICOR,32438698,9531226,300,2006,35
URS,31472347,11081099,349,2006,36
BOOZ ALLEN HAMILTON,30848333,9684055,305,2006,37
ITT,30622219,9493549,299,2006,38
ATLANTIC DIVING SUPPLY,29346834,7747244,244,2006,39
OSHKOSH,27976757,7683742,242,2006,40
SMALL BUSINESS CONSOLIDATED REPORTING,27768337,7563646,237,2006,41
SODEXO,27628067,7175726,226,2006,42
AEROQUIP VICKERS,23933949,6159694,194,2006,43
CACI,23612857,8001252,252,2006,44
BATTELLE,23232074,7080473,223,2006,45
CHUGACH ALASKA,22068793,7048722,222,2006,46
GTSI,21160789,6858414,216,2006,47
SEVEN SEAS SHIPCHANDLERS [EITZEN MARATIME SERVICES ASA],20876331,5778682,182,2006,48
HARRIS,20643107,6000939,189,2006,49
GOODRICH,20584316,6159694,194,2006,50
AM GENERAL,20023924,5556425,175,2006,51
JOHNSON CONTROLS,19775771,6286698,198,2006,52
SMITHS GROUP,19352745,5111911,161,2006,53
FEDEX,18920084,7715774,243,2006,54
SPRINT,18457978,6318449,199,2006,55
WORLD WIDE TECHNOLOGY,18233075,5080309,160,2006,56
CATERPILLAR,18231266,4857903,153,2006,57
MOTOROLA,17556917,5397670,170,2006,58
Thermo Fisher Scientific,17245751,4730899,149,2006,59
CANON,17217817,6508955,205,2006,60
EXIDE ELECTRONICS,16419139,4857903,153,2006,61
AAR,16401836,4318136,136,2006,62
GILBERT ASSOCIATES,16145152,6160105,194,2006,63
SUPREME GROUP,15527046,4857903,153,2006,64
CANADIAN COMMERCIAL CORPORATION,15131040,4762650,150,2006,65
ROCKWELL COLLINS,14949329,4572144,144,2006,66
HERMAN MILLER,14049954,4222883,133,2006,67
GPC CONSOLIDATED REPORTING,14029090,3739024,117,2006,68
EBREX FOOD SERVICES SARL,13778414,3651365,115,2006,69
CLEAN HARBORS,13087157,4445140,140,2006,70
ROLLS ROYCE,13070286,3937124,124,2006,71
"MANAGEMENT CONSULTING, INC.",12820829,4095879,129,2006,72
ALL CITIES CONSTR & FENCE,12800784,3714867,117,2006,73
MANTECH INTL A,12595794,3969024,125,2006,74
