GlobalVendorName,Amount.max,X500million,StandardizedVendorName,parentid
LOCKHEED MARTIN CORPORATION," 37,175,375,556 ", Y ,LOCKHEED MARTIN,LOCKHEED MARTIN
GENERAL DYNAMICS CORPORATION," 18,609,879,373 ", Y ,GENERAL DYNAMICS,GENERAL DYNAMICS
NORTHROP GRUMMAN CORPORATION," 19,464,937,010 ", Y ,NORTHROP GRUMMAN,NORTHROP GRUMMAN
EMERSON CONSTRUCTION COMPANY  INC.*," 13,931,307,017 ", Y ,EMERSON CONSTRUCTION COMPANY INC *,EMERSON CONSTRUCTION
RAYTHEON COMPANY," 15,332,423,922 ", Y ,RAYTHEON COMPANY,RAYTHEON
BAE SYSTEMS PLC," 15,038,101,347 ", Y ,BAE SYSTEMS PLC,BAE SYSTEMS PLC [SURVEILLANCE & ATTACK BUSINESS]
BELL BOEING JOINT PROJECT OFFICE," 2,894,515,027 ", Y ,BELL BOEING JOINT PROJECT OFFICE,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING]
ELECTRONIC DATA SYSTEMS CORPORATION," 1,977,712,608 ", Y ,ELECTRONIC DATA SYSTEMS,ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD]
FLIR SYSTEMS  INC," 165,189,382 ", N ,FLIR SYSTEMS,FLIR SYSTEMS
INTERNATIONAL MILITARY AND GOVERMENT LLC," 1,317,741,892 ", Y ,INTERNATIONAL MILITARY & GOVERMENT,Navistar International
FORCE PROTECTION  INC," 1,139,559,711 ", Y ,FORCE PROTECTION,FORCE PROTECTION
BECHTEL GROUP  INC," 2,297,043,828 ", Y ,BECHTEL GROUP,BECHTEL
L-3 COMMUNICATIONS HOLDINGS  INC.," 6,841,410,117 ", Y ,L3 COMMUNICATIONS HOLDINGS,L3 COMMUNICATIONS
TEXTRON INC.," 2,793,285,551 ", Y ,TEXTRON,TEXTRON
FLIR SYSTEMS  INC.," 493,169,035 ", N ,FLIR SYSTEMS,FLIR SYSTEMS
SAIC  INC," 4,338,700,255 ", Y ,SAIC,SAIC
EDO CORPORATION," 1,089,774,596 ", Y ,EDO,EDO ACQUISITION II
HARRIS CORPORATION," 2,526,898,953 ", Y ,HARRIS,HARRIS
THE CHARLES STARK DRAPER LABORATORY INC," 631,219,347 ", Y ,THE CHARLES STARK DRAPER LABORATORY,CHARLES STARK DRAPER LABORATORY
COMPUTER SCIENCES CORPORATION," 2,844,015,035 ", Y ,COMPUTER SCIENCES,COMPUTER SCIENCES
A.P. MOLLER - MARSK A/S," 1,234,817,422 ", Y ,AP MOLLER MARSK A/S,AP Moller MAERSK
GE ROLLS-ROYCE FIGHTER ENGINE TEAM  LLC," 431,018,948 ", N ,GE ROLLS ROYCE FIGHTER ENGINE TEAM,GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE]
OSHKOSH TRUCK CORPORATION," 6,379,043,578 ", Y ,OSHKOSH TRUCK,OSHKOSH
BELL HELICOPTER TEXTRON INC," 407,383,505 ", N ,BELL HELICOPTER TEXTRON,TEXTRON
HOPKINS JOHNS UNIVERSITY," 603,612,651 ", Y ,HOPKINS JOHNS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
ROCKWELL COLLINS  INC.," 1,366,236,162 ", Y ,ROCKWELL COLLINS,ROCKWELL COLLINS
ROLLS-ROYCE GROUP PLC," 1,042,793,495 ", Y ,ROLLS ROYCE GROUP PLC,ROLLS ROYCE
CACI INTERNATIONAL INC," 2,359,957,377 ", Y ,CACI INTERNATIONAL,CACI
BOOZ ALLEN HAMILTON INC.," 2,272,314,245 ", Y ,BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON
CERBERUS PARTNER LP," 852,551,683 ", Y ,CERBERUS PARTNER,CERBERUS
URS CORPORATION," 2,375,023,303 ", Y ,URS,URS
HONEYWELL INTERNATIONAL INC," 1,831,554,928 ", Y ,HONEYWELL INTERNATIONAL,HONEYWELL
ITT CORPORATION," 4,182,766,765 ", Y ,ITT,ITT
ALLIANT TECHSYSTEMS INC," 1,751,511,170 ", Y ,ALLIANT TECHSYSTEMS,ALLIANT TECHSYSTEMS OPERATIONS
QINETIQ NORTH AMERICA OPERATIONS LLC," 410,417,619 ", N ,QINETIQ NORTH AMERICA OPERATIONS,QINETIQ GROUP PLC [NORTH AMERICA]
