fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,**VARIABLE,7519126.9499,1961,35
2006,3H TECHNOLOGY,14973,2,1
2006,3M,21671126.0801,15823,869
2006,A & A ENVIRONMENTAL SERVICES,0,2,1
2006,A PLUS BUILDING CONTRACTORS,798202.34,301,15
2006,A1 SERVICE,0,2,1
2006,AAI,29186348,1209,21
2006,AAR,192131034.0907,14048,1075
2006,AASKI,1812026,160,12
2006,AAVID THERMAL TECHNOLOGIES,441838,6444,14
2006,ABACUS TECHNOLOGY,28219401.875,6227,68
2006,ABB,13971,1134,2
2006,ABB SUSA/A ARENSON [Joint Venture - ABB/A. Arenson],896022,1747,29
2006,ABECO CONTRACTING,1225002,4377,27
2006,ABM,2159569.2,11361,123
2006,ABS GROUP OF COMPANIES,274250,5312,14
2006,ABT ASSOCIATES,265251,2239,4
2006,ABU DHABI NATIONAL OIL COMPANY,494286016,2,2
2006,ACADEMY FOR EDUCATIONAL DEVELOPMENT (AED),164911,2,1
2006,ACCENTURE,309391373,13951,182
2006,ACCESS PORTABLE TOILETS,69956,3514,10
2006,ACCURATE AUTOMATION,1186570.3906,3373,6
2006,ACCUTECH SYSTEMS,300202.7188,1800,4
2006,ACE CLEANING S,1341582,2409,47
2006,ACEPEX MANAGEMENT,9579616.3872,3961,73
2006,ACQUISITION HOLDINGS,70830,1798,3
2006,ACS,3153172,4646,11
2006,ACTIONET,1300,2,1
2006,ACULIGHT,10338850,4187,39
2006,ADA,1876560,4734,10
2006,ADI TECHNOLOGIES,7511393,3045,17
2006,ADM INTERNATIONAL,5996572.2504,6889,151
2006,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,666224,3516,12
2006,ADT SECURITY SERVICES,28018451.3673,16694,516
2006,ADVANCE PRESORT SERVICES,0,1798,3
2006,ADVANCED DIGITAL INFORMATION C,56745,1134,2
2006,ADVANCED ENERGY SYSTEMS,2921968,4255,9
2006,ADVANTOR HOLDING COMPANY,12402747.6094,7034,214
2006,AECOM TECHNOLOGY,274204145.22,6162,110
2006,AEGIS GROUP PLC,4195561,301,12
2006,AEPCO,17742619,3806,32
2006,AEROFLEX,59800,4,2
2006,AEROQUIP VICKERS,24014824.05,8674,1886
2006,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],282330413.52,1209,21
2006,AEROVIRONMENT,109556181,6301,91
2006,AES,46599659.2188,6027,56
2006,AFFILIATED COMPUTER SERVICES [XEROX],5598,1800,4
2006,AFOGNAK NATIVE,174596078.84960002,3744,397
2006,AGILENT TECHNOLOGIES,49687980.822,10138,1007
2006,AGILITY DEFENSE & GOVERNMENT SERVICES,1765495269.3125,6122,5432
2006,AHTNA,10554171,3483,34
2006,AIRPORT EQUIPMENT RENTALS,246613,3674,18
2006,AKAL SECURITY,101240724,4527,127
2006,ALASKA AIR GROUP,90591,2239,4
2006,ALCATEL LUCENT,49742405.889299996,14334,164
2006,ALCO STANDARD,7648,1134,2
2006,ALCOA,16089971.8125,9362,610
2006,ALEC ACQUISITIONS SUB,159782,4066,7
2006,ALFRED WILLIAMS &,28989,4,2
2006,ALIANT COMMUNICATIONS,1001754.87,3960,102
2006,ALION SCIENCE & TECHNOLOGY,96393613,5666,346
2006,ALL CITIES CONSTR & FENCE,61973397.6055,4997,932
2006,ALL POINTS LOGISTICS,650705.41,3625,34
2006,ALLEGIANCE INTERNET,0,1,1
2006,ALLEN VANGUARD,448705,4039,8
2006,ALLENS SYSTEMS GROUP,880930,1800,4
2006,Alliance Contracting,1023487921,3016,656
2006,ALLIANCE DATACOM,8788,2241,5
2006,ALLIED AEROSPACE INDUS,3585810,2,1
2006,ALLIED TECHNOLOGY GROUP,1842849,3621,142
2006,ALLIED WASTE SYSTEMS,820715,8167,49
2006,ALLTEL,861661.6694,7208,82
2006,ALON USA,60881384,2,2
2006,ALSTOM HOLDINGS USA,353658,301,12
2006,ALTIRIS,226737,3375,7
2006,"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",27746914.3896,8124,231
2006,ALUMINUM SPECIALTIES,15400,6,3
2006,ALVAREZ & ASSOCIATES LLC,188340,2,1
2006,AM CASTLE,13385,673,15
2006,AM GENERAL,2133768152.1704001,6951,1545
2006,AMEC PLC,274464147,3700,256
2006,AMERESCO,-9353706.2187,3484,34
2006,AMERICAN APPAREL,69082066,5854,101
2006,AMERICAN BUREAU OF SHIPPING,35e3,2,1
2006,AMERICAN CHEMICAL SOCIETY,356362.4004,9598,22
2006,AMERICAN ECOLOGY,14747977,2572,49
2006,AMERICAN HOSPITAL SERVICE GROUP,44999808.3866,5854,523
2006,AMERICAN INSTITUTE FOR RESEARCH,5230257,1695,16
2006,AMERICAN INSTITUTE IN TAIWAN,2411673,2239,4
2006,AMERICAN INTERNATIONAL CONTRACTORS,5858307,3318,8
2006,AMERICAN IRAQI LIFE SUPPORT SOLUTIONS,114308,1134,2
2006,AMERICAN MEDICA,1730267,3124,18
2006,AMERICAN MFG,19270,1134,2
2006,AMERICAN ORDINANCE LLC A JOINT,66830482,1838,156
2006,AMERICAN PRESIDENT LINES,84280139,3,16
2006,American Red Cross,-617374.6875,5864,12
2006,American Science & Engineering,96842296,13041,74
2006,AMERICAN STANDARD,11343440.094,14019,188
2006,AMERICAN SYSTEMS,20988396.3594,8591,91
2006,AMERICAN TOWER,13627692.8919,2202,40
2006,AMERICAN WEST HOLDINGS,190392,2239,4
2006,AMERICORP,9558004,2208,44
2006,AMERIDATA TECHNOLOGIES,63243310.268599994,16029,832
2006,AMERIQUAL GROUP,72404349,450,147
2006,AMERISOURCEBERGEN,1344761612.08,3021,65547
2006,AMERITECH,201630,561,14
2006,AMETEK,26245002.9238,7098,525
2006,AMF MECHANICAL,563498,2885,6
2006,AMR,1895827,1503,25
2006,AMS,258453,4,2
2006,AMSTAR,133363,2889,8
2006,AMTEC,153931865,5027,133
2006,ANACOMP,241148,1964,17
2006,ANALEX,40083063.0977,4564,40
2006,ANALOGIC,11310,4,2
2006,ANAMI COMMUNICATIONS,550410,3157,72
2006,ANAREN,16595,7078,13
2006,ANCORE [OSI],1305216,1134,2
2006,ANDERSON TULLY,9932325,768,19
2006,ANDREW,192566,4320,20
2006,ANHAM,865607,2239,5
2006,ANHAM JOINT VENTURE,-526042,2885,6
2006,ANIXTER,5971380.751300001,14632,339
2006,ANTEON [GENERAL DYNAMICS],16552993.1069,1521,139
2006,ANVICOM,21182761.1094,3238,40
2006,AP Moller MAERSK,543551982,1910,154
2006,APAC FLORIDA,229620,768,16
2006,APEX,25574,4255,9
2006,API TECHNOLOGIES,19059606.25,8300,105
2006,APOGEE ENTERPRISES,432722,6494,13
2006,APPLANIXCORP,491878,4919,10
2006,APPLE COMPUTER,1180582.1904,6974,51
2006,Applera,18143734,7206,118
2006,APPLIED INDUSTRIAL TECHNOLOGIES,1903180.23,10887,186
2006,Applied Marine Technology [SAIC],48490723,11485,101
2006,APPLIED MICROSYSTEMS,40782,2887,7
2006,APPLIED RESEARCH ASSOCIATES,106092510.15,8312,348
2006,APPLIED SIGNAL TECHNOLOGY,799939,2477,21
2006,APPROVED TRANSPORTATION & WARE,98275,2239,5
2006,APPTIS,172806986.7256,13178,1110
2006,AQUA PRO,3729409.0102,5267,112
2006,AQUASIS SERVIC,2580997,4255,9
2006,ARAMARK,1422253.3598,12096,127
2006,ARCADIS,49400176.0098,3009,70
2006,ARCH COMMUNICATIONS,5296,4870,10
2006,ARCH WIRELESS,741864.9005,5769,74
2006,ARCHITECTURE TECHNOLOGY,2221238,164,13
2006,ARCTIC SLOPE REGIONAL,153192161,4921,14
2006,ARETE ASSOCIATES,18886916,4921,65
2006,ARINC [Carlyle Group],491955840.8809,10863,1060
2006,"ARLINGTON CAPITAL PARTNERS [TSI GROUP, INC ]",4006206,3375,7
2006,ARMATEC SURVIVABILITY,45701704,3318,8
2006,ARMOR HOLDINGS [BAE],1465194605.6289,8676,2873
2006,ARROW ELECTRIC,0,1,1
2006,ARTAIS,-4720,2,1
2006,ARTEL,303253311.5938,5408,251
2006,ARTHUR ANDERSON,2550,1134,2
2006,ARTIC SLOPE REGIONAL,62114347.015599996,7158,314
2006,ASAP SOFTWARE EXPRESS,40802329.3584,15699,305
2006,ASARCO,1064296,1798,3
2006,ASCOM HOLDING,569403,12979,78
2006,ASHBRITT,457507583,1484,247
2006,ASHLAND OIL,51873,2600,5
2006,ASI,42704769.392000005,3103,189
2006,ASK ASSOICAT,1159994.7402,3734,9
2006,ASL Aviation Group,187255758,2239,5
2006,ASL CONSULTING ENGINEERS,-45138,2600,5
2006,ASM RESEARCH,32201870.6406,6135,98
