fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,**VARIABLE,0,0,2
2006,3M,754608.0801,73,73
2006,A & A ENVIRONMENTAL SERVICES,0,1,1
2006,A PLUS BUILDING CONTRACTORS,798202.34,12,15
2006,AAR,4164195.3594,69,69
2006,AAVID THERMAL TECHNOLOGIES,197028,3,3
2006,ABM,1178008,51,51
2006,ABS GROUP OF COMPANIES,217165,9,10
2006,ACCENTURE,16941540,21,21
2006,ACCESS PORTABLE TOILETS,59471,9,9
2006,ACCURATE AUTOMATION,976624.3906,4,4
2006,ACCUTECH SYSTEMS,300954.7188,3,3
2006,ACEPEX MANAGEMENT,2962639.3872,22,24
2006,ACQUISITION HOLDINGS,70830,3,3
2006,ACS,3138972,9,9
2006,ACULIGHT,3397950,12,12
2006,ADA,15e4,2,2
2006,ADI TECHNOLOGIES,7425446,11,11
2006,ADM INTERNATIONAL,1965616.2002,52,52
2006,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,617644,9,10
2006,ADT SECURITY SERVICES,7180679.3865,155,157
2006,ADVANCED DIGITAL INFORMATION C,56745,2,2
2006,ADVANCED ENERGY SYSTEMS,2907398,7,7
2006,ADVANTOR HOLDING COMPANY,169412,4,4
2006,AECOM TECHNOLOGY,0,2,2
2006,AEPCO,17742618,26,28
2006,AEROFLEX,24800,1,1
2006,AEROQUIP VICKERS,288632.05,8,8
2006,AEROVIRONMENT,17292719,22,22
2006,AFOGNAK NATIVE,56967855,151,154
2006,AGILENT TECHNOLOGIES,17399668.6299,472,475
2006,AGILITY DEFENSE & GOVERNMENT SERVICES,4e3,1,1
2006,AHTNA,8915131,28,28
2006,ALCATEL LUCENT,-8818576.392,64,65
2006,ALCO STANDARD,7648,2,2
2006,ALCOA,159923,27,27
2006,ALEC ACQUISITIONS SUB,7772,3,3
2006,ALFRED WILLIAMS &,25e3,1,1
2006,ALIANT COMMUNICATIONS,12373,14,14
2006,ALION SCIENCE & TECHNOLOGY,25984206,113,113
2006,ALL POINTS LOGISTICS,432584,11,11
2006,ALLEGIANCE INTERNET,0,0,1
2006,ALLEN VANGUARD,269381,3,3
2006,ALLIANCE DATACOM,438,1,1
2006,ALLIED TECHNOLOGY GROUP,373118,135,135
2006,ALLIED WASTE SYSTEMS,209911,8,8
2006,ALLTEL,29216,4,5
2006,ALSTOM HOLDINGS USA,353658,12,12
2006,ALTIRIS,8423,1,1
2006,"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",4061495.0898,18,19
2006,ALUMINUM SPECIALTIES,8425,1,1
2006,AM CASTLE,13385,15,15
2006,AM GENERAL,2893620.6001,12,13
2006,AMERICAN APPAREL,3e4,2,2
2006,AMERICAN BUREAU OF SHIPPING,35e3,1,1
2006,AMERICAN CHEMICAL SOCIETY,24027,4,4
2006,AMERICAN HOSPITAL SERVICE GROUP,0,9,12
2006,AMERICAN INSTITUTE FOR RESEARCH,4410500,14,14
2006,AMERICAN ORDINANCE LLC A JOINT,6216,2,2
2006,American Red Cross,23580,3,3
2006,American Science & Engineering,32383855,9,9
2006,AMERICAN STANDARD,2819048,35,32
2006,AMERICAN SYSTEMS,18130972.3594,78,78
2006,AMERICAN TOWER,8954988.8919,39,39
2006,AMERIDATA TECHNOLOGIES,22430251.2803,215,215
2006,AMERISOURCEBERGEN,1288.08,1,1
2006,AMETEK,6466634.9238,108,108
2006,AMSTAR,109543,6,6
2006,AMTEC,5786893,3,4
2006,ANACOMP,4016,1,1
2006,ANAMI COMMUNICATIONS,173565,12,12
2006,ANAREN,-10185,5,5
2006,ANCORE [OSI],1305216,2,2
2006,ANDREW,121450,12,12
2006,ANIXTER,2328873.6575,164,164
2006,ANTEON [GENERAL DYNAMICS],14753358.1069,115,116
2006,ANVICOM,2501,1,13
2006,AP Moller MAERSK,449956256,119,120
2006,APEX,9215,7,7
2006,API TECHNOLOGIES,14480197.25,30,32
2006,APOGEE ENTERPRISES,111957,7,7
2006,APPLANIXCORP,285921,7,7
2006,APPLE COMPUTER,103617.1904,15,15
2006,Applera,410494,29,29
2006,APPLIED INDUSTRIAL TECHNOLOGIES,553938.23,71,71
2006,Applied Marine Technology [SAIC],33099532,72,72
2006,APPLIED MICROSYSTEMS,28469,6,6
2006,APPLIED RESEARCH ASSOCIATES,5339690,22,23
2006,APPLIED SIGNAL TECHNOLOGY,10425,3,3
2006,APPTIS,28685897.1182,187,196
2006,AQUA PRO,3128438.0102,73,73
2006,AQUASIS SERVIC,1371065,2,2
2006,ARAMARK,421719.2002,39,39
2006,ARCH COMMUNICATIONS,-3201,1,1
2006,ARCH WIRELESS,412997.96,26,27
2006,ARCTIC SLOPE REGIONAL,29823,1,1
2006,ARETE ASSOCIATES,13499398,45,45
2006,ARINC [Carlyle Group],36549571.8809,426,426
2006,"ARLINGTON CAPITAL PARTNERS [TSI GROUP, INC ]",3584,1,1
2006,ARMOR HOLDINGS [BAE],1980150,17,17
2006,ARTEL,16788,4,4
2006,ARTIC SLOPE REGIONAL,12005277.0156,82,97
2006,ASAP SOFTWARE EXPRESS,6660362.3008,149,150
2006,ASCOM HOLDING,120355,15,15
2006,ASI,5e4,1,1
2006,ASL CONSULTING ENGINEERS,-45138,5,5
2006,ASM RESEARCH,4299495.5,5,5
2006,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,15e3,1,1
2006,ASSURANCE TECHNOLOGY TRUST,20708573,73,73
2006,ASTARIS,17230,2,2
2006,ASTRONAUTICS OF AMERICA,3386653,34,35
2006,ASTRONICS,119402.8125,6,6
2006,AT&T,103268153.7895,854,849
2006,ATK,196806934.8438,159,167
2006,ATLANTIC DIVING SUPPLY,2329312.7031,102,102
2006,ATLANTIC MANAGEMENT CENTER,472264,7,7
2006,ATLANTIC MARINE HOLDING,660053,6,6
2006,ATLANTIS,162749,45,46
2006,ATLAS COPCO NORTH AMERICA,224195,17,18
2006,AURORA FLIGHT SCIENCES,156236,3,3
2006,AUSTAL,16499917,9,9
2006,AUTOMATIC COATING,72532,3,4
2006,AVALON SYSTEMS PTY,115063,72,72
2006,AVAYA,7885707,53,53
2006,AVERSTAR,-162339,14,14
2006,AVIALL,245315,21,21
2006,AVID TECHNOLOGY,852872,33,33
2006,AVNET,283054.2,20,20
2006,AVOCENT HUNTSVILLE,1561103.3594,23,23
2006,AVTRON MANUFACTURING,252451,14,15
2006,AZIMA HOLDINGS,646400,45,45
2006,B & H PHOTO VIDEO,2464773.7002,183,183
2006,B BRAUN OF AME,167753,11,11
2006,BAE SYSTEMS,1961877836.6997,3700,3731
2006,BAHRAIN PETROLEUM COMPANY,39764,15,15
2006,BAKER COMMODITIES,58604,1,1
2006,BALFOUR BEATTY,0,0,2
2006,BALL CORP,3822544,37,37
2006,BALLANTYNE OF OMAHA,6270,1,1
2006,BAPTIST HEALTH CARE,380627,5,5
2006,BART & ASSOCIATES,2500,1,1
2006,BASIC COMMERCE & INDUSTRIES,15122814.8062,47,46
2006,BASIC MARINE,-340328,1,1
2006,BATTELLE,165854353.25,322,322
2006,BAXTER INTERNATIONAL,909060,34,34
2006,BAYER,543943,43,43
2006,BBA AVIATION PLC,526985.3984,18,18
2006,BBDO WORLDWIDE,25470,5,5
2006,BC Partners,714854,3,3
2006,BEACON AUTO PARTS,602500,8,8
2006,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES],61148535,157,158
2006,BECHTEL,966131031.3125,116,118
2006,"BEHRMAN CAPITAL [PELICAN PRODUCTS, INC ]",1462404.82,49,49
2006,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],1110561999,109,111
2006,BELLSOUTH,320826,35,38
2006,BERKSHIRE HATHAWAY,10164813,77,81
2006,BERWIND,13420,1,1
2006,BFM AEROSPACE,233469,16,16
2006,BITWISE DESIGNS,1008084,34,34
2006,BLACK & DECKER,35088,6,6
2006,BLACK BOX,1250367.4892,95,95
2006,BLACK EEL,23097837,7,7
2006,BLACKWATER WORLDWIDE,13789138.9199,59,59
2006,BLUE RIDGE NETWORKS,94153,1,1
2006,BMC SOFTWARE,2868599.2881,59,59
2006,BMT GROUP,4852125.6719,10,10
2006,BOB CROWE,2073041.5,64,67
2006,BOEING,4531622834.5218,1115,1134
2006,BONNEVILLE INTERNATIONAL,12450,3,3
2006,BOOZ ALLEN HAMILTON,262423003.5996,625,628
2006,BRANCH GROUP1049 PG BLVD,43451,4,4
2006,BRISTOL BAY NATIVE,11886,3,3
2006,BROADMOOR,-1461805,11,11
2006,BROADSMART,26115,4,5
2006,BROOKHAVEN SCIENCE  [BATTELLE/RESEARCH FOUNDATION OF SUNY],4e3,1,1
2006,BRTRC,1342240,8,8
2006,BRUTON STREET,67603575.9609,44,53
2006,BURLINGTON ENV,120289,13,13
2006,BURLINGTON INDUSTRIES,26e3,1,1
2006,BURNS & MCDONNELL,7694869,49,64
2006,BUTLER MANUFACTURING,24497,2,2
2006,BW/IP INTERNATIONAL,80691,3,3
2006,C & D TECHNOLOGIES,7648,2,2
2006,C3I SYSTEMS GROUP,0,1,1
2006,CACI,307449381.0104,933,940
2006,CADDELL CONSTRUCTION CO,21550926,9,9
2006,CAE,80742154.2598,47,48
2006,CALIAN,862765,7,7
2006,CALIBRE SYSTEMS,439001,3,15
2006,CALIFORNIA INSTITUTE OF TECHNOLOGY,5218829,15,15
2006,CALISTA,726822,1,1
2006,CAMBRIDGE INFORMATION GROUP,189235,6,7
2006,CAMECA USA,77096,4,4
2006,CAMP DRESSER & MCKEE,5800970,51,51
2006,CANADIAN COMMERCIAL CORPORATION,120909141.6471,224,228
2006,CANON,2590566.8999,177,170
2006,CAPE ENVIRONME,971645,7,8
2006,CapRock Communications,141773,6,7
2006,CAPTARIS,54436,1,1
2006,CARAHSOFT TECHNOLOGY,1231890.0996,38,38
2006,CARDINAL HEALTH,2754527.7998,101,102
2006,CARLISLE,3106323,5,11
2006,CARLYLE GROUP,6058154.7285,60,60
2006,CARNEGIE MELLON UNIVERSITY,736002,4,5
2006,CARNIVAL,6439e3,3,3
2006,CAROTHERS CONSTRUCTION,26502081,9,9
2006,CARRIER,99751,11,11
2006,CARSON ALEXIOU,371262,3,3
2006,CASEPRO,83699,6,7
2006,CATAPULT TECHNOLOGY,2586818,8,8
2006,CATERPILLAR,4156106.8597,28,27
2006,CATERPILLAR MITSUBISHI JV,213444,7,7
2006,CCI,24554308,121,121
2006,CDI MARINE,34541010.4707,523,360
2006,CDW,30681460.6214,846,847
2006,CENTECH GROUP,234080,3,3
2006,CENTENNIAL CONTRACTORS ENT,2494132.52,49,49
2006,CENTERRA GROUP,26958340.1636,249,249
2006,CENTRA TECHNOLOGY,247681,3,3
2006,CENTRAL PARKING,0,2,2
2006,CENTRAL TEXAS,10807830,131,131
2006,CENTURION GROUP,172114.379,3,4
2006,CENTURYTEL,7620,5,6
2006,CERADYNE,45355005,12,12
2006,CERIDIAN,33445102,5,5
2006,CES,705,2,2
2006,CGI GROUP,-13385,3,3
2006,CH2M HILL,80248390.6289,267,270
2006,CHANNEL TECHNOLOGIES,3986183,62,69
2006,CHARLENE OWENSBY,19414,1,1
2006,CHARLES RIVER LABORATORIES,2500,1,1
2006,CHARLES STARK DRAPER LABORATORY,250031834,49,51
2006,CHARLES T BRYANT & ASSOCIATES,-2237,2,2
2006,CHAS KURZ &,30980206,37,37
2006,CHELTON AVIONICS,10168,5,5
2006,CHEMRING GROUP PLC,35305049.75,31,31
2006,CHENEGA,5398627.5792,36,36
2006,CHEROKEE NATION BUSINESSES,14187,1,1
2006,CHEVRON,6500269.5,10,10
2006,CHOCTAW MANAGEMENT,169462,4,4
2006,CHOICEPOINT,132170,4,4
2006,CHUCK FUNKE,781863.875,10,10
2006,CHUGACH ALASKA,147638948.0122,1029,1046
2006,CINCINNATI BELL,22026,8,8
2006,"CIRCOR INTERNATIONAL, INC [AEROSPACE]",94410.3496,8,8
2006,CISCO SYSTEMS,163178,16,16
2006,CITRIX SYSTEMS,867262.3916,45,45
2006,CLARCOR,4839,2,2
2006,CLARK,30649835,11,11
2006,Classified Domestic Contractor,250866.5904,41,45
2006,CLEAN HARBORS,264403.3203,24,25
2006,CLIENT NETWORK SERVICES,142734,2,2
2006,CLIENT SOLUTION ARCHITECTS,2281349,10,10
2006,CMC Electronics,393584,11,11
2006,CNA,84990335.8502,392,393
2006,COBHAM PLC,496825,7,7
2006,COLLAZO ENTERPRISES,4475781,15,30
2006,COLONNA SHIPYARD,12860151,21,34
2006,COLT DEFENSE,278300,1,3
2006,COLT INDUSTRIES,1003648.6006,4,4
2006,COLTEC INDUSTRIES,1067149,50,50
2006,COMCAST CABLE COMMUNICATIONS,465487,66,66
2006,CommScope,49410,6,9
2006,COMPUNETICS I,332996,6,6
2006,COMPUTER ASSOCIATES,1616002,21,21
2006,COMPUTER EQUITY,125422,4,4
2006,COMPUTER OF AMERICA,36288,2,2
2006,COMPUTER SCIENCES,398937572.169,941,952
2006,COMPUWARE,281660,7,7
2006,COMTECH,700715,18,18
2006,COMTEQ FEDERAL,910419.3203,101,101
2006,CONCORD PERSONNEL SERVICES,72907,3,3
2006,CONCURRENT COMPUTER,564948,8,8
2006,CONCURRENT TECHNOLOGIES CORPORATION,92175195.5,205,209
2006,CONFEDERATED SALISH & KOOTENAI,210486,8,8
2006,CONSOLIDATED RIGGING & MARINE,57422,8,8
2006,CONSTRUCTION COST SERVICES,60164,7,8
2006,CONTINENTAL SHELF ASSOCIATES,91e4,3,3
