"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CLOTHING, SPECIAL
PURPOSE",459097932,548411023,832797665,1219515147,725862200.8403,1230990068.2002,1042720953.7099,1318035621.8528,1351809825.1366,1768009026.3895,1587083382.298,1410585786.8818,890549532.2677,567809741.7066,736507122.3047,674159625.7648,710567941.8812,937113034.6959,1028457434.8177,1205698262.4414,1020157057.1304,932020538.0158,741919247.7764,366673514.9359
"DAIRY FOODS AND
EGGS",352897325,448113569,579764400,773839454,1419422640,2082441094,623763409,2832145616.4917,2179114331.2079,3085627793.682,3590845387.3924,2940000773.9181,3459631431.9175,2594877340.071,1677379606.3216,886083634.1166,926958912.4214,885005816.8274,129361428.5928,118961459.0804,120588082.29,132967240.9077,157429127.7033,124227948.1281
"DRUGS AND
BIOLOGICALS",736757613,849744241,1249078193,1588906421,1806736603,2690517886.7539,2880898231.9418,3133140506.9743,1987659287.4977,1946761137.4897,2104321873.9524,2907585252.1852,2457362421.743,2906697573.0363,3870494777.6554,4534180988.1847,5063758801.5356,5236042702.1013,5142518414.2291,5288320490.5081,6889985973.0751,35363822553.1787,29068842595.8633,4953344795.2403
"FUEL OILS",437090158,497848036,825355303,960277521.96,808838395.6021,1741767167.6412,2795401495.8985,1154956802.8551,910139498.5583,2004699077.9879,1064878984.6433,3947450253.9542,3552665575.1199,1962273046.4232,2931394294.9802,1709229091.1199,989853667.3922,1426188632.0583,1699196784.6141,1678508999.0201,1226763985.7226,1331638642.9258,2375656105.9127,1094586304.6162
"HARDWARE",31133452,39672103,44209783,93684907,169879169.8262,180485318.9699,277976089.9111,182271265.2974,193897219.0126,200746794.8601,247891394.4015,239976623.4756,199484452.6684,185795368.1603,206086707.8428,261480763.3258,284702677.6265,268883049.551,298999574.4432,360706148.1876,276805301.0146,238593902.1989,264713957.6649,190061477.6331
"LIQUID PROPELLANTS
-PETROLEUM BASE",2996201351,3558080529,4440797189,4561426670.6396,5606871996.0494,7702181463.3514,10143111001.6907,11094113431.2974,13373223167.5188,16646154967.3648,11191475647.4348,9953957979.879,18043760088.266,12216659607.5609,9435329257.8295,7166662750.8959,4814168603.3955,6037416151.6929,7781369529.4628,5837423459.2227,4679148729.4954,5521919289.2933,11285455838.6019,5541663643.9273
"MED & SURGICAL
INSTRUMENTS,EQ &
SUP",103504171,100810898,112304027.1104,198883811.7908,236306378.9521,522574159.3837,610113509.0499,812821209.8059,799679061.5584,867836250.7221,1139844157.3288,1146690570.3966,999071000.1631,911268876.3629,981552477.4816,1150447194.5467,1203776456.9095,1159742980.4968,1343633873.3998,1144902755.0278,2999051371.0285,1911056459.6524,5673187536.0425,441436102.494
"MISCELLANEOUS ITEMS",1199911177,1445565407,1921751259.5,956012972.294,2268977283.9856,7916223216.629,6404530376.8275,5994458608.6737,7944111297.3159,1712287969.6769,807778407.7217,359795096.3429,170981063.079,116738076.03,75093172.1998,73264816.5093,43458376.9399,38845236.0897,39343269.6616,22623644.6857,19046291.4674,19810437.2907,17131920.0082,9055497.1334
"Other Labeled PSC",2202498474,2575232743,3239533144.1111,4857983384.9919,4802594341.9691,7114870673.0403,9241534057.7949,7101009301.0523,9716408861.5842,6692747335.2876,6532579618.0269,6092005201.7781,4723367948.0541,4305239214.8198,3500893435.9963,3992114771.4397,4515561336.087,4994386075.8346,7058496564.1468,6783385996.925,7523523218.4488,7121238530.5632,8261130437.3622,5860038077.0355
"TRAINING AIDS",117673547.09,161486148,146317213.52,332645335.7499,471101295.6699,606450692.25,599949155.5232,668779342.6216,644094954.2139,694023491.2576,854837506.3556,1008959625.0685,860958713.1734,696698010.2743,853126048.6562,621487156.0248,853442889.6906,592948383.9025,862021219.9126,772100166.2336,754382193.4994,927735671.605,665380484.7782,365945052.9712
