Fiscal_Year,Customer,PlatformPortfolioRemote,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2013,Defense,Other Products,M,PDuns-1,1,1,0,0,1,0,46,46,88,331297.4203,2013-01-01,Medium Vendor,Other Than Small,Medium,409705.2353906672
2012,Defense,Other Products,S,PDuns-1,1,0,0,0,0,0,279,279,502,396507.1077,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,499321.40063133946
2021,Defense,Aircraft,B,PID,1,1,1,1,1,1,5,5,41854,44583848952.3545,2021-01-01,Big Five,Other Than Small,Large,47672956618.73121
2019,Defense,Ships & Submarines,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,7,7,NA,0,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2007,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,1,0,0,1,0,20,20,49,101381.6601,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,137961.88086652945
2013,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,1,1,841,841,1497,11448677.009,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,14158223.461675609
2013,Defense,Ordnance and Missiles,N,PDuns-1,1,0,1,1,1,1,214,214,1386,131741829.3938,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,162921030.81789058
2007,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,1,1,1,1,1,310,916,15799,1536010663.1285,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2090229336.4226835
2007,Defense,Other Services,N,PDuns-1,1,0,0,1,1,1,324,324,1176,33375836.8894,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,45418404.356510654
2008,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,1,1,1,1,1,101,101,1148,135262046.3379,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,180306441.07435575
2008,Defense,Facilities and Construction,N,PDuns-2+,1,0,0,1,1,1,513,764,3295,58024618.7507,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,77347731.93878235
2012,Defense,"Electronics, Comms, & Sensors",S,PID,1,0,1,1,1,1,38,38,388,72611762.0704,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,91439991.95780796
2020,Defense,Other Products,S,PDuns-1,1,0,1,1,1,1,401,401,147200,1748339302.4072,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1932318487.557401
