Fiscal_Year,Customer,PlatformPortfolio,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2011,Defense,Land Vehicles,B,PID,1,1,1,1,1,1,5,5,1907,3759240553.999,2011-01-01,Big Five,Other Than Small,Large,4820785771.369615
2000,Defense,Facilities and Construction,S,PDuns-1,1,0,0,1,1,1,4683,4683,15296,911921920.2109,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1473419649.5279555
2010,Defense,Land Vehicles,N,Duns,1,1,1,1,1,1,4,3,3974,212472402.9794,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,277962286.48126
2004,Defense,Land Vehicles,S,PDuns-1,1,0,0,1,1,1,1144,1144,5032,258073975.9688,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,383879704.5253212
2010,Defense,Space Systems,L,PID,1,0,0,1,1,1,1,1,1,269998.4375,2010-01-01,Large Vendor,Other Than Small,Large,353219.4392376872
2013,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,0,0,0,2,2,2,2220.6,2013-01-01,Medium Vendor,Other Than Small,Medium,2746.147087063556
2014,Defense,Other R&D and Knowledge Based,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2017,Defense,Other Services,S,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,5,8,1,0,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2013,Defense,Other Products,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,51,51,0,0,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2018,Defense,Aircraft,M,PDuns-1,1,0,0,0,0,0,11,11,15,-20230.3601,2018-01-01,Medium Vendor,Other Than Small,Medium,-23101.28080459139
