Fiscal_Year,Customer,SubCustomer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,SubCustomer.sum,SubCustomer.platform,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2000,Defense,Uncategorized,L,PID,1,1,1,1,1,1,1,0,0,2000-01-01,Other DoD,Other DoD,Large Vendor,Other Than Small,Large,0
2000,Defense,Air Force,B,PID,1,1,1,1,1,5,5,7813,18856790496,2000-01-01,Air Force,Air Force,Big Five,Other Than Small,Large,30467483046.588913
2000,Defense,Air Force,L,PID,1,0,0,0,1,2,2,2,53478,2000-01-01,Air Force,Air Force,Large Vendor,Other Than Small,Large,86406.01160155573
2000,Defense,Air Force,M,Duns,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Air Force,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,4,4,0,0,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Air Force,M,PDuns-1,1,0,0,0,0,9,9,12,-293354,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,-473980.87301998545
2000,Defense,Air Force,M,PDuns-1,1,0,0,1,1,425,425,1218,110155333,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,177981281.67042962
2000,Defense,Air Force,M,PDuns-1,1,0,1,1,1,254,254,1327,633272128,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,1023196806.8908689
2000,Defense,Air Force,M,PDuns-2,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,0
2000,Defense,Air Force,M,PDuns-3+,1,0,1,1,1,34,46,213,48918129,2000-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,79038491.00378473
2000,Defense,Air Force,N,PDuns-1,1,0,0,1,1,358,358,1287,78888126,2000-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,127461915.74817663
2000,Defense,Air Force,N,PDuns-1,1,1,0,1,1,25,25,94,8626545,2000-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13938167.982185993
2000,Defense,Air Force,N,PDuns-2,1,0,0,1,1,51,53,173,16980001,2000-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,27435097.860810574
2000,Defense,Air Force,N,PDuns-2,1,1,0,1,1,13,15,50,3821321,2000-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,6174223.169513979
2000,Defense,Air Force,N,PDuns-3+,1,0,0,1,1,71,87,213,15694980,2000-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,25358850.816526145
2000,Defense,Air Force,S,PDuns-2,1,0,1,1,1,47,51,327,96041486.78,2000-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,155177116.21495458
2000,Defense,Air Force,S,PDuns-2,1,1,1,1,1,5,5,55,6499197,2000-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,10500947.892269647
2000,Defense,Air Force,S,PDuns-3+,1,0,0,1,1,13,13,26,1710113,2000-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,2763080.9626009064
2000,Defense,Air Force,S,PDuns-3+,1,0,1,1,1,14,18,142,41649340,2000-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,67294090.19105312
2000,Defense,Air Force,S,PID,1,0,0,1,1,43,43,261,16901996,2000-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,27309062.83827833
2000,Defense,Army,L,PID,1,0,0,1,1,10,10,35,-29791,2000-01-01,Army,Army,Large Vendor,Other Than Small,Large,-48134.213912673375
2000,Defense,Army,M,Duns,1,0,0,1,1,1,1,6,322302,2000-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,520753.02650070336
2000,Defense,Army,M,PDuns-1,1,0,0,0,0,11,11,28,-1369301.25,2000-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,-2212421.1768114883
2000,Defense,Army,M,PDuns-2,1,1,0,1,1,53,55,205,15653161,2000-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,25291282.60157485
2000,Defense,Army,M,PDuns-2,1,1,1,1,1,28,30,183,121946049,2000-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,197031895.8199238
2000,Defense,Army,N,PDuns-1,1,0,0,0,0,1,1,6,-1504903,2000-01-01,Army,Army,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-2431516.999087775
2000,Defense,Army,N,PDuns-1,1,0,0,1,1,574,574,2305,155063102.811,2000-01-01,Army,Army,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,250540114.8221791
2000,Defense,Army,N,PID,1,1,0,1,1,9,9,39,1843836,2000-01-01,Army,Army,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2979141.2320461893
2000,Defense,Army,S,PDuns-1,1,0,0,1,1,4684,4684,10270,791752231,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,1279257871.5984824
2000,Defense,Army,S,PDuns-2,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2000,Defense,Army,S,PDuns-2,1,0,0,0,0,1,1,1,2420,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,3910.066720441394
2000,Defense,Army,S,PDuns-2,1,0,0,1,1,151,154,279,22217822,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,35898002.645822585
2000,Defense,Army,S,PDuns-3+,1,0,0,1,1,17,32,49,3771663,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,6093989.246702542
2000,Defense,Army,S,PID,1,0,0,0,1,4,4,26,343386,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,554819.0788700366
2000,Defense,Army,S,PID,1,1,0,1,1,1,1,9,1112088,2000-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,1796833.999587698
2000,Defense,DLA,NA,PID,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,11,11,52,8152051,2000-01-01,Other DoD,DLA,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,13171513.767950822
2000,Defense,DLA,L,PID,1,0,0,1,1,4,4,468,23726604,2000-01-01,Other DoD,DLA,Large Vendor,Other Than Small,Large,38335787.06177341
2000,Defense,DLA,M,PDuns-1,1,0,1,1,1,102,102,1203,757494510,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,1223906642.3421738
2000,Defense,DLA,M,PDuns-1,1,1,1,1,1,34,34,135,392275123.4883,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,633810704.7969587
2000,Defense,DLA,M,PDuns-2,1,0,1,1,1,19,19,134,100629562,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,162590207.21850988
2000,Defense,DLA,M,PDuns-2,1,1,1,1,1,8,8,58,14121992,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,22817326.836999837
2000,Defense,DLA,M,PDuns-3+,1,0,0,1,1,10,14,356,20815355,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,33631994.570112966
2000,Defense,DLA,M,PID,Unlabeled,Unlabeled,0,0,0,2,2,0,0,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,0
2000,Defense,DLA,M,PID,1,0,0,1,1,10,10,308,28830549,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,46582384.37064253
2000,Defense,DLA,M,PID,1,1,0,1,1,2,2,5,170484,2000-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,275456.1218048474
2000,Defense,DLA,N,PDuns-1,1,0,0,1,1,368,368,3914,223018527.9502,2000-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,360337737.2644239
