Fiscal_Year,Customer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2005,DHS,N,PDuns-2+,1,0,0,0,0,0,4,4,20,6594,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9519.459132223516
2006,NASA,N,PDuns-1,1,0,1,1,1,1,208,208,1388,219119823.67,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,306359047.19211715
2007,Other Agencies,N,PDuns-2+,1,1,0,0,1,1,31,35,233,1353754.3111,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1842211.8044457715
2020,Energy,M,Duns,1,0,0,1,1,1,1,1,1,100000,2020-01-01,Medium Vendor,Other Than Small,Medium,110523.08238434549
2010,Energy,S,PDuns-2+,1,0,0,0,1,1,23,23,48,339242.0922,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,443805.907479386
2014,HHS,S,Duns,1,0,0,0,0,0,1,1,1,-14447,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-17527.07813465156
2020,Defense,M,PDuns-2+,1,1,0,0,1,0,26,26,415,645515.2906,2020-01-01,Medium Vendor,Other Than Small,Medium,713443.3964333851
2019,NATIONAL ENDOWMENT FOR THE HUMANITIES,N,PDuns-1,1,0,1,1,1,1,7,7,18,785566.423,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,879814.8316051081
2007,DHS,L,PID,1,1,1,1,1,1,97,97,11564,3457405753.6511,2007-01-01,Large Vendor,Other Than Small,Large,4704896331.565068
2010,GSA,N,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,5,5,0,0,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2011,HHS,M,PDuns-1,1,1,0,0,1,1,45,45,65,820527.0708,2011-01-01,Medium Vendor,Other Than Small,Medium,1052229.877582152
2012,GSA,S,PDuns-2+,Unlabeled,Unlabeled,0,0,0,0,6,6,0,-1500,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-1888.9499996395882
2012,Energy,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2012,HHS,S,PID,1,0,0,0,0,0,1,1,1,-3744,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-4714.819199100412
