"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"****AFX",1896,3884335,6518319,130387828,29835948,-3650000,,,,,,244684,,,,,,,,,,,,,
"10KW 60 CYCLE GE",564,,83235,,,,,,,,,,,,,,,,,,,,,,
"155 MM HIP",688,,,,,,,,,,21537.4199,,,,,,,,,,,,,,
"214 COMMERCIAL",107,230856,4001871,294272,2905167,,,,,,,,,,,,,,,,,,,,
"2GFM",1010,,248435,,,,,,,,,,,,,,,,,,,,,,
"319",1322,,,,,,,,,,,,,10000,,,,,,,,,,,
"39A",2034,,,,,,,,,,,,,,,,48248,,,,,,,,
"404L TRAFF CNTRL & LAND S",1708,1212744,1509395,301873,5357235,,,,,,,,,,,,,,,,,,,,
"407L TACTICAL AIR CONTROL",1707,,49005,,,,,,,,,,,,,,,,,,,,,,
"411L AWACS",1713,4916474,,,7373691,,,,,,0,,,,,,,,,,,,,,
"421",2037,,,,,,,,,,,,,,,,,,,222939.9844,,,,,
"427M CHEYENNE",1724,26522402,2893555,52500,,,,,,,,,,,,,,,,,,,,,
"433L WEATHER SYSTEM",1710,,,9175569,,,,,,,,,,,,,,,,,,,,,
"439",2041,,,,,,,,,,,,,,,,137500,,,,,,,,
"466",2044,,,,,,,,,,,,,,,,100904.7602,113734.8409,196482.211,59346,72857.6999,0,162164.9375,,
"469",2045,,,,,,,,,,,,,,,,237943.621,,,,,,,,
"470",2046,,,,,,,,,,,,,,,,,,,,,,245.82,3337.9199,
"474L BMEWS",1714,8081129,,271606,,,,,,,,,,,,,,,,,,,,,
"483",2049,,,,,,,,,,,,,,,,39832,,3191100.7208,,,,,,
"5./54 MK-41 PROJECTILE",917,,123965,,,,,,,,,,,,,,,,,,,,,,
"511",1810,,,,,,,,,,,,,,90000,90000,,,,,0,,,,
"522",2242,,,,,,,,,,,,,,,,,,,,388118,5712323,6146134,6063916.5234,10344027.0469
"586",2249,,,,,,,,,,,,,,,,,,,,,9954157,9e+05,2522735,963047
"589",2250,,,,,,,,,,,,,,,,,,,,,21854769.2032,33766017.125,35691816.2656,19281980.3281
"750 KW",1753,186612,19971368,30414004,92090924,,,,,,,,,,,,,,,,,,,,
"<15KW 60 CYCLE DE",565,,,43610,,,,,,,,,,,,,,,,,,,,,
"<60 KW",568,,,180634,,,,,,,,,,,,,,,,,,,,,
