SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
,,"Agriculture, forestry, and fishing",,
01,,Agricultural production- crops,,
0111,,Wheat,11114,Wheat Farming
0112,,Rice,11116,Rice Farming
0115,,Corn,11115,Corn Farming (pt)
0116,,Soybeans,11111,Soybean Farming
0119,,"Cash Grains, NEC",,
0119,pt,.   Dry Pea and Bean Farms,11113,Dry Pea and Bean Farming
0119,pt,".   Oilseed, Except Soybean, Farms",11112,Oilseed (except Soybean) Farming
0119,pt,.   Popcorn Farms,11115,Corn Farming (pt)
0119,pt,.   Combination Oilseed and Grain Farms,111191,Oilseed and Grain Combination Farming
0119,pt,.   Other Farms,111199,All Other Grain Farming
0131,,Cotton,11192,Cotton Farming
0132,,Tobacco,11191,Tobacco Farming
0133,,Sugarcane and Sugar Beets,,
0133,pt,.   Sugar Beets,111991,Sugar Beet Farming
0133,pt,.   Sugarcane,11193,Sugarcane Farming
0134,,Irish Potatoes,111211,Potato Farming
0139,,"Field Crops, Except Cash Grains, NEC",,
0139,pt,.   Hay Farms,11194,Hay Farming
0139,pt,.   Peanut Farming,111992,Peanut Farming
0139,pt,.   Sweet Potatoes and Yam Farms,111219,Other Vegetable (except Potato) and Melon Farming (pt)
0139,pt,.   Other Field Crop Farms,111998,All Other Miscellaneous Crop Farming (pt)
0161,,Vegetables and Melons,111219,Other Vegetable (except Potato) and Melon Farming (pt)
0171,,Berry Crops,,
0171,pt,.   Strawberry Farms,111333,Strawberry Farming
0171,pt,.   Other Berry Farms,111334,Berry (except Strawberry) Farming
0172,,Grapes,111332,Grape Vineyards
0173,,Tree Nuts,111335,Tree Nut Farming
0174,,Citrus Fruits,,
0174,pt,.   Orange Groves and Farms,11131,Orange Groves
0174,pt,.   Other Citrus Groves and Farms,11132,Citrus (except Orange) Groves
0175,,Deciduous Tree Fruits,,
0175,pt,.   Apple Orchards and Farms,111331,Apple Orchards
0175,pt,.   Other Farms,111339,Other Noncitrus Fruit Farming (pt)
0179,,"Fruits and Tree Nuts, NEC",,
0179,pt,.   Combination Fruit and Tree Nut Farms,111336,Fruit and Tree Nut Combination Farming
0179,pt,.   Other Farms,111339,Other Noncitrus Fruit Farming (pt)
0181,,Ornamental Floriculture and Nursery Products,,
0181,pt,.   Floriculture Farming,111422,Floriculture Production
0181,pt,.   Nursery Farming,111421,Nursery and Tree Production (pt)
0182,,Food Crops Grown Under Cover,,
0182,pt,".   Mushrooms, Growing Of",111411,Mushroom Production
