"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"105MM ART AMMUNITION ALL",370,,,,1955864,,,,,,3150.1699,,,,,,,,,,,,,,
"105MM TANK AMMO ALL TYPES",366,,167875,,1580,,,,,,,,,,,,,,,,,,,,
"10KW 60 CYCLE GE",564,,83235,,,,,,,,,,,,,,,,,,,,,,
"120MM",333,674964,,817991,70937,,,,,,,,,,,,,,,,,,,,
"120MM AMMUNITION ALL TYPE",367,299110,209112,143124319,,,,,,,,,,,,,,,,,,,,,
"120MM TANK AMMUNITION",359,64106506,4468653,196667348,207290274,-37411,,,,,,,,,,,,,,,,,,,
"155 MM HIP",688,,,,,,,,39385.7109,522431.2093,35474.4199,7452,,9851.5,242361.29,-250,,,,,,,,,
"155MM ARTY ALL (EXCLG SAD",398,122400,,152064,2420326,,,,,,,,-3856.26,,,,,,,,,,,,
"1CRN",176,,105600,,,,,,,,,,,,,,,,,,,,,,
"1FVD",401,,661935,,,,,,,,,,,,,,,,,,,,,,
"1GVM",541,,25350,,,,,,,,,,,,,,,,,,,,,,
"2.75"" ROCKET ALL TYPES",173,,1117224,3795252,4432347,,,,,,,,,,,,,,,,,,,,
"20MM AMMUNITION ALL TYPES",349,,2296496,18041426,8588669,,,,,,,,,,,,,,,,,,,,
"20MM GUN (VULCAN) M61",311,,,,45808,,,,,,,,,,,,,,,,,,,,
"20MM XM167 TOWED",309,,73242,130680,554209,,,,,,,,,,,,,,,,,,,,
"214 COMMERCIAL",107,230856,4001871,294272,2905167,,,,,,,,,,,,,,,,,,,,
"25MM AMMUNITION ALL TYPES",362,,,57596,,,,,,,,,,,,,,,,,,,,,
"25MM M242 AUTOMATIC GUN",319,244070,1608191,1670222,3226101,,,-224905,,,,,,,,,,,,,,,,,
"30MM AMMUNITION ALL TYPES",369,300638,17455293,32183219,18807377,,,,,,,,,,,,,,,,,,,,
"319",1322,,,,,,,,,,,,,10000,,,,,,,,,,,
"40MM AMMUNITION ALL TYPES",352,,17494037,1564423,46474553.2002,2868,91071,,2190520.375,-0.28,311.83,,10439,,,113880.74,,,,,,,,,
"433",2039,,,,,,,,,,,,,,,,1720770,1512319,4229.99219999999,-38012.8008,-2808.95,,,,
"466",2044,,,,,,,,,,,,,,,,100904.7602,41322263.8409,126653318.9297,785648059.3658,81723600.198,644047839.9388,100030562.7865,383482058.1477,175081589.6719
"469",2045,,,,,,,,,,,,,,,,252343.621,,,,,,,,
"470",2046,,,,,,,,,,,,,,,,,,,,,,245.82,3337.9199,
"479",2048,,,,,,,,,,,,,,,,,,,,5531586,6680725,0,,-3434493
"486",2236,,,,,,,,,,,,,,,,,,,,23175,,,,
"5-INCH GUIDED PROJ",10,,,,,,,,,-249.99,,,,5767427,0,2110542.84,,,,,,,,,
"5.56MM CARBINE",313,6116482,13850686,23218471,40350180,3110006,,,,,,,,,,,,,,,,,,,
"5.56MM M249 SQD AUTOMATIC",318,9713148,4613426,4740865,13355014,192237,,,,,,,,,,,,,,,,,,,
"50CAL M2 MACHINE GUN",307,,1596370,803309,159854,,,,,,,,,,,,,,,,,,,,
"50MM M85 MACHINE GUN",304,,,409500,,,,,,,,,,,,,,,,,,,,,
"511",1810,,,,,,,,,,,,,,90000,90000,,,,,0,,,,
"532",1820,,,,,,,,,,,,,,14938.02,,,,,,,,,,
