"","Simple","ProductServiceOrRnDarea","Action_Obligation_OMB20_GDP20"
"1","Products","Aircraft",168450.070139067
"2","Products","Clothing & Subsistence",3221609040.02244
"3","Products","Electronics & Communications",20711317.7866486
"4","Products","Fuels",1085779.50026168
"5","Products","Ground Vehicles",8233.12579234973
"6","Products","Launchers & Munitions",1610943.33159894
"7","Products","Missiles & Space",564852.049602809
"8","Products","Other",115400942.862253
"9","Products","Ships",5445353.32703103
"10","R&D","Advanced Component Development & Prototypes (6.4)",393579923.317488
"11","R&D","Advanced Technology Development (6.3)",7922070667.90183
"12","R&D","Applied Research (6.2)",13583356092.8495
"13","R&D","Basic Research (6.1)",16170290802.3782
"14","R&D","Operation of Government R&D Facilities",6672312651.04911
"15","R&D","Operational Systems Development (6.7)",301819070.917715
"16","R&D","System Development & Demonstration (6.5)",688429271.088544
"17","R&D","Uncategorized R&D",0
"18","Services","ERS",18146466.2499568
"19","Services","FRS&C",5669169.73039369
"20","Services","ICT",3633083.11871588
"21","Services","MED",1092880391.19567
"22","Services","PAMS",2898758011.56199
