fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,3M,556439,24,24
2006,A1 SERVICE,0,1,1
2006,AAR,119145662,96,97
2006,AAVID THERMAL TECHNOLOGIES,10225,2,2
2006,ABACUS TECHNOLOGY,27127309.875,59,60
2006,ABECO CONTRACTING,597963,17,18
2006,ABM,189335,7,7
2006,ACCENTURE,23428718,30,30
2006,ACCESS PORTABLE TOILETS,10485,1,1
2006,ACEPEX MANAGEMENT,3888997,32,33
2006,ACS,14200,2,2
2006,ACTIONET,1300,1,1
2006,ACULIGHT,6327527,22,22
2006,ADA,596149,3,3
2006,ADM INTERNATIONAL,252862,17,17
2006,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,2400,1,1
2006,ADT SECURITY SERVICES,8998192,82,82
2006,ADVANTOR HOLDING COMPANY,1920975.6094,68,68
2006,AECOM TECHNOLOGY,5786529,29,30
2006,AEROFLEX,35e3,1,1
2006,AEROQUIP VICKERS,244765,7,7
2006,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],282330413.52,21,21
2006,AEROVIRONMENT,3070445,10,10
2006,AES,46290437.2188,47,47
2006,AFOGNAK NATIVE,14362350,15,15
2006,AGILENT TECHNOLOGIES,14111614,176,177
2006,AHTNA,0,0,1
2006,AIRPORT EQUIPMENT RENTALS,79644,4,4
2006,AKAL SECURITY,21394223,2,2
2006,ALASKA AIR GROUP,90591,4,4
2006,ALCATEL LUCENT,676720,9,9
2006,ALCOA,22690,8,8
2006,ALEC ACQUISITIONS SUB,152186,2,2
2006,ALIANT COMMUNICATIONS,4621,1,1
2006,ALION SCIENCE & TECHNOLOGY,9176700,39,40
2006,ALL CITIES CONSTR & FENCE,34746625,469,469
2006,ALL POINTS LOGISTICS,166738,5,5
2006,ALLEN VANGUARD,13100,1,1
2006,Alliance Contracting,1023465623,653,655
2006,ALLIED AEROSPACE INDUS,3585810,1,1
2006,ALLIED WASTE SYSTEMS,196688,6,6
2006,ALLTEL,120909,3,3
2006,ALTIRIS,190047,2,2
2006,"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",113899,4,4
2006,ALVAREZ & ASSOCIATES LLC,188340,1,1
2006,AM GENERAL,8730,2,2
2006,AMEC PLC,273207367,206,207
2006,AMERESCO,803054,3,3
2006,AMERICAN CHEMICAL SOCIETY,149090,4,4
2006,AMERICAN HOSPITAL SERVICE GROUP,16699659.2563,105,107
2006,AMERICAN MEDICA,1149242,7,7
2006,AMERICAN ORDINANCE LLC A JOINT,13466,1,1
2006,American Science & Engineering,2462486,19,19
2006,AMERICAN STANDARD,3904918,58,58
2006,AMERICAN SYSTEMS,324906,3,3
2006,AMERICAN WEST HOLDINGS,190392,4,4
2006,AMERIDATA TECHNOLOGIES,7976532,133,133
2006,AMETEK,3114610,45,46
2006,AMF MECHANICAL,563498,6,6
2006,AMR,1895827,25,25
2006,AMS,228453,1,1
2006,AMSTAR,12870,1,1
2006,AMTEC,80019,6,6
