fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,**VARIABLE,1e5,1,1
2006,3H TECHNOLOGY,14973,1,1
2006,3M,5345451,83,84
2006,AAI,29186348,21,21
2006,AAR,18045398.2313,86,89
2006,AASKI,1812026,11,12
2006,AAVID THERMAL TECHNOLOGIES,234585,9,9
2006,ABACUS TECHNOLOGY,1042216,4,6
2006,ABB,13971,2,2
2006,ABB SUSA/A ARENSON [Joint Venture - ABB/A. Arenson],896022,29,29
2006,ABECO CONTRACTING,627039,9,9
2006,ABM,661943,54,56
2006,ABS GROUP OF COMPANIES,23070,3,3
2006,ABT ASSOCIATES,265251,4,4
2006,ACADEMY FOR EDUCATIONAL DEVELOPMENT (AED),164911,1,1
2006,ACCENTURE,5887913,15,18
2006,ACCURATE AUTOMATION,209946,2,2
2006,ACCUTECH SYSTEMS,-752,1,1
2006,ACE CLEANING S,1341582,44,47
2006,ACEPEX MANAGEMENT,2727980,16,16
2006,ACULIGHT,613373,5,5
2006,ADA,930414,3,3
2006,ADI TECHNOLOGIES,85947,6,6
2006,ADM INTERNATIONAL,3778094.0502,82,82
2006,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,46180,1,1
2006,ADT SECURITY SERVICES,3322640.7806,211,215
2006,ADVANCE PRESORT SERVICES,0,3,3
2006,ADVANCED ENERGY SYSTEMS,14570,2,2
2006,ADVANTOR HOLDING COMPANY,10226082,142,140
2006,AECOM TECHNOLOGY,268417616.22,78,78
2006,AEGIS GROUP PLC,4195561,12,12
2006,AEPCO,1,4,4
2006,AEROQUIP VICKERS,516245,22,23
2006,AEROVIRONMENT,75805082,44,44
2006,AES,309222,9,9
2006,AFFILIATED COMPUTER SERVICES [XEROX],3276,1,1
2006,AFOGNAK NATIVE,103259643.8496,216,226
2006,AGILENT TECHNOLOGIES,16959906.1921,331,332
2006,AGILITY DEFENSE & GOVERNMENT SERVICES,140514403,85,50
2006,AHTNA,1639040,3,5
2006,AIRPORT EQUIPMENT RENTALS,176155,12,12
2006,AKAL SECURITY,78994333,118,118
2006,ALCATEL LUCENT,46297640,71,75
2006,ALCOA,8220238.8125,28,29
2006,ALEC ACQUISITIONS SUB,-176,2,2
2006,ALFRED WILLIAMS &,3989,1,1
2006,ALIANT COMMUNICATIONS,984760.87,84,87
2006,ALION SCIENCE & TECHNOLOGY,56125565,184,188
2006,ALL CITIES CONSTR & FENCE,27226772.6055,460,463
2006,ALL POINTS LOGISTICS,51383.41,17,18
2006,ALLEN VANGUARD,166224,4,4
2006,ALLENS SYSTEMS GROUP,0,1,1
2006,Alliance Contracting,22298,1,1
2006,ALLIANCE DATACOM,8350,4,4
2006,ALLIED TECHNOLOGY GROUP,1469731,7,7
2006,ALLIED WASTE SYSTEMS,278779,33,33
2006,ALLTEL,711536.6694,72,74
2006,ALTIRIS,28267,4,4
2006,"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",17522971.2998,111,109
2006,ALUMINUM SPECIALTIES,2625,1,1
2006,AM GENERAL,2059647742.5703,343,351
2006,AMEC PLC,1256780,47,49
2006,AMERESCO,41334931.7813,28,30
2006,AMERICAN APPAREL,3011884,2,2
2006,AMERICAN CHEMICAL SOCIETY,111376,8,9
2006,AMERICAN ECOLOGY,14747977,49,49
2006,AMERICAN HOSPITAL SERVICE GROUP,28300149.1303,405,404
2006,AMERICAN INTERNATIONAL CONTRACTORS,5858307,8,8
2006,AMERICAN IRAQI LIFE SUPPORT SOLUTIONS,114308,2,2
2006,AMERICAN MEDICA,581025,10,11
2006,AMERICAN ORDINANCE LLC A JOINT,66810800,153,153
2006,AMERICAN PRESIDENT LINES,84280139,10,16
2006,American Red Cross,-689854.6875,3,3
2006,American Science & Engineering,61410265,34,34
2006,AMERICAN STANDARD,4437118.094,84,84
2006,AMERICAN SYSTEMS,2532518,9,10
2006,AMERICORP,7883797,32,32
2006,AMERIDATA TECHNOLOGIES,19740913.3032,379,378
2006,AMERITECH,201630,14,14
2006,AMETEK,3379533,51,51
2006,AMS,3e4,1,1
2006,AMTEC,148064953,123,123
2006,ANALEX,9860965.0469,15,16
