Name,City,State,Manager,"Vintage year","Fund size","Average investment","Investment strategy","Making new investments?","Investor relations name","Investor relations email","Investor relations phone"
"1st Source Capital Corporation","South Bend",IN,"1st Source Capital Corporation",1983,2850000,283740,Multiple,No,"Andrea Short",shorta@1stsource.com,574-235-2416
"AAVIN Capital III, LP","Cedar Rapids",IA,"AAVIN Private Equity",2022,125032468,3900000,Buyout,Yes,"James D. Thorp",gmilroy@aavin.com,319-247-1072
"AAVIN Mezzanine Fund, LP","Cedar Rapids",IA,"AAVIN Private Equity",2015,37822095,704749,Mezzanine,No,"James D. Thorp",jthorp@aavin.com,319-247-1072
"Aldine Capital Fund II, L.P.",Chicago,IL,"Aldine Capital Partners",2013,46759282,1380832,Mezzanine,No,"Steve Groya",sgroya@aldinecapital.com,312-346-1006
"Aldine Capital Fund III, L.P.",Chicago,IL,"Aldine Capital Partners, Inc.",2019,185866570,4596023,Mezzanine,Yes,"Steve Groya",sgroya@aldinecapital.com,312-346-1006
"Aldine Capital Fund IV, L.P.",Chicago,IL,"Aldine Capital Partners, Inc.",2022,170220000,4482747,Mezzanine,Yes,"Steve Groya",sgroya@aldinecapital.com,312-346-1002
"Argentum Capital Partners II, L.P.","New York",NY,"Argentum Fund Management, LLC",1997,9741568,401790,Multiple,No,"Daniel Raynor, Chairman",sdberman@argentumgroup.com,212-949-6262
"Argentum Capital Partners III, L.P.","New York",NY,"Argentum Fund Management, LLC",2014,87934000,1654349,"Hybrid Debt/Equity",No,"Steven Berman",sdberman@argentumgroup.com,212-949-8511
"Argentum Capital Partners IV, L.P.","New York",NY,"Argentum Fund Management, LLC",2020,198291250,4878334,"Hybrid Debt/Equity",Yes,"Steven Berman",sdberman@argentumgroup.com,212-949-8511
"Argentum Capital Partners, LP","New York",NY,"Argentum Fund Management, LLC",1990,1061053,141067,"Hybrid Debt/Equity",No,"Daniel Raynor, Chairman",sdberman@argentumgroup.com,212-949-8272
"Argosy Investment Partners IV, L.P.",Wayne,PA,"Argosy Private Equity",2009,10719935,786044,"Hybrid Debt/Equity",No,"Kirk B. Griswold, Manager",kirk@argosycapital.com,610-971-9685
"Argosy Investment Partners SBIC VI, L.P.",Wayne,PA,"Argosy Private Equity",2021,350000000,11291744,"Hybrid Debt/Equity",Yes,"Michael R. Bailey",mbailey@argosycapital.com,610-971-9685
"Argosy Investment Partners V, L.P.",Wayne,PA,"Argosy Private Equity",2014,17360729,4789465,"Hybrid Debt/Equity",No,"Kirk B. Griswold",kirk@argosycapital.com,610-971-9685
"Avante Capital Partners SBIC III, L.P.","Los Angeles",CA,"Avante Capital Partners",2021,253882884,3425975,Mezzanine,Yes,"Clifford A. Lyon",cliff@avantecap.com,310-667-9242
"Avante Capital Partners SBIC III-A, L.P.","Los Angeles",CA,"Avante Capital Partners",2021,138558968,1013986,Mezzanine,Yes,"Clifford A. Lyon",cliff@avantecap.com,310-667-9242
"Avante Mezzanine Partners SBIC II, L.P.","Los Angeles",CA,"Avante Capital Partners",2015,121327040,4073163,Mezzanine,No,"Clifford A. Lyon",jharman@avantemezzanine.com,310-667-9242
"Avante Mezzanine Partners SBIC, L.P.","Los Angeles",CA,"Avante Capital Partners",2010,17992461,3387378,Mezzanine,No,"Clifford A. Lyon",jharman@avantemezzanine.com,310-667-9242
"Balance Point Capital Partners II, L.P.",Westport,CT,"Balance Point Capital",2015,103036478,3431865,Mezzanine,No,"Seth W. Alvord",salvord@balancepointcapital.com,203-652-8255
"Balance Point Capital Partners IV, L.P.",Westport,CT,"Balance Point Capital",2020,281313131,7181098,Mezzanine,Yes,"Seth W. Alvord",salvord@balancepointcapital.com,203-652-8255
"Ballast Point Ventures III, L.P.",Tampa,FL,"BPV Management, LLC",2014,96319250,1892659,Venture,No,"Paul Johan",pjohan@ballastpointventures.com,813-906-8500
"Ballast Point Ventures IV, L.P.",Tampa,FL,"BPV Management, LLC",2021,171492000,5171363,Venture,Yes,"Paul Johan",pjohan@ballastpointventures.com,813-906-8500
"Barings Small Business Fund, L.P.",Charlotte,NC,Barings,2020,206312029,2113657,Mezzanine,Yes,"Scott Chappell",Christina.Emery@barings.com,704-805-7671
"Bayview Capital Partners III LP",Minnetonka,MN,"Tonka Bay Equity Partners LLC",2011,51138559,754165,Buyout,No,"Shane Slominski",sSlominski@tonkabayequity.com,952-345-2032
"Bayview Capital Partners IV LP",Minnetonka,MN,"Tonka Bay Equity Partners LLC",2020,158625000,3396917,Buyout,Yes,"Steven Soderling",ssoderling@tonkabayequity.com,952-345-2031
"Blue Sage Capital II, L.P.",Austin,TX,"Blue Sage Capital",2012,56102997,3783832,"Balanced Venture",No,"Alan Mire",Alan.Mire@bluesage.com,512-536-1902
"Bluehenge Capital SBIC II, L.P.","Baton Rouge",LA,"Bluehenge Capital Management, LLC",2022,122850000,7950000,Mezzanine,Yes,"David Kocen",adkocen@bluehenge.com,225-615-3348
"Bluehenge Capital Secured Debt SBIC, LP","Baton Rouge",LA,"Bluehenge Capital Partners",2015,82344882,2959242,"Direct Lending",No,"Ari David Kocen",adkocen@bluehenge.com,225-615-3348
"Bluhaus Small Business Fund, L.P.",Guaynabo,PR,"Bluhaus Capital",2020,50625000,2288489,"Hybrid Debt/Equity",Yes,"Eduardo Inclan",einclan@bhcapllc.com,787-708-6747
"Boathouse Capital II LP",Wayne,PA,"Boathouse Capital",2014,143816861,1914069,Mezzanine,No,"Kenneth E. Jones",ken.jones@boathousecapital.com,610-977-2787
"Boathouse Capital III LP",Wayne,PA,"Boathouse Capital",2021,298000000,5820340,Multiple,Yes,"Brian Adamsky",ken.jones@boathousecapital.com,610-263-2818
"Boathouse Capital LP",Wayne,PA,"Boathouse Capital",2009,23451403,750596,Mezzanine,No,"Kenneth E. Jones",ken.jones@boathousecapital.com,610-977-2787
"Bridges Ventures U.S. Sustainable Growth Fund, L.P.",Stamford,CT,"Bridges Ventures, Inc.",2014,56648604,2136689,"Growth Equity",No,"Elizabeth Burgess",Elizabeth.burgess@bridgesfundmanagement.com,646-731-2759
"Brightwood Capital SBIC I, LP","New York",NY,"Brightwood Capital",2011,51169613,5862881,Mezzanine,No,"Selassie Sengal",sba@brightwoodlp.com,646-957-9525
"Brightwood Capital SBIC II, LP","New York",NY,"Brightwood Capital",1979,12885484,2843177,"Direct Lending",No,"Selassie Sengal",sba@brightwoodlp.com,646-957-9525
