"cas_label","IsEntityTraditionalLabel","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Commercial","Non-Traditional
DOD Contractor",38458531931.5283,45589347086.7226,46171765940.5143,41537077393.4175,43951617546.5592,50101389458.1014,35393898321.0689,34094016249.2388,28967950508.5641,27014082627.1919,29427177294.0275,34883959963.3852,35385249256.4251,35893793617.0317,55321393273.3887,53864800045.8811,47257123941.4428,55250603112.5316,22247056375.08
"Commercial","Traditional
DOD Contractor",26885034553.1204,31507304958.5718,26716409044.8531,27078631485.5039,25970000116.6182,22254007219.4983,19729548027.9564,18127364076.753,19979382087.195,19987335700.7425,22831087399.949,26667229642.5153,29232331824.2047,35335982667.2566,44238922301.0971,52718506537.9604,38512324740.3191,33600856923.06,14542883317.99
"Competition","Non-Traditional
DOD Contractor",16298883220.0048,18594143778.9783,17422399137.8866,17732451038.6698,15556551552.9918,15660755028.1871,13063990710.8698,14563611572.8474,13556842872.2055,15333656152.2369,17438108160.5209,13060596542.8858,16342368196.0317,16971436248.6669,15449905870.4065,17384744667.6243,19402939775.4253,22087257707.7547,7920890433.99
"Competition","Traditional
DOD Contractor",15775637594.727,21513034969.1407,22416888947.1566,23218747476.5418,29872709266.7337,29162775523.9155,23884448317.5309,23226064658.9208,20097084839.477,20574181474.6864,19699511085.846,19950867478.0183,21277644542.9216,24415879206.1808,18532651979.4445,20204075653.1678,21056533550.3347,18631140329.4987,4886622629.23
"Contract Size","Non-Traditional
DOD Contractor",9102319716.0299,9512376474.8531,8294963553.5883,7172101858.9769,6356912021.0867,6114669335.5265,5454909817.9815,6950680281.049,7430200791.92,7509048187.69,6787085230.7303,12715662964.686,12959959891.9003,11920230838.9849,11293764712.0929,11923316006.9859,12698134067.0759,15723494261.8742,7902293342.87
"Contract Size","Traditional
DOD Contractor",11571667801.0441,11146416438.7398,11482975371.2298,10838776257.7843,14377872983.1101,13208323237.57,10812847561.4631,11069031654.4008,10883909134.8884,10117359797.162,11241573903.0588,13809155700.8501,13764588272.2772,13028373823.6532,10931765841.5129,11541673171.0799,8250444390.1778,6507142373.8825,2309343786.02
"Cost Accounting Standards Imputed","Non-Traditional
DOD Contractor",374232.125,10010929.3706,16756903.16,347910181.6678,631989460.5883,730784460.3282,574806467.1401,436938681.7882,483698726.3219,753315498.5144,1215869231.8993,2160974912.4065,1688998497.9529,1495222717.3292,1700626837.0681,3129470158.2138,1908806663.7062,418032673.26,310655970.58
"Cost Accounting Standards Imputed","Traditional
DOD Contractor",127174783.5722,54479568.8788,391366344.5801,10479699918.8507,42883540501.1991,55922320410.9551,47319115626.4257,44650490870.6004,44701851932.5913,51712759744.6184,59012138441.6715,74692834541.858,76903683893.58,83299993411.8082,78567870330.8299,79475855182.6356,54819900396.6547,32156247142.23,10960703037.6
"Cost Accounting Standards Labeled","Traditional
DOD Contractor",78448417799.941,88779673446.9173,105250702910.8,130120446440.626,117264791849.97,114685542347.414,115113680996.145,96329378653.5186,96690973730.429,115300031350.791,121605359784.587,124562642318.791,138898604551.736,161056532829.975,114931552428.534,127373436728.414,200309215715.959,197167619097.032,105822856351.73
"Other Exemption","Non-Traditional
DOD Contractor",3480708,7309532,4777682.7812,-389371.9688,566868.625,2744757.5625,740760.72,1661330.44,688122.1,7466648.5097,15539948.7242,10103095.36,50250051.2266,4643277.8061,18838219.6248,6404705,3009276.34,12328930.43,3940092.97
