"SubCustomer.OTA.sum","TypeOfAgreement","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Army","Prototype",265546547.95,417275713.03,305798391.22,467083660.6,623306976.79,902166349.31,1545404234.55,2947049116.68,4948289312.57,13032740676.7,9793570534.77,5520217490.6,5565329170.95,932467858.03
"Army","Production",,,,,,,,,348308,229376133.84,763694993.38,571942623.76,1471331710.26,150693771.27
"Navy","Prototype",,,1087637,2694831,2316363,4928841,50000,31955707.71,167767241.67,621072980.27,946510457.02,1392865308.59,2397333090.59,295278531.69
"Navy","Production",,,,,,,,,,10203844.83,37345087.25,80559943.51,213676422.24,44660062.4
"Air Force","Prototype",195000,1897530,3903539,4636181,4993631,250037783,187693198,526509339.38,1428461728.3,1359909639.11,1922436021.18,1390255303.73,2603049154.76,1194000298.8
"Air Force","Production",,,,,,,,,,76299804.16,62117307.39,61769399.21,107150475.74,33643822.15
"Air Force",,,,,,,,,,,235000,,,,
"SDA","Prototype",,,,,,,,,,,,623617676,1153957876.22,205871368
"MDA","Prototype",,,,,,,,,,79948980,160693402,232946539,421174933.8,48319960
"MDA","Production",,,,,,,,,,,3500000,6155000,8050000,2500000
"DARPA","Prototype",61502552,38758780,22014936,40849581,62907051,214782354.78,379711068.32,377879847.47,423307981.86,354104917.18,347468914.34,312343199.61,469335440.28,130386939.07
"DARPA","Production",,,,,,,,,,,,,6065329.49,3293394
"Other DoD","Prototype",65790468.88,16073573.33,7755269.51,8294831,1359295.89,61241002.21,2629821,70515217.94,243888265.92,525334651.5,418397828.4,510989564.27,1035595770.94,179010264.98
"Other DoD","Production",,,,,,,,,655268.97,41181902.47,212840425.61,289268271.34,327031127.28,83820685.66
