"Fiscal_Year","Contracting_Agency_ID","ProductOrServiceCode","PlatformPortfolio","ProjectID","majorprogramcode...6","Vehicle","CompetitionClassification","ClassifyNumberOfOffers","informationtechnologycommercialitemcategory","commercialitemacquisitionprocedures","commercialitemtestprogram","PricingUCA","VendorSize","fundedbyforeignentity","PlaceISOalpha3","pop_state_code","placeofperformancezipcode","VendorISOalpha3","VendorStateCode","OriginISOalpha3","PlaceOfManufacture","IsSiliconValley","majorprogramcode...24","IsZipTraditionalSiliconValley","EntityText","EntityID","Action_Obligation_Then_Year","NumberOfActions","ContractingAgencyName","PricingUCA.sum","Action_Obligation_OMB23_GDP21","dFYear","ContractingAgencyName.1","ContractingAgencyName.2","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","Vehicle.sum","Vehicle.sum7","Vehicle.AwardTask","informationtechnologycommercialitemcategoryText","Commercial","ITcategory","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","ProjectName","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","PlaceOfManufactureText","PlaceOfManufacture_Sum","PlaceIsForeign","VendorIsForeign"
2004,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","FFP","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,69806303,8,"DEPT OF THE NAVY","FFP",97431991.4608263,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Incentive","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,73429,1,"DEPT OF THE NAVY","Incentive",102488.362705256,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","UCA","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,204996,1,"DEPT OF THE NAVY","UCA",286122.70902677,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","AC11","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","F: NON-COMMERCIAL SERVICE","D","0","Other CB","Large: Big 6","","USA","NY","","USA","NY",,"",0,"",,"NORTHROP GRUMMAN",665531,169085,1,"DEPT OF THE NAVY","Other CB",236000.011004075,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","NON-COMMERCIAL SERVICE","Non-Commercial","IT Service","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","AC65","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Other CB","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,62352095,30,"DEPT OF THE NAVY","Other CB",87027797.2979694,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","AC65","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","UCA","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,4570391,5,"DEPT OF THE NAVY","UCA",6379113.02772527,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D","CEC",0,"Navy","Big Five",,,0,0
2004,"1700","R799","Electronics, Comms, & Sensors",1843,"","SINGLE AWARD IDC","Full Competition (Multiple Offers)","5-9 Offers","","D","0","Other CB","Large","X","USA","IN","","USA","MD",,"",,"",,"URS",675375,130000,2,"DEPT OF THE NAVY","Other CB",181447.209572285,2004-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Single-Awd.","Single-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","OTHER MANAGEMENT SUPPORT SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large",,,0,0
2004,"2100","7010","Electronics, Comms, & Sensors",1843,"","FSS","Unlabeled: Competition; Zero Offers","Unlabeled: Competition; Zero Offers","","A","0",,"Large","","USA","IA","","USA","IA",,"",,"",,"ROCKWELL COLLINS",669508,1346630,1,"DEPT OF THE ARMY","Unclear",1879555.81404866,2004-01-01,"DEPT OF THE ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","Unlabeled","Unlabeled",TRUE,"Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Other IDV","FSS or GWAC","Task Order","Unlabeled","Unlabeled","Unlabeled","ADPE SYSTEM CONFIGURATION","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Army","Large",,,0,0
2005,"1700","1230","Electronics, Comms, & Sensors",1843,"","DCA","Full Competition (Multiple Offers)","Two Offers","","D","0","Other CB","Large: Big 6","","USA","VA","","USA","VA",,"",0,"",,"GENERAL DYNAMICS",649342,27840612,1,"DEPT OF THE NAVY","Other CB",37569543.4713805,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONTROL SYSTEMS, COMPLETE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","FFP","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,45921389,7,"DEPT OF THE NAVY","FFP",61968667.2226054,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
