"SubCustomer","ProjectName","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","ABMS",,,,,,,,,,,,,,,,0.00229627922107056,0.0344456002373664,0.010989181
"Air Force","CEC",,6.74725531740835e-06,,,,,,,,,,,,,,,,
"Air Force","JADC2",,,,,,,,,,,,,,,,,0.00142646944337988,0.00019912
"Army","CEC",0.00187955581404866,-4.03485867981019e-06,0.00132098343398221,,,,,,,,,,,,,,,
"Army","JADC2",,,,,,,,,,,,,,,,,,0.000227491
"GSA","JADC2",,,,,,,,,,,,,,,,,,0.006788824875
"Navy","CEC",0.191644960078829,0.18498257770288,0.113602825862016,0.0410268411405218,0.0523990540037796,0.0889253945400402,0.118579273553476,0.082034578321534,0.0679196854423499,0.0470897134413306,0.131327686065965,0.13450429305773,0.169336267667709,0.113817007442759,0.127589718182147,0.109715210925936,0.14746159284692,0.1374669234819
"Navy","Convergence",,,,,,,,,,,,,,,,,,5e-04
"Navy","JADC2",,,,,,,,,,,,,,,,,,0.0019620455
"Other DoD","CEC",,,,,,,,,-0.000232390883142988,-0.000341755278462616,-1.36821382624503e-06,,0,0,0,-2.01066618406769e-09,0,-0.0002933596133
"Other DoD","JADC2",,,,,,,,,,,,,,,,,,0
