"","Primary.Export.Product.NAICS","Product.Description"
"1","111110","Soybean Farming"
"2","111120","Oilseed (except Soybean) Farming"
"3","111130","Dry Pea and Bean Farming"
"4","111140","Wheat Farming"
"5","111150","Corn Farming"
"6","111160","Rice Farming"
"7","111191","Oilseed and Grain Combination Farming"
"8","111199","All Other Grain Farming"
"9","111211","Potato Farming"
"10","111219","Other Vegetable (except Potato) and Melon Farming"
"11","111320","Citrus (except Orange) Groves"
"12","111331","Apple Orchards"
"13","111332","Grape Vineyards"
"14","111334","Berry (except Strawberry) Farming"
"15","111335","Tree Nut Farming"
"16","111336","Fruit and Tree Nut Combination Farming"
"17","111339","Other Noncitrus Fruit Farming"
"18","111411","Mushroom Production"
"19","111419","Other Food Crops Grown Under Cover"
"20","111421","Nursery and Tree Production"
"21","111422","Floriculture Production"
"22","111920","Cotton Farming"
"23","111940","Hay Farming"
"24","111992","Peanut Farming"
"25","111998","All Other Miscellaneous Crop Farming"
"26","112111","Beef Cattle Ranching and Farming"
"27","112112","Cattle Feedlots"
"28","112120","Dairy Cattle and Milk Production"
"29","112210","Hog and Pig Farming"
"30","112310","Chicken Egg Production"
"31","112320","Broilers and Other Meat Type Chicken Production"
"32","112330","Turkey Production"
"33","112340","Poultry Hatcheries"
"34","112390","Other Poultry Production"
"35","112511","Finfish Farming and Fish Hatcheries"
"36","112512","Shellfish Farming"
"37","112519","Other Aquaculture"
"38","112910","Apiculture"
"39","112920","Horses and Other Equine Production"
"40","112990","All Other Animal Production"
"41","113110","Timber Tract Operations"
"42","113210","Forest Nurseries and Gathering of Forest Products"
"43","113310","Logging"
"44","114111","Finfish Fishing"
"45","114112","Shellfish Fishing"
"46","114119","Other Marine Fishing"
"47","115111","Cotton Ginning"
"48","115112","Soil Preparation, Planting, and Cultivating"
"49","115113","Crop Harvesting, Primarily by Machine"
"50","115114","Postharvest Crop Activities (except Cotton Ginning)"
"51","115116","Farm Management Services"
"52","115210","Support Activities for Animal Production"
"53","115310","Support Activities for Forestry"
"54","119","Cash Grains - NEC"
"55","1381","Drilling Oil and Gas Wells"
"56","1382","Oil and Gas Field Exploration Services"
"57","1389","Oil and Gas Field Services - NEC"
"58","1542","Non-Residential Other Than Industrial and Warehous"
"59","1623","Water - Sewer - Pipeline - and Communications and Pow"
"60","1629","Heavy Construction - NEC"
"61","173","Tree Nuts"
"62","1731","Electrical Work"
"63","1771","Concrete Work"
"64","1791","Structural Steel Erection"
"65","2034","Dried and Dehydrated Fruits - Vegetables - and Soup"
"66","2048","Prepared Feeds and Feed Ingredients for Animals an"
"67","2064","Candy and Other Confectionery Products"
"68","2077","Animal and Marine Fats and Oils"
"69","2079","Shortening - Table Oils - Margarine - NEC"
"70","2092","Prepared Fresh or Frozen Fish and Seafood"
"71","2096","Potato Chips - Corn Chips - and Similar Snacks"
"72","2099","Food Preparations - NEC"
"73","211111","Crude Petroleum And Natural Gas Extraction"
"74","211112","Natural Gas Liquid Extraction"
"75","212111","Bituminous Coal and Lignite Surface Mining"
"76","212112","Bituminous Coal Underground Mining"
"77","212113","Anthracite Mining"
"78","212210","Iron Ore Mining"
"79","212221","Gold Ore Mining"
"80","212234","Copper Ore And Nickel Ore Mining"
"81","212299","All Other Metal Ore Mining"
"82","212311","Dimension Stone Mining and Quarrying"
"83","212312","Crushed and Broken Limestone Mining and Quarrying"
"84","212319","Other Crushed and Broken Stone Mining and Quarrying"
"85","212321","Construction Sand and Gravel Mining"
"86","212322","Industrial Sand Mining"
"87","212325","Clay and Ceramic and Refractory Minerals Mining"
"88","212391","Potash, Soda, and Borate Mineral Mining"
"89","212393","Other Chemical and Fertilizer Mineral Mining"
"90","212399","All Other Nonmetallic Mineral Mining"
"91","213111","Drilling Oil and Gas Wells"
"92","213112","Support Activities for Oil and Gas Operations"
"93","213113","Support Activities for Coal Mining"
"94","213114","Support Activities for Metal Mining"
"95","213115","Support Activities for Nonmetallic Minerals (except Fuels) Mining"
"96","2141","Tobacco Stemming and Redrying"
"97","221112","Fossil Fuel Electric Power Generation"
"98","221113","Nuclear Electric Power Generation"
"99","221114","Solar Electric Power Generation"
"100","221116","Geothermal Electric Power Generation"
"101","221119","Other Electric Power Generation"
"102","221121","Electric Bulk Power Transmission and Control"
"103","221122","Electric Power Distribution"
"104","221210","Natural Gas Distribution"
"105","221310","Water Supply and Irrigation Systems"
"106","221320","Sewage Treatment Facilities"
"107","221330","Steam and Air-Conditioning Supply"
"108","2281","Yarn Spinning Mills"
"109","2295","Coated Fabrics - Not Rubberized"
"110","2297","Nonwoven Fabrics"
"111","2299","Textile Goods - NEC"
"112","2341","Women's - Misses' - Children's - and Infants - Underga"
"113","236115","New Single-Family Housing Construction (except For-Sale Builders)"
"114","236116","New Multifamily Housing Construction (except For-Sale Builders)"
"115","236117","New Housing For-Sale Builders"
"116","236118","Residential Remodelers"
"117","236210","Industrial Building Construction"
"118","236220","Commercial and Institutional Building Construction"
"119","237110","Water and Sewer Line and Related Structures Construction"
"120","237120","Oil and Gas Pipeline and Related Structures Construction"
"121","237130","Power and Communication Line and Related Structures Construction"
"122","237310","Highway, Street, and Bridge Construction"
"123","237990","Other Heavy and Civil Engineering Construction"
"124","238110","Poured Concrete Foundation and Structure Contractors"
"125","238120","Structural Steel and Precast Concrete Contractors"
"126","238130","Framing Contractors"
"127","238140","Masonry Contractors"
"128","238150","Glass and Glazing Contractors"
"129","238160","Roofing Contractors"
"130","238190","Other Foundation, Structure, and Building Exterior Contractors"
"131","238210","Electrical Contractors and Other Wiring Installation Contractors"
"132","238220","Plumbing, Heating, and Air-Conditioning Contractors"
"133","238290","Other Building Equipment Contractors"
"134","238310","Drywall and Insulation Contractors"
"135","238320","Painting and Wall Covering Contractors"
"136","238330","Flooring Contractors"
"137","238340","Tile and Terrazzo Contractors"
"138","238350","Finish Carpentry Contractors"
"139","238390","Other Building Finishing Contractors"
"140","238910","Site Preparation Contractors"
"141","238990","All Other Specialty Trade Contractors"
"142","2394","Canvas and Related Products"
"143","2396","Automotive Trimmings - Apparel Findings - and Relate"
"144","2421","Sawmills and Planing Mills - General"
"145","2426","Hardwood Dimension and Flooring Mills"
"146","2435","Hardwood Veneer and Plywood"
"147","2439","Structural Wood - NEC"
"148","2452","Prefabricated Wood Buildings and Components"
"149","2499","Wood Products - NEC"
"150","2621","Paper Mills"
"151","2657","Folding Paperboard Boxes - including Sanitary"
"152","2679","Converted Paper and Paperboard Products - NEC"
"153","2741","Miscellaneous Publishing"
"154","2759","Commercial Printing - NEC"
"155","2789","Bookbinding and Related Work"
"156","2813","Industrial Gases"
"157","2819","Industrial Inorganic Chemicals - NEC"
"158","2821","Plastics Materials - Synthetic Resins - and Nonvulca"
"159","2833","Medicinal Chemicals and Botanical Products"
"160","2834","Pharmaceutical Preparations"
"161","2835","In Vitro and In Vivo Diagnostic Substances"
"162","2844","Perfumes - Cosmetics - and Other Toilet Preparations"
"163","2869","Industrial Organic Chemicals - NEC"
"164","2873","Nitrogenous Fertilizers"
"165","2891","Adhesives and Sealants"
"166","2899","Chemicals and Chemical Preparations - NEC"
"167","2992","Lubricating Oils and Greases"
"168","3053","Gaskets - Packing - and Sealing Devices"
"169","3069","Fabricated Rubber Products - NEC"
"170","3080","Miscellaneous Plastics Film and Sheet"
"171","3081","Unsupported Plastics Film and Sheet"
"172","3083","Laminated Plastics Plate - Sheet - and Profile Shape"
"173","3086","Plastics Foam Products"
"174","3087","Custom Compounding of Purchased Plastics Resins"
"175","3089","Plastics Products - NEC"
"176","3111","Leather Tanning and Finishing"
"177","311111","Dog and Cat Food Manufacturing"
"178","311119","Other Animal Food Manufacturing"
"179","311211","Flour Milling"
"180","311212","Rice Milling"
"181","311213","Malt Manufacturing"
"182","311221","Wet Corn Milling and Starch Manufacturing"
"183","311222","Soybean Processing"
"184","311223","Other Oilseed Processing"
"185","311224","Soybean and Other Oilseed Processing"
"186","311225","Fats and Oils Refining and Blending"
"187","311230","Breakfast Cereal Manufacturing"
"188","311312","Cane Sugar Refining"
