"","NaicsCode","NaicsDescription"
"1",111110,"Soybean Farming"
"2",111150,"Corn Farming"
"3",111160,"Rice Farming"
"4",111191,"Oilseed and Grain Combination"
"5",111199,"All Other Grain Farming"
"6",111211,"Potato Farming"
"7",111219,"Other Vegetable (except Potato) and Melon Farming"
"8",111310,"Orange Groves"
"9",111331,"Apple Orchards"
"10",111332,"Grape Vineyards"
"11",111335,"Tree Nut Farming"
"12",111336,"Fruit and Tree Nut Combination"
"13",111339,"Other Noncitrus Fruit Farming"
"14",111411,"Mushroom Production"
"15",111419,"Other Food Crops Grown Under Cover"
"16",111421,"Nursery and Tree Production"
"17",111422,"Floriculture Production"
"18",111920,"Cotton Farming"
"19",111940,"Hay Farming"
"20",111998,"All Other Miscellaneous Crop Farming"
"21",112111,"Beef Cattle Ranching and Farming"
"22",112112,"Cattle Feedlots"
"23",112120,"Dairy Cattle and Milk Production"
"24",112210,"Hog and Pig Farming"
"25",112310,"Chicken Egg Production"
"26",112320,"Broilers and Other Meat Type"
"27",112330,"Turkey Production"
"28",112340,"Poultry Hatcheries"
"29",112390,"Other Poultry Production"
"30",112410,"Sheep Farming"
"31",112420,"Goat Farming"
"32",112511,"Finfish Farming and Fish Hatcheries"
"33",112512,"Shellfish Farming"
"34",112910,"Apiculture"
"35",112920,"Horse and Other Equine Production"
"36",112990,"All Other Animal Production"
"37",113110,"Timber Tract Operations"
"38",113111,NA
"39",113210,"Forest Nurseries and Gathering of Forest Products"
"40",113310,"Logging"
"41",114111,"Finfish Fishing"
"42",114112,"Shellfish Fishing"
"43",114210,"Hunting and Trapping"
"44",115111,"Cotton Ginning"
"45",115112,"Soil Preparation, Planting, and Cultivating"
"46",115113,"Crop Harvesting, Primarily by Machine"
"47",115114,"Postharvest Crop Activities (except Cotton Ginning)"
"48",115115,"Farm Labor Contractors and Crew Leaders"
"49",115116,"Farm Management Services"
"50",115210,"Support Activities for Animal Production"
"51",115310,"Support Activities for Forestry"
"52",211111,"Crude Petroleum and Natural Gas"
"53",211120,NA
"54",212111,"Bituminous Coal and Lignite Surface Mining"
"55",212112,"Bituminous Coal Underground Mining"
"56",212210,"Iron Ore Mining"
"57",212299,"All Other Metal Ore Mining"
"58",212311,"Dimension Stone Mining and Quarrying"
"59",212312,"Crushed and Broken Limestone Mining"
"60",212313,"Crushed and Broken Granite Mining"
"61",212319,"Other Crushed and Broken Stone Mining and Quarrying"
"62",212321,"Construction Sand and Gravel Mining"
"63",212322,"Industrial Sand Mining"
"64",212391,"Potash, Soda, and Borate Mineral Mining"
"65",212393,"Other Chemical and Fertilizer Mineral Mining"
"66",212399,"All Other Nonmetallic Mineral Mining"
"67",213111,"Drilling Oil and Gas Wells"
"68",213112,"Support Activities for Oil and Gas Operations"
"69",213113,"Support Activities for Coal Mining"
"70",213114,"Support Activities for Metal Mining"
"71",213115,"Support Activities for Nonmetallic Minerals (except Fuels)"
"72",221111,"Hydroelectric Power Generation"
"73",221112,"Fossil Fuel Electric Power"
"74",221114,"Solar Electric Power Generation"
"75",221117,"Biomass Electric Power Generation"
"76",221118,"Other Electric Power Generation"
"77",221119,"Other Electric Power Generation"
"78",221122,"Electric Power Distribution"
"79",221210,"Natural Gas Distribution"
"80",221310,"Water Supply and Irrigation Systems"
"81",221320,"Sewage Treatment Facilities"
"82",221330,"Steam and Air-Conditioning Supply"
"83",233110,"Land Subdivision and Land Development"
"84",233210,"Single Family Housing Construction"
"85",233220,"Multifamily Housing Construction"
"86",233310,"Manufacturing and Industrial Building Construction"
"87",233320,"Commercial and Institutional Building Construction"
"88",234110,"Highway and Street Construction"
"89",234120,"Bridge and Tunnel Construction"
"90",234910,"Water, Sewer, and Pipeline Construction"
"91",234920,"Power and Communication Transmission Line Construction"
"92",234930,"Industrial Nonbuilding Structure Construction"
"93",234990,"All Other Heavy Construction"
"94",235110,"Plumbing, Heating, and Air Conditioning Contractors"
"95",235210,"Painting and Wall Covering"
"96",235310,"Electrical Contractors"
"97",235410,"Masonry and Stone Contractors"
"98",235420,"Drywall, Plastering, Acoustical, and Insulation Contractors"
"99",235430,"Tile, Marble, Terrazzo, and Mosaic Contractors"
"100",235510,"Carpentry Contractors"
"101",235520,"Floor Laying and Other Floor Contractors"
"102",235610,"Roofing, Siding, and Sheet Metal Contractors"
"103",235710,"Concrete Contractors"
"104",235810,"Water Well Drilling Contractors"
"105",235910,"Structural Steel Erection Contractors"
"106",235920,"Glass and Glazing Contractors"
"107",235930,"Excavation Contractors"
"108",235940,"Wrecking and Demolition Contractors"
"109",235950,"Building Equipment and Other Machinery Installation Contractors"
"110",235990,"All Other Special Trade Contractors"
"111",236115,"New Single-Family Housing Construction (except Operative Builders)"
"112",236115,NA
"113",236116,"New Multifamily Housing Construction (except Operative Builders)"
"114",236117,"New Housing Operative Builders"
"115",236118,"Residential Remodelers"
"116",236210,"Industrial Building Construction"
"117",236220,"Commercial and Institutional Building Construction"
"118",237110,"Water and Sewer Line and Related Structures Construction"
"119",237110,NA
"120",237120,"Oil and Gas Pipeline and Related Structures Construction"
