DoD_Office_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{Date Signed} (ID) Between 10/1/2019 and 9/30/2029 And {Contracting Department ID} (ID) = ""9700""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,Contracting Agency ID,Contracting Agency Name,Contracting Department ID,Contracting Department Name,Contracting Office ID,Contracting Office Name,Contracting Office Region,Country Where Award Was Issued,Major Command Code,Major Command ID,Major Command Name,Organization Code,Organization ID,Parent Macom Code,Sub Command 1 Code,Sub Command 1 ID,Sub Command 1 Name,Sub Command 2 Code,Sub Command 2 ID,Sub Command 2 Name,Sub Command 3 Code,Sub Command 3 ID,Sub Command 3 Name,Sub Command 4 Code,Sub Command 4 ID,Sub Command 4 Name,Dollars Obligated,Number of Records
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00027,COMMANDANT,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,,,,,,,"$8,675.42 ",10 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00146,COMMANDING OFFICER,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCIEAST~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5041~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCIEAST,ORG-5041,MCIEAST,,,,"($2,488,339.13)",310 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00263,COMMANDING GENERAL,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~~~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,,,,,,,,,,"$31,763,273.59 ",479 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00264,"COMMANDER, MCINCR-MCBQ",NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCINCR~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5038~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCINCR,ORG-5038,MCINCR,,,,"$175,501,338.58 ","1,040 "
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00318,COMMANDING OFFICER,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCIPAC~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5039~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCIPAC,ORG-5039,MCIPAC,,,,"$16,297,038.46 ",219 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00681,COMMANDING GENERAL,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCIWEST~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5040~~,MC I&L,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCIWEST,ORG-5040,MCIWEST,,,,"$45,448,885.18 ",715 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M00681,COMMANDING GENERAL,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCIWEST~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5040~~,,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCIWEST,ORG-5040,MCIWEST,,,,"$5,731.66 ",1 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M20001,COMMANDING OFFICER,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~MCICOM~MCIEAST~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~ORG-5037~ORG-5041~~,,MARCORP I&L,ORG-2967,MARCORP I&L,MCICOM,ORG-5037,MARINE CORPS INSTALLATIONS COMMAND,MCIEAST,ORG-5041,MCIEAST,,,,"$491,847.69 ",78 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M20060,COMMANDING OFFICER,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~~~~,,MARCORP I&L,ORG-2967,MARCORP I&L,,,,,,,,,,"$10,823.96 ",2 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M20364,COMMANDING OFFICER,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~~~~,,MARCORP I&L,ORG-2967,MARCORP I&L,,,,,,,,,,$63.79 ,1 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M27100,COMMANDING GENERAL,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~~~~,,MARCORP I&L,ORG-2967,MARCORP I&L,,,,,,,,,,"$2,083,177.18 ",58 
2020,1700,DEPT OF THE NAVY,9700,DEPT OF DEFENSE,M29000,COMMANDING GENERAL,NO REGION IDENTIFIED,USA,USMC,ORG-2943,USMC,~9700~9700~USMC~MARCORP I&L~~~~,~ORG-1144~ORG-2410~ORG-2943~ORG-2967~~~~,,MARCORP I&L,ORG-2967,MARCORP I&L,,,,,,,,,,"$704,407.00 ",31 
