"SimpleArea","No.Competition.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products (All)","1 Offer",1007062000,2507688963,1986714008,1632676184,1114198628,1204612890,1183771415,1017612813,1248832598,1412804354,4794472898.1621,4917153169.5497,5530607974.8416,10050708705.6834,10282132719.3142,16096258991.2833,18460092417.6446,19801238638.3579,24735852665.0237,23134679288.577,19695510123.1354,19026318682.055,15065478483.0698,11544562319.2662,12014906273.4066,11896962617.4749,12376754086.1525,12554435242.8973,15270048572.5026,18723538003.5848,18343018828.0243,21284143616.9834
"Products (All)","2+ Offers",16559907083,30317468735,25335080084,22662098250,19703456251,17816513168,21028520672,19544334568,18509140299,18957926597,33902651852.9257,33834079262.1442,39823585958.0104,44642825944.268,44725680765.3425,60959170416.9721,63708153268.7601,69995352310.5122,80026022873.7252,82004404025.4778,98369209211.0389,83061507952.168,84724116348.7653,73707377352.9552,72847023115.7804,69257846794.4686,74620891388.6361,77772413530.1464,86037114892.7818,86283775341.9284,80953787126.1231,84166648498.6976
"Products (All)","Follow on to Competed Action",,,,,,,,,,,1247886.0723,16116447.3125,29720552.0625,62522904.9045,346598019.1372,927022538.2369,293511755.6743,492989938.9077,665421147.0816,775647323.9117,1346750906.1418,1392166947.1251,805938639.6057,602165905.6415,557053627.4353,454408181.9016,455470521.3922,694884587.9919,578532552.9415,444491448.7071,377464622.4403,325508848.1155
"Products (All)","No Comp. (Only 1 Source)",17274679032,23533686963,18598785349,20492611386,19448619746,17402992572,14162600824,19123738692,18885957804,22337833136,14365112798.8113,29765343865.5955,29518272348.8112,38841944602.5314,48065668175.0146,49714875111.0018,61035847048.526,75757856545.5167,93308061101.7508,85659646539.7562,80339208198.9843,89034965757.5108,87609752768.0616,80966430546.8372,66826052278.1757,69686555834.6504,83485913303.8691,96557385113.3036,96487545349.1893,111313435271.278,135582422229.823,89966602781.1918
"Products (All)","No Comp. (Other)",3653106000,7803255837,6625824166,5853265060,4091776284,6104127219,7583722778,7769360929,7368688952,6760217252,1951279580.0757,5486232367.4363,8589693011.382,10096925293.6103,10832605986.6134,15276821893.5237,12232722172.0896,16019263642.9497,16766488189.9304,18369844642.3317,20137986046.3121,22984240630.0202,23018331237.2023,15890957514.0731,12323800633.6398,14064023554.849,15529045613.7398,14283110652.1532,21988598110.7232,15886831998.6466,29060428234.8342,44829457423.0293
"Products (All)","No Comp. (Unlabeled)",5542935000,7788327682,5604191270,8766380405,7070169698,8061077341,8767157654,1147031770,640757387,543863812,18413276449.3481,2646598727.7042,3341091224.933,2975009828.2258,2818710148.3634,3270385209.6722,2263274519.4525,1463306438.3148,1175699816.7663,668061854.6693,139856139.1646,3276645.002,18513077.9894,42578232.5123,117995030.6611,66097517.7532,77501223.2015,99141989.7858,142378203.3978,105212501.7465,100423543.8716,84441188.0055
"Products (All)","Unlabeled",24343032000,1432967498,1940135211,892674249,788942689,450044875,576951474,1785551483,2483115206,2813448865,3782994102.1633,4355215643.3738,6730497756.6502,7348808759.7669,9418795264.6781,7557058315.6483,11374426416.566,11502607202.3805,11131428214.8946,6279226102.8073,2880026173.842,1001483609.6114,834103631.6582,791832830.643,610806824.3555,460214318.7162,495043381.9922,651828848.9299,818534672.5335,721920445.0795,2818507864.4035,4468185116.8307
"R&D","1 Offer",895994000,1105009921,1094443673,1123148595,864051228,1066637592,1376639554,1314817206,1475157411,1711030276,3435940561.7343,3659599438.4066,4197640806.9258,4666508776.4649,5138954675.5295,5349864849.6603,5371541204.6399,7561837125.3364,8371191205.3323,9245478258.4266,9584207859.0662,8955005444.7784,9004776911.8202,8265047697.6775,8284469113.9134,7411652004.2348,8410970044.6064,8774931430.6843,10371140598.0806,11505467995.3218,14134070354.7135,12061075745.4847
"R&D","2+ Offers",8751248764,8302450566,9840883628,10095475911,9470644083,10353486221,9814380214,9307465980,9522008072,10459302229,16293742439.4817,15586831155.6021,17208102463.5253,20339650493.9231,22708187254.6892,25130076173.6237,27770937569.8558,30074540430.8805,31964353958.8883,36092720703.9501,35087440769.1868,33321999990.5586,30636577667.5568,28781524893.8429,27488087765.1239,26813218744.3228,27978131726.8373,24992037636.344,24890930619.1813,22654858056.7281,24479990928.6722,25950166557.1021
"R&D","Follow on to Competed Action",,,,,,,,,,,,920496,24489874,10611429.8398,20898326.5746,8728241.222,46200323.8522,38732305.4743,58762520.8789,177454367.2745,149409410.4749,131825940.263,96013085.4091,60072666.1279,59473239.1725,53496705.1931,69510069.847,70023888.7588,129711326.5004,140643235.3635,175032739.3794,164586249.3256
