"SimpleArea","No.Competition.sum","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products","1 Offer",31504656.3430306,25097857.068584,1985641.91837417,-86650.4659050249,67222.661129324,3153250.42115719,16141064.3114738,13470313.515163,26435735.1974739,84923453.1895041,6227646.07422644,26697209.9867
"Services (Non-R&D)","1 Offer",71930.9451158255,-26874.3283611744,,,167912.90061052,0,,,,,,
"Products","2+ Offers",325314671.876685,385055514.006269,227417149.168928,191664784.198388,230072695.079123,136670740.076228,45636740.1673423,126986602.732397,114358070.195868,129750298.336941,165675563.053224,119801357.7056
"R&D","2+ Offers",468783265.049539,544320559.89221,518305910.925304,609566064.239185,284083984.083921,326394314.055204,182924020.857218,215175429.510385,59397105.2040188,15004089.2813657,20066815.8110126,18071032.4375
"Services (Non-R&D)","2+ Offers",2549600.05651741,-219644.005959249,0,-240903.06455906,600838.993306663,894060.509650899,6190429.03106632,15180328.6498893,6090720.6183549,6653994.20916201,6826686.33691117,5551424.1406
"Products","Follow on to Competed Action",,,,,,,,,886309.263430688,,401377.564010497,174000
"Products","No Comp. (Only 1 Source)",2220001583.8999,2642100307.65502,3137679881.11546,1881119845.36127,1501606247.83122,2382455394.07708,2342287343.08746,2387907255.48537,2501298513.109,2921221446.40757,1421296001.05991,887903170.2471
"R&D","No Comp. (Only 1 Source)",45537868.7125033,145097672.667733,32337359.469059,2005980.80483694,67164.633227515,1454622.10949347,13494007.9996132,14921725.034479,4425702.04670126,88415.9037784639,14867801.7893637,-632045.1719
"Services (Non-R&D)","No Comp. (Only 1 Source)",30984788.2091871,55977029.91465,27450753.065399,13430076.1495067,-479258.731600512,10358153.7030794,36854489.7844767,476066371.240987,646744369.670262,592107160.479502,641578400.139616,615253298.6368
"Products","No Comp. (Other)",162183398.424082,289059062.041899,131998305.759452,122711608.875578,168896343.247022,297746648.365847,339175723.853361,307595327.583221,307228701.080607,383800026.091326,437710147.314814,573157660.0918
"R&D","No Comp. (Other)",,,46880031.496204,19191753.30436,10958598.9713785,0,,,,,,
"Services (Non-R&D)","No Comp. (Other)",10213100.5435374,38194828.3471492,-158234.110672011,-420722.698917885,5546759.86498635,938169.407574233,11875467.5475346,7604239.82292043,11429256.9012185,23315829.5543028,7834910.58834414,43398544.1338
"Products","No Comp. (Unlabeled)",,1590415.96925396,0,,-1164.86387468869,,,,2778.52279989333,,,
"Products","Unlabeled",0,890427.16693986,0,0,0,0,0,8753.62660576116,0,0,,127725
