"SubCustomer.DoD","IsOTA","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","Contract",0.00816240745754267,0.00019656943646376,0.00429533767699102,0.000315649539008015,0.00120270089757013,7.91954431955066e-05,0.00409403718519521,0.0449226983470768,0.049461096717912,0.0511754793631381,0.0577274468787
"Air Force","OTA",,,,,,,,,,0.0052377749511881,0.001334095
"Army","Contract",0.000603220974270077,0.0242267992718091,0.0588970975588716,0.108954246820435,0.0806890804834708,0.0193341521396204,0.0549549128431477,0.0820610430215247,0.12206039761305,0.0997717199815957,0.0823123411715
"Army","OTA",0.142742776178063,0.0769590041145238,0.0136706763971913,-0.00275437088891028,,,0.000910149999663245,0.0128791812009919,0.0209551206102247,0.0207597953812774,0.01033856398
"Civilian","Contract",2.91953760715334e-05,0.000383824711608549,0.000127633843637316,0.000233027304345756,0.00184787326808117,0.00342512840720895,0.00190640897218763,0.0102761669190459,0.014030549314389,0.0177510299774139,0.0174161273133
"Civilian","OTA",,,,,,,0.00203624492414659,0.000852490416637965,0.000837496889790017,-1.4481245974081e-05,5e-04
"Navy","Contract",0.0739236349414275,0.0304455372873143,0.0351700515658255,0.00474250616434886,0.00775843191434256,0.00637700580867707,0.0148974619210489,0.0579627408280081,0.00943527953413861,0.00283669669263912,0.0015424461062
"Navy","OTA",,,,,,,,,0.000415221825422021,0.00728585859568595,0.01389085608
"Other DoD","Contract",,,,0.0465010338906954,0.000124413148371241,0.00561074531000069,-0.000369016538660464,0.0619076592624375,0.00155024373175053,0.00443789433622623,0.0022494038701
"Other DoD","OTA",,,,,,,,,0.00378830244073375,,0.004576313
