"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Dollars Obligated","Number of Actions","Number of Records","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value"
"2006","0300","LIBRARY OF CONGRESS","0300","LIBRARY OF CONGRESS","$0.00","8","8","$1,600,000.00","$0.00"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","1100","EXECUTIVE OFFICE OF THE PRESIDENT","$38,817,043.54","871","870","$46,840,149.14","$39,383,570.39"
"2006","1145","PEACE CORPS","1145","PEACE CORPS","$82,532,361.37","1,126","1,126","$78,943,755.53","$24,683,435.20"
"2006","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","$537,509.14","20","20","$3,271,806.37","$3,271,806.37"
"2006","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","$7,865,666.84","174","172","$9,330,962.84","$9,269,962.84"
"2006","1200","AGRICULTURE, DEPARTMENT OF","1204","OFFICE OF INSPECTOR GENERAL","$4,271,987.67","116","116","$4,327,667.67","$4,192,984.67"
"2006","1200","AGRICULTURE, DEPARTMENT OF","1205","USDA, DEPARTMENTAL ADMINISTRATION","$225,135,343.80","2,265","2,263","$586,669,848.20","$221,741,200.27"
"2006","1200","AGRICULTURE, DEPARTMENT OF","1220","AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE","$4,438,139.27","4","4","$4,438,139.27","$4,438,139.27"
"2006","1200","AGRICULTURE, DEPARTMENT OF","1230","AGRICULTURAL RESEARCH SERVICE","$0.00","1","1","$0.00","$0.00"
"2006","1200","AGRICULTURE, DEPARTMENT OF","1252","FOOD SAFETY AND INSPECTION SERVICE","$0.00","1","1","$0.00","$0.00"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12A7","USDA, OFFICE OF THE CHIEF INFORMATION OFFICER","$2,995,170.15","42","42","$2,995,170.15","$2,995,170.15"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12B0","USDA, ASSISTANT SECRETARY FOR ADMINISTRATION","$67,506,309.15","368","368","$76,430,962.45","$58,670,173.59"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12B0","USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT","$42,596,231.60","86","86","$58,198,702.98","$42,766,944.60"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12C2","FOREST SERVICE","$963,338,918.90","28,150","27,665","$1,380,286,163.78","$1,018,422,124.96"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12C3","NATURAL RESOURCES CONSERVATION SERVICE","$116,203,352.75","1,519","1,515","$287,363,276.17","$194,879,172.68"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12D2","FARM SERVICE AGENCY","$1,196,437,950.31","2,813","2,368","$1,332,872,515.26","$1,178,765,446.92"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12D3","FOREIGN AGRICULTURAL SERVICE","$1,007,580.52","56","56","$1,007,580.52","$912,580.52"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12E2","RURAL UTILITIES SERVICE","$227,538.31","9","9","$578,857.23","$578,857.23"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12E3","RURAL HOUSING SERVICE","$36,085,288.33","7,283","7,283","$49,079,535.98","$43,331,323.12"
