Competition

Report Filter:
{New Com Report} (ID) = "1" And {Date Signed} (ID) Between 10/1/2019 and 9/30/2020

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)","3400","2","($85.00)","1","50.0000%","($85.00)","100.0000%","1","50.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"LIBRARY OF CONGRESS","0300","1","$0.00","0","0.0000%","$0.00","0.0000%","1","100.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD","9565","5","$33,825.04","0","0.0000%","$0.00","0.0000%","5","100.0000%","$33,825.04","100.0000%","0","0.0000%","$0.00","0.0000%"
"MARINE MAMMAL COMMISSION","9513","5","$62,550.00","1","20.0000%","$1,500.00","2.3981%","4","80.0000%","$61,050.00","97.6019%","0","0.0000%","$0.00","0.0000%"
"ADMINISTRATIVE CONFERENCE OF THE U. S.","9515","10","$234,001.44","9","90.0000%","$213,808.80","91.3707%","1","10.0000%","$20,192.64","8.6293%","0","0.0000%","$0.00","0.0000%"
"FEDERAL HOUSING FINANCE AGENCY","9542","1","$451,666.08","1","100.0000%","$451,666.08","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"PRETRIAL SERVICES AGENCY","959P","69","$965,011.74","60","86.9565%","$531,023.55","55.0277%","9","13.0435%","$433,988.19","44.9723%","0","0.0000%","$0.00","0.0000%"
"OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION","9514","77","$1,492,228.29","76","98.7013%","$1,510,492.29","101.2239%","1","1.2987%","($18,264.00)","(1.2239%)","0","0.0000%","$0.00","0.0000%"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","4340","48","$2,147,457.51","20","41.6667%","$780,934.25","36.3655%","28","58.3333%","$1,366,523.26","63.6345%","0","0.0000%","$0.00","0.0000%"
"FEDERAL LABOR RELATIONS AUTHORITY","5400","64","$2,321,839.14","64","100.0000%","$2,321,839.14","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MARITIME COMMISSION","6500","70","$2,411,905.29","46","65.7143%","$1,333,651.80","55.2945%","24","34.2857%","$1,078,253.49","44.7055%","0","0.0000%","$0.00","0.0000%"
"COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED","9518","44","$2,558,961.89","21","47.7273%","$1,178,410.59","46.0503%","23","52.2727%","$1,380,551.30","53.9497%","0","0.0000%","$0.00","0.0000%"
