fiscal_year	Customer	SubCustomer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1988	Defense	Army	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-39000.0000
1988	Defense	Navy	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	4	4	NULL	556000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	2	2	NULL	174000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	3	3	NULL	-138330.0000
1988	Defense	Other DoD	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	200000.0000
1989	Defense	Army	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	NULL
1989	Defense	Navy	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	59	64	NULL	39784000.0000
1989	Defense	Navy	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	2	4	NULL	909000.0000
1989	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	63	63	NULL	84731000.0000
1989	Defense	Navy	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	13	14	NULL	5502000.0000
1989	Defense	Navy	S	Always Small Vendor	PID	NULL	NULL	0	1	1	7	7	NULL	1138000.0000
1989	Defense	Other DoD	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	20	20	NULL	6935000.0000
1989	Defense	Other DoD	B	Big Five	PID	NULL	NULL	1	1	1	1	1	NULL	1340000.0000
1989	Defense	Other DoD	L	Large Vendor	PID	NULL	NULL	1	1	1	9	9	NULL	16139000.0000
1989	Defense	Other DoD	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	NULL	26000.0000
1989	Defense	Other DoD	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	93000.0000
1989	Defense	Other DoD	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	6	6	NULL	13310000.0000
1989	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	70000.0000
1989	Defense	Other DoD	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	6	6	NULL	5075000.0000
1989	Defense	Other DoD	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	2	2	NULL	2927000.0000
1990	Defense	Air Force	NULL	NULL	PID	NULL	NULL	NULL	NULL	NULL	4	4	NULL	9303000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	214	214	NULL	479355000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	11	11	NULL	-378000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	157	168	NULL	20400000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns-3+	NULL	NULL	0	0	0	1	2	NULL	-203000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	77	114	NULL	13028000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	3	3	NULL	-938000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	206	206	NULL	49610000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-103000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	106	128	NULL	20266000.0000
