fiscal_year,Customer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1987,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,1,1,NULL,-171000.0000
1988,Defense,B,Big Five,PID,NULL,1,1,1,2,2,NULL,694000.0000
1988,Defense,L,Large Vendor,PID,NULL,0,1,1,1,1,NULL,60000.0000
1988,Defense,L,Large Vendor,PID,NULL,1,1,1,8,8,NULL,2400000.0000
1988,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,3,3,NULL,-138330.0000
1988,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,5,5,NULL,296000.0000
1988,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,5,5,NULL,279000.0000
1988,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,1,NULL,-263000.0000
1988,Defense,M,Medium Vendor,PID,NULL,1,1,1,1,1,NULL,198000.0000
1988,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1,5,NULL,521000.0000
1988,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,2,2,NULL,1447000.0000
1988,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,3,3,NULL,771000.0000
1988,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,2,2,NULL,1388000.0000
1989,Defense,B,Big Five,PID,NULL,1,1,1,5,5,NULL,79809000.0000
1989,Defense,L,Large Vendor,PID,NULL,0,1,1,3,3,NULL,204000.0000
1989,Defense,L,Large Vendor,PID,NULL,1,1,1,30,30,NULL,250386000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,11,11,NULL,-927000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,1,1,NULL,44000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,177,190,NULL,19750000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,135,188,NULL,317659000.0000
1989,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,NULL,-595000.0000
1989,Defense,M,Medium Vendor,PID,NULL,0,1,1,16,16,NULL,3193000.0000
1989,Defense,M,Medium Vendor,PID,NULL,1,1,1,21,21,NULL,294572975.0000
1989,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,9,12,NULL,3020000.0000
1989,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,13,19,NULL,60822000.0000
1989,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,1,NULL,1097000.0000
1989,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,8,8,NULL,-1726029.0000
1989,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,182,182,NULL,25784000.0000
1989,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,88,769,NULL,580238000.0000
1989,Defense,S,Always Small Vendor,PID,NULL,0,1,1,7,7,NULL,1138000.0000
1989,Defense,S,Always Small Vendor,PID,NULL,1,1,1,6,6,NULL,2215000.0000
1990,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,12,12,NULL,81292000.0000
1990,Defense,B,Big Five,PID,NULL,0,0,0,1,1,NULL,-35000.0000
1990,Defense,B,Big Five,PID,NULL,1,1,1,5,5,NULL,15869067707.0000
1990,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,1,NULL,103874000.0000
1990,Defense,L,Large Vendor,PID,NULL,0,0,0,1,1,NULL,NULL
1990,Defense,L,Large Vendor,PID,NULL,0,1,1,15,15,NULL,3095000.0000
1990,Defense,L,Large Vendor,PID,NULL,1,1,1,92,92,NULL,47887415888.0000
