fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-171000.0000
1988	Defense	Aircraft	B	Big Five	PID	NULL	NULL	1	1	1	1	1	NULL	444000.0000
1988	Defense	Aircraft	L	Large Vendor	PID	NULL	NULL	1	1	1	4	4	NULL	-7000.0000
1988	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	2	2	NULL	-78330.0000
1988	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	38000.0000
1988	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	2	2	NULL	-95000.0000
1988	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	NULL	1	1	1	1	1	NULL	250000.0000
1988	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	NULL	1	1	1	4	4	NULL	936000.0000
1988	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	73000.0000
1988	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-39000.0000
1988	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	797000.0000
1988	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	43000.0000
1988	Defense	Facilities and Construction	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	2	2	NULL	10000.0000
1988	Defense	Facilities and Construction	L	Large Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	44000.0000
1988	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	25000.0000
1988	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	591000.0000
1988	Defense	Ordnance and Missiles	L	Large Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	172000.0000
1988	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	200000.0000
1988	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-60000.0000
1988	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	1486000.0000
1988	Defense	Other R&D and Knowledge Based	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	60000.0000
1988	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	89000.0000
1988	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	48000.0000
1988	Defense	Other Services	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	3	3	NULL	511000.0000
1988	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	85000.0000
1988	Defense	Other Services	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	150000.0000
1988	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	NULL	506000.0000
