project_name,LPO_Tech_Sector,project_url,Loan_Type,Loan_Amount,Loan_Status,Issuance_Date,Date_Repaid,Project_Statement,GAO_comments,Loan_Program,Location,Owner
"1366 Technologies, Inc.",Solar Manufacturing,https://www.energy.gov/eere/success-stories/articles/eere-success-story-silicon-solar-wafers-enter-new-dimension,,"143,000,000",PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT,9/8/2011,NA,,,,,
Abengoa Bioenergy,Biofuels,https://www.energy.gov/lpo/abengoa-bioenergy,Loan Guarantee,"$132,000,000 ",Repaid,11-Sep,15-Mar,NA,,Title 17,Kansas,"Abengoa, S.A. & Abenoga Bioenergy US Holdings, Inc"
Abound Solar,Solar Manufacturing,https://www.cnet.com/science/doe-backed-abound-solar-cuts-factory-line/,,"370,000,000",Discontinued Projects,12/9/2010,NA,,Defaulted/bankrupt b,,,
Advanced Clean Energy Storage,Hydrogen,https://www.energy.gov/lpo/advanced-clean-energy-storage,Loan Guarantee,"$504,000,000 ",Active,22-Jun,NA,Nation's largest hydrogen production and storage facility capable of providing long-term seasonal energy storage.,,Title 17,Utah,"Mitsubishi Power Americas, Inc., Magnum Development, Haddington Ventures"
"AES Energy Storage Westover, LLC",Storage,https://energycentral.com/c/ec/doe-completes-17-million-loan-guarantee-new-york-energy-storage-system,,"17,000,000",PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT,12/22/2010,NA,,Withdrew prior to drawing,,,
Agua Caliente,Renewable Energy (Utility-Scale PV Solar),https://www.energy.gov/lpo/agua-caliente,Loan Guarantee,"$967,000,000 ",Active,11-Aug,NA,"By harnessing Arizona's abundant sunlight, Agua Caliente is demonstrating that photovoltaic solar can go big in the U.S.",funds,Title 17,Arizona,"Global Infrastructure Partners & MidAmerican Renewables, LLC"
Alamosa,Renewable Energy (Concentrating Solar Power),https://www.energy.gov/lpo/alamosa,,"89,000,000",Discontinued Projects,9/9/2011,NA,,,,,
Alcoa,Advanced Vehicles & Components,https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/metals/032615-us-department-of-energy-lines-up-loan-for-alcoa-aluminum-plant-in-tennessee,,,INACTIVE CONDITIONAL COMMITMENTS ,NA,NA,,,,,
American Battery Solutions,Advanced Vehicles & Components,https://www.energy.gov/lpo/articles/cx-028469-categorical-exclusion-determination-american-battery-solutions-inc-freedom,Direct Loan,"$165,000,000 ",Conditional Commitment,NA,NA,The ABS advanced battery pack assembly facility will support electric vehicle and industrial equipment applications in the U.S.,,ATVM,Michigan and Ohio,"American Battery Solutions, Inc"
Antelope Valley Solar Ranch,Renewable Energy (Utility-Scale PV Solar),https://www.energy.gov/lpo/antelope-valley-solar-ranch,Loan Guarantee,"$646,000,000 ",Active,11-Sep,NA,"By scaling up innovative inverter technology, Antelope Valley Solar Ranch demonstrates that utility-scale photovoltaic solar can reliably deliver electricity.",,Title 17,California,Exelon
Blue Mountain,Renewable Energy (Geothermal),https://www.energy.gov/lpo/blue-mountain,Partial Loan Guarantee,"$98,000,000 ",Repaid,10-Sep,22-Mar,The state-of-the-art Blue Mountain plant is helping Nevada use its geothermal resources to meet its clean energy goals.,,Title 17,Nevada,"Cyrq Energy, Inc"
BlueOval SK,Advanced Vehicles & Components,https://www.energy.gov/lpo/articles/lpo-announces-conditional-commitment-loan-blueoval-sk-further-expand-us-ev-battery-0,Direct Loan,"$9,200,000,000 ",Conditional Commitment,NA,NA,BlueOval SK will manufacture battery cells in the U.S. to support expanded EV deployment.,,,,
California Valley Solar Ranch,Renewable Energy (Utility-Scale PV Solar),https://www.energy.gov/lpo/california-valley-solar-ranch,Loan Guarantee,"$1,200,000,000 ",Active,11-Sep,NA,"To boost output, California Valley Solar Ranch uses innovative single-axis trackers and a wireless monitoring and control system.",,Title 17,California,Global Infrastructure Partners
Cape Wind,Renewable Energy (Onshore Wind),,,,INACTIVE CONDITIONAL COMMITMENTS ,NA,NA,,,,,
CelLink,Advanced Vehicles & Components,https://www.energy.gov/lpo/articles/lpo-announces-conditional-commitment-loan-cellink-corporations-us-manufacturing,Direct Loan,"$362,000,000 ",Conditional Commitment,NA,NA,"Employing innovative technology, CelLink's manufacturing facility will help improve and onshore production of vehicle wiring.",,ATVM,Texas,CelLink Corporation
Crescent Dunes,Renewable Energy (Concentrating Solar Power),https://en.wikipedia.org/wiki/Crescent_Dunes_Solar_Energy_Project,,"692,000,000",DISCONTINUED PROJECTS,9/28/2011,NA,,,,,
Desert Sunlight,Renewable Energy (Utility-Scale PV Solar),https://www.energy.gov/lpo/desert-sunlight,Partial Loan Guarantee,"1,500,000,000",Active,11-Sep,NA,"y working with 14 commercial lending partners, Desert Sunlight helped pave the way for future utility-scale photovoltaic solar deals.",,Title 17,California,"NextEra Energy, Inc., NextEra Energy Partners, Global Infrastructure Partners, Gulf Pacific Power & Sumitomo of America"
Eagle Rock,Advanced Nuclear,https://www.energy.gov/nepa/eis-0471-department-energy-loan-guarantee-support-proposed-eagle-rock-enrichment-facility,,,INACTIVE CONDITIONAL COMMITMENTS ,,NA,,,,,
Eos,Storage,https://www.energy.gov/lpo/articles/lpo-announces-conditional-commitment-eos-energy-enterprises-produce-next-generation,Loan Guarantee,"$398,000,000 ",Conditional Commitment,NA,NA,Eos manufacturing lines will produce next-generation utility-scale and industrial-scale zinc bromine battery energy storage systems.,,Title 17,Pennsylvania,"Eos Energy Enterprises, Inc."
Fisker,Advanced Vehicles & Components,,,"$529,000,000 ",DISCONTINUED PROJECTS,4/22/2010,NA,,Defaulted/auctioned (subsequently bankrupt) b,,,
Ford,Advanced Vehicles & Components,https://www.energy.gov/lpo/ford,Direct Loan,"$5,900,000,000 ",Repaid,9-Sep,22-Jun,"By upgrading 13 facilities across 6 states, Ford was able to meet consumer demand for better fuel efficiency in more than a dozen popular vehicles.",,ATVM,"Ohio, NY, Illnois, Missouri, Michigan, Kentucky",Ford Motor Company
Fotowatio Nevada,Renewable Energy (Utility-Scale PV Solar),https://www.energy.gov/nepa/doeea-1784-fotowatio-nevada-solar-llc-apex-photovoltaic-solar-power-facility-clark-county,,,Unknown,NA,NA,,,,,
Genesis,Renewable Energy (Concentrating Solar Power),https://www.energy.gov/lpo/genesis,Partial Loan Guarantee,"$852,000,000 ",Repaid,11-Aug,19-Dec,"Using parabolic trough technology, Genesis is one of the largest concentrating solar power projects in the U.S.",,Title 17,California,Nextera Energy
