"cfda_title","cfda_num","assistance_type_code","n","total_outlayed_amount_for_overall_award","face_value_of_loan"
"FISHERIES FINANCE PROGRAM",11.415,"07",254,0,624488577
"EXPORT - LOAN GUARANTEE/INSURED LOANS",31.007,"07",417,0,40955444351.5
"EXPORT - LOAN GUARANTEE/INSURED LOANS",31.007,"08",26931,0,137442276405.57
"DISASTER",59.008,"08",14,0,-398400
"DISASTER ASSISTANCE LOANS",59.008,"07",5984259,78250838845.46,387222041705.64
"DISASTER ASSISTANCE LOANS",59.008,"08",22468,0,913014990
"SBIC",59.011,"08",137,0,4185525000
"SMALL BUSINESS INVESTMENT COMPANIES",59.011,"08",979,0,27644205000
"7(A) LOAN GUARANTEES",59.012,"08",902224,1963717175.1,252105558960.03
"7A",59.012,"08",138172,82182.47,35563734223
"SURETY BOND GUARANTEES",59.016,"08",115602,0,12612734881.14
"504",59.041,"08",14976,249456,6527231370
"504 CERTIFIED DEVELOPMENT LOANS",59.041,"08",161237,224580210.4,64936141698.4
"MICROLOAN",59.046,"08",155,30158,61669770
"MICROLOAN PROGRAM",59.046,"07",639,14703704.56,352724208
"MICROLOAN PROGRAM",59.046,"08",387,0,150571832
"7(A)EXPORT LOAN GUARANTEES",59.054,"08",3599,23493383.81,4289530108.13
"7A",59.054,"08",852,0,963028210
"AMERICA'S RECOVERY CAPITAL LOANS",59.057,"08",7059,0,174829512
"ARC",59.057,"08",22,0,-111641
"ILP",59.062,"08",5,0,-1539000
"INTERMEDIARY LOAN PROGRAM",59.062,"08",4,0,-2285000
"DISASTER",59.063,"08",4881,199250.22,244089400
"DISASTER ASSISTANCE LOANS (DISASTER RELIEF APPROPRIATIONS ACT)",59.063,"08",8615,0,254386648
"PAYCHECK PROTECTION LOAN PROGRAM (PPP)",59.073,"08",13915818,860777644920.997,792586877732.637
"STATE ENERGY PROGRAM",81.041,"07",1,0,0
"OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM",81.049,"08",1,0,0
"FOSSIL ENERGY RESEARCH AND DEVELOPMENT",81.089,"07",2,0,0
"STEWARDSHIP SCIENCE GRANT PROGRAM",81.112,"07",1,0,0
"FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",81.126,"07",40,0,26292164922.71
"FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",81.126,"08",59,0,27261327394
