Fiscal.Year,Unique.Identifier,Deal.Number,Decision,Decision.Date,Effective.Date,Expiration.Date,Brokered,Deal.Cancelled,Country,Program,Policy.Type,Decision.Authority,Primary.Export.Product.NAICS.SIC.code,Product.Description,Term,Primary.Applicant,Primary.Lender,Primary.Exporter,Primary.Exporter.City,Primary.Exporter.State.Code,Primary.Exporter.State.Name,Primary.Borrower,Primary.Source.of.Repayment.(PSOR),Working.Capital.Delegated.Authority,Approved.Declined.Amount,Disbursed.Shipped.Amount,Undisbursed.Exposure.Amount,Outstanding.Exposure.Amount,Small.Business.Authorized.Amount,Woman.Owned.Authorized.Amount,Minority.Owned.Authorized.Amount,Loan.Interest.Rate,Multiyear.Working.Capital.Extension,Primary.Export.Product.NAICS,Primary.Export.Product.SIC,principalnaicscodeText,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,CriticalTech
2007,08078093XB0001,AP078093XB,Approved,02/21/2007 12:00:00 AM,2/21/2007,12/01/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,Comerica Bank,Comerica Bank,Airway Technologies Inc,Hebron,KY,Kentucky,Airway Technologies Inc,Airway Technologies Inc,Yes,3150000,3150000,0,0,3150000,0,0,,,334210,,Telephone Apparatus Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2007,08078359XE0001,AP078359XE,Approved,08/08/2007 12:00:00 AM,8/8/2007,05/31/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,Eastern Bank,Eastern Bank,Medica Corporation,Bedford,MA,Massachusetts,Medica Corporation,Medica Corporation,Yes,2250000,2250000,0,0,2250000,0,0,,,334516,,Analytical Laboratory Instrument Manufacturing,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08078904XD0001,AP078904XD,Approved,02/13/2007 12:00:00 AM,2/13/2007,11/14/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334290,Other Communications Equipment Manufacturing,Short Term,Silicon Valley Bank,Silicon Valley Bank,Ace Comm Corporation,Gaithersburg,MD,Maryland,Ace Comm Corporation,Ace Comm Corporation,Yes,1575000,1575000,0,0,1575000,0,0,,,334290,,Other Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2007,08079810XC0001,AP079810XC,Approved,03/20/2007 12:00:00 AM,3/20/2007,01/30/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Rsi Global, Inc",Harvey,LA,Louisiana,"Rsi Global, Inc","Rsi Global, Inc",Yes,900000,900000,0,0,900000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08080295XC0001,AP080295XC,Approved,09/06/2007 12:00:00 AM,9/6/2007,07/15/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Bank Of America N.A.,Bank Of America N.A.,Membrane Technology & Research,Menlo Park,CA,California,Membrane Technology & Research,Membrane Technology & Research,Yes,3600000,3600000,0,0,3600000,0,0,,,334513,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08080298XC0001,AP080298XC,Approved,03/05/2007 12:00:00 AM,3/5/2007,11/20/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,Comerica Bank,Comerica Bank,"Etm-Electromatic, Inc",Newark,CA,California,"Etm-Electromatic, Inc","Etm-Electromatic, Inc",Yes,675000,675000,0,0,675000,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2007,08081873XB0001,AP081873XB,Approved,08/22/2007 12:00:00 AM,8/22/2007,06/27/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,Silicon Valley Bank,Silicon Valley Bank,"Navini Networks, Inc.",Richardson,TX,Texas,"Navini Networks, Inc.","Navini Networks, Inc.",Yes,7200000,7200000,0,0,7200000,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2007,08082228XA0001,AP082228XA,Approved,05/17/2007 12:00:00 AM,5/17/2007,09/05/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,325412,Pharmaceutical Preparation Manufacturing,Short Term,East West Bank,East West Bank,Spectrum Distribution & Market,Beverly Hills,CA,California,Spectrum Distribution & Market,Spectrum Distribution & Market,Yes,225000,225000,0,0,225000,0,0,,,325412,,Pharmaceutical Preparation Manufacturing,TRUE,,,,,,,,,,,,,,,,,,Biotechnology
2007,08082544XA0001,AP082544XA,Approved,08/14/2007 12:00:00 AM,8/14/2007,06/17/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,Silicon Valley Bank,Silicon Valley Bank,Minerva Networks Inc,Alviso,CA,California,Minerva Networks Inc,Minerva Networks Inc,Yes,450000,450000,0,0,450000,0,0,,,334220,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TRUE,,,,,,,,,,,,,,,,,,FutureG
2007,08082730XA0001,AP082730XA,Approved,04/19/2007 12:00:00 AM,4/19/2007,02/16/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541512,Computer Systems Design Services,Short Term,Middlesex Savings Bank,Middlesex Savings Bank,"Homisco, Inc.",Melrose,MA,Massachusetts,"Homisco, Inc.","Homisco, Inc.",Yes,360000,360000,0,0,360000,0,0,,,541512,,Computer Systems Design Services,TRUE,,,,,,,,,,,,,,,,,,Computing
