assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,ModificationNumber,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,Fiscal_Year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,Funding_Agency_Name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,cfda_num,assistance_type_description,dFYear,YTD,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech
8300_07087586XX0004_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0004_8300,07087586XX0004,,,SAI EXEMPT,0,0,,,0,0,618751,-73384,618751,-73384,,,,,,2013-11-01,2014,,2016-04-26,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,,,,,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",,FORGN,RAMAT GAN,,,,,,,,99,,,,,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,7,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_07087586XX0004_8300/,2015-09-29,FY2014_083_Assistance_Full_20230909_1.csv,31.007,Direct Loan,2014-01-01,Full Year,TRUE,,,,,,,,,,TRUE,,,,,,,
8300_08082821XX0004_-NONE-_31.007_-NONE-,ASST_NON_08082821XX0004_8300,08082821XX0004,,,SAI EXEMPT,0,0,,,0,0,540000,0,540000,0,,,,,,2009-06-26,2009,,2009-08-31,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,078673036,WELLS FARGO BUSINESS CREDIT INC.,WELLS FARGO BUSINESS CREDIT INC.,,,,,USA,UNITED STATES,119 W 40TH ST,FL 16,51000,NEW YORK,36061,NEW YORK,36,NY,NEW YORK,10018,2516,NY-14,NY-12,,,,SINGLE ZIP CODE,USA,UNITED STATES,3653396,NORTHPORT,36103,SUFFOLK,36,NY,117682966,NY-02,NY-01,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,8,EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: POTATO CHIPS - CORN CHIPS - AND SIMILAR SNACKS,EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: POTATO CHIPS - CORN CHIPS - AND SIMILAR SNACKS,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,B,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_08082821XX0004_8300/,2014-09-02,FY2009_083_Assistance_Full_20230908_1.csv,31.007,Guaranteed/Insured Loan,2009-01-01,Full Year,TRUE,,,,,,,,,TRUE,,,,,,,,
8300_08082821XX0003_-NONE-_31.007_-NONE-,ASST_NON_08082821XX0003_8300,08082821XX0003,,,SAI EXEMPT,0,0,,,0,0,540000,0,540000,0,,,,,,2008-09-24,2008,,2008-12-29,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,078673036,WELLS FARGO BUSINESS CREDIT INC.,WELLS FARGO BUSINESS CREDIT INC.,,,,,USA,UNITED STATES,119 W 40TH ST,FL 16,51000,NEW YORK,36061,NEW YORK,36,NY,NEW YORK,10018,2516,NY-14,NY-12,,,,SINGLE ZIP CODE,USA,UNITED STATES,3653396,NORTHPORT,36103,SUFFOLK,36,NY,117682966,NY-02,NY-01,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,8,EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: POTATO CHIPS - CORN CHIPS - AND SIMILAR SNACKS,EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: POTATO CHIPS - CORN CHIPS - AND SIMILAR SNACKS,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,B,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_08082821XX0003_8300/,2014-09-02,FY2008_083_Assistance_Full_20230908_1.csv,31.007,Guaranteed/Insured Loan,2008-01-01,Full Year,TRUE,,,,,,,,,TRUE,,,,,,,,
8300_07087586XX0002_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0002_8300,07087586XX0002,,,SAI EXEMPT,0,0,,,0,0,3914304,-506120,3914304,-506120,,,,,,2013-08-23,2013,,2016-04-26,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,,,,,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",,FORGN,RAMAT GAN,,,,,,,,99,,,,,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,7,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_07087586XX0002_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,31.007,Direct Loan,2013-01-01,Full Year,TRUE,,,,,,,,,,TRUE,,,,,,,
8300_07087586XX0003_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0003_8300,07087586XX0003,,,SAI EXEMPT,0,0,,,0,0,3019237,-390387,3019237,-390387,,,,,,2013-08-23,2013,,2024-09-25,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,,,,,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",,FORGN,RAMAT GAN,,,,,,,,99,,,,,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,7,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_07087586XX0003_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,31.007,Direct Loan,2013-01-01,Full Year,TRUE,,,,,,,,,,TRUE,,,,,,,
8300_07087586XX0001_-NONE-_31.007_-NONE-,ASST_NON_07087586XX0001_8300,07087586XX0001,,,SAI EXEMPT,0,0,,,0,0,98503010,-12736439,98503010,-12736439,,,,,,2013-08-23,2013,,2024-09-25,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,600592216,SPACE COMMUNICATION LTD.,SPACE COMMUNICATION LTD.,,,,,ISR,ISRAEL,"7, MENACHEM BEGIN STREET",,FORGN,RAMAT GAN,,,,,,,,99,,,,,SINGLE ZIP CODE,USA,UNITED STATES,0632548,HAWTHORNE,06037,LOS ANGELES,06,CA,902503356,CA-43,CA-43,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,7,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,EXPORT DIRECT LOAN COVERED PRODUCTS: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_07087586XX0001_8300/,2015-09-29,FY2013_083_Assistance_Full_20230908_1.csv,31.007,Direct Loan,2013-01-01,Full Year,TRUE,,,,,,,,,,TRUE,,,,,,,
8300_08086744XB0001_-NONE-_31.007_-NONE-,ASST_NON_08086744XB0001_8300,08086744XB0001,,,SAI EXEMPT,0,0,,,0,0,3600000,0,3600000,0,,,,,,2014-09-03,2014,,2016-01-15,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,N3ECX6LCGU15,102777836,SILICON VALLEY BANK,SILICON VALLEY BANK,WNECGLG61KP5,102778255,SVB FINANCIAL GROUP,,USA,UNITED STATES,3003 TASMAN DR,,69084,SANTA CLARA,06085,SANTA CLARA,06,CA,CALIFORNIA,95054,1191,CA-17,CA-17,,,,SINGLE ZIP CODE,USA,UNITED STATES,5305210,BELLEVUE,53033,KING,53,WA,980044505,WA-10,WA-09,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,8,"EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: DATA PROCESSING, HOSTING, AND RELATED SERVICES","EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: DATA PROCESSING, HOSTING, AND RELATED SERVICES",NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,B,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_08086744XB0001_8300/,2014-11-10,FY2014_083_Assistance_Full_20230909_1.csv,31.007,Guaranteed/Insured Loan,2014-01-01,Full Year,TRUE,,,,,,,,,,,,TRUE,,,,,
8300_08088881XX0001_-NONE-_31.007_-NONE-,ASST_NON_08088881XX0001_8300,08088881XX0001,,,SAI EXEMPT,0,0,,,0,0,450000,0,450000,0,,,,,,2014-08-22,2014,,2016-01-28,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,,,,,,,,,,,,,,079739114,CITIZENS BANK N.A.,CITIZENS BANK N.A.,,,,,USA,UNITED STATES,340 MADISON AVE,# FL22,51000,NEW YORK,36061,NEW YORK,36,NY,NEW YORK,10173,0002,NY-02,NY-12,,,,SINGLE ZIP CODE,USA,UNITED STATES,2507000,BOSTON,25025,SUFFOLK,25,MA,022102208,MA-08,MA-07,,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,,,8,"EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: DATA PROCESSING, HOSTING, AND RELATED SERVICES","EXPORT GUARANTEED/INSURED LOANS COVERED PRODUCTS: DATA PROCESSING, HOSTING, AND RELATED SERVICES",NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_08088881XX0001_8300/,2015-09-29,FY2014_083_Assistance_Full_20230909_1.csv,31.007,Guaranteed/Insured Loan,2014-01-01,Full Year,TRUE,,,,,,,,,,,,TRUE,,,,,
8900_DELP0000048_-NONE-_81.126_-NONE-,ASST_NON_DELP0000048_8900,DELP0000048,,,SAI NOT AVAILABLE,0,0,,,0,0,103155208,16164421,103155208,16164421,,,,,,2011-09-19,2011,2011-09-19,2016-09-18,089,Department of Energy,8900.0,Department of Energy,,,,,,,,,,,,,GXMBULGMJE31,800093358,"POET-DSM PROJECT LIBERTY, LLC","POET PROJECT LIBERTY, LLC",,,,,,,4615 NORTH LEWIS AVENUE,,99147,PALO ALTO (COUNTY),19147.0,PALO ALTO,19,IA,SOUTH DAKOTA,57104,7116,IA-04,IA-00,,,,SINGLE ZIP CODE,,,1999147,SIOUX FALLS,,,19,IOWA,57104,IA-04,,,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,,,8,"POET PROJECT LIBERTY, LLC LOAN NUMBER  1016","POET PROJECT LIBERTY, LLC LOAN NUMBER  1016",NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),L,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DELP0000048_8900/,2015-02-20,FY2011_089_Assistance_Full_20230908_1.csv,81.126,Guaranteed/Insured Loan,2011-01-01,Full Year,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,
8900_DELP0000049_-NONE-_81.126_-NONE-,ASST_NON_DELP0000049_8900,DELP0000049,,,SAI NOT AVAILABLE,0,0,,,0,0,350000000,28210000,700000000,56420000,,,,,,2011-09-19,2011,2011-09-19,2016-09-18,089,Department of Energy,8900.0,Department of Energy,,,,,,,,,,,,,EY6ZS7MJSX81,968784236,OFC 2 LLC,OFC 2 LLC,,,,,,,6225 NEIL ROAD,,99015,LANDER (COUNTY),3215.0,LANDER,32,NV,NEVADA,89511,1160,NV-02,NV-02,,,,,,,32**015,,32015,,32,NEVADA,99015,NV-02,,,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,,,8,"OFC2, LLC LOAN NUMBER F1021","TAS::89 4576::TAS  OFC2, LLC LOAN NUMBER F1021",NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),L,,A,,2.0,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DELP0000049_8900/,2015-02-20,FY2011_089_Assistance_Full_20230908_1.csv,81.126,Guaranteed/Insured Loan,2011-01-01,Full Year,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,
