"CriticalTech","casorffp","2018","2019","2020","2021","2022","2023"
"Biotechnology","No CAS or CAS Waived",104041849.0358,127853225.6102,1998281958.0547,29518900426.9193,26003949881.3889,2995283985.8174
"Biotechnology","CAS Status Unknown, but FFP",3648167595.1362,3716080783.5274,3973308997.2246,6191068794.77,6506830358.183,1498102906.899
"Biotechnology","CAS Clause",127487608.8735,1068408969.7875,1042404760.154,1583991195.4907,2444864037.0545,266264410.9817
"Biotechnology","Other Unlabeled",39155334.7751,24993872.9946,18264946.3709,37777166.3646,28095171.7825,5291671.2713
"Computing","No CAS or CAS Waived",1707114977.8947,1882593634.7226,2325207934.6171,2503577333.904,2862237572.8273,4512022665.0965
"Computing","CAS Status Unknown, but FFP",12501401236.2346,14587290089.4326,16872287469.88,16083512684.3862,17391477720.3336,5410041225.8735
"Computing","CAS Clause",1318444266.9402,1271510311.6842,1185585708.6905,979004081.6889,1139787993.4374,1431200819.4005
"Computing","Other Unlabeled",3867266694.1245,4155331021.7431,4681505545.3166,5263563766.1945,4978444934.3645,2423087330.0465
"FutureG","No CAS or CAS Waived",205765141.135,216552990.956,335898114.2634,208126779.2201,258913219.2687,940086955.8869
"FutureG","CAS Status Unknown, but FFP",5008433675.2672,5029856470.3387,4214016838.8807,3585607671.385,3943402865.6411,823097126.5587
"FutureG","CAS Clause",619027444.7073,1364642442.3719,1422137272.7386,821819507.1657,591238173.7605,538297639.6761
"FutureG","Other Unlabeled",674056548.0745,702122543.0844,793759458.6104,740565264.973,770776245.8667,296983538.9864
"High Technology","No CAS or CAS Waived",3331372807.3203,4641175185.047,5790201921.8591,6171846452.4046,7198610314.598,4881595860.4924
"High Technology","CAS Status Unknown, but FFP",2313775756.385,2248685756.0516,2382174722.0592,2577357864.9355,2554439150.1837,1020586978.1744
"High Technology","CAS Clause",10394758636.6827,8603187511.7595,10662899012.9589,9975138410.9047,10730909925.809,9473911984.8879
"High Technology","Other Unlabeled",10741646236.5584,12922261250.0856,13092610696.0354,13294682739.4176,13750026407.4916,7815188203.4681
"Microelectronics","No CAS or CAS Waived",746765349.2918,309254752.4196,504245775.332,349223547.2634,300027553.5444,200323926.4018
"Microelectronics","CAS Status Unknown, but FFP",1133422784.0109,1758031913.168,1023685035.3328,893082191.4703,1101080415.6943,482657590.1327
"Microelectronics","CAS Clause",348002715.4601,17210697.1762,48111950.2616,330794918.7119,42674660.5525,230914097.1653
"Microelectronics","Other Unlabeled",265540804.0049,216663754.9167,127722327.6903,167824034.2814,161963602.8079,43094927.2966
"Renewables","No CAS or CAS Waived",25843195.3068,28238815.3432,23072970.825,10212963.7724,20061913.793,42205538.302
"Renewables","CAS Status Unknown, but FFP",222736618.6375,228766297.9417,170577060.7534,201997863.323,246439470.6001,64807314.1221
"Renewables","CAS Clause",4425606.1465,17337442.5522,14747607,25013049.3242,18312980.75,7439529.6375
"Renewables","Other Unlabeled",6751571.4708,6586174.866,4006687.416,2483509.9887,250877.9417,0
"Rest of Defense","No CAS or CAS Waived",36199157434.6099,41368724913.0702,42033034010.201,39313630657.2222,41585220530.6185,47006103434.6551
"Rest of Defense","CAS Status Unknown, but FFP",90024566557.7329,93399339561.6288,100473967887.156,87146956028.5892,95534119159.4149,30825415057.9999
"Rest of Defense","CAS Clause",88590319163.9112,95175882550.8248,111883859449.471,72799876048.6005,79617071226.8802,84023755146.0559
"Rest of Defense","Other Unlabeled",54517349924.533,52684735156.0222,55584460397.5259,55242697883.5965,59367456787.2997,24815386010.7545
"SensorCyber","No CAS or CAS Waived",1131863476.1988,968639144.5252,880972315.2871,810272826.6607,1065287518.0323,817886496.0399
"SensorCyber","CAS Status Unknown, but FFP",3409158441.7804,3585302107.0998,3490242726.415,2876365456.6742,2548647250.7373,929589698.1288
"SensorCyber","CAS Clause",6321405404.2426,7809409871.0854,10014801789.6845,7569929671.8584,8460087795.3212,7920173015.1344
"SensorCyber","Other Unlabeled",1638398428.3605,1784564497.6889,1681183111.1353,1565200612.0359,1491009279.2454,824118078.7699
"Space","No CAS or CAS Waived",1888989555.5402,1377959048.5622,1880786480.8835,691047727.8822,636290715.9188,395760222.836
"Space","CAS Status Unknown, but FFP",1256838839.2059,1334065837.6021,1338511920.5245,2284304159.4776,2085365532.5968,450694832.3064
"Space","CAS Clause",13975319131.1164,18702950851.31,19660959709.0189,13120116350.3737,16238526287.538,17877997938.5608
"Space","Other Unlabeled",495492206.8472,581963705.1766,798800701.006,946315418.0838,1611641582.1819,680856833.3547
,"No CAS or CAS Waived",38707948.9673,-180707558.4297,62372144.1217,30929781.0081,23064035.8427,161698821.9228
,"CAS Status Unknown, but FFP",113171811.1354,117937665.3985,109123067.2464,1147136585.1245,1012067406.9908,226300898.7041
,"CAS Clause",-295259.0049,0,,0,,58556310.9219
,"Other Unlabeled",-26765.1993,2890.8,1708621.5859,1937172.21,21492.9102,4223735.667
