"cas_label","IsEntityTraditionalLabel","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Commercial","Non-Traditional
Defense Contractor",43938597462.2748,50106126197.8422,35397922747.0838,34099766461.0553,28836179137.1624,26943753973.8753,29402376196.4951,34846694645.4198,35234160267.8548,35875249149.5389,55773522318.0748,53661870373.0278,45884808636.1964
"Commercial","Traditional
Defense Contractor",25889342950.4028,22238033025.775,19706315508.1142,18086864585.7877,20086128681.8011,20035924070.5428,22814951610.1898,26654043472.5139,29628990466.9556,35623589217.7845,44190164383.593,52646236662.735,38084619243.8335
"Competition","Non-Traditional
Defense Contractor",15555619470.5361,15660202088.084,13062524552.0163,14562135384.7876,13555671864.5136,15335740858.4072,17417330811.567,13018391947.8351,16058506157.5635,16983812751.466,15392715907.7826,17357519164.9326,19305043010.3455
"Competition","Traditional
Defense Contractor",29840305852.0759,29154766367.2699,23848922503.7213,23312871405.0338,20110137932.4912,20553258966.6612,19561367303.1077,20027502900.2048,21653589815.0077,24775351548.629,19105074974.2403,20907470893.2671,21344984676.5069
"Contract Size","Non-Traditional
Defense Contractor",6353771251.2537,6111328004.128,5455349072.084,6949444392.8565,7430603602.7701,7501739039.1847,6783627804.7729,12719225400.0599,12948873321.4011,11911643224.6253,11324297688.5867,12027087894.0659,12723722281.9879
"Contract Size","Traditional
Defense Contractor",14373844897.8047,13206561065.8076,10802080997.6787,11076872960.9722,10900773054.4309,10123617101.8184,11241962025.9267,13823686787.1314,13826616163.1342,13209947102.2783,11141661764.5212,11793409233.3338,8499159403.4485
"Cost Accounting Standards Imputed","Non-Traditional
Defense Contractor",631989460.7783,730784460.4217,583582108.4095,431813065.252,479057229.6744,754133470.2281,1212870362.8558,2174381343.2315,1789233579.0072,1655131561.9466,1788618124.0356,3460701067.8914,1942123630.1997
"Cost Accounting Standards Imputed","Traditional
Defense Contractor",42891078006.4274,55916245614.7845,47353316662.8298,44606935375.0183,44673219755.351,51673073465.2889,59166462252.3838,77026872601.0672,81941621433.2727,88618976870.7865,85796546316.5326,87347814520.8399,59389185605.2414
"Cost Accounting Standards Labeled","Traditional
Defense Contractor",117265672000.507,114684159598.629,115092313841.753,96339079586.2505,96692994812.3194,115400111619.82,121585389860.149,121695096501.822,133999767682.578,155871330399.17,107353167337.779,119312855677.303,194731326724.396
"Other Exemption","Non-Traditional
Defense Contractor",566868.625,2744757.5625,740760.72,1661330.44,688122.1,7466648.5097,15539948.7242,10103095.4844,50250051.3516,4606692.4265,18838219.6031,6404705,3009276.3125
"Other Exemption","Traditional
Defense Contractor",465110922.9134,326628729.6539,205092408.93,253019515.28,124594107.6519,187804273.1566,125983398.2189,141268312.7166,313186482.6124,328444010.3259,298326767.0599,340466689.9108,643485539.1533
"Unidentified Exemption","Non-Traditional
Defense Contractor",3129237146.0253,2341188503.9723,2173872599.4936,1301505898.753,1906728681.9117,1097699723.7379,1222055072.9644,1459271935.9586,1679311982.6552,1669119486.985,1590213362.9423,2027550576.5423,4477169390.5106
"Unidentified Exemption","Traditional
Defense Contractor",51888821575.225,32603689771.8533,18624525552.7286,16068995341.1965,12779545694.5867,11073302129.1996,12383549493.0202,11717587215.061,10577083876.2989,12603360450.2236,12024794470.6126,11159041230.4726,25833604840.0789
"Vendor Size or Largest Contract","Non-Traditional
Defense Contractor",3896127951.6105,3937348672.9191,3210731356.1299,3590686087.5641,3249832070.0508,4204304430.8653,4997935832.7874,6189402426.5831,6493069677.0296,6496067863.2198,6982552971.4019,6862482873.9066,8814402353.8
"Vendor Size or Largest Contract","Traditional
Defense Contractor",14924806667.1775,14121433442.5084,12296900084.3472,12506026375.4866,12358426373.7167,12568867321.0656,13033903711.0301,16297241164.2412,16411545919.0185,15953388795.9187,14292710488.8398,14983349579.5726,11139398950.3839
"Waived","Non-Traditional
Defense Contractor",922465548.9992,549700703.6313,364659592.3708,352289458.2254,348608488.1532,443966250.4258,233627398.4194,285689730.8393,424132939.4359,274457825.1727,233738346.652,254689686.9587,1589998587.9479
"Waived","Traditional
Defense Contractor",2415098066.7008,1884981201.3818,1116524442.8424,970390145.3863,688829745.6869,678087526.4504,753399556.0265,723658793.4366,888249480.0033,810717582.5063,416181790.5783,454227577.6369,1912728130.1274
