"PlatformPortfolio","multiyearcontracttext","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",,31833667148,30446724255,31030982567,30739020865,31312889405,27652249318,30088932958.51,30307501250,33203098779,36020620803.34,35413855298.53,36119460735.8791,39025889499.1626,49245020025.2512,47802126579.3272,47282598635.3366,53944206261.5134,60467600005.3777,66727621101.0344,65846150267.5325,63613543287.0088,70408554454.7847,78210561296.4113,73620995818.1291,58243299913.6406,61740614994.547,75458902467.4678,86354420046.1047,83993330725.3166,89880343067.9153,105289848698.689,72293274457.9014,75202477351.0966,97082296848.0904,71232302540.9,41396653735.52
"Electronics, Comms, & Sensors",,20056740028.53,19744398733,19579055483,18614358124,17840328302,18935372536,18438756640,21994452623.2,22127165085.39,26061304461.45,20752433554.8069,22386855579.8807,25803646202.2489,31479738358.29,37532046095.0014,42233204664.3596,45201239370.3597,52452632916.0571,56949957402.7422,55338993331.7335,56099108384.5041,52378848389.0672,49574352293.2098,41517691985.7867,40881465195.3545,39556046289.9827,43328236664.686,45890727797.5739,50962837197.6896,54933887933.598,55351923067.4348,49617015224.1283,53529897237.5687,56309647307.506,58084291509.8125,23152605482.47
"Facilities and Construction",,12270146387.56,18546859868,18034998930,17269650869,20413419957.16,20253453482,20496894585,22097368058,22256433114.02,25642719585.99,20799929809.0744,23066281708.1984,26062764956.2649,34446873950.0982,35703133221.642,39560168282.3154,45549368633.2868,46197030187.8622,57289811092.2691,66364166614.8171,61236025341.2038,54581198029.5999,49007984660.0025,39519355046.8524,42197614655.496,38095138884.6933,38545539074.0472,38480200157.5382,46957866409.7389,52078003058.9155,60200005421.9628,51314515561.2864,57369116642.3392,65031893630.2126,66268335328.8982,22049233310.52
"Land Vehicles",,4280921000,6513488889,4169827450,4391855530,3619929411,3099414659,3682108068,4712839717,3946165607,5299615987,3395360125.419,3297789660.2609,4784757838.3462,9641512533.5187,8545490686.6053,15261772563.6108,16131747285.9201,28198596874.6629,39757216060.0822,28835130195.0829,25332224333.8185,19575557221.9926,10828673127.7275,7435113801.5888,5825472234.4273,7493772244.1363,7352399029.4452,8259179595.4681,12665731962.3819,12919390944.7209,11753634631.5691,9682677466.2467,10820652711.1107,14534536562.6893,13712865514.2433,7042861966.74
"Missile Defense",,4493109000,6783380054,5440650317,6509522213,5223252139,4527970932,4790278768,6223012401,6064798156,5179696452.63,3712993149,4009935888.4,5642874340.825,5825750978.0938,6850883253.5797,7241986679.0175,8137932950.5804,9598715469.5959,10357444324.0874,12248019705.5545,12410878346.5911,12082693116.9403,12676566647.6782,12099741738.1587,9293494133.5078,10675878028.3043,10975434323.1747,8833249237.5686,14755738244.1164,15081905808.139,20378112917.8654,13476285590.034,15035889627.5601,13888761799.0107,14026979374.03,5988118567.95
"Ordnance and Missiles",,10399846000,13591854004,12417659763,9927115218,8057990037,7865077208,8060286338,9168533717,10288578986,11750399074.01,7967724148.275,8474994549.3995,11442383339.6534,12782466654.0499,13235234778.1002,14091262916.2053,13651090437.2432,16656166488.807,17610345879.8083,16167191003.7199,14815235215.5274,14253124058.6978,14382664540.9731,11812268601.9235,11790205750.421,12058818951.4863,15479871348.4101,17833777276.8523,20343585093.6988,22899175031.9771,22854209891.2233,20535006075.1904,19083601873.0569,32620059317.4754,35486363498.97,13721177316.55
"Other Products",,10914125000,13706410115,9675044302,10551452583,8629385645,8571790193,9683594429,12422489000,10945019386,9492171289,8636765200.09,10224864678,13391908160.2411,15543175627.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35618854636.1993,29439139717.4225,29987721179.0701,35353479895.3265,26660379036.4712,24340029384.9638,21065394040.0249,19404060630.3798,21592086886.0599,25366831507.1032,23213918227.2358,25597314328.7734,53375243137.3981,58547338829.7781,32840179548.1143,32321738758.0118,13485476945.84
"Other R&D and Knowledge Based",,7783568381,7941110229,8818200450,8589186442,8483277454,8900619476,9336253170,10861073492.06,12465993555,14132252954.98,12423934945.0637,12424468932.9164,15837779626.0314,18425337222.3278,20538698310.7172,25425408590.2361,28721179671.8313,30296153197.6578,33793436149.4456,38519614942.9603,39961534982.6624,39730605562.243,39961349747.0052,33931359418.8854,33313213189.1928,33042571012.3277,33263526142.8296,34993406922.5655,38689071640.6368,42361945896.872,44087196684.0629,52162527543.4242,55013136306.1205,67418109675.7784,76170074745.2891,33620250272.38
"Other Services",,4385928184,5642501985,4212521274,3076431560,4016084413,5278185433,5094354952,5936682915,6260095195,7836022358,6506896271.1198,7420418599.3494,10545115941.9841,16105347747.7887,20122322174.6054,22213036981.4812,24238830668.4184,24497884758.7179,27468028277.7697,30723657954.163,33024157518.5712,36792544582.1274,33864152089.4193,30720193694.7523,25679241583.4147,23029997076.4498,23858636087.5907,26346176148.3264,28367720162.7264,29627333196.4905,29368308989.5551,28664016702.31,30373207224.8044,31780507044.8988,32406631594.5412,15052614323.12
"Ships & Submarines",,10691711493,9519123712,8611054026,9546693472,7408709646,9669502740,7986152424,10693047574,11593416925,10676588934,9355821763,12404327288,12695551342.9298,12672639055.0506,14842821715.2183,14040438232.1252,16819203914.1752,17253476229.614,19353690799.1401,21502362107.6503,17560432635.8955,28388643767.2551,23822792650.8493,23148510363.5897,23827136177.2298,21484105725.3145,24667818108.5284,27260039011.395,31400633673.6599,33399085633.9998,40331155884.2833,32226679837.9985,34738157484.8719,40481797547.3981,39650524227.7409,21558674252.59
"Space Systems",,5255479000,4690791000,3262692007,3841805266,3932350729,3629776820,3048311142,5372020018,4161150258,4478025355,3182752123,4154315718,4493775536.64,5289484147.71,6278698516.1575,6522295831.15,8010484938.6197,8210408402.6981,9577508049.2441,10381035512.3811,9203473353.7323,10431151648.4692,10107315072.0037,7735167706.6243,8004623918.9196,5981723226.965,6013852011.0232,6031120374.0328,5858469687.173,7212921755.1126,7323024505.7012,3626347428.9336,4637988234.9818,5131395923.0176,5926931767.09,1562917339.5
"Unlabeled",,,,,,0,4773197,387836,33893609.95,13320,31603156,29503352.0086,9825233.9423,84074351.1747,75741000.1801,7078195.786,3802636.12,110264977.8082,18047584.62,368043.2172,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,31755,-212795.37,465885,10000,386316,980919.7602,2471452.5331,2563052.94,2844018.11
