"PlatformPortfolio","Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","200 KW MOD MEP-009",1754,33110,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","421",2037,,,,,,,,,,,,,,,,748631,0,50000,,,,-142046.125,,
"Aircraft","474",2047,,,,,,,,,,,,,,,,142802870.4532,184939584.7696,386800413.3282,502619000.4131,377659904.8982,365001346.219,543043074.6052,396788117.7438,170672280.5079
"Aircraft","479",2048,,,,,,,,,,,,,,,,,,,,19813000.01,8174413,3355338,1185143.2344,
"Aircraft","A-1 SKYRAIDER",704,1e+05,859737,776409,199266,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-10",1499,55312562,115975672,71243268,133214300,4030966,-102768,359009,168655282.7878,140378107.2677,132382769.279,228645472.0148,238314058.0085,92583466.3288,280646652.4402,59077291.3212,11249127.795,14129268.1458,950686.1802,172686,0,,-459007.5786,14495216.2998,-2991231.4687
"Aircraft","A-37",711,376480,364380,29972,210138,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-6E / A-6 UPGRADE",83,,,,,,,,,,4839,0,,,,,,,,,,,,,
"Aircraft","A-7 CORSAIR II",708,335250,159900,1018768,243090,,,,,,,,,,,,,,,,,,,,
"Aircraft","A-7D",1318,,,,,,,,884,38916,3064.71,2515.7901,0,,,,,,,,,,,,
"Aircraft","A-7E",1314,,,,,,,,,0,,,,,,,,,,,,,,,
"Aircraft","AABNCP-E4",1461,-10546984,20890810,22292158,11616502,,,,,,,,,,,,,,,,,,,,
"Aircraft","ABH",1882,,,13119360,35948445,13538582,3124689,882602,0,,,0,,399145,,,,,,,,,,,
"Aircraft","ABL",639,,,,,6394,287809,569885,531871,9642512,4385790,,,,-568349,,,,,,,,,,
"Aircraft","ABMS",2255,,,,,,,,,,,,,,,,,,,,,11915000,,6586338,2119779
"Aircraft","ACA",1884,,517091,71734804,16035087,7081360,3810573,140085,797411.625,15921.8602,,,,-879675,,,,,,,,,,,
"Aircraft","ACD",1886,,8322646,38772780,40451793,42887208,11985437,36636642,23803574.665,9850094.9433,3863053,,,,75252.85,,79000,,,,,,,,
"Aircraft","ACM",1850,,,,,,,,61141.2998,559675.3193,792917.3594,769621.4609,923154.6474,654519.3203,84649.34,22732.92,,54392,,,,,,,
"Aircraft","ACN",1887,,2249174,3231915,3588318,3143936,3263156,-662375,0,,,,,,,,,,,,,,,,
"Aircraft","ADG",1888,-11071320,20259033,81309173,152565707,117741369,50288113,36075410,16590494,8481676,,,,,,0,0,,,,,,,,
"Aircraft","AEC",1890,,8282208,144523393,17831280,5964589,2439775,1298025,490329.5703,54633,740213,0,-199478.4063,505366,,,,,,,,,,,
"Aircraft","AESA",1329,,,,,,4530,,3117651,,,,,,,,,,,,,,,,
"Aircraft","AF INT COM CTRL SYS",1728,207080911,265344264,346319111,261542426,,,,,0,,-36858.4805,,,,,,,,,,,,,
"Aircraft","AFN",2052,401511,,279000,2e+05,75000,260000,,0,,,,,,,,,,,,,,,,
"Aircraft","AFV",2053,,,,43064907,-3468967,81090,-242210,,-465407.7656,,,,,,,,,,,,,,,
"Aircraft","AIR CARGO MATERIALS HAND",1757,7297400,10655405,7882480,14110000,,,,,,,,,,,,,,,,,,,,
"Aircraft","ATS",2058,,,,,,,,603889.7266,282247,92703,16901,29652,305808,378818,463791,,,,,,,,,
"Aircraft","AWACS RSIP (E-3)",1815,,,,,10819645,10301209,12268260,129639435.8652,71958788.1055,63807154.6143,513696440.0783,436570243.2875,359692029.0343,446715217.5,305013885.83,244134068.2278,111972552.6208,263831392.8419,60651197.0834,84661525.0072,13361646.2031,-7553921.047,-483953.125,3759363.8125
"Aircraft","AWACS UPGRADE",682,,,,,,,,,,,,,,,,254232596.0625,266505846.5305,134522308.0366,478575158.3438,77904124.5464,104448306.1797,93982567.9066,444496819.5356,68513949.5786
"Aircraft","Advanced Engine Development",2260,,,,,,,,,,5421329,7550092,10617418,27413621,178182751,119104789,104906530,251753705,286420110,575177178.5,692930676.5566,649365861.3398,537726490.3125,461089913.875,211848090
"Aircraft","B-1",1797,148950517,163073784,162781605,133462354,,,,2882527.749,4704666.9899,14453377.6093,753460.1586,5640262.0581,12736915.3444,6293157.25,8710835.03,5987335,-4585247.5,-64212,,,,,,
"Aircraft","B-1 CMUP-DSUP",641,,,,,,,,2163214.56,0,,90625.3203,,1400,,,,,,,,,,,
"Aircraft","B-2 DMS-M",2145,,,,,,,,,,,,,,,,,122458368,0,131050,92348776.9844,8545064.7188,8999595.2519,3272575.835,2153626.75
"Aircraft","B-2 EHF",635,,,,,,,1209256,7583225.4215,8193766.0174,2652871.4269,1351340.6781,1191755.1045,17102535.7267,2987662.53,7456467.85,1380593.1082,2230725.0156,3505709.9687,1673888,1393171.8906,,,,
"Aircraft","B-2 RMP",1370,,,,,766000,143329960,156549798,73643593.5,106276594.5273,71885295.4688,9757168,-29590.3203,0,84164.26,2688775.31,-1021336.25,-217037,,,,,,,
"Aircraft","B-2 STEALTH",1883,242085743,398102521,415795735,505560356,175100588,82519931,16297171,9957685.8437,924050.2324,-4749522.6525,-8753139.3039,-2263949.659,-2270119.8297,-1049737.8,0,,-6342.1299,-2625585.3125,73769.3906,,0,0,,
"Aircraft","B-2A",1860,,,,-124659,162043337,161480738,164828173,429190271.5313,473696025.8036,784561935.8476,752899674.3933,648476401.8954,633911374.1448,743527852.3763,610924267.9395,189875830.5183,54471007.6632,15150155.6423,-2825372.5678,-20527429.0658,-3586378.1054,-1099272.5517,-835990.7695,59796.3984
"Aircraft","B-52 OAS/CMI MODS",1868,,,,,,,,12117510.0007,18684307.2214,8736272.4613,3074951.4814,3073880.3005,2789557.1732,2497771.68,6472356.06,38755.3207,-147352.0202,-8444.8799,0,2400,-57639.3789,,,
"Aircraft","B-52 RMP",2197,,,,,,,,,,,,,,,,,,,8371369,0,5281420.5625,11424821,30488370.0859,19987727.125
"Aircraft","B-52 STRATO FORTRESS",1881,33490577,93547368,94294146,97998062,370121,367379,821749,185875,,,0,,0,,,,,,,,,,,
"Aircraft","B1-B",64,,,,,,,853822,66572422.6582,97856423.171,106557265.1223,117974446.3896,150070734.6869,166809204.1137,80944804.48,90279373.26,4514662.7294,4015063,2987345,1248271.5626,-70879,8019,-56840,7240816,-185712.0625
"Aircraft","B1-B CMUP",693,,,,,115460733,65314719,133547442,120974484.875,140618706.3125,205463266.5801,203343672.7295,227416280.5419,196218195.2812,62391939.64,17141129.31,-1285888.4688,-357316.7588,1536896,,,,,,
"Aircraft","BJL",2061,,,,10001449,558676,2223753,,650000,1238526.9063,,,,,,,,,,,,,,,
"Aircraft","BLACK HAWK (UH-60A/L)",52,,,,,,,,,,,,,502702.0273,780845.35,631400.82,,,,,,,,,
"Aircraft","BLACK HAWK UPGRADE (UH-60",1339,,,,,,5750,,,,,,,,,,,,,,,,,,
"Aircraft","BQM-34 FIREBEE",834,403740,2712798,239913,338101,,,,,,,,,,,,,,,,,,,,
"Aircraft","BSJ",2064,117807518,200260144,146413757,151010862,186339,-2836134,-6260721,,0,,,,,,,,,,,,,,,
"Aircraft","BSM ENERGY",1962,,,,,2489132,,,,,,,5321688,247212,,,,,,,,,,,
"Aircraft","BSR",2065,,436000,59091212,18133560,-281000,249250,,,,,,,-255640.4199,,,,,,,,,,,
"Aircraft","BTD",2066,,,100417927,151391839,-61614,-9243879,-19547068,,,,,,,,,,,,,,,,,
"Aircraft","C-10",1426,323307,481468,674843,1265944,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-117 SKYTRAIN",1412,,,,312072,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-121 CONSTELLATION",1409,,84600,,171376,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-124 GLOBEMASTER",1415,,1518120,74872,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-12A (CX-X)",1427,7321768,-2259810,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-130 AMP",702,,,,,30980598,2082629,16601046,1220228.0391,67944236.6231,6641548.961,104277953.4853,127426879.6653,21085089.2751,-1789645.8301,1787018.7223,0,,,,-4446,,,,
"Aircraft","C-130 HERCULES",716,290907994,289224522,225304836,278646966,,,,,0,-358453,-200963.5391,-177567.5,,,,,,,,,,,,
"Aircraft","C-130H",1827,,,,,,,391088,83924538.2321,55109134.271,52253985.0928,32986303.9229,40207657.5906,47868985.252,32821095.7,45868139.3657,334209.012,-977366.3081,-18194.8698,-307596.1563,,,,,23360
"Aircraft","C-137 STRATOLINER",1423,1520115,4863182,1192267,121177,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-141 STARLIFTER",1420,36374714,18553253,32652755,8869849,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-17A",614,-4746228,-682672,23465356,410914152,1244392913,1481871388,1909306530.18,3364909338.9866,2297696688.43,3932001776.8615,3460240039.8859,3347466941.0857,5480139158.3588,1895521953.8973,1666664559.9275,902645271.2297,924947627.1701,463346960.3522,15511115.3789,-14166599.5226,-37284920.5283,-2975296.3985,31855646.8125,426761.7573
"Aircraft","C-17A CARGO TRANSPORT",1430,473930365,339277164,850544378,447731056,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-18",1429,-226140,143096,,-162926,,,,,,,-35844.8398,0,,,,,,,,,,,,
"Aircraft","C-20",1431,44201466,38512605,42632788,43702260,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-45 EXPEDITOR",1411,,1006235,40623,2210161,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-46 COMMANDO",1416,877096,820116,135516,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-47 SKYTRAIN",719,5215991,-27834,,5548652,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-5 GALAXY",1404,158617287,139475878,135573419,176756127,-754403,,,,,,-232944,,,,,,,,,,,,,
"Aircraft","C-5 RERP",1326,,,,9547000,46760443,1544327,65212381,25875720,141181056,348898360,508931110.0403,727665293.6407,950821573.5185,1133481101.43,937822666.57,272149011.3292,79190439.6709,69908814.2643,63185315.8034,38251447.8867,22771467.3223,19080440.5859,4873142.3128,1523407.1074
"Aircraft","C-5A",1348,,,,,13206885,49570,3236183,40490747.4004,28442432.6119,2817315.2434,12679171.9767,8638933.676,4921392.4222,4390898.32,32915017.94,73146.3902,,,,,,,962248,
"Aircraft","C-5B",615,,,,,,169680,,87505138.6457,103289514.6386,50415561.4695,73559196.0579,84062213.9461,70843042.706,28288227.35,50130856.78,34613027.1241,22115149.8956,28980023.3418,742209.5313,877242.0171,-9214831.375,,-293284.5725,
"Aircraft","C-7 CARIBOU",1405,493468,1005230,270915,224998,,,,,,,,,,,,,,,,,,,,
"Aircraft","C/MH-53E",16,,,,,,,,,3804403,-242836,322025.2344,247692,,,,,,,,,,,,
