"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"442",2042,,,,,,,,,,,,,,,,,,16618,216965,17906,20339,0,-913.05,-21996.4008
"466",2044,,,,,,,,,,,,,,,,,,,,,,185192.8007,,
"716",1852,,,,,,,,,,,,,,,0,,,,,,,,,
"8711",1874,,,,,,,,,34727.9805,,,,,,,,,,,,,,,
"8712",1875,,,,,,,,,-1005,,,,,,,,,,,,,,,
"ACWS",2190,,,,,,,,,,,,,,,,,,,,,,,281953.3985,3721.25
"AF INT COM CTRL SYS",1728,,,,2997431,,,,,,,,,,,,,,,,,,,,
"AH-64E New Build",2040,,,,,,,,,,,,,,,,,,,,,,,710500,979560.7656
"AIR CONDITIONERS",586,,,635957,,,,,,,,,,,,,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,337337,,,,,,,,,,,,,,,,,,,,,,,
"AN/FRT-84 TRANSMITTER",1069,,257223,134499,662832,,,,,,,,,,,,,,,,,,,,
"AN/TVQ-2 LASER DESIGNATOR",428,,3688786,685156,,,,,,,,,,,,,,,,,,,,,
"ATM",1851,,,,,,,,,,,4195.1802,,,,,,,,,,,,,
"ATS",2058,,,,,,,,-750,196560,,295418.3047,1258075,63420,28846.2,,,,,,,,,,
"AUTO CHEM AGENT ALARM",584,,400882,2492720,9614742,,,,,,,,,,,,,,,,,,,,
"AUTO TEST SUPPORT SYS",425,,,,1080,,,,,,,,,,,,,,,,,,,,
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)",2253,,,,,,,,,,,,,,,,,,,,,68643.3906,,0,
"BARRACKS SHIP SELF-PROP-A",1253,304531,302194,1455736,785773,,,,,,,,,,,,,,,,,,,,
"BASE REALIGN & CLOS (BRAC",610,147460785,144181589,83431066,108681414,130658,105470,0,,-300721.1016,-318094.747,45224.9707,-595181.875,-13561.1699,,,,,,-13189.7695,,,,,
"BIOMETRICS",1992,,,,,,,,,12435,,,,,-12435,,,,,,,,,,
"BRAC ACTIVITIES",2014,27039649,50914611,73512779,49965641.5,215862178.125,281560954,517390039.9531,278108775.207,271626626.9946,289971538.0054,230046388.4386,164643456.0032,146538272.9643,183794593.4596,126746848.81,84715995.148,131907417.1338,51028348.7409,26464744.8253,19164123.0599,16127355.0386,36291857.0845,14399176.3782,12746687.1572
"BSM",1972,,,,,,209100,89331.1992,98652,,,,,,,,,,,,,,,,
"BSM ENERGY",1962,,,,,104814,,,,,,,9604.0596,,,,,,,,,,,,
"CARGO SHIP-AK",1255,89734769,60583413,38983040,63388,,,,,,,,,,,,,,,,,,,,
"CBDP",1344,,,,,563242,919364,10726838,,,10718646,0,0,,,,,,,,,,,,
"CHCS II",1958,,,,,3289316,,,,,,,,,,,,,,,,,,,
"CHEM AGENT DETECTOR NETWO",605,3099367,83345,37000,43496,,,,,,,,,,,,,,,,,,,,
"CHEM DEMIL-ACWA",654,,,,,,,,9675574,37525240,197969503,314895977,314139477.875,387470667.5,629930036.13,641856841,465336051.2705,482207532,443353641.0756,706829320.4912,484450149.5625,689596109.7501,727918562.2033,787757338.9206,664643587.5147
"CHEM DEMIL-CMA",690,,,134000,,1455831,10443847,8483966.1953,14609695.4052,11037368.5045,8483868.6378,4682691.2846,24353004.1161,11299060.7597,2004763.26,-6211.57,,-62193.8204,-440591.077,,,,,125092848,570972
"COLL PROT EQUIP, TEMPER T",606,303825,5127070,2728753,9203347,,,,,,,-226728,,,,,,,,,,,,,
"CONTAINERIZED KITCHEN",592,634880,867948,2775115,9225761,,,,,,,,,,,,,,,,,,,,
"DADS",1994,,,,,,,,,71712,2000,9600,,,0,0,,,,,,,,,
"DEAMS Inc 1",2101,,,,,,,,,,,,,,,,,,,,614313.75,791692.9902,51419.1517,,
"DEF ENVIR & RESTORA PRG (",611,440528842,420153030,481833508,384021405,1502708.9297,,1202268.0898,-2964,36041.0903,-810752.233,6053.1204,-191424.3938,-25039.2207,,,,,-27284.9297,0,0,,,,
"DEMOLITION MUNITIONS ALL",381,36300,,44521,,,,,,,,,,,,,,,,,,,,,
"DERP",2016,69456817.2695,77021952,39382285,116783532,436314155,245682253,200630823.0191,213595424.9641,168138537.7832,227643996.0586,275257630.3702,257361662.7502,343596575.0978,249262058.379,258272568.1907,179116388.074,207873259.1737,163765731.2778,142808034.6928,203981514.4887,135936578.5017,169675266.5653,146554377.2825,21456837.8815
"DIMHRS",1967,,,,,2635393,,,,,,,,,,,,,,,,,,,
"DMLSS",1959,,,,,,,154603,,,,,,,,,,,,,,,,,
"DPPS",1950,,,,,188350,94895.8829,,381351,5163,595100,,,,,,,,,,,,,,
"DRAGON",1799,,,,,,,,,,,10000,,,,,,,,,,,,,
"DTS",1970,,,,,34771,16728,12272,,,,,,,,,,,,,,,,,
"Defense Enterprise Office Solution (DEOS)",2251,,,,,,,,,,,,,,,,,,,,47970,,,,
"Department of Defense Healthcare Management System Modernization (DHMSM)",2237,,,,,,,,,,,,,,,,,,,,,,,7179,
"EASTERN TEST RANGE",1733,980341,486333,,-1573599,,,,,,,,,,,,,,,,,,,,
"ENVIR PROTECT AGENCY SUPE",613,133514692,118078009,143408768,158187496,408956,,,,240152.873,-1156365.1415,-87545.8516,-101853.4101,0,,,,,,,,,,,
"EPA SUPERFUND",2021,35846294,70648338,107818930,116012016,228560767,221739797,181408615.4057,190443188.8125,149173877.372,226423628.842,216047931.1599,170801124.0067,102617709.1523,94149737.4186,106477184.3799,95274043.4356,204359912.1891,77770005.3768,106539510.3941,111917656.1595,101656733.8184,103404331.533,137789400.3621,135845674.2983
"FCA",79,,,,,,,,,,,,,,,,,,,6660,,,,,
"FORK LIFT FRONT/SIDE LOAD",287,,,,3298,,,,,,,,,,,,,,,,,,,,
"FORKLIFT 6000 LB",1577,,,,135653,,,,,,,,,,,,,,,,,,,,
"FWD AREA REFUELING SYS AD",594,,2790388,1693122,24409963,,,,,,,0,-51714,,,,,,,,,,,,
"GBSD",2187,,,,,,,,,,,,,,,,,,,3696090,1879678.3125,,,,
"GFEBS",1986,,,,,,,,,809294,,,,,,,,,,,,,,,
"GIL",2089,,,,813826,,,,,,,,,,,,,,,,,,,,
"HANGER AIRCRAFT",1771,,411077,,,,,,,,,,,,,,,,,,,,,,
"HEATER H-1",1772,473849,,,,,,,,,,,,,,,,,,,,,,,
"HURRICANE KATRINA",2017,,,,,,1254801170,3218989825.6321,311498986.7026,-111717928.9464,-30781166.912,-50670841.2193,-647014.4611,164525.6716,1050014.64,-190259.56,-48582.3604,-16950,-22865.8008,,,,-66.67,,
"HURRICANE RITA",2018,,,,,,53834758,411304785.8125,2758031,911519.4766,-2899105.0469,-265465.3438,-524128.875,26723,,,,,,,,,,,
"HUSH HOUSE",1758,4173999,,,390968,,,,,,,,,,,,,,,,,,,,
"IMDS",1974,,,,,,,,,7175,0,,,,,,0,,,,,,,,
"IMPRVD CHEMICAL AGENT MON",577,,3922974,6331477,4726406,,,,,,,,,,,,,,,,,,,,
"INLAND PETROLEUM DIST SYS",578,181200,,8070701,17779157,,,,,,33044.0508,-9292,,,,,,,,,,,,,
"INTGR FAMILY OF TEST EQUI",492,,,293604,31375132,,,,,,,,,,,,,,,,,,,,
"JADC2",2254,,,,,,,,,,,,,,,,,,,,,1389801.5,227491,,
"JCALS",1954,,,,,12872,,,,,,,,,,,,,,,,,,,
"JMPS",1988,,,,,,,,,,,1329100,,,,,,,,,,,,,
"Joint Operational Medicine Information Systems (OMIS)",2241,,,,,,,,,,,,,,,,,,,,58500.1992,46154.001,2500,-5846.2998,
"KMI",2001,,,,,,,,,284442,10999,,,,,,,,,,,4000,603336.2656,0,
"LAB PETROLEUM MODULAR BAS",595,,125000,,443630,,,,,,,,,,,,,,,,,,,,
"LAND COMBAT SUPT SYS (LCS",412,239928,156996,29260,6486635,,,,,,,,,,,,,,,,,,,,
"LOADER A/C 25K",1580,2947654,,55293,,,,,,,,,,,,,,,,,,,,,
"MASK, PROTECTIVE NBC ALL",579,331601,2258566,6042727,11449521,,,,,,,,,,,,,,,,,,,,
"MISSION DISTRIBUTION SYS",1028,,,,0,,,,,,,,,,,,,,,,,,,,
"MK-27",1159,,,5478890,,,,,,,,,,,,,,,,,,,,,
"MQ-1C Gray Eagle",2036,,,,,,,,,,,,,,,,95483.8032,-8299.75,,,,,,,
"MQ-9 Reaper",1805,,,,,,,,,,,,12328417,,20620000,,,5584995,5542692,5715388,55437042,2644611,1490597.6406,10,
"MSE",662,,,,,,,,,,,,,423747.375,11704,,,,,,,,,,
"MULTI SYS TEST EQUIP (MTE",411,,,610095,,,,,,,,,,,,,,,,,,,,,
"N78",2100,,,,,,,,,,,,,,,,,,475000,26633,,,,,
"NAVY EPS",2194,,,,,,,,,,,,,,,,,,,30950.4004,559603.625,0,,226052.4375,
"NCES",664,,,,,,,,,-5131,171400.9297,0,-2700,,,,,,,,,,,,
"NSIPS",1965,,,,,26695,2851,29388,,,,,,,,,,,,,,,,,
"NTCSS",1966,,,,,,,,125752.6291,,19044,,,,,,,,,,,,,,
"OTHER ENVIRONMENTAL PROGR",2115,520811835,560202036,542002239,833837129,1597213105,1424496295.03,1024369786.0016,1314567377.9406,1287756257.1068,1105601000.4953,1068587794.8827,1114919683.8954,927751677.2288,741273537.7365,809519835.9999,1022588148.4741,804604107.1085,975532298.8011,604349099.6188,736038219.4786,601590871.3298,550695923.8834,483497856.7914,189109022.1631
"Other UAS",2258,,,,,,,,,,,41935776,86005633.5429,65255282,49200270,20144077,63281494,11505812,33122500,,,,,,
"PCTE",2193,,,,,,,,,,,,,,,,,,,92618,35228.3008,,,,
"PKI",1979,,,,,284430,,,624517,20517,,,,49404,,,,,,,,,,,
"PKI INC 2",2201,,,,,,,,,,,,,,,,,,15750.2803,,0,,1850000,623117,
"PRV",1328,,,,,,,,,10259,13860.3597,14439.0797,,,,,,,,,,,,,
"PUMP, ASSY LIQ GAS WHL 35",597,,181640,4524961,39079,,,,,,,,,,,,,,,,,,,,
"QM-107 GD MSL TGT SYS",154,,,,10765,,,,,,,,,,,,,,,,,,,,
"RAIL GARRISON",1870,,,,,,,,,2961,,,,,,,,,,,,,,,
"RCAS",1956,,,,,,,,,,,,3116,,,,,,,,,,,,
"REMOTE SENSING CHEM AGENT",583,,,13252,,,,,,,,,,,,,,,,,,,,,
"RESCH SHP OCEANOGRAPHIC-A",1276,1894573,,1691910,,,,,,,,,,,,,,,,,,,,,
"RSA DINING FACILITY",2020,,,,,,,,,,22338603.879,68273634.1322,92834293.3782,61398260.7597,76319934.49,39457267.41,103530332.1427,74711773.0077,94741292.7893,71668278.0787,74548271.2651,122616976.8421,81617278.2609,51205166.0076,73479882.4547
"SHELTER SYSTEM M51 CB",575,,49000,,9954,,,,,,,,,,,,,,,,,,,,
"SIMP COLL PROT EQMT, M20",581,,,,582025,,,,,,,,,,,,,,,,,,,,
"SPS",1961,,,,,56469,146200.4004,118568.1328,16380,2923262.6792,84055831.0267,125111362.9531,51150856.1972,3344766.8102,375709.28,4310.43999999999,33263.7998,,,,-15740,,,,11317.3799
"STATUS OF FORCES AGREEMENT",2202,,,,,,,,,,,,,,,,,,,408920083.5682,779185017.6446,897811297.674,673380834.1057,1124769179.5592,619492925.2493
"TMIP",1952,,,,,,,,,19180,,,,,,,,,,,,,,,
"TOOL OUTFIT HYD REPAIR",603,,,,42619,,,,,,,,,,,,,,,,,,,,
"TOW FLIGHTLINE",1565,,1883573,,,,,,,,,,,,,,,,,,,,,,
"TRACTOR 32,000 GVW",296,4072703,,348179,25598,,,,,,,,,,,,,,,,,,,,
"TYPE 15 PERISCOPE",1151,,27456,31700,,,,,,,,,,,,,,,,,,,,,
"WAREHOUSING SYSTEM AUTOMA",1790,,,,543051,,,,,,,,,,,,,,,,,,,,
"ZBL",2015,,,,,,,,5000,,7049249,1859988.9941,0,,,83100.5,-6421.22,,115381.1875,0,127292.4492,70814.75,0,,
,,19315524037.8049,21541478288.2593,24506053718.2005,32549093780.787,33213863137.9153,36064956796.397,39974549780.3847,43860573013.1595,55472245877.0826,64219017592.1946,58943011877.9037,52292932831.3099,46961700154.4722,37192735910.2756,40210989598.6688,36113872863.4011,36638806763.2298,36595449199.1736,44874239657.3215,49589180278.9825,57603503788.1744,48807992053.5109,54414468275.4439,28136449963.8028
