"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"****AFX",1896,318090361,109147476,26997179,219353279,271590006,165985451,100293,4456032,0,-654231.24,-7740860.2021,-6131609.9063,-871780.6984,-1304283.84,0,,,,-29712.0195,,,,,
"200 KW MOD MEP-009",1754,33110,,,,,,,,,,,,,,,,,,,,,,,
"421",2037,,,,,,,,,,,,,,,,748631,0,50000,,,,-142046.125,,
"433",2039,,,,,,,,,,,,,,,,3700137.7305,1512932.8,30260.8926,-38012.8008,-73195.45,2337666,1585055.625,-191338.5469,
"474",2047,,,,,,,,,,,,,,,,142802870.4532,184939584.7696,386800413.3282,502619000.4131,377659904.8982,369998859.9788,543043074.6052,396788117.7438,170672280.5079
"479",2048,,,,,,,,,,,,,,,,,,,,25344586.01,18670270.375,7360338,2669237.8594,-3434493
"486",2236,,,,,,,,,,,,,,,,,,,,23175,,,,
"532",1820,,,,,,,,,,,,,,14938.02,,,,,,,,,,
"536",1822,,,,,,,,,,,,,,1467,,,,,,,,,,
"A-1 SKYRAIDER",704,1e+05,2513169,6348410,9819648,,,,,,-5518,360,,,,,,,,,,,,,
"A-10",1499,61933002,157609414,85896396,133431648,4030966,-102768,377150.9599,176536827.7878,167164134.8346,165788068.4607,235554583.2036,241167396.1619,104980075.4588,301519376.2402,63678855.1112,11189809.8235,13572335.2188,197822.7896,100901.4004,-171541.218,-38056.1608,-459007.5786,42404639.2998,-30800740.0288
"A-12 AVENGER (TO REPLACE",710,,,72065,29643,,,,,,,,,,,,,,,,,,,,
"A-37",711,376480,364380,29972,385137,,,,,,,,,,,,,,,,,,,,
"A-4 SKYHAWK",1879,10462730,9421371,13740597,100666284,7518307,127000,-69200,,294894,1693168.3843,-71513.1172,-14329.1697,-28819.25,,,,,,,0,,0,0,
"A-6 INTRUDER",707,19889161,18412363,29908775,30723643,,,,,,0,-264,-34368.2617,,-125921.52,,,-500,,,,,,,
"A-6E / A-6 UPGRADE",83,,,,,,,3052.54,52416.9519,388.72,10839,0,,-65.4,,,,,,,,,,,
"A-7 CORSAIR II",708,2941180,391678,2360267,11203166,,,,,,,,,,,,,,,,,,,,
"A-7D",1318,,,,,,,13150679.5,20078536,54442444,66669058.71,94504525.7901,51067022,48726817.9792,31807186,-123922,-37653.4414,-75733.8672,-254883.3125,,,,,-140882.5625,
"A-7E",1314,,,,,,,,,0,,,,136284,,,,,,,,,,,
"A/P22P-9(V) CBR",1165,5302078,,2883023,,,,,,,,,,,,,,,,,,,,,
"AABNCP-E4",1461,-10546984,20890810,22292158,11616502,,,,,,,,,,,,,,,,,,,,
"AAG",2192,,,,,,,,,,,,,,,,,,,,1871246,0,1912444,85247,0
"ABH",1882,,,13119360,35948445,13538582,3124689,882602,0,,-270863.5625,-314704.1875,-1015800.5,317034,,,,,,,,,,,
"ABL",639,,,,,356394,290839,569885,531871,9642512,4385710,,,1596.5,-1577633.54,10578.7,,,,,,,,,
"ABMS",2255,,,,,,,,,,,,,,,,,,,,,11915000,,6586338,2119779
"ACA",1884,,517091,71734804,16035087,7081360,3810573,140085,797411.625,15921.8602,-350,-350,-9287.51,-906380.9395,-6204.36,-42500,-122080.5,,-44837.0313,,0,0,,,
"ACD",1886,,8322646,38772780,40451793,42887208,11985437,36636642,23803574.665,9850094.9433,3242755.0039,-191828.3887,-298817.8275,-474199.3436,-52143.96,0,79000,-10686.9697,-809688.9575,,,0,,,
"ACM",1850,,,,,,,45292.1699,240896.7998,559675.3193,800072.5093,794318.4609,996304.6775,687132.4904,92941.28,22732.92,-3694.01,54392,,,,,,,
"ACN",1887,,2249174,3231915,3588318,3143936,3263156,-662375,0,,,,,,,-5356.53,,,,,,,,,
"ACWS",2190,,,,,,,,,,,,,,,,,,,255485.0156,,,,,
"ADG",1888,-11071320,20259033,81309173,152565707,117741369,50288113,36075410,16590494,8481676,-6916735.625,-1165732.336,,-6319,-76025,-266434,0,0,,-5986492,,,,,
"AEB",1889,170075758,255927389,246644838,27889382,725000,207459073,0,5625732,-25000,1066518,-10116.9399,-39248,-9249.04,-71721,-153193,0,0,0,,,,,,
"AEC",1890,,8282208,144523393,17831280,5964589,2439775,1298025,490329.5703,54633,740213,0,-199478.4063,387381.6094,-32323,,,,-238579.5625,0,,,,,
"AESA",1329,,,,,2017197,6954794,19635598,16374880.4688,81592548.3203,88594423.0976,46945947.3984,93695624.7698,108907907.7031,127550549.2,75599842.92,20507393.675,7796826.5469,6612625.3414,1472678.9102,5559509.6484,-3806546.25,0,0,
"AF INT COM CTRL SYS",1728,207080911,265344264,346319111,261542426,,,,,0,,-36858.4805,,,,,,,,,,,,,
"AFN",2052,401511,,279000,2e+05,75000,260000,,0,,,,,,,,,0,,,,,,,
"AFU",1895,9e+05,353137,969489,381890,709245,,29269,,,-55053.8398,,,-12200,-49533.4,0,-638470.5625,,,,,,,,
"AFV",2053,,,,43064907,-3468967,81090,-242210,,-465407.7656,,,,,,,,,,,,,,,
"AH-1 COBRA",101,78034195,2589345,1432155,349785,,,,,,,-88056.1406,,,,,,-228942,,,,,,,
"AH-1G HUEYCOBRA",109,23037354,6995254,2483156,2585984,,,,,,,-12926.54,-5076.3901,,,,,,,,,,,,
"AH-1J SEA COBRA",750,11831163,27370234,165759698,143393201,,,,,,-3521686.1713,-1839597.5211,,,,,,,,,,,,,
"AH-1W SUPER COBRA",751,9313347,42055057,26140276,5944328,,,,,,-228357.5938,,,,,,,,,,,,,,
"AH-64 APACHE",113,1789717460,139218840,322797643,840559580,677137,,-2502.6699,,,-623696.067,-3183168.5701,-294166.9158,,,,,,,-11558.7402,0,,,,
"AH-64E New Build",2040,,,,,,,,,,,,,154280000,127800173.27,893566507.93,190780677.0575,392647938.3684,110198254.1764,483271342.8167,110560978.4735,100511965.058,144206708.9292,73678601.0498,67331073.8203
"AHD",1899,,14165839,893000,949000,,,,,,,,,,0,0,0,,,,,,,,
"AHE",2054,1788363,1017475,170891,1670618,,997904,69407,,,,,,-627479.45,-46779.71,,,,,,,,,,
"AHJ",2055,9474970,,,,,,,,,,,,,,,0,,,,,,,,
"AHK",1900,2162816,5056394,15306839,1426111,4392677,1779685,2906633,115195.5234,-180876,,-191301.3438,-261788.6786,-31290.7695,,,0,,,,,,,,
"AHP",1902,,,,4653000,,,,,,,,,,,-987000,,,,,,,,,
"AHW",1904,1264260,,,,,,,,,,,,,,-395065.6,,,,,,,,,
"AIG",2056,,,,19811716,11692704,15162343,3508266,5663652,0,0,-10000,-46853.2695,,-1753763.87,,,,,,-36325.6602,,,0,
"AIR CARGO MATERIALS HAND",1757,7297400,10716996,7974100,14110000,,,,,,,,,,,,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,201398,61854,,,,,,,,,,,,,,,,,,,,,,
"AIRBORNE ECM/ECCM NKC-135",1011,,,,1015989,,,,,,,,,,,,,,,,,,,,
"AIRBORNE RECON LOW (ARL)",476,3212794,4930308,,52710621,,,,,,-7479013.5273,-1399381,-346.17,-538436.1875,,,,,,,,,,,
"AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,14914244.75,15502452.8125,8853950.6407,49334144.25,81359331.7227,52465541.2325
"APACHE (AH-64) ADV ATTACK",1906,23023666,38164430,52753356,18022187,22160181,5783744,28365,120301.1769,-230821.1413,-185182.1404,-839144.464,-5810485.0921,-1291223.0536,-245978.25,-107220.58,-827517.125,-651462.1875,-292068.46,10885684,0,0,0,,
"APACHE (AH-64A)",54,,,,,37078858.24,0,2589100.295,170386498.1022,307958908.5499,188267880.4201,540532743.3857,1045195417.9789,1318148919.334,1035132052.7121,904430848.7816,200796830.4606,72180935.9673,16475187.7218,17635345.0304,-11285404.0124,-17492495.975,-12633484.6729,-13280911.9766,0
"APC",2057,52870220,3853819,10849416,3279693,,,-525475,,,,,-59909.0273,-620939.125,,,,,,,,,,,
"ARH",75,,,,,,,-10485,,1549881.5547,3826428.75,4561464.5586,95043538.8115,61986265.8614,46222881,47205280.84,42623746.3934,47413617.5039,21019025.5548,6287234.9198,-1668728.0616,-1536080.0782,-1565052.9697,-768118.0938,
"ARL",1942,646800,4624645,-129924,3810000,13335401,37959164,88892848,89854271,20091653,131879.375,-1593034,-1220242.1875,-4843393,,,,,,,,,,0,
"ASF",1908,,,,18304244,,,,,0,-83883.15,,,,,0,0,,,,,0,,,
"ATR",1909,-541807,,,,,,,,,,,,-4920.3398,-77734.6,-47373.73,,,,,,,,,
"ATS",2058,254640579,10450242,3404181,-540937,-51551,,,603889.7266,282247,308991.7998,14481.5,8434.5996,305808,378818,463791,-123961.5694,-52982.7383,-310714.0313,,,,,,
"AUTO TEST SUPPORT SYS",425,391932,,,,,,,,,,,,,,,,,,,,,,,
"AV-8 HARRIER",795,116862452,68415361,150419888,126265451,,,,,,-477,,0,,,,,,,,,,,,
"AV-8A",1342,,,,,,,,4389.8398,,140757.5,,0,,,,,,,,,,,,
"AV-8B",63,,,,,,2199651.5,2891355.1831,24090618.9426,6216504.9778,24309012.955,29030531.6828,29737718.0653,22171399.3928,14862784.91,2172214.55,-1412583.9164,-346290.2501,-265576.3325,25917,-207994.2197,,,,
"AV-8B REMANUFACTURE",1818,,,804212,3560426,26243961,23260780.6998,41969843.9609,24150801.9186,14612842.7225,10285446.7278,1505401.8856,1525394.3247,6049977.8094,8590144.42,985495.17,47834.61,-599765.2813,846517.0625,1235000,-83959.0863,0,0,,
"AVG",1910,171453068,173863973,8772236,4590890,424821,,,,,,-1056510.9375,-59079.7891,-205370.1074,,-11676.35,-747513.3125,,,,,,,,
"AVK",2060,7293858,5570905,19726501,740000,,,,,,,,,,,,-570514.3125,,,,,,,,
"AWACS RSIP (E-3)",1815,,,,,62616604,40245645,29671399,139529595.8652,72749681.1055,65571085.6377,514777913.8586,436553603.8879,359950354.9948,454196211.5,304912687.47,243361642.6878,111702555.1012,263646253.6856,60200338.2253,84218106.9574,12289540.6797,-7553921.047,-489912.135,3744959.8125
"AWACS UPGRADE",682,,,,,,,,,,,,,,,,254232596.0625,266505846.5305,141479935.0366,482053610.3751,77892623.5464,104155749.0859,93982567.9066,453227074.3657,72546147.5786
"Advanced Engine Development",2260,,,,,,,,,,5421329,7550092,10617418,27413621,178182751,119104789,104883744.5,251753705,286420110,575177178.5,692930676.5566,649365861.3398,537726490.3125,461089913.875,211848090
"B-1",1797,171789665,184252493,186256069,133849155,,,,2882527.749,4829973.3932,14563163.4943,1973417.1338,5143204.0287,13330540.3444,6778935.17,8954032.03,5877522.9082,-4749036.0327,-64212,-242284.9375,-190105.4063,-39083.9102,-18200.4805,,
"B-1 CMUP-DSUP",641,,,,,,,,2163214.56,0,,90625.3203,,1400,,,,,,,,,,,
"B-2 DMS-M",2145,,,,,,,,,,,,,,,,,122458368,0,131050,92348776.9844,8545064.7188,9563359.4042,3272575.835,2153626.75
"B-2 EHF",635,,,,,,,1209256,7583225.4215,12000238.3421,6642560.3549,1701093.4878,8446466.9143,22261302.8352,25216163.82,11975008.55,2247299.1981,2159259.0156,2921694.9687,1335038,1393171.8906,0,,,
"B-2 RMP",1370,,,,,1253778,143334783,156586653,74053172.5,112558805.6288,73506923.2688,11456911,2025409.6797,35672405,84164.26,2376570.84,-1021336.25,-217037,,,,,,,
"B-2 STEALTH",1883,242085743,398102521,415795735,505560356,175100588,82519931,16297171,9957685.8437,924050.2324,-4789503.1328,-8966155.9523,-2431052.6668,-2347048.9205,-1049737.8,0,0,-6342.1299,-3655750.6284,73769.3906,,0,0,,
"B-2A",1860,,,,-124659,162476407,161480738,164833987,429190271.5313,473880759.8036,782846033.6581,756137181.6121,837061865.0829,666193499.0281,781113553.9663,611345721.4095,189131839.5183,54471007.6632,14882633.3571,6707400.4322,-20637486.6635,-3578353.1054,-1099272.5517,-863517.3789,59796.3984
"B-52 OAS/CMI MODS",1868,,,,,,,,12117510.0007,19185654.0214,10019293.7026,4427336.4814,4333394.3095,2983012.642,3814005.31,12087822.76,27827.3207,-147352.0202,-8444.8799,0,-22142.5098,-57639.3789,0,,
"B-52 RMP",2197,,,,,,,,,,,,,,,,,,,8371369,0,5281420.5625,11424821,30488370.0859,19987727.125
"B-52 STRATO FORTRESS",1881,40191472,110234840,108456011,98486172,370121,367379,821749,185875,,-157695.3146,0,-300572.1407,-403324.5156,-109867.34,-220415.13,0,,,,,,,,
"B1-B",64,,,,,,,853822,66572422.6582,114154215.6686,117419665.9029,119579813.2949,157972089.5897,169285187.3967,86224770.905,92297495.4603,3214880.2362,3629554.7378,1675453.1664,837441.6738,-108837,-114021.6524,-86445.1797,7233638.8398,-529204.375
"B1-B CMUP",693,,,,,115460733,65314719,134860487,121247913.875,140618706.3125,205867290.5801,203197283.1514,225304123.7919,195674944.851,56933708.72,13145350.29,-1439250.5157,-3661374.8838,1486570.9805,-3145305,-4020013,-2645.8999,,,
"BAMS",1367,,,,,700313,5581847,5748915,516248,52355357.2188,377048278.3282,372958619.5781,466768237.5313,440802651,534935625.1501,253766611.41,360852223.1484,591885345.625,589814324.0703,564907981.2442,262373161.9193,651088490.2745,350061039.2774,547488914.4033,144718443.8496
"BJL",2061,,,,10001449,558676,2223753,,650000,1238526.9063,,,,,-1021958.76,,,,,,,,,,0
"BJM",2062,6245295,2510746,34002121,6689018,,,,,,,,,,0,,,,,-289016.375,,,,,
"BJN",2063,,,60619860,745363296,-14698000,353562528,391996160,0,0,-1282,,,,-2854.55,,,,,,,,,,
"BLACK HAWK (UH-60A/L)",52,,,,,14397989,43212714.125,18317968,493444418.1548,924424367.574,824303440.6179,968219732.7068,842189784.4485,1048158991.0314,582629463.3431,416845529.1423,42619428.3898,14500670.2665,2332029.8248,461131.0094,-3693982.842,-4188920.3729,-588352.2903,47310514.5663,193940856.2256
"BLACK HAWK UPGRADE (UH-60",1339,-3234412,,,,73612809,90611055,74947755.2194,23453739.4455,6267909.8805,5510614.2203,1035548.4999,11809344.1849,28246438.9313,86620820.61,19913017.3088,232573623.6527,439569602.0377,733587271.8843,1034906369.0508,1029685688.0731,1001596419.4928,374208744.9589,565892101.5908,259434051.2607
"BLACKHAWK",1905,52339793,820172737,75823141,66905645,31877902,11480238,2285430.6484,-631576.6719,40759.6481,-3254097.6517,-855361.3607,-37277.0301,-1302570.8642,-163619.98,-485917.27,0,-212130.7269,0,,0,0,0,0,
"BQM-34 FIREBEE",834,403740,3262786,239913,2025326,,,,,,,-1670.36,-36269.5313,,,,,,,,-60522.1797,,,,
"BQM-74",869,,591773,,21057064,,,,,,,,,,,,,,,,,,,,
"BSJ",2064,117807518,200260144,146413757,151010862,186339,-2836134,-6260721,,0,,,,-50974.2695,-2337207.65,,0,-575885.0975,-26040.3496,,,,,,
"BSM ENERGY",1962,,,,,31680193,21935725,8513165,,15,-1987.04,-219814.4688,5318098.76,247212,-68.07,,,,,,,,,,
"BSR",2065,,436000,59091212,18133560,-281000,249250,,,,,,-134837.75,-934320.1387,-283084.68,,,,,,-387011.4063,,,,
"BTD",2066,,,100417927,151391839,-61614,-9243879,-19547068,,,,,,,,,,,,,,,,,
"C-10",1426,1145394,2858169,905694,1265944,,,,,,,,,,,,,,,,,,,,
"C-117 SKYTRAIN",1412,,,,312072,,,,,,,,,,,,,,,,,,,,
"C-12",89,27809157,435565,81945590,1496669,,,,,,-8297.4404,-35682.6797,,,,,,,,,,,,,
"C-121 CONSTELLATION",1409,,84600,,171376,,,,,,,,,,,,,,,,,,,,
"C-124 GLOBEMASTER",1415,,2993120,74872,,,,,,,,,,,,,,,,,,,,,
"C-12A (CX-X)",1427,7321768,-2259810,,,,,,,,,,,,,,,,,,,,,,
"C-130 AMP",702,,,,,35294002,1417218,16601046,1979117.0391,74208708.8731,55453938.5396,113356528.1125,130911554.8138,24959621.1287,3123000.6674,9749456.8123,-955601.475,-103835.4219,-479437.3281,-45048,-5622.63,,0,,
"C-130 HERCULES",716,349907968,415990494,338514539,298559604,,,,,0,-1022741.6731,-1406488.1774,-1036458.4532,,,,,,-129.53,,0,0,0,-48194.5996,
"C-130H",1827,,,,,,,402260.4805,84068640.2321,55304123.2515,100643333.0062,51977210.3374,68015382.4832,64931559.8618,34777306.88,49708079.2157,-172786.9766,-1236974.0906,-419768.2898,-406303.2832,-3084838.75,-320.5,-26060,-190.9,23360
"C-137 STRATOLINER",1423,1520115,4863182,1192267,121177,,,,,,,,,,,,,,,,,,,,
"C-141 STARLIFTER",1420,51871615,45783839,51561179,9068979,,,,,,,-13837.4502,,,,,,,,,,,,,
"C-17A",614,-4746228,-682672,23465356,410914152,1260351400,1498226510,1951248339.18,3382381505.9866,2302232938.43,3937748293.865,3573248169.1858,3527392217.612,5502691461.6038,1961143068.6485,1617412327.4719,875152105.078,909691071.9537,442827955.5559,-16157042.1038,-20086034.8218,-47143500.1464,-19881262.1299,27525142.1679,426761.7573
"C-17A CARGO TRANSPORT",1430,475073323,341213187,854029331,447760581,,,,,,-3567.95,,,,,,,,0,0,,,,,
"C-18",1429,106569,249052,188611,-162926,,,,,,,-35844.8398,0,,,,,,,,,,,,
"C-2 GREYHOUND",714,10030466,3426906,7978623,414882,,,,,0,,,,,,,,,,,,,,,
"C-20",1431,44201466,38512605,42632788,43702260,,,,,,,,,,,,,,,,,,,,
"C-20 ACFT",91,633622,679461,270282,296076,,,,,,,,,,,,,,,,,,,,
"C-20 GULFSTREAM III/IV",730,157823,312935,1643031,222290,,,,,,,,,,,,,,,,,,,,
"C-23 SHERPA",90,1119000,645338,,3187943,,,,,,,,,,,,,,,,,,,,
"C-4 GULFSTREAM",729,2184868,1819118,1801918,,,,,,,,,,,,,,,,,,,,,
"C-45 EXPEDITOR",1411,,1006235,40623,2210161,,,,,,,,,,,,,,,,,,,,
"C-46 COMMANDO",1416,877096,820116,135516,,,,,,,,,,,,,,,,,,,,,
"C-47 SKYTRAIN",719,5215991,-27834,136407,6305789,,,,,,,,,,,,,,,,,,,,
"C-5 GALAXY",1404,190713888,181117916,169952988,177615283,-754403,,,0,-5300,-462044.5938,-752626.6358,-10425.9805,,,,,,,-94768.8906,0,0,,,
"C-5 RERP",1326,,,,9547000,48050915,1714402,65212381,25875720,141184516,348973285,509150449.4289,727664793.6407,950814223.5185,1134070500.65,937901022.47,267476511.505,79517939.6709,63600554.3472,61969009.1075,36657053.2967,20204390.2378,7100974.5717,2584380.561,749407.1294
