AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,CDC_Name,CDC_Street,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_Name,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval_Then_Year,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,JobsSupported,GrossApproval_OMB24_GDP22,AnyTag,CriticalTech
20230930,504,ELECTRONIC COMPONENTS & SVC,103 INDUSTRIAL DRIVE,FOX LAKE,WI,53933,"WBD, Inc.",5202 Eastpark Boulevard,Madison,WI,53718,NA,NA,NA,NA,518000,1990-12-05,1991,01/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,DODGE,WI,MILWAUKEE,06,CORPORATION,NA,PIF,05/31/2005,NA,0,42,994083.2071556121,TRUE,Microelectronics
20230930,504,"DIGICOM SYSTEMS, INC.",182 TOPAZ STREET,MILPITAS,CA,95035,Mortgage Capital Development C,1611 Telegraph Ave,Oakland,CA,94612,NA,NA,NA,NA,750000,1990-12-31,1991,03/13/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,300,334411,Electron Tube Manufacturing,NA,NA,SANTA CLARA,CA,SAN FRANCISCO DISTRICT OFFICE,17,CORPORATION,NA,PIF,05/31/2005,NA,0,60,1439309.6628700946,TRUE,Microelectronics
20230930,504,"SIMPLIFIED COMPUTER SOLUTIONS,",801 S. RANCHO DR. E-2,LAS VEGAS,NV,89106,New Ventures Capital Developme,3311 South Rainbow Blvd.,Las Vegas,NV,89146,NA,NA,NA,NA,191000,1991-02-13,1991,05/13/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,CLARK,NV,NEVADA DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,6,366544.19414425077,TRUE,Computing
20230930,504,K. W. M. ELECTRONC CORPORATION,1355 W. 8040 S.,WEST JORDAN,UT,84088,Mountain West Small Business F,2595 East 3300 South,Salt Lake City,UT,84109,NA,NA,NA,NA,152000,1991-02-20,1991,07/17/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,334411,Electron Tube Manufacturing,NA,NA,SALT LAKE,UT,UTAH DISTRICT OFFICE,04,CORPORATION,NA,PIF,05/31/2005,NA,0,6,291700.09167500585,TRUE,Microelectronics
20230930,504,SUPRA CORPORATION,1133 COMMERCIAL WAY,ALBANY,OR,97321,Cascade Capital Funding,388 State Street,Salem,OR,97301,NA,NA,NA,NA,693000,1991-02-28,1991,10/16/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334112,Computer Storage Device Manufacturing,NA,NA,BENTON,OR,PORTLAND DISTRICT OFFICE,04,CORPORATION,NA,PIF,05/31/2005,NA,0,40,1329922.1284919675,TRUE,Computing
20230930,504,TRANSGENIC SCIENCES INC,55 UNION ST,WORCESTER,MA,01608,Worcester Business Development,89 Shrewsbury Street,Worcester,MA,01604,NA,NA,NA,NA,567000,1991-03-18,1991,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541710,"Research and Development in the Physical, Engineering, and Life Scienc",NA,NA,WORCESTER,MA,MASSACHUSETTS DISTRICT OFFICE,02,INDIVIDUAL,NA,CANCLD,NA,NA,0,40,1088118.1051297917,TRUE,High Technology
20230930,504,THE SYSTEM DISTRIBUTORS INC,1650 TURNPIKE ST,NORTH ANDOVER,MA,01845,Bay Colony Development Corpora,230 Third Avenue,Waltham,MA,02451,NA,NA,NA,NA,132000,1991-03-25,1991,02/12/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,ESSEX,MA,MASSACHUSETTS DISTRICT OFFICE,06,INDIVIDUAL,NA,PIF,05/31/2005,NA,0,5,253318.50066513667,TRUE,Computing
20230930,504,"INT INFORMATION SYSTEMS, INC.",P O BOX 275,GRANVILLE,OH,43023,Community Capital Development,"5475 Rings Rd, # 110",Dublin,OH,43017,NA,NA,NA,NA,76000,1991-04-10,1991,08/14/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,LICKING,OH,COLUMBUS DISTRICT OFFICE,12,CORPORATION,NA,PIF,05/31/2005,NA,0,8,145850.04583750293,TRUE,Computing
20230930,504,"OMNIDATA INTERNATIONAL, INC.",124 SOUTH 600 WEST,LOGAN,UT,84321,Mountain West Small Business F,2595 East 3300 South,Salt Lake City,UT,84109,NA,NA,NA,NA,150000,1991-04-15,1991,04/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334513,"Instruments and Related Products Manufacturing for Measuring, Displayi",NA,NA,CACHE,UT,UTAH DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,6,287861.93257401895,TRUE,High Technology
20230930,504,"CRISTEK INTERCONNECTS, INC.",1301 S. LEWIS ST.,ANAHEIM,CA,92805,Landmark Certified Development,441 East Whittier Boulevard,La Habra,CA,90631,NA,NA,NA,NA,456000,1991-04-15,1991,07/17/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334411,Electron Tube Manufacturing,NA,NA,ORANGE,CA,SANTA ANA DISTRICT OFFICE,46,CORPORATION,NA,PIF,05/31/2005,NA,0,43,875100.2750250176,TRUE,Microelectronics
20230930,504,DELTA COMPUTER SYSTEMS INC,BURNS AVENUE & CANAN STREET,ALTOONA,PA,16602,Altoona-Blair County Developme,3900 Industrial Park Dr.,Altoona,PA,16602,NA,NA,NA,NA,126000,1991-04-18,1991,08/14/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,541512,Computer Systems Design Services,NA,NA,BLAIR,PA,PITTSBURGH DISTRICT OFFICE,13,CORPORATION,NA,PIF,05/31/2005,NA,0,11,241804.0233621759,TRUE,Computing
