"fiscal_quarter_YTD","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1,,,,,,,,,,,,,,,,,,,,,,,135865546260.229,140625216419.214,147600460855.997,158103213649.15
2,,,,,,,,,,,,,,,,,,,,,,,139044795722.896,200849476380.303,139843803710.874,156906200850.07
3,,,,,,,,,,,,,,,,,,,,,,,180076564539.546,171978897680.483,200511714804.19,
4,,,,,,,,,,,,,,,,,,,,,,,239770713125.399,247628440778.74,267896995702.52,
,205622010956.151,223122114971.464,264179541566.909,319534633556.245,339374362885.617,391421722174.711,431150693727.76,469832450387.097,528324812418.232,555219628413.768,561461680478.873,540281458698.527,521202807980.205,464002287567.128,446499337588.522,440238480663.629,475819888742.117,511111347392.27,556350178532.936,590054724551.062,671762882476.565,645793473783.483,,,,
