"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"586",,,,,,,,,,,,,,,,,,,,,,59702802.75,91090785.6719,271492142.375
"AF INT COM CTRL SYS",,27528836,127260090,,20000,,,,,-165012.0156,-84608.1719,,,,,,,,,,,,,
"Future Vertical Lift Capability Set Three (FVL CS3)",,,,,,,,,,,,,,,,,,,,,909692.2024,3439224.2188,11462197.2188,241489502.7929
"GBSD",,,,,,,,,,,,,,,,,,,,,,1090125576.75,2028271250,2640754000
"Mk21A Reentry Vehicle",,,,,,,,,,,,,,,,,,,,,,71524469.625,81518233.375,51339084.5
"Other Labeled Project",36562699,14247416,99829898,147096715,83464648,34861292,21857751.1992,51816068.6336,78242746.8925,24381571.0747,54854953.0328,43969084.2569,58133197.2631,20894141.6732,10898292.8708,22142966.7102,29001648.7199,64432938.0879,1329510.0837,38839565.6596,48521306.3126,33754463.92,106680564.0307,82811444.4219
"Other UAS",,,,,,,1165866,343000,3656942,8512102.3828,16198362.7578,14506557.2519,19891644.9688,13993209.91,13930868.06,15517157.5335,31147299.1155,37952179.6505,136240567.4659,93480910.7661,137118474.8078,109600387.3954,,
"STATUS OF FORCES AGREEMENT",,,,,,,,,,,,,,,,,,,24965901.6479,31108610.247,26047188.3093,27191633.2022,23272464.2015,10151601.5951
"ZBL",,7542155,,15916250,558742,16073180,1e+06,,,,,5136034,7102259,2208983.5,-5000.1,200291.7344,187760293.1446,2443759.6093,5794322.2656,21242987.1349,12049988.625,14550511.9219,1270294.6919,7758040.9219
,12380532631.0637,12372765096.9022,15610689621.1511,18262324248.2682,20454654918.9484,25374474115.2697,28697156064.658,30243994136.7776,33711962424.076,38486739452.9164,40002895873.221,39798656614.9895,40036606864.1825,33907054552.6653,33447187727.5291,33107866561.19,33120114392.9418,34554360444.2068,38484074088.5924,42365857985.5654,44022649220.9002,50742685456.4253,52636829976.2023,34350609920.2947
