"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1GVM",541,,25350,,,,,,,,,,,,,,,,,,,,,,
"439",2041,,,,,,,,,,,,,,,,,,,237302,-63598,132838.0898,73586.1484,75491.6016,-101622.7969
"442",2042,,,,,,,,,,,,,,,,,,,,,,9927676,51705694,21934866
"443",2043,,,,,,,,,,,,,,,,17929063,29608811,54463272.9531,-68310.8516,,1353.7383,-920977.8125,-463504.8438,
"474",2047,,,,,,,,,,,,,,,,,,,90000,,,,,
"479",2048,,,,,,,,,,,,,,,,881472.8,,,-7612.5698,,,,,
"586",2249,,,,,,,,,,,,,,,,,,,,,,59702802.75,91090785.6719,271492142.375
"<60 KW",568,,,,262593,,,,,,,,,,,,,,,,,,,,
"ABMS",2255,,,,,,,,,,,,,,,,,,,,2192734,2542872.8906,2207853,23402825,43064717.5
"ACWS",2190,,,,,,,,,,,,,,,,,,846158.6563,,,,0,,
"AEC",1890,,,4e+05,279980,,,,,,,,,,,,,,,,,,,,
"AF INT COM CTRL SYS",1728,,27528836,127260090,,20000,,,,,-165012.0156,-84608.1719,,,,,,,,,,,,,
"AH-64E New Build",2040,,,,,,,,,,,,,,,,,2627135.5,941834.375,0,,,,383178.4175,419658.7188
"AHK",1900,,364075,365792,413000,161845,300757,,374657,65454,,,,,,-4429.73,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,2102568,,,,,,,,,,,,,,,,,,,,,,,
"AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,,,1021974.4375,519845.625,,
"APC",2057,,,4261533,69412661,12540679,495000,,,,,-339489.4531,-62.76,-54495.0391,-135172.69,,,,,,,,,,
"ARE",1907,,,1345294,2063387,31659,,,,,-243727.8204,-92180.0781,,,-146983.24,-3190.69,,,,,,,,,
"ATR",1909,-2328863,-844220,602298,-750280,,,,,,,,,,,,-244212.0313,,,,,,,,
"ATS",2058,,,,,,,,,0,,,276291,,,,,,,,,,,,
"AUJ",2059,,1999623,6930000,9540749,2214429,3384630,3625659,,5153691.5,0,,,-88271.9375,,,,,,,,0,,,
"Advanced Pilot Training (APT)",2232,,,,,,,,,,,,,,,,,,,,,113353,,,
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)",2253,,,,,,,,,,,,,,,,,,,,8914.3701,,,,
"BIOMETRICS",1992,,,,,,,,,,,,1837076,0,,3872906.3,626661.4,,,,,-12000,,19614327.625,14567456
"BJL",2061,,,,2068257,1880975,2129505,3267404.1992,379189,,,,-101523.8398,-226061.9297,-38212.51,,,0,,,,,,,
"BSM",1972,,,,,82756,744711,28749,1292407,2159236,2206769,2116612,,-37104.0586,-23576.79,,-272407.7813,,,,,,,,
"BSM ENERGY",1962,,,,,,,,,315406,-315406,,1129240.125,1161216.625,584690.17,,-81509.3281,,,,,,,,
"CANES",2035,,,,,,,,,,,,,,,,,,,,12977.1201,9354,13263.1797,,
"CBDP",1344,544497,1215433,,,98600,-51430,-5000,,,,,,,,,,,,,,,,,
"CDL",1341,,,,,,,,,48253,,,,,,,,,,,,,,,
"CITS",1993,,,,,,,,,375014,374967,0,,,,,-4856.95,,,,,,,,
"CMU",1814,,,,,,,,,,7272473.7334,9828182.8828,2130739.2695,10029796.5703,9300969.59,7098223.91,,,,,,,,,
