"","NASbioEconomyPretty","IsCovid19","2020","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Bioeconomy
R&D services","COVID-19 Related",1382392653.7063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Biologics (enzymes)","COVID-19 Related",192814253.3211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Biopharmaceuticals
/Other pharmaceuticals","COVID-19 Related",2801839720.1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Electromedical
instruments","COVID-19 Related",693194730.2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Surgical and
Medical Equipment","COVID-19 Related",2145250159.5387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Bioeconomy
R&D services","All Other Funding",3910366120.5193,127119000.441631,746358801.95599,1175593655.15289,1656629898.56847,1351749553.10942,1358241252.31555,1423259142.51487,1971946913.48627,2211649342.81152,3640120321.91261,3525657581.12149,3774803653.40634,2849026646.26318,3070911540.21141,2945983276.10531,3180686636.00393,3135307156.41862,3262267144.33376,2921002249.34374,3498233203.45067
"7","Biologics (enzymes)","All Other Funding",1301740024.4228,207594.582658619,88030044.5850712,166653127.123443,244050487.655359,209828920.782786,2133239753.76693,4604313976.23044,5749528405.51087,2616698358.59272,1834433635.3812,702430826.15503,4029529107.05593,2298758121.7467,995524104.730522,756534647.00896,350673486.537377,608552808.436275,1026110863.42991,509366742.463148,2537735378.25048
"8","Biopharmaceuticals
/Other pharmaceuticals","All Other Funding",7333929023.8853,5430276.75548359,360993401.021861,1160607370.55436,3449805946.20798,324493840.726582,385101587.833992,778778733.628495,356271600.132223,1343419764.54182,4066552714.12771,4236053496.27712,1932337116.95414,5138081384.29728,9285915798.78013,9275256211.92732,11068350528.8869,10857105400.7737,8837942110.2592,7299586511.92015,8865789855.95664
"9","Electromedical
instruments","All Other Funding",2314410533.0174,78588481.5711762,522751959.557745,897674121.517695,905587333.125956,914233390.166305,1190768957.83491,1406742531.00102,1232277331.11321,1246925570.76342,2038060027.54863,2318918908.36782,2189727812.26009,2130482899.71041,2241043690.39024,2550938528.37246,2101105997.18798,2083412026.89626,2101691834.49713,2556698672.8859,2413933744.87369
"10","Surgical and
Medical Equipment","All Other Funding",1360589512.8705,56169291.3546298,321143960.880196,231465239.524632,543301689.677186,502494406.027695,846710886.841107,1202769830.73305,1428234024.27041,1461826376.06441,1173514343.43272,1278657509.16887,1417174829.01685,1283457679.94247,1445598118.31108,1039246831.7583,1206707204.91902,1657515783.17217,1716467752.44384,1639799204.19779,1550899212.27854
