"CalendarYear","exclude","NAICS_Code","naics_text","def4_mismatch","def4_obl","def4_period_obl","US4_rcp","def4_ratio","OPTAX.display.label","US4_pay","US4_emp","US4_avg_sal","def4_cont_count","US4_estab","def4_hh_index","def4_top4","def4_top8","def4_top12","def4_top20","def4_top50"
2007,"No","2111","Oil and gas extraction",NA,57698168.382,57698168.382,255104849000,0.000226174330312318,"Total",9593816000,"150443",63770.4379731859,49,"6260",1282.66215274874,0.647148073840227,0.832071575614685,0.930366462873023,0.995945143104279,1
2007,"No","2121","Coal mining",NA,1981566.7895,1981566.7895,34261466000,5.78366024822172e-05,"Total",4767887000,"77435",61572.7642538904,2,"1034",8670.80267912769,1,1,1,1,1
2007,"No","2122","Metal ore mining",NA,-32736.99,-32736.99,23667448000,-1.38320743326446e-06,"Total",2355259000,"35004",67285.4245229117,13,"250",2649.17699656664,0.947828462168806,1,1,1,1
2007,"No","2123","Nonmetallic mineral mining and quarrying",NA,27705244.6437,27705244.6437,27926338000,0.000992082980722356,"Total",4500542000,"98938",45488.5079544765,293,"5188",227.598346274937,0.20902611753044,0.354081117963909,0.440263173084995,0.564565431735716,0.807412378810055
2007,"No","2131","Support activities for mining",NA,2674505.5183,2674505.5183,72564630000,3.68568752889665e-05,"Total",19469968000,"368613",52819.5370212119,68,"9935",794.166228347185,0.462975879140357,0.681256083744819,0.802580475696003,0.911285511619589,0.99865863510567
2007,"No","2211","Electric power generation, transmission and distribution",NA,982416501.435,982416501.435,445693484000,0.00220424245967886,"Total",43618314000,"511487",85277.4635523483,818,"9554",400.63223487877,0.312640124440115,0.470784079699074,0.586354465028662,0.735648110525437,0.892537486222303
2007,"No","2212","Natural gas distribution",NA,61351442.6147,61351442.6147,128555017000,0.000477238804415544,"Total",6037623000,"83369",72420.4800345452,108,"2377",861.730485249182,0.517942102089563,0.713365759490469,0.806167217888933,0.908691510385089,0.993822383943462
2007,"No","2213","Water, sewage and other systems",NA,365942208.2825,365942208.2825,9944157000,0.0367997215130956,"Total",1997681000,"42391",47125.1208983039,506,"4647",815.897854998487,0.423754493208648,0.607353891168909,0.718121046528064,0.836287621965516,0.944892339093347
2007,"No","2361","Residential Building Construction","Uncollated at NAICS 4-5",1030439194.6371,1030439194.6371,358562365000,0.00287380744668253,NA,37938954000,"823428",46074.4035908422,245,NA,614.293000208704,0.404743094000056,0.581083062190074,0.699951665062351,0.84237894356356,0.972774306196502
2007,"No","2362","Nonresidential Building Construction","Uncollated at NAICS 4-5",14082146950.0305,14082146950.0305,389936533000,0.036113946138077,NA,40205680000,"717656",56023.6101976434,2800,NA,73.0420262005125,0.0935176966131709,0.157196105887332,0.212825841599748,0.306616182649695,0.49219691252949
2007,"No","2371","Utility System Construction","Uncollated at NAICS 4-5",954769128.8921,954769128.8921,113172742000,0.00843638770272174,NA,28730743000,"551347",52110.0921923943,787,NA,341.948404411191,0.303236854552195,0.41159927039004,0.492089151609708,0.591970241876619,0.781649946652853
2007,"No","2372","Land Subdivision","Uncollated at NAICS 4-5",5971476,5971476,22874404000,0.000261054932841092,NA,3068201000,"56593",54215.2032936936,11,NA,6458.43026302266,0.92730139081192,0.998871803219171,1,1,1
