"","ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","SpaceArea"
"20","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES","PAMS",NA
"72","J058","MAINT-REP OF COMMUNICATION EQ","ICT",NA
"107","D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","ICT",NA
"117","1830","SPACE VEHICLE REMOTE CONT SYSTEMS","Missiles & Space",NA
"120","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","Electronics & Communications",NA
"122","6605","NAVIGATIONAL INSTRUMENTS","Other",NA
"129","4960","SPACE VEHICLE MAINT EQ","Missiles & Space",NA
"144","W018","LEASE OR RENTAL OF EQUIPMENT- SPACE VEHICLES","ERS",NA
"190","AR96","R&D- SPACE: OTHER (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"204","K018","MOD OF SPACE VEHICLES","ERS",NA
"212","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE","Electronics & Communications",NA
"253","AR36","R&D- SPACE: FLIGHT (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"299","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Engineering Development",NA
"324","1860","SPACE SURVIVAL EQUIPMENT","Missiles & Space",NA
"341","R703","ACCOUNTING SERVICES","PAMS",NA
"350","AR97","R&D- SPACE: OTHER (COMMERCIALIZED)","Commercialization",NA
"359","5962","MICROCIRCUITS, ELECTRONIC","Electronics & Communications",NA
"362","AC31","DEFENSE SHIPS (BASIC)","Basic Research (6.1)",NA
"434","1850","SPACE VEHICLE HANDLING & SERVICE EQ","Missiles & Space",NA
"477","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)",NA
"537","AR43","R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ADVANCED DEVELOPMENT)","Advanced Development",NA
"544","L099","TECH REP SVCS /MISC EQ","PAMS",NA
"577","H918","OTHER QC SVCS/SPACE VEHICLES","PAMS",NA
"609","1735","Space Vehicle Handling and Servicing Equipment","Missiles & Space",NA
"679","H318","INSPECT SVCS/SPACE VEHICLES","PAMS",NA
"783","AR76","R&D-COMMERCIAL PROGRAMS-MGMT SUP","R&D administrative and operational expenses",NA
"830","AR74","R&D- SPACE: COMMERCIAL PROGRAMS (ENGINEERING DEVELOPMENT)","Engineering Development",NA
"859","AR26","R&D- SPACE: SCIENCE/APPLICATIONS (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"913","AD91","OTHER DEFENSE (BASIC)","Basic Research (6.1)",NA
"995","5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS","Electronics & Communications",NA
"997","L058","TECH REP SVCS/COMMUNICATION EQ","ICT",NA
"999","5963","ELECTRONIC MODULES","Electronics & Communications",NA
"1051","AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)",NA
"1054","R710","FINANCIAL SERVICES","PAMS",NA
"1089","7110","OFFICE FURNITURE","Other",NA
"1142","B599","OTHER SPECIAL STUDIES AND ANALYSES","PAMS",NA
"1163","AR75","R&D-COMMERCIAL PROGRAMS-OPSY DEV","Operational Systems Development",NA
"1166","V212","MOTOR PASSENGER SERVICES","PAMS",NA
"1248","AR93","R&D- SPACE: OTHER (ADVANCED DEVELOPMENT)","Advanced Development",NA
"1251","5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA","Electronics & Communications",NA
"1261","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications",NA
"1347","7035","ADP SUPPORT EQUIPMENT","Electronics & Communications",NA
"1488","Z199","MAINT-REP-ALT/MISC BLDGS","FRS&C",NA
"1589","AN11","BIOMEDICAL (BASIC)","Basic Research (6.1)",NA
"1647","5996","AMPLIFIERS","Electronics & Communications",NA
"1769","6625","ELECT ELECTRONIC MEASURING INSTRUMT","Other",NA
"1865","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","Engineering Development",NA
"2034","N018","INSTALL OF SPACE VEHICLES","ERS",NA
"2097","1305","AMMUNITION, THROUGH 30 MM","Launchers & Munitions",NA
"2315","J099","MAINT-REP OF MISC EQ","ERS",NA
"2328","L018","TECH REP SVCS/SPACE VEHICLES","PAMS",NA
"2348","AR54","RDTE/SP+TERRESTRIAL APP-DEMO/VALID","Engineering Development",NA
"2401","5960","ELECTRON TUBES & ASSOC HARDWARE","Electronics & Communications",NA
"2584","AR66","R&D-SPACE STATION-MGMT SUP","R&D administrative and operational expenses",NA
"2693","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications",NA
"2777","Z2BG","REPAIR OR ALTERATION OF ELECTRONIC AND COMMUNICATIONS FACILITIES","FRS&C",NA
"2792","4140","FANS AIR CIRCULATORS & BLOWER EQ","Other",NA
"2818","5811","OTHER CRYPTOLOGIC EQ & COMPONENTS","Electronics & Communications",NA
"2959","AJ42","ENGINEERING (APPLIED/EXPLORATORY)","Applied Research (6.2)",NA
"3009","1510","AIRCRAFT, FIXED WING","Aircraft",NA
"3020","AR63","R&D- SPACE: STATION (ADVANCED DEVELOPMENT)","Advanced Development",NA
"3045","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","Electronics & Communications",NA
"3054","AR47","R&D-SPACE TRACK DATA ACQ-COMERCLIZ","Commercialization",NA
"3079","5340","HARDWARE","Other",NA
"3090","2895","MISC ENGINES & COMPONENTS","Engines & Power Plants",NA
"3109","AR10","R&D-AERO & SPACE TECH","Uncategorized R&D",NA
"3188","AC34","DEFENSE SHIPS (ENGINEERING)","Engineering Development",NA
"3192","1550","DRONES","Aircraft",NA
"3309","6810","CHEMICALS","Other",NA
"3401","8415","CLOTHING, SPECIAL PURPOSE","Clothing & Subsistence",NA
"3638","6760","PHOTOGRAPHIC EQ & ACCESSORIES","Other",NA
"3665","AR77","R&D-COMMERCIAL PROGRAMS-COMERCLIZ","Commercialization",NA
"3670","3895","MISC CONTRUCT EQ","Other",NA
"3704","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ","Electronics & Communications",NA
"3782","J010","MAINT-REP OF WEAPONS","ERS",NA
"3885","D314","ADP ACQUISITION SUP SVCS","ICT",NA
"3907","AJ46","ENGINEERING (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"4048","7610","BOOKS AND PAMPHLETS","Other",NA
"4067","N035","INSTALL OF SERVICE & TRADE EQ","ERS",NA
"4226","K099","MOD OF MISC EQ","ERS",NA
"4311","9999","MISCELLANEOUS ITEMS","Other",NA
"4476","D322","IT AND TELECOM- INTERNET","ICT",NA
"4601","5935","CONNECTORS, ELECTRICAL","Electronics & Communications",NA
"4770","6034","FIBER OPTIC MOD/DEMODULATORS","Electronics & Communications",NA
"4881","H958","OTHER QC SVCS/COMMUNICATION EQ","ICT",NA
"4947","B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY","PAMS",NA
"4987","K052","MOD OF MEASURING TOOLS","ERS",NA
"5039","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","Engineering Development",NA
"5053","AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"5199","W039","LEASE OR RENTAL OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT","ERS",NA
"5542","R799","OTHER MANAGEMENT SUPPORT SERVICES","PAMS",NA
"5552","AG31","GEOTHERMAL (BASIC)","Basic Research (6.1)",NA
"5622","3590","MISC SERVICE & TRADE EQ","Other",NA
"5706","5310","NUTS AND WASHERS","Other",NA
"5767","AC66","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"5827","M127","OPER OF GOVT ELCT & COMM SYS FAC","FRS&C",NA
"5840","1005","GUNS, THROUGH 30 MM","Launchers & Munitions",NA
"6156","Z2BF","REPAIR OR ALTERATION OF MISSILE SYSTEM FACILITIES","FRS&C",NA
"6298","R415","PROF SVCS/TECH SHARING-UTIL","ICT",NA
"6367","R421","TECHNICAL ASSISTANCE","PAMS",NA
"6421","7010","ADPE SYSTEM CONFIGURATION","Electronics & Communications",NA
"6459","8999","FOOD ITEMS FOR RESALE","Clothing & Subsistence",NA
"6472","N087","INSTALL OF AGRICULTURAL SUPPLIES","ERS",NA
"6562","1677","Space Vehicle Remote Control Systems","Missiles & Space",NA
"6624","5821","RADIO & TV EQ AIRBORNE","Electronics & Communications",NA
"6745","5950","COILS AND TRANSFORMERS","Electronics & Communications",NA
"6783","6220","ELEC VEHICULAR LIGHTS & FIXTURES","Electronics & Communications",NA
"6816","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","Advanced Development",NA
"6950","6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS","Electronics & Communications",NA
"6955","6930","OPERATION TRAINING DEVICES","Other",NA
"7029","AR65","R&D-SPACE STATION-OPSY DEV","Operational Systems Development",NA
"7098","AD96","OTHER DEFENSE (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"7108","5965","HEADSET,HANDSET,MICROPHONE & SPEAK","Electronics & Communications",NA
"7940","4920","AIRCRAFT MAINT & REP SHOP EQ","Aircraft",NA
"8100","AA35","R&D-AGRI PRODUCTION-OPSY DEV","Operational Systems Development",NA
"8406","6660","METEOROLOG INSTRUMENTS & APPARATUS","Other",NA
"8850","7050","ADP COMPONENTS","Electronics & Communications",NA
"8923","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","Basic Research (6.1)",NA
"9253","R409","PROGRAM REVIEW/DEVELOPMENT SERVICES","PAMS",NA
"9264","T013","PHOTO/MAP/PRINT/PUBLICATION- TECHNICAL WRITING","PAMS",NA
"9715","AN91","OTHER MEDICAL (BASIC)","Basic Research (6.1)",NA
"9729","5975","ELECTRICAL HARDWARE AND SUPPLIES","Electronics & Communications",NA
"9957","6130","CONVERTERS, ELECTRICAL, NONROTATING","Engines & Power Plants",NA
"10596","6920","ARMAMENT TRAINING DEVICES","Other",NA
"10699","K058","MOD OF COMMUNICATION EQ","ICT",NA
"10934","4935","GUIDED MISSILE MAINT EQ","Missiles & Space",NA
"11092","7520","OFFICE DEVICES AND ACCESSORIES","Other",NA
"11219","T099","OTHER PHOTO MAPPING PRINTING SVC","PAMS",NA
"11888","5855","NIGHT VISION EQ","Electronics & Communications",NA
"11927","Y119","CONSTRUCT/OTHER ADMIN & SVCS BLDGS","FRS&C",NA
"12220","7042","MINI & MICRO COMPUTER CONT DEVICES","Electronics & Communications",NA
"12403","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","Advanced Development",NA
"12701","6665","HAZARD-DETECTING INSTRU & APPARATUS","Other",NA
"12780","Y199","CONSTRUCT/MISC BLDGS","FRS&C",NA
"12904","3040","MISC POWER TRANSMISSION EQ","Ground Vehicles",NA
"13249","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","Electronics & Communications",NA
"13376","6525","IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY","Clothing & Subsistence",NA
"13573","6015","FIBER OPTIC CABLES","Electronics & Communications",NA
"13804","6140","BATTERIES, RECHARGEABLE","Engines & Power Plants",NA
"13866","AC34","DEFENSE SHIPS (ENGINEERING)","R&D administrative and operational expenses",NA
"14425","6830","GASES: COMPRESSED AND LIQUEFIED","Other",NA
"14450","1725","Space Vehicle Launchers","Missiles & Space",NA
"15106","1010","GUNS, OVER 30 MM UP TO 75 MM","Launchers & Munitions",NA
"15940","5961","SEMI CONDUCTOR DEVICES","Electronics & Communications",NA
"16602","H258","EQ TEST SVCS/COMMUNICATION EQUIP","ICT",NA
"16643","Y299","CONTRUCT/ALL OTHER NON-BLDG FACS","FRS&C",NA
"17059","T006","FILM/VIDEO TAPE PRODUCTION SERVICES","PAMS",NA
"17392","AB91","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","Basic Research (6.1)",NA
"17476","J014","MAINT-REP OF GUIDED MISSILES","ERS",NA
