"DISAprodserv","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Telecomm Network Mgmt.","Commercial",20466877.1234428,25390186.2922286,41537755.9055118,127374560.739921,50227839.1155368,72798836.5208152,65177409.9566541,191494659.833173,276991212.061702,97933198.7503218,49596552.1244689,122166228.772128,93538131.4919248,35987423.802623,88434407.49464,147548452.624123,260152751.940974,257068511.03969,170531422.9887
"Telecomm Network Mgmt.","Non-Commercial",93912069.6489241,102262723.481162,11659594.0809123,115684201.910408,111302877.35976,23751287.8247794,21464478.7329843,0,13389534.8770736,444724806.815725,180406082.920427,147276692.793438,654258695.957301,495010738.408962,585808454.059556,524025173.812912,532813774.629398,658777536.205591,540827235.4797
"Telecomm Network Mgmt.","Not IT",NA,NA,NA,NA,NA,NA,NA,NA,458205.446712018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Telecomm Network Mgmt.","Unlabeled",NA,294404.281940776,186600.597339126,40228092.226614,40565533.9041236,17467785.0441158,-2886019.92426641,11282310.5745065,17375361.6740661,4144349.50696151,0,0,0,0,0,879167.669006594,-1569233.06204456,36914271.7288032,1222783.039
"Other IT and Telecomm","Commercial",1267022655.71914,1491386008.61949,1841621173.67404,2150201949.87773,2264259474.88485,2450374567.53772,2304077221.65177,2518693912.31644,2863374906.13808,2311443687.5306,2262073608.73097,1966969220.29924,1503301113.02467,1313123852.04262,1763881085.44548,1682814022.31727,2239376649.07589,1907103659.427,1869892688.7222
"Other IT and Telecomm","Non-Commercial",978244435.164213,1482562179.89712,1496523782.13671,1898858166.25494,619566679.225967,1140339822.45035,953166092.466943,1026169629.68223,981640148.366034,2170695280.94325,2314572253.23757,1473119014.42947,1611580431.95354,1278682490.4812,1393782770.25912,1777504771.56796,1315250662.28316,1330850256.77308,1950645114.9035
"Other IT and Telecomm","Non-Developmental",NA,NA,841584.306272061,1010272.72727273,275954.295927486,46621.1010314403,NA,2069774.01299952,NA,NA,191580.441267654,NA,NA,23480.2841530055,0,NA,3308.06787424526,36.6493214978063,1790475.25
"Other IT and Telecomm","Not IT",NA,NA,NA,NA,67653.1972424359,283409.820802784,2420542.87787654,8346313.19005778,33821053.6535386,6430287.00117,-30776.8521070157,-844007.249971812,NA,NA,NA,NA,NA,NA,NA
"Other IT and Telecomm","Unlabeled",44385870.6115515,31561051.0218268,12342968.7075753,27256031.5279315,995725734.459466,148260219.059277,140771660.169487,313163199.515768,850174864.907387,104541815.284427,2668388.69939143,1507093.53703913,175497.168141593,-39569.705136612,-43125.2484028154,33215868.5742395,311563.577347491,112031381.973166,148009220.6823
"Other ICT Services","Commercial",129837042.751982,110265146.670374,69898346.4566929,75876664.0316205,9346845.39282523,22491723.195228,22778940.8318519,27370913.0383967,16761783.3193699,27174805.8962209,33048317.0067746,24792003.3374676,30371132.9965708,16519886.2197814,13768165.984732,16040136.4837269,11683014.8540496,5278540.36792164,4232020.2879
"Other ICT Services","Non-Commercial",114568520.668177,121434573.891283,74096703.7740972,408895.915678524,268327.588408017,305864.297253635,15606.0150980153,NA,NA,326147.618579619,8102.43426340567,157135.731198557,95204.2588495575,327648.480218579,738130.194802382,6643259.87449479,707026.853112638,121912.894704622,809256.5522
"Other ICT Services","Non-Developmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26773.5558617522,NA,76327.4336283186,NA,NA,NA,NA,NA,NA
"Other ICT Services","Not IT",4661974.801812,7451787.84929793,1142640.51045343,518163.372859025,3000852.99923401,4312116.62545048,4570722.11128698,14856071.7125662,4937487.45112782,16486874.009477,18879610.3672063,47336928.5827038,40336118.3960177,355704732.640109,135519234.9098,158434158.131142,135398515.432022,106193117.610244,71405268.999
"Other ICT Services","Unlabeled",13424205.8323896,4065798.69317392,2297568.55824056,19985217.3913043,46493963.3127793,21199953.9361253,21683691.5888226,13867942.8950409,24942928.5383697,163473.788580789,0,0,0,0,0,433489.71633695,NA,-5137.92490562188,113750.7193
"PAMS","Commercial",25014916.4779162,65230804.9492562,68342696.2564485,29317506.8140975,17018553.5554704,17880041.9653287,13136449.6598076,34926658.0416466,65588961.6404105,18342148.4376974,3601787.85233666,3463488.23993686,16702626.1172566,17176082.7774863,8612585.19772604,11469851.2252712,8206369.06214866,8385121.97816549,5882534.75
"PAMS","Non-Commercial",51642063.98641,36142417.6282497,34553381.7540049,954957.839262187,NA,1924156.60146639,647284.277608669,14923857.1094126,15100157.6759757,0,12311.2640946148,NA,NA,NA,NA,NA,NA,NA,NA
"PAMS","Not IT",1056140.99660249,7626050.32670652,717893.02199294,0,129188725.720031,305345413.860196,439764480.33654,405886050.16117,255922218.340136,488223050.407043,537255709.147089,474401275.433984,534248457.139823,557856009.178689,638938094.780942,612090827.044352,638861885.89111,596280875.706459,706293292.6788
"PAMS","Unlabeled",115998510.758777,158903583.822883,506686585.769889,122702946.92859,87923136.8801226,47237595.358643,54742558.9084378,78965031.9665383,249648848.297291,26917125.0948871,8671296.97255713,9315724.839328,7618223.3960177,7323177.55344262,2200076.68381159,483333.980961498,1928492.23464501,24793697.9925518,77047875.4025
"Other Services and R&D","Commercial",9977412.23103058,1590793.82733213,668748.303013847,465040.843214756,147768.415677263,433254.629054306,1085866.88116401,3224324.75288878,992317.836615348,3068706.82110682,173722.442301068,181286.95456083,34808.860619469,-124916.777704918,NA,NA,NA,NA,NA
"Other Services and R&D","Non-Commercial",6133449.88674972,72208583.3449187,68278119.7393429,NA,NA,NA,NA,5657.19788155994,271154.075665354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other Services and R&D","Not IT",NA,NA,9011.67526472984,0,8053081.39091025,100322675.303467,91848613.7178863,82093700.9685845,81636659.3703306,83363788.5610156,70883589.5106212,92343453.6926373,68875499.2477876,87838512.9367213,82797728.2564158,49710113.9636248,72084907.6655215,63161584.2424242,94246222.9227
