"","productorservicecode","ProductOrServiceCodeText","BioRelated","Action_Obligation_OMB20_GDP20"
"82","1910","TRANSPORT VESSELS, PASSENGER AND TROOP",NA,1472567.44736163
"83","1911","AMPHIBIOUS ASSAULT SHIPS",NA,6931247.4151485
"84","1920","FISHING VESSELS",NA,65704.7727284759
"85","1925","SPECIAL SERVICE VESSELS",NA,1160772.16876928
"86","1927","Cable Ships",NA,89253.4408452662
"87","1940","SMALL CRAFT",NA,39076.5588003157
"88","1945","PONTOONS AND FLOATING DOCKS",NA,1317523.05665349
"89","1955","DREDGES",NA,89295.0200901011
"90","1990","MISCELLANEOUS VESSELS",NA,2795725.06734729
"91","2010","SHIP AND BOAT PROPULSION COMPONENTS",NA,1557080.1515158
"92","2040","MARINE HARDWARE AND HULL ITEMS",NA,12729690.6595712
"93","2050","BUOYS",NA,1595332.95138654
"94","2060","COMMERCIAL FISHING EQUIPMENT",NA,363542.090962711
"95","2090","MISC SHIP & MARINE EQ",NA,25417929.4059017
"96","2230","RAILROAD RIGHT OF WAY CONSTR EQ",NA,35716.7973784483
"97","2240","LOCOMOTIVE & RAIL CAR ACCESSORIES",NA,1201202.4413682
"98","2305","GROUND EFFECT VEHICLES",NA,667100.776616801
"99","2310","PASSENGER MOTOR VEHICLES",NA,10110822.7565056
"100","2320","TRUCKS AND TRUCK TRACTORS, WHEELED",NA,4263015.33821929
"101","2330","TRAILERS",NA,4784674.33367756
"102","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES",NA,1747225.20587182
"103","2350","COMBAT ASSAULT & TACTICAL VEH",NA,147782.566383984
"104","2355","COMBAT ASSAULT AND TACTICAL VEHICLES WHEELED",NA,794517.846478936
"105","2420","TRACTORS, WHEELED",NA,7350.82986985572
"106","2510","VEH CAB BODY FRAME STRUCTURAL COMP",NA,6783690.25535566
"107","2530","VEH BRAKE STEERING AXLE WHEEL COMP",NA,64401.5083733508
"108","2540","VEHICULAR FURNITURE AND ACCESSORIES",NA,63241.1067193676
"109","2541","VEH ACCESSORY/WEAPONS SYS SPECIFIC",NA,339344890.053477
"110","2590","MISCELLANEOUS VEHICULAR COMPONENTS",NA,11902251.6604487
"111","2805","GAS RECIPROCATING ENG - EXCEPT AIR",NA,49432.7818712637
"112","2810","GAS RECIPROCATING ENG - AIRCRAFT",NA,20491.0477529912
"113","2835","GAS TURBINES & JET ENG EXCEPT AIR",NA,4101840.24254549
"114","2840","GAS TURBINES & JET ENGINES AIRCRAFT",NA,209531151.055818
"115","2845","ROCKET ENGINES AND COMPONENTS",NA,259334084.037808
"116","2895","MISC ENGINES & COMPONENTS",NA,2612407.50557113
"117","2910","ENGINE FUEL SYS COMPONENTS NONAIR",NA,6123741.36687438
"118","2915","ENGINE FUEL SYSTEM COMPONENTS AIR",NA,2357173.61208577
"119","2920","ENGINE ELECT SYS COMPS NONAIRCRAFT",NA,823764.160774483
"120","2930","ENGINE COOLING SYS COMPS - NONAIR",NA,41530.0546448087
"121","2935","ENGINE COOLING SYS COMPONENTS - AIR",NA,141058.601293491
"122","2945","ENGINE AIR & OIL FILTERS - AIR",NA,22557.0483060109
"123","2950","TURBOSUPERCHARGER AND COMPONENTS",NA,690846.952769422
"124","2990","MISC ENGINE ACCESSORIES - NONAIR",NA,77781.7467842199
"125","2995","MISC ENGINE ACCESSORIES - AIRCRAFT",NA,4627235.32930772
"126","3010","TORQUE CONVERTERS & SPEED CHANGERS",NA,9420.28985507246
"127","3040","MISC POWER TRANSMISSION EQ",NA,3196989.23333719
"128","3120","BEARINGS, PLAIN, UNMOUNTED",NA,129261.462698585
"129","3130","BEARINGS, MOUNTED",NA,57165.4075995039
"130","3419","MISCELLANEOUS MACHINE TOOLS",NA,737545.353790077
"131","3424","METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT",NA,1750442.2505706
"132","3426","METAL FINISHING EQUIPMENT",NA,0
"133","3436","WELDING POSITIONERS & MANIPULATORS",NA,1581.02766798419
"134","3439","MISC WELD SOLDER & BRAZING SUPPLY",NA,27651.8827181813
"135","3450","MACHINE TOOLS, PORTABLE",NA,18229.7891532304
"136","3455","CUTTING TOOLS FOR MACHINE TOOLS",NA,4545476.69755533
"137","3460","MACHINE TOOL ACCESSORIES",NA,176916.030738504
"138","3470","MACHINE SHOP SETS KITS & OUTFITS",NA,80710.988359433
"139","3530","IND SEW MACH & MOBILE TEXTILE SHOPS",NA,111903.887358433
"140","3540","WRAPPING AND PACKAGING MACHINERY",NA,6344.00101817164
"141","3590","MISC SERVICE & TRADE EQ",NA,12373401.3611617
"142","3605","FOOD PRODUCTS MACHINE & EQ",NA,-2274.01516092954
"143","3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",NA,11678264.5683067
"144","3625","TEXTILE INDUSTRIES MACHINERY",NA,217985.218653307
"145","3650","CHEMICAL & PHARMACEUTICAL MACHINE",NA,20982.9378403828
"146","3655","GAS GENERATING & DISPENSING SYSTEM",NA,173768.495731255
"147","3660","INDUSTRIAL SIZE REDUCTION MACHINERY",NA,358230.59905139
"148","3685","SPECIAL METAL CONTAINER MFG MACH",NA,1835608.61867034
"149","3690","SPECIAL AMMUNITION & ORDNANCE MACH",NA,180394.086038608
"150","3695","MISC SPECIAL INDUSTRY MACHINE",NA,6530729.24195013
"151","3710","SOIL PREPARATION EQUIPMENT",NA,3813.19210399615
"152","3720","HARVESTING EQUIPMENT",NA,125987.364868933
"153","3730","DAIRY POULTRY & LIVESTOCK EQ",NA,10358.4195072131
"154","3740","PEST DISEASE & FROST CONT EQ",NA,43506.992766104
"155","3805","EARTH MOVING & EXCAVATING EQ",NA,160781.674284404
"156","3820","MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",NA,8405475.23767169
"157","3825","ROAD CLEARING & CLEANING EQ",NA,127537.342014554
"158","3835","PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT",NA,2986976.21744054
"159","3895","MISC CONTRUCT EQ",NA,0
"160","3920","MAT HANDLING EQ - NONSELF-PROPELLED",NA,941589.216359157
"161","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",NA,6020.90686939995
"162","3950","WINCHES HOISTS CRANES & DERRICKS",NA,27781.2877655648
"163","3990","MISC MATERIALS HANDLING EQ",NA,402507.63183098
"164","4020","FIBER ROPE, CORDAGE, AND TWINE",NA,8112.56830601093
"165","4110","REFRIGERATION EQUIPMENT",NA,109299.410130328
"166","4120","AIR CONDITIONING EQUIPMENT",NA,16406876.2715993
"167","4130","REFRIGERATION & AIR CONDITION COMP",NA,15219.7735297699
"168","4140","FANS AIR CIRCULATORS & BLOWER EQ",NA,9125375.42770029
"169","4150","VORTEX TUBES AND OTHER RELATED COOLING TUBES",NA,19642.9315011451
"170","4210","FIRE FIGHTING EQUIPMENT",NA,-1065.96828992072
"171","4220","MARINE LIFESAVING & DIVING EQ",NA,146303.833964101
"172","4230","DECONTAMINATING & IMPREGNATING EQ",NA,-1144095.18036955
"173","4235","HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL",NA,95379.0324038119
"174","4240","SAFETY AND RESCUE EQUIPMENT",NA,58049186.4464139
"175","4310","COMPRESSORS AND VACUUM PUMPS",NA,1846201.65770031
"176","4320","POWER AND HAND PUMPS",NA,4509.12804800204
"177","4330","CENTRIFUGALS SEPARATORS & FILTERS",NA,167097.734981716
"178","4410","INDUSTRIAL BOILERS",NA,23638.3743009817
"179","4420","HEAT EXCHANGERS & STEAM CONDENSERS",NA,1224038.35369582
"180","4430","INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS",NA,243025.993660225
"181","4460","AIR PURIFICATION EQUIPMENT",NA,5809899.01772486
"182","4470","NUCLEAR REACTORS",NA,16816567842.225
"183","4520","SPACE AND WATER HEATING EQUIPMENT",NA,299129.359373791
"184","4530","FUEL BURNING EQUIPMENT UNITS",NA,44146.2450592885
"185","4540","WASTE DISPOSAL EQUIPMENT",NA,917796.960887141
"186","4610","WATER PURIFICATION EQUIPMENT",NA,4830092.02444531
"187","4630","SEWAGE TREATMENT EQUIPMENT",NA,318.135035048126
"188","4710","PIPE, TUBE AND RIGID TUBING",NA,163657.129115232
"189","4730","FITTINGS - HOSE PIPE & TUBE",NA,-89238.6823690612
"190","4820","VALVES, NONPOWERED",NA,22123.8938053097
"191","4910","MOTOR VEHICLE MAINT EQ",NA,4428.97974400398
"192","4920","AIRCRAFT MAINT & REP SHOP EQ",NA,25140994.2274432
"193","4930","LUBRICATION & FUEL DISPENSING EQ",NA,34230.1339081148
"194","4935","GUIDED MISSILE MAINT EQ",NA,322503.04567332
"195","4940","MISC MAINT EQ",NA,48818.3011534678
"196","4960","SPACE VEHICLE MAINT EQ",NA,253990619.353506
"197","5110","HAND TOOLS, EDGED, NONPOWERED",NA,41632.4499910381
"198","5130","HAND TOOLS, POWER DRIVEN",NA,135750.133862723
"199","5133","DRILL BITS, COUNTERBORES, AND COUNTERSINKS: HAND AND MACHINE",NA,638.325035107877
"200","5210","MEASURING TOOLS, CRAFTSMEN'S",NA,621077.477483153
"201","5220","GAGES & PRECISION LAYOUT TOOL",NA,21592.9526187358
"202","5280","SETS, KITS & OUTFITS OF MEASURING T",NA,44469.0408160589
"203","5307","STUDS",NA,3044.6128992171
"204","5315","NAILS, MACHINE KEYS, AND PINS",NA,42988.6914378029
"205","5330","PACKING AND GASKET MATERIALS",NA,377541.795930948
"206","5335","METAL SCREENING",NA,20541.8168261464
"207","5340","HARDWARE",NA,1131076.15759376
"208","5342","HARDWARE, WEAPON SYSTEM",NA,435839.443270784
"209","5350","ABRASIVE MATERIALS",NA,17801.7158469945
"210","5360","COIL, FLAT, LEAF, AND WIRE SPRINGS",NA,47072.2973318014
"211","5410","PREFABRICATED & PORTABLE BUILDINGS",NA,81412.5434081108
"212","5411","RIGID WALL SHELTERS",NA,1914.97510532363
"213","5419","COLLECTIVE MODULAR SUPPORT SYSTEM",NA,8223640.53976657
"214","5430","STORAGE TANKS",NA,1027780.1505992
"215","5450","MISC PREFABRICATED STRUCTURES",NA,442303.459937891
"216","5520","MILLWORK",NA,16873.7568737569
"217","5640","WALLBOARD BLDG & THERMAL INSULATION",NA,120463.768115942
"218","5660","FENCING FENCES & GATES",NA,56236.2612730229
"219","5680","MISC CONTRUCT MATERIALS",NA,17797.7990645269
"220","5805","TELEPHONE AND TELEGRAPH EQUIPMENT",NA,406422.120817813
"221","5810","COMM SECURITY EQ & COMPS",NA,303235541.78484
"222","5811","OTHER CRYPTOLOGIC EQ & COMPONENTS",NA,17119188.4825787
"223","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",NA,71432871.4063673
"224","5821","RADIO & TV EQ AIRBORNE",NA,12519070.280062
"225","5825","RADIO NAVIGATION EQ - EXCEPT AIR",NA,6034512.67726565
"226","5826","RADIO NAVIGATION EQ AIR",NA,72211629.4366923
"227","5831","INTERCOMM PUBLIC ADDRESS SYS - AIR",NA,10040830.6982872
"228","5835","SOUND RECORDING & REPRODUCING EQ",NA,48331.7094795952
"229","5836","VIDEO RECORDING AND REPRODUCING EQU",NA,15025794.6643614
"230","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",NA,54766198.7471692
"231","5841","RADAR EQUIPMENT, AIRBORNE",NA,136786576.540968
"232","5845","UNDERWATER SOUND EQUIPMENT",NA,2181441.83774765
"233","5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT",NA,24941.2841179979
"234","5855","NIGHT VISION EQ",NA,24481520.6832667
"235","5860","STIMULATED COHERENT RADIATION DEV",NA,711400.375070202
"236","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",NA,471038556.060655
"237","5895","MISC COMMUNICATION EQ",NA,246643778.859559
"238","5910","CAPACITORS",NA,10723.8605898123
"239","5920","FUSES ARRESTERS ABORBERS & PROTECTO",NA,15200.5089567816
"240","5930","SWITCHES",NA,189048.408599616
"241","5935","CONNECTORS, ELECTRICAL",NA,79098.2423127677
"242","5940","LUGS TERMINALS & TERMINAL STRIPS",NA,23703.6007229251
"243","5945","RELAYS AND SOLENOIDS",NA,29375.1300953037
"244","5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS",NA,126636.947089944
"245","5960","ELECTRON TUBES & ASSOC HARDWARE",NA,105401.844532279
"246","5961","SEMI CONDUCTOR DEVICES",NA,6626485.86694395
"247","5962","MICROCIRCUITS, ELECTRONIC",NA,4757239.86544786
"248","5963","ELECTRONIC MODULES",NA,3022438.4727479
"249","5965","HEADSET,HANDSET,MICROPHONE & SPEAK",NA,100206.873713501
"250","5970","ELECT INSULATORS & INSULATING MAT",NA,1640431.94268593
"251","5975","ELECTRICAL HARDWARE AND SUPPLIES",NA,16016329.0311322
"252","5977","ELECT CONTACT BRUSHES & ELECTRODES",NA,111291.17259552
"253","5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA",NA,11379520.9268029
"254","5985","ANTENNAS WAVEGUIDES & RELATED EQ",NA,25068481.5889909
"255","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ",NA,982004.443211974
"256","5996","AMPLIFIERS",NA,9818029.99102974
"257","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",NA,1256717.26874574
"258","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",NA,162779969.955952
"259","6006","ATTENUATORS",NA,7905.75916230366
"260","6007","FILTERS",NA,2899.67061923584
"261","6008","OPTICAL MULTIPLEXERS/DEMULTIPLEXERS",NA,13213.3282267331
"262","6010","FIBER OPTIC CONDUCTORS",NA,4204368.72115124
"263","6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES",NA,1540754.58092585
"264","6030","FIBER OPTIC DEVICES",NA,115541.802020767
"265","6032","FIBER OPTIC LIGHT SOURCES",NA,185764.908432505
"266","6035","FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES",NA,9476.98782026882
"267","6040","FIBER OPTIC SENSORS",NA,10694058.1662896
"268","6060","FIBER OPTIC INTERCONNECTORS",NA,72801.0502446593
"269","6070","FIBER OPTIC ACCESSORIES & SUPPLIES",NA,6799.08530099979
"270","6099","MISC FIBER OPTIC COMPONENTS",NA,2983.64960019095
"271","6105","MOTORS, ELECTRICAL",NA,10989.1419551246
"272","6110","ELECTRICAL CONTROL EQUIPMENT",NA,701555.446674094
"273","6115","GENERATORS & GENERATOR SETS ELECT",NA,256819.15941681
"274","6116","FUEL CELL POWER UNITS, COMP, ACC",NA,7324983.0333155
"275","6117","SOLAR ELECTRIC POWER SYSTEMS",NA,2639077.10678643
"276","6120","TRANSFORMERS - DISTRIB & POWER STA",NA,225925.9063
"277","6125","CONVERTERS, ELECTRICAL, ROTATING",NA,50469.6291193019
"278","6130","CONVERTERS, ELECTRICAL, NONROTATING",NA,1084253.08540855
"279","6135","BATTERIES, NONRECHARGEABLE",NA,2802416.99627666
"280","6140","BATTERIES, RECHARGEABLE",NA,9619450.98971352
"281","6145","WIRE AND CABLE, ELECTRICAL",NA,152827.763995842
"282","6150","MISC ELECTRIC POWER & DISTRIB EQ",NA,7039626.92646697
"283","6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT",NA,5224.48042255138
"284","6220","ELEC VEHICULAR LIGHTS & FIXTURES",NA,0
"285","6230","ELEC PORTABLE & HAND LIGHTING EQ",NA,110811.668120148
"286","6240","ELECTRIC LAMPS",NA,11987.7197369731
"287","6260","NONELECTRICAL LIGHTING FIXTURES",NA,8523.07317667113
"288","6320","SHIPBOARD ALARM AND SIGNAL SYSTEMS",NA,174970.109829
"289","6330","RAILROAD SIGNAL AND WARNING DEVICES",NA,2013824.76015976
"290","6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS",NA,26317794.4939132
"291","6350","MISC ALARM, SIGNAL, SEC SYSTEMS",NA,113818122.813535
"292","6505","DRUGS AND BIOLOGICALS","Bioeconomy",181053991.978286
"293","6506","BLOOD","Medical",611494.655039158
"294","6507","BLOOD DERIVATIVES","Medical",172352.535928141
"295","6509","DRUGS AND BIOLOGICALS, VETERINARY USE","Bioeconomy",64388.1194690265
"296","6510","SURGICAL DRESSING MATERIALS","Medical",3816203.77611053
"297","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","Medical",93061403.6765239
"298","6520","DENTAL INSTRUMENTS EQ & SUPPLIES","Medical",355085.838085928
"299","6525","IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY","Medical",3669324.69658939
"300","6530","HOSP FURNITURE,EQ,UTENSILS & SUP","Medical",4696854.91217559
"301","6532","HOSPITAL & SURGICAL CLOTHING","Medical",9748055.87627053
"302","6540","OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Medical",28302.4888321634
"303","6545","MEDICAL SETS KITS & OUTFITS","Medical",935655.010503371
"304","6550","IN VITRO DIAGNO SUBSTANCES,REAGENTS","Medical",19752745.4200633
"305","6605","NAVIGATIONAL INSTRUMENTS",NA,11224608.6895057
"306","6610","FLIGHT INSTRUMENTS",NA,72572465.4141702
"307","6615","AUTO PILOT MECHANISMS AIRBORNE GYRO",NA,23841832.9651408
"308","6620","ENGINE INSTRUMENTS",NA,1492710.20522285
"309","6625","ELECT ELECTRONIC MEASURING INSTRUMT",NA,27677007.6462005
"310","6630","CHEMICAL ANALYSIS INSTRUMENTS",NA,50629777.4486791
"311","6635","PHYSICAL PROPERTIES TEST EQ",NA,33729452.5307319
"312","6636","ENVIRONMENTAL CHAMBERS & RELATED EQ",NA,5069745.87897451
"313","6640","LABORATORY EQUIPMENT AND SUPPLIES",NA,402651087.844172
"314","6645","TIME MEASURING INSTRUMENTS",NA,1764515.17826385
"315","6650","OPTICAL INSTRUMENTS",NA,19176350.0847295
"316","6655","GEOPHYSICAL INSTRUMENTS",NA,4114838.93845703
"317","6660","METEOROLOG INSTRUMENTS & APPARATUS",NA,6126455.72387941
"318","6665","HAZARD-DETECTING INSTRU & APPARATUS",NA,144510309.930896
"319","6670","SCALES AND BALANCES",NA,59023.6038297365
"320","6675","DRAFTING SURVEYING & MAPPING INSTRU",NA,883126.4103389
"321","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",NA,263222.822159864
"322","6685","PRESSURE TEMP HUMIDITY INSTRUMENTS",NA,1573547.41406243
"323","6695","COMBINATION & MISC INSTRUMENTS",NA,33052144.3386663
"324","6710","CAMERAS, MOTION PICTURE",NA,3610989.31854104
"325","6720","CAMERAS, STILL PICTURE",NA,214082.668411977
"326","6730","PHOTOGRAPHIC PROJECTION EQUIPMENT",NA,62745.3575852052
"327","6740","PHOTO DEVELOPLNG & FINISHING EQ",NA,458537.70339739
"328","6760","PHOTOGRAPHIC EQ & ACCESSORIES",NA,3009002.67783625
"329","6770","FILM, PROCESSED",NA,29836.4960019095
"330","6780","PHOTOGRAPHIC SETS KITS & OUTFITS",NA,15248.995494947
"331","6810","CHEMICALS",NA,5573083.23369655
"332","6820","DYES",NA,20363.8338311159
"333","6830","GASES: COMPRESSED AND LIQUEFIED",NA,38917.7171224427
"334","6840","PEST CONT AGENTS & DISINFECTANTS",NA,36435.4233282358
"335","6850","MISCELLANEOUS CHEMICAL SPECIALTIES",NA,822341.903870263
"336","6910","TRAINING AIDS",NA,51200173.6351056
"337","6920","ARMAMENT TRAINING DEVICES",NA,3518725.13666066
"338","6930","OPERATION TRAINING DEVICES",NA,26271182.6538995
"339","6940","COMMUNICATION TRAINING DEVICES",NA,321330.896248334
"340","7010","ADPE SYSTEM CONFIGURATION",NA,91257794.9641631
"341","7020","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG",NA,322944.135136202
"342","7021","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",NA,302899.242826993
"343","7022","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID",NA,1658125.68405649
"344","7025","ADP INPUT/OUTPUT & STORAGE DEVICES",NA,5269635.63381123
"345","7030","ADP SOFTWARE",NA,249715454.675313
"346","7035","ADP SUPPORT EQUIPMENT",NA,29663554.5907895
"347","7040","PUNCHED CARD EQUIPMENT",NA,7263.10073309802
"348","7042","MINI & MICRO COMPUTER CONT DEVICES",NA,370792.453403027
"349","7045","ADP SUPPLIES",NA,1431400.71522694
"350","7050","ADP COMPONENTS",NA,684990.460416619
"351","7105","HOUSEHOLD FURNITURE",NA,6632.81993289425
"352","7110","OFFICE FURNITURE",NA,710086.278264919
"353","7220","FLOOR COVERINGS",NA,114029.347780417
"354","7240","HOUSEHOLD & COMM UTIL CONTAINERS",NA,4865.31341759224
"355","7290","MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES",NA,11808.1754506832
"356","7310","FOOD COOKING BAKING SERVING EQ",NA,931394.581759339
"357","7320","KITCHEN EQUIPMENT AND APPLIANCES",NA,5073.40737903741
"358","7360","SET KIT & OUTFIT FOOD PREP & SERV",NA,181440.112883998
"359","7420","ACCOUNTING AND CALCULATING MACHINES",NA,62560.8230223829
"360","7435","OFFICE INFORMATION SYSTEM EQUIPMENT",NA,339828.01454423
"361","7490","MISCELLANEOUS OFFICE MACHINES",NA,44544.550658451
"362","7510","OFFICE SUPPLIES",NA,232953.552451263
"363","7520","OFFICE DEVICES AND ACCESSORIES",NA,133368.17220295
