"NAICS_Code","naics_text","mismatch","exclude","obl","rcp","pay","EMP","minyear","maxyear","NAICS.display.label"
"111",NA,"Not tracked: Agriculture","Not in stats",24241311.1535,NA,NA,NA,2007,2016,NA
"112",NA,"Not tracked: Agriculture","Not in stats",49653686.0185,NA,NA,NA,2007,2016,NA
"113","Forestry and Logging","Not tracked: Agriculture","Not in stats",17062803.1138,NA,NA,NA,2007,2016,NA
"114","Fishing, Hunting and Trapping","Not tracked: Agriculture","Not in stats",11680634.4228,NA,NA,NA,2007,2016,NA
"115","Support Activities for Agriculture and Forestry","Not tracked: Agriculture","Not in stats",139067743.3878,NA,NA,NA,2007,2016,NA
"211","Oil and Gas Extraction",NA,"No",1232044632.7029,2830326070000,123658880000,1633325,2007,2016,"Oil and gas extraction"
"212","Mining (except Oil and Gas)",NA,"No",1057684225.4194,920711330000,128424575000,2116035,2007,2016,"Mining (except oil and gas)"
"213","Support Activities for Mining",NA,"No",300353329.0665,962785345000,248663655000,4143750,2007,2016,"Support activities for mining"
"221","Utilities",NA,"No",13102628808.1385,5580416765000,552882845000,6442405,2007,2016,"Utilities"
"233",NA,"Reassigned in 2002","Not in sample",961839123.8395,NA,NA,NA,2007,2016,NA
"234",NA,"Reassigned in 2002","Not in sample",224904985.2271,NA,NA,NA,2007,2016,NA
"235",NA,"Reassigned in 2002","Not in sample",137810197.3939,NA,NA,NA,2007,2016,NA
"236","Construction of Buildings",NA,"No",163832793469.632,6280102870000,667264080000,13130630,2007,2016,"Construction of buildings"
"237","Heavy and Civil Engineering Construction",NA,"No",74552553661.3108,2583851330000,544450270000,10026930,2007,2016,"Heavy and civil engineering construction"
"238","Specialty Trade Contractors",NA,"No",25913069611.0802,6627390400000,1806030430000,41771750,2007,2016,"Specialty trade contractors"
"311","Food Manufacturing",NA,"No",5500704082.0608,6644990290000,525222655000,14331030,2007,2016,"Food manufacturing"
"312","Beverage and Tobacco Product Manufacturing",NA,"No",456965533.7751,1351828590000,74815275000,1510670,2007,2016,"Beverage and tobacco product manufacturing"
"313","Textile Mills",NA,"No",924152358.4159,331734775000,46171140000,1306805,2007,2016,"Textile mills"
"314","Textile Product Mills",NA,"No",4800250303.2158,253910295000,39941450000,1301710,2007,2016,"Textile product mills"
"315","Apparel Manufacturing",NA,"No",19495674530.8012,179454420000,34452535000,1367155,2007,2016,"Apparel manufacturing"
"316","Leather and Allied Product Manufacturing",NA,"No",1729529650.693,52211165000,9193760000,300585,2007,2016,"Leather and allied product manufacturing"
"321","Wood Product Manufacturing",NA,"No",973709093.5537,897754390000,149362535000,4302690,2007,2016,"Wood product manufacturing"
"322","Paper Manufacturing",NA,"No",623171091.7925,1786490035000,203844190000,3842130,2007,2016,"Paper manufacturing"
"323","Printing and Related Support Activities",NA,"No",241921236.0348,927357800000,228625785000,5541500,2007,2016,"Printing and related support activities"
"324","Petroleum and Coal Products Manufacturing",NA,"No",107844563572.591,7333099010000,89404450000,1034920,2007,2016,"Petroleum and coal products manufacturing"
"325","Chemical Manufacturing",NA,"No",19506447884.7618,7507261015000,517736420000,7679515,2007,2016,"Chemical manufacturing"
"326","Plastics and Rubber Products Manufacturing",NA,"No",3540820058.162,2139534775000,319727935000,7743160,2007,2016,"Plastics and rubber products manufacturing"
"327","Nonmetallic Mineral Product Manufacturing",NA,"No",1404875647.5921,1135104220000,183354105000,4154860,2007,2016,"Nonmetallic mineral product manufacturing"
"331","Primary Metal Manufacturing",NA,"No",2415421484.9024,2631953235000,229462910000,4156600,2007,2016,"Primary metal manufacturing"
"332","Fabricated Metal Product Manufacturing",NA,"No",85313231974.8419,3425468350000,677058425000,15002625,2007,2016,"Fabricated metal product manufacturing"
"333","Machinery Manufacturing",NA,"No",47662556542.1641,3762550850000,580042975000,11039300,2007,2016,"Machinery manufacturing"
"334","Computer and Electronic Product Manufacturing",NA,"No",223125854172.667,3547419855000,644659480000,9591005,2007,2016,"Computer and electronic product manufacturing"
"335","Electrical Equipment, Appliance, and Component Manufacturing",NA,"No",17569089222.5215,1263984140000,181960670000,3813150,2007,2016,"Electrical equipment, appliance, and component manufacturing"
"336","Transportation Equipment Manufacturing",NA,"No",947617128428.104,7658166900000,863230410000,14683370,2007,2016,"Transportation equipment manufacturing"
"337","Furniture and Related Product Manufacturing",NA,"No",6585846813.0997,760308930000,152799750000,4289650,2007,2016,"Furniture and related product manufacturing"
"339","Miscellaneous Manufacturing",NA,"No",20069040199.8762,1490346680000,284761005000,6056755,2007,2016,"Miscellaneous manufacturing"
"421",NA,"Reassigned in 2002","Not in sample",60341339.861,NA,NA,NA,2007,2016,NA
